trial_id,loss,f1_macro,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/args,config/epochs,config/accuracy,config/save_csv,config/lr,config/momentum,config/weight_decay
50df8_00057,0.525,0.55,12.376244306564331,True,,,12,c8a3143072d54ea9bb5f479aad76af08,2023-06-30_17-37-30,1688139450,150.63843369483948,209985,sfandres-ROG-Strix-G513QR,192.168.1.128,150.63843369483948,0,12,0.0035257339477539062,"57_lr=0.0010,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0001
50df8_00041,0.547,0.547,12.847891569137573,True,,,12,a9a157a500254e83b00e94e6afbd9fc8,2023-06-30_17-10-20,1688137820,153.06655049324036,199524,sfandres-ROG-Strix-G513QR,192.168.1.128,153.06655049324036,0,12,0.003503561019897461,"41_lr=0.0010,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,1e-05
50df8_00009,0.491,0.545,13.437227249145508,True,,,12,bdfa370fe29b441e8682f6c46f297073,2023-06-30_16-24-41,1688135081,157.23942375183105,180413,sfandres-ROG-Strix-G513QR,192.168.1.128,157.23942375183105,0,12,0.004841804504394531,"9_lr=0.0010,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0001
50df8_00006,0.522,0.54,12.672797918319702,True,,,12,90c4f7bc5d2c47018efca580341987c9,2023-06-30_16-20-08,1688134808,153.0075240135193,178640,sfandres-ROG-Strix-G513QR,192.168.1.128,153.0075240135193,0,12,0.0034689903259277344,"6_lr=0.0100,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0
50df8_00047,1.808,0.538,13.647156715393066,True,,,12,752bb0ec6aff4fa98587fd1cf76773e5,2023-06-30_17-19-26,1688138366,160.1944441795349,203041,sfandres-ROG-Strix-G513QR,192.168.1.128,160.1944441795349,0,12,0.0035283565521240234,"47_lr=0.1000,momentum=0.9000,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.9,1e-05
50df8_00062,0.511,0.533,13.328572750091553,True,,,12,38b303baa6f64644b2db23f4946abdaa,2023-06-30_17-45-40,1688139940,158.68257641792297,213110,sfandres-ROG-Strix-G513QR,192.168.1.128,158.68257641792297,0,12,0.0050258636474609375,"62_lr=0.0100,momentum=0.9000,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0001
50df8_00025,0.508,0.53,13.018832445144653,True,,,12,7f01fac56ad94e839ae29bad01306024,2023-06-30_16-46-41,1688136401,156.56796431541443,190241,sfandres-ROG-Strix-G513QR,192.168.1.128,156.56796431541443,0,12,0.004551887512207031,"25_lr=0.0010,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0
50df8_00017,0.511,0.529,12.99079418182373,True,,,12,d9c2c064ff6a4aa3be3fce33fba47797,2023-06-30_16-33-54,1688135634,154.2182641029358,185262,sfandres-ROG-Strix-G513QR,192.168.1.128,154.2182641029358,0,12,0.0034716129302978516,"17_lr=0.0010,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,1e-05
50df8_00001,0.514,0.529,13.393056392669678,True,,,12,1f53f1856b7b4bf784e468cd5b6829a1,2023-06-30_16-12-00,1688134320,157.86234712600708,175438,sfandres-ROG-Strix-G513QR,192.168.1.128,157.86234712600708,0,12,0.003701925277709961,"1_lr=0.0010,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0
50df8_00037,0.674,0.525,13.200205564498901,True,,,12,29fbf128ff33401681ec64a7af7d2582,2023-06-30_17-03-08,1688137388,157.85493159294128,196753,sfandres-ROG-Strix-G513QR,192.168.1.128,157.85493159294128,0,12,0.0031490325927734375,"37_lr=0.0010,momentum=0.9000,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.5, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.9,0.0001
