trial_id,loss,f1_macro,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/args,config/epochs,config/accuracy,config/save_csv,config/lr,config/momentum,config/weight_decay
04287_00018,1.816,0.431,9.078202247619629,True,,,12,3010baf3661b4abf8915074e760bcbd6,2023-06-29_14-55-29,1688043329,106.82800030708313,174220,sfandres-ROG-Strix-G513QR,158.49.247.103,106.82800030708313,0,12,0.003924846649169922,"18_lr=0.0100,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,1e-05
04287_00062,1.231,0.395,8.530712127685547,True,,,12,c4729506c71045c7b03ef0f68e7f774c,2023-06-29_15-36-06,1688045766,103.13110518455505,195990,sfandres-ROG-Strix-G513QR,158.49.247.103,103.13110518455505,0,12,0.004008293151855469,"62_lr=0.0100,momentum=0.9000,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0001
04287_00042,2.012,0.389,8.746369361877441,True,,,12,4cd7006e9cf34ee19648110de8e21957,2023-06-29_15-18-16,1688044696,105.1721203327179,186360,sfandres-ROG-Strix-G513QR,158.49.247.103,105.1721203327179,0,12,0.0029909610748291016,"42_lr=0.0100,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,1e-05
04287_00001,1.206,0.388,8.845089197158813,True,,,12,4502941b7ca040efadb01447a24f5179,2023-06-29_14-36-14,1688042174,106.23984289169312,163977,sfandres-ROG-Strix-G513QR,158.49.247.103,106.23984289169312,0,12,0.0043261051177978516,"1_lr=0.0010,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0
04287_00054,1.262,0.384,8.744359970092773,True,,,12,0ee599aaa9ae43bfb55df08e7cf16665,2023-06-29_15-28-29,1688045309,106.36898136138916,191900,sfandres-ROG-Strix-G513QR,158.49.247.103,106.36898136138916,0,12,0.0031158924102783203,"54_lr=0.0100,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0
04287_00017,1.189,0.382,8.50747036933899,True,,,12,5d54ec6569c04a448e00db92cd80ff4c,2023-06-29_14-53-39,1688043219,103.57583737373352,173312,sfandres-ROG-Strix-G513QR,158.49.247.103,103.57583737373352,0,12,0.003953218460083008,"17_lr=0.0010,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,1e-05
04287_00070,1.205,0.375,8.75233507156372,True,,,12,e004aa25a6dc4c12b234b1715099736e,2023-06-29_15-42-28,1688046148,105.15016674995422,199494,sfandres-ROG-Strix-G513QR,158.49.247.103,105.15016674995422,0,12,0.0031061172485351562,"70_lr=0.0100,momentum=0.9000,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,1e-05
04287_00033,1.223,0.347,8.909611701965332,True,,,12,3a9c7aad60604d368f21d9cce58dd1c3,2023-06-29_15-08-50,1688044130,106.36721110343933,181407,sfandres-ROG-Strix-G513QR,158.49.247.103,106.36721110343933,0,12,0.003112316131591797,"33_lr=0.0010,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0001
04287_00009,1.178,0.333,8.78889513015747,True,,,12,58977bffc2b144b8b36cf9c3bab96cfb,2023-06-29_14-45-00,1688042700,103.82317209243774,168711,sfandres-ROG-Strix-G513QR,158.49.247.103,103.82317209243774,0,12,0.0034253597259521484,"9_lr=0.0010,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0001
04287_00025,1.236,0.328,8.497682809829712,True,,,12,955dcc4902f34af3b94f6ad6d31c0091,2023-06-29_15-01-13,1688043673,104.00189685821533,177373,sfandres-ROG-Strix-G513QR,158.49.247.103,104.00189685821533,0,12,0.0030972957611083984,"25_lr=0.0010,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0
04287_00006,1.195,0.318,8.92786455154419,True,,,12,b3d0a36cb15a43e9ad56efd19c5dc1aa,2023-06-29_14-40-41,1688042441,107.35379695892334,166425,sfandres-ROG-Strix-G513QR,158.49.247.103,107.35379695892334,0,12,0.003636598587036133,"6_lr=0.0100,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0
04287_00041,1.167,0.316,8.913818597793579,True,,,12,79194e544a8b405297c3b8ba29258384,2023-06-29_15-16-27,1688044587,107.52343654632568,185459,sfandres-ROG-Strix-G513QR,158.49.247.103,107.52343654632568,0,12,0.0037679672241210938,"41_lr=0.0010,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,1e-05
04287_00030,1.22,0.314,8.613138198852539,True,,,12,d4951872999244a99a441c2c3f29fdd3,2023-06-29_15-05-40,1688043940,104.51147723197937,179759,sfandres-ROG-Strix-G513QR,158.49.247.103,104.51147723197937,0,12,0.004642486572265625,"30_lr=0.0100,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0
04287_00011,10.998,0.29,8.679497241973877,True,,,12,7227b43319fa44aaba66b149f446323b,2023-06-29_14-48-36,1688042916,106.54449653625488,170519,sfandres-ROG-Strix-G513QR,158.49.247.103,106.54449653625488,0,12,0.004128217697143555,"11_lr=0.1000,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.99,0.0001
04287_00063,3.689,0.287,8.798859119415283,True,,,4,1c500898243f44eb89b05716cd21eef9,2023-06-29_15-36-46,1688045806,36.091625928878784,196898,sfandres-ROG-Strix-G513QR,158.49.247.103,36.091625928878784,0,4,0.0044498443603515625,"63_lr=0.1000,momentum=0.9000,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.9,0.0001
04287_00035,18.611,0.284,8.731522798538208,True,,,12,08ad55112326454bbe0ed87016c7c16e,2023-06-29_15-11-18,1688044278,105.00400972366333,182692,sfandres-ROG-Strix-G513QR,158.49.247.103,105.00400972366333,0,12,0.003193378448486328,"35_lr=0.1000,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.99,0.0001
04287_00059,18.324,0.275,8.654770851135254,True,,,4,21996b20879b4992b39f2b30d98ee999,2023-06-29_15-32-59,1688045579,35.80291485786438,194842,sfandres-ROG-Strix-G513QR,158.49.247.103,35.80291485786438,0,4,0.0038576126098632812,"59_lr=0.1000,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.99,0.0001
04287_00046,1.479,0.273,8.458910465240479,True,,,4,9822061b3dee4f189f601174346fc436,2023-06-29_15-20-53,1688044853,35.12246799468994,188396,sfandres-ROG-Strix-G513QR,158.49.247.103,35.12246799468994,0,4,0.0034499168395996094,"46_lr=0.0100,momentum=0.9000,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,1e-05
04287_00000,1.55,0.272,8.615132808685303,True,,,12,cc221076d97744b389a792f5260fa425,2023-06-29_14-34-24,1688042064,103.55783104896545,163053,sfandres-ROG-Strix-G513QR,158.49.247.103,103.55783104896545,0,12,0.0037496089935302734,"0_lr=0.0001,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.0001,0.99,0.0
04287_00010,1.5,0.27,8.370816230773926,True,,,12,c5fd586ad9634e9cb5c582a8003087e4,2023-06-29_14-46-46,1688042806,102.42870473861694,169619,sfandres-ROG-Strix-G513QR,158.49.247.103,102.42870473861694,0,12,0.003936290740966797,"10_lr=0.0100,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,0.0001
04287_00049,1.517,0.268,8.755045652389526,True,,,4,3270aabda75d4497810ae4e52b8ac6cf,2023-06-29_15-22-49,1688044969,35.99108409881592,189480,sfandres-ROG-Strix-G513QR,158.49.247.103,35.99108409881592,0,4,0.004189968109130859,"49_lr=0.0010,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0
04287_00031,3.383,0.268,8.865405321121216,True,,,4,77c5cffa6b36445cbf163ea61db77202,2023-06-29_15-06-19,1688043979,35.843605756759644,180653,sfandres-ROG-Strix-G513QR,158.49.247.103,35.843605756759644,0,4,0.0031168460845947266,"31_lr=0.1000,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.9,0.0
04287_00066,2.098,0.265,8.609516859054565,True,,,4,f2eeb9ea8438431e8656296407ed5f91,2023-06-29_15-38-43,1688045923,35.201186656951904,198008,sfandres-ROG-Strix-G513QR,158.49.247.103,35.201186656951904,0,4,0.002993345260620117,"66_lr=0.0100,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multiclass', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=0.25, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='random', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,1e-05
