trial_id,loss,rmse,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/args,config/epochs,config/accuracy,config/save_csv,config/lr,config/momentum,config/weight_decay
47bc5_00055,0.212,0.091,20.65249800682068,True,,,12,48fe6f68152840589555b908ecbb9d3e,2023-07-02_00-10-16,1688249416,247.8457748889923,246768,sfandres-ROG-Strix-G513QR,192.168.1.128,247.8457748889923,0,12,0.0030143260955810547,"55_lr=0.1000,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.9,0.0
47bc5_00066,0.212,0.091,20.77688193321228,True,,,12,955734812cbe4941b340b9f4b2cf1341,2023-07-02_00-36-50,1688251010,245.3718776702881,256073,sfandres-ROG-Strix-G513QR,192.168.1.128,245.3718776702881,0,12,0.003976583480834961,"66_lr=0.0100,momentum=0.9900,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,1e-05
47bc5_00015,0.212,0.091,21.52591824531555,True,,,12,318fb9fec7a340a1a038566407cccd6b,2023-07-01_22-33-59,1688243639,253.93836164474487,213301,sfandres-ROG-Strix-G513QR,192.168.1.128,253.93836164474487,0,12,0.004586696624755859,"15_lr=0.1000,momentum=0.9000,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.9,0.0001
47bc5_00007,0.212,0.091,21.419912815093994,True,,,12,01cf547bcbef4bc99a5da94570c603a6,2023-07-01_22-14-00,1688242440,250.73770141601562,206407,sfandres-ROG-Strix-G513QR,192.168.1.128,250.73770141601562,0,12,0.003403902053833008,"7_lr=0.1000,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.1,0.9,0.0
47bc5_00030,0.213,0.092,20.946523904800415,True,,,12,3f949df5b17c4a6ba4df4a62276e54d4,2023-07-01_23-06-47,1688245607,247.13469886779785,224838,sfandres-ROG-Strix-G513QR,192.168.1.128,247.13469886779785,0,12,0.003702878952026367,"30_lr=0.0100,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0
47bc5_00022,0.212,0.092,22.06082773208618,True,,,12,1dd60cdc59a74ee68c890e48abbb5523,2023-07-01_22-47-00,1688244420,255.45267987251282,217951,sfandres-ROG-Strix-G513QR,192.168.1.128,255.45267987251282,0,12,0.0031991004943847656,"22_lr=0.0100,momentum=0.9000,weight_decay=0.0000","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,1e-05
47bc5_00054,0.212,0.092,20.087788820266724,True,,,12,6d7d3214724c41c49cf6c8ed68adb7b3,2023-07-02_00-06-04,1688249164,240.35557579994202,245416,sfandres-ROG-Strix-G513QR,192.168.1.128,240.35557579994202,0,12,0.004638195037841797,"54_lr=0.0100,momentum=0.9000,weight_decay=0","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.9,0.0
47bc5_00057,0.212,0.092,21.011048793792725,True,,,12,91727c747fbc4237899412c5b743119c,2023-07-02_00-15-54,1688249754,250.62152123451233,248702,sfandres-ROG-Strix-G513QR,192.168.1.128,250.62152123451233,0,12,0.004067420959472656,"57_lr=0.0010,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.001,0.99,0.0001
47bc5_00050,0.212,0.092,20.695908069610596,True,,,12,81e56717e271447d898b7402014b84a9,2023-07-01_23-57-43,1688248663,247.71311855316162,242388,sfandres-ROG-Strix-G513QR,192.168.1.128,247.71311855316162,0,12,0.004347562789916992,"50_lr=0.0100,momentum=0.9900,weight_decay=0","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,0.0
47bc5_00010,0.211,0.092,21.201565504074097,True,,,12,d7591c8e312f4060907058c0bda610d0,2023-07-01_22-23-59,1688243039,253.14796137809753,209763,sfandres-ROG-Strix-G513QR,192.168.1.128,253.14796137809753,0,12,0.003802061080932617,"10_lr=0.0100,momentum=0.9900,weight_decay=0.0001","Namespace(model_name='Supervised', task_name='multilabel', backbone_name='resnet18', input_data=None, dataset_name='Sentinel2AndaluciaLULC', dataset_level='Level_N2', train_rate=1.0, epochs=12, learning_rate=0.01, save_every=5, batch_size=64, num_workers=2, ini_weights='imagenet', seed=42, dropout=None, transfer_learning='LP', show=False, verbose=False, balanced_dataset=False, torch_compile=False, distributed=False, ray_tune='gridsearch', grace_period=4, num_samples_trials=3, gpus_per_trial=1)",12,val,False,0.01,0.99,0.0001
