Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_c4c15_00157,TERMINATED,192.168.7.51:163573,256,0.0001,0.9,128,1e-05,7.1402,12
train_c4c15_00085,TERMINATED,192.168.7.51:83374,256,0.0001,0.9,128,0.0001,7.1424,12
train_c4c15_00086,TERMINATED,192.168.7.51:83870,512,0.0001,0.9,128,0.0001,7.3312,12
train_c4c15_00158,TERMINATED,192.168.7.51:164571,512,0.0001,0.9,128,1e-05,7.3414,12
train_c4c15_00013,TERMINATED,192.168.7.51:9540,256,0.0001,0.9,128,0.0,7.3537,12
train_c4c15_00012,TERMINATED,192.168.7.51:9147,128,0.0001,0.9,128,0.0,7.4504,12
train_c4c15_00014,TERMINATED,192.168.7.51:11792,512,0.0001,0.9,128,0.0,7.4551,12
train_c4c15_00156,TERMINATED,192.168.7.51:163106,128,0.0001,0.9,128,1e-05,7.5311,12
train_c4c15_00084,TERMINATED,192.168.7.51:82503,128,0.0001,0.9,128,0.0001,7.7171,12
train_c4c15_00088,TERMINATED,192.168.7.51:89951,256,0.001,0.9,128,0.0001,7.9004,12
train_c4c15_00015,TERMINATED,192.168.7.51:11804,128,0.001,0.9,128,0.0,8.0852,12
train_c4c15_00087,TERMINATED,192.168.7.51:83939,128,0.001,0.9,128,0.0001,8.2683,12
train_c4c15_00017,TERMINATED,192.168.7.51:16505,512,0.001,0.9,128,0.0,8.4996,12
train_c4c15_00016,TERMINATED,192.168.7.51:16081,256,0.001,0.9,128,0.0,8.5261,12
train_c4c15_00089,TERMINATED,192.168.7.51:91238,512,0.001,0.9,128,0.0001,8.6955,12
train_c4c15_00159,TERMINATED,192.168.7.51:164641,128,0.001,0.9,128,1e-05,8.8515,12
train_c4c15_00161,TERMINATED,192.168.7.51:171180,512,0.001,0.9,128,1e-05,8.946,12
train_c4c15_00160,TERMINATED,192.168.7.51:171086,256,0.001,0.9,128,1e-05,9.0433,12
train_c4c15_00163,TERMINATED,192.168.7.51:172673,256,0.01,0.9,128,1e-05,10.5669,12
train_c4c15_00090,TERMINATED,192.168.7.51:91697,128,0.01,0.9,128,0.0001,12.0199,12
