Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_3de10_00143,TERMINATED,192.168.7.51:17564,512,0.1,0.9,512,0.0001,9.4321,12
train_3de10_00215,TERMINATED,192.168.7.51:107967,512,0.1,0.9,512,1e-05,9.4453,12
train_3de10_00214,TERMINATED,192.168.7.51:107874,256,0.1,0.9,512,1e-05,9.4795,12
train_3de10_00094,TERMINATED,192.168.7.51:144537,256,0.1,0.9,128,0.0001,9.4874,12
train_3de10_00118,TERMINATED,192.168.7.51:175172,256,0.1,0.9,256,0.0001,9.5007,12
train_3de10_00095,TERMINATED,192.168.7.51:149876,512,0.1,0.9,128,0.0001,9.5214,12
train_3de10_00119,TERMINATED,192.168.7.51:175238,512,0.1,0.9,256,0.0001,9.53,12
train_3de10_00167,TERMINATED,192.168.7.51:48910,512,0.1,0.9,128,1e-05,9.54,12
train_3de10_00071,TERMINATED,192.168.7.51:116022,512,0.1,0.9,512,0.0,9.5488,12
train_3de10_00117,TERMINATED,192.168.7.51:173676,128,0.1,0.9,256,0.0001,9.5629,12
train_3de10_00165,TERMINATED,192.168.7.51:46239,128,0.1,0.9,128,1e-05,9.5693,12
train_3de10_00047,TERMINATED,192.168.7.51:89306,512,0.1,0.9,256,0.0,9.576,12
train_3de10_00183,TERMINATED,192.168.7.51:67508,128,0.001,0.9,256,1e-05,9.5775,4
train_3de10_00113,TERMINATED,192.168.7.51:166723,512,0.001,0.9,256,0.0001,9.5821,4
train_3de10_00070,TERMINATED,192.168.7.51:115452,256,0.1,0.9,512,0.0,9.5852,12
train_3de10_00137,TERMINATED,192.168.7.51:6185,512,0.001,0.9,512,0.0001,9.5926,4
train_3de10_00164,TERMINATED,192.168.7.51:45835,512,0.01,0.9,128,1e-05,9.5993,12
train_3de10_00190,TERMINATED,192.168.7.51:78224,256,0.1,0.9,256,1e-05,9.6013,12
train_3de10_00191,TERMINATED,192.168.7.51:79372,512,0.1,0.9,256,1e-05,9.6029,12
train_3de10_00185,TERMINATED,192.168.7.51:67583,512,0.001,0.9,256,1e-05,9.6166,4
train_3de10_00184,TERMINATED,192.168.7.51:67581,256,0.001,0.9,256,1e-05,9.6178,4
train_3de10_00091,TERMINATED,192.168.7.51:141582,256,0.01,0.9,128,0.0001,9.6184,12
train_3de10_00093,TERMINATED,192.168.7.51:142067,128,0.1,0.9,128,0.0001,9.623,12
train_3de10_00187,TERMINATED,192.168.7.51:71262,256,0.01,0.9,256,1e-05,9.6296,12
train_3de10_00209,TERMINATED,192.168.7.51:95920,512,0.001,0.9,512,1e-05,9.6319,4
train_3de10_00042,TERMINATED,192.168.7.51:76944,128,0.01,0.9,256,0.0,9.6381,12
train_3de10_00069,TERMINATED,192.168.7.51:113319,128,0.1,0.9,512,0.0,9.64,12
train_3de10_00020,TERMINATED,192.168.7.51:53106,512,0.01,0.9,128,0.0,9.6403,12
train_3de10_00142,TERMINATED,192.168.7.51:17026,256,0.1,0.9,512,0.0001,9.6441,12
train_3de10_00207,TERMINATED,192.168.7.51:95875,128,0.001,0.9,512,1e-05,9.6449,4
train_3de10_00166,TERMINATED,192.168.7.51:48400,256,0.1,0.9,128,1e-05,9.6512,12
train_3de10_00136,TERMINATED,192.168.7.51:6183,256,0.001,0.9,512,0.0001,9.6528,4
train_3de10_00018,TERMINATED,192.168.7.51:49077,128,0.01,0.9,128,0.0,9.6549,12
train_3de10_00189,TERMINATED,192.168.7.51:71689,128,0.1,0.9,256,1e-05,9.6606,12
train_3de10_00213,TERMINATED,192.168.7.51:99685,128,0.1,0.9,512,1e-05,9.6617,12
train_3de10_00046,TERMINATED,192.168.7.51:83968,256,0.1,0.9,256,0.0,9.6676,12
train_3de10_00066,TERMINATED,192.168.7.51:107480,128,0.01,0.9,512,0.0,9.6685,12
train_3de10_00045,TERMINATED,192.168.7.51:83961,128,0.1,0.9,256,0.0,9.6694,12
train_3de10_00141,TERMINATED,192.168.7.51:10243,128,0.1,0.9,512,0.0001,9.6706,12
train_3de10_00021,TERMINATED,192.168.7.51:53967,128,0.1,0.9,128,0.0,9.6719,12
train_3de10_00208,TERMINATED,192.168.7.51:95884,256,0.001,0.9,512,1e-05,9.6737,4
train_3de10_00063,TERMINATED,192.168.7.51:104440,128,0.001,0.9,512,0.0,9.6746,4
train_3de10_00124,TERMINATED,192.168.7.51:182877,256,0.001,0.99,512,0.0001,9.6922,4
train_3de10_00075,TERMINATED,192.168.7.51:123363,128,0.001,0.99,128,0.0001,9.6981,4
train_3de10_00159,TERMINATED,192.168.7.51:36884,128,0.001,0.9,128,1e-05,9.6995,4
train_3de10_00111,TERMINATED,192.168.7.51:163701,128,0.001,0.9,256,0.0001,9.7067,4
train_3de10_00212,TERMINATED,192.168.7.51:99665,512,0.01,0.9,512,1e-05,9.7092,12
train_3de10_00019,TERMINATED,192.168.7.51:53102,256,0.01,0.9,128,0.0,9.7133,12
train_3de10_00135,TERMINATED,192.168.7.51:6101,128,0.001,0.9,512,0.0001,9.7219,4
train_3de10_00028,TERMINATED,192.168.7.51:64001,256,0.001,0.99,256,0.0,9.7236,4
train_3de10_00116,TERMINATED,192.168.7.51:169864,512,0.01,0.9,256,0.0001,9.7327,12
train_3de10_00210,TERMINATED,192.168.7.51:99661,128,0.01,0.9,512,1e-05,9.7388,12
train_3de10_00043,TERMINATED,192.168.7.51:81357,256,0.01,0.9,256,0.0,9.7415,12
train_3de10_00197,TERMINATED,192.168.7.51:85414,512,0.001,0.99,512,1e-05,9.7452,4
train_3de10_00123,TERMINATED,192.168.7.51:182801,128,0.001,0.99,512,0.0001,9.7474,4
train_3de10_00147,TERMINATED,192.168.7.51:21426,128,0.001,0.99,128,1e-05,9.7492,4
train_3de10_00162,TERMINATED,192.168.7.51:39985,128,0.01,0.9,128,1e-05,9.7501,12
train_3de10_00068,TERMINATED,192.168.7.51:112876,512,0.01,0.9,512,0.0,9.7517,12
train_3de10_00186,TERMINATED,192.168.7.51:70479,128,0.01,0.9,256,1e-05,9.7555,12
train_3de10_00172,TERMINATED,192.168.7.51:57507,256,0.001,0.99,256,1e-05,9.7599,4
train_3de10_00140,TERMINATED,192.168.7.51:9844,512,0.01,0.9,512,0.0001,9.7611,12
train_3de10_00148,TERMINATED,192.168.7.51:23777,256,0.001,0.99,128,1e-05,9.7639,4
train_3de10_00129,TERMINATED,192.168.7.51:187405,128,0.1,0.99,512,0.0001,9.774,4
train_3de10_00188,TERMINATED,192.168.7.51:71330,512,0.01,0.9,256,1e-05,9.7753,12
train_3de10_00023,TERMINATED,192.168.7.51:60740,512,0.1,0.9,128,0.0,9.7753,12
train_3de10_00077,TERMINATED,192.168.7.51:123442,512,0.001,0.99,128,0.0001,9.7781,4
train_3de10_00074,TERMINATED,192.168.7.51:122586,512,0.0001,0.99,128,0.0001,9.7831,4
train_3de10_00076,TERMINATED,192.168.7.51:123440,256,0.001,0.99,128,0.0001,9.7849,4
train_3de10_00138,TERMINATED,192.168.7.51:8598,128,0.01,0.9,512,0.0001,9.785,12
train_3de10_00022,TERMINATED,192.168.7.51:56055,256,0.1,0.9,128,0.0,9.7907,12
train_3de10_00099,TERMINATED,192.168.7.51:153396,128,0.001,0.99,256,0.0001,9.7916,4
train_3de10_00149,TERMINATED,192.168.7.51:24113,512,0.001,0.99,128,1e-05,9.7964,4
train_3de10_00194,TERMINATED,192.168.7.51:82891,512,0.0001,0.99,512,1e-05,9.7979,4
train_3de10_00196,TERMINATED,192.168.7.51:85304,256,0.001,0.99,512,1e-05,9.8131,4
train_3de10_00072,TERMINATED,192.168.7.51:119978,128,0.0001,0.99,128,0.0001,9.8143,4
train_3de10_00053,TERMINATED,192.168.7.51:95210,512,0.001,0.99,512,0.0,9.8154,4
train_3de10_00090,TERMINATED,192.168.7.51:136526,128,0.01,0.9,128,0.0001,9.8163,12
train_3de10_00125,TERMINATED,192.168.7.51:182886,512,0.001,0.99,512,0.0001,9.8163,4
train_3de10_00044,TERMINATED,192.168.7.51:83530,512,0.01,0.9,256,0.0,9.8168,12
train_3de10_00170,TERMINATED,192.168.7.51:55926,512,0.0001,0.99,256,1e-05,9.8177,4
train_3de10_00073,TERMINATED,192.168.7.51:120406,256,0.0001,0.99,128,0.0001,9.8185,4
train_3de10_00098,TERMINATED,192.168.7.51:152570,512,0.0001,0.99,256,0.0001,9.8195,4
train_3de10_00097,TERMINATED,192.168.7.51:150008,256,0.0001,0.99,256,0.0001,9.8196,4
train_3de10_00161,TERMINATED,192.168.7.51:36959,512,0.001,0.9,128,1e-05,9.8225,12
train_3de10_00026,TERMINATED,192.168.7.51:63059,512,0.0001,0.99,256,0.0,9.827,4
train_3de10_00144,TERMINATED,192.168.7.51:17633,128,0.0001,0.99,128,1e-05,9.8283,4
