Trial name,status,loc,hidden_dim,lr,out_dim,weight_decay,loss,training_iteration
train_63b42_00134,TERMINATED,192.168.7.50:7019,512,2.26274,512,1e-05,9.4389,12
train_63b42_00093,TERMINATED,192.168.7.50:117528,128,0.001,128,1e-05,9.4468,4
train_63b42_00092,TERMINATED,192.168.7.50:117457,512,0.0001,128,1e-05,9.4503,4
train_63b42_00090,TERMINATED,192.168.7.50:113932,128,0.0001,128,1e-05,9.455,4
train_63b42_00121,TERMINATED,192.168.7.50:143724,256,0.0001,512,1e-05,9.4582,4
train_63b42_00082,TERMINATED,192.168.7.50:104073,256,0.01,512,0.0001,9.4624,4
train_63b42_00076,TERMINATED,192.168.7.50:95760,256,0.0001,512,0.0001,9.4627,4
train_63b42_00004,TERMINATED,192.168.7.50:24926,256,0.001,128,0.0,9.4652,4
train_63b42_00077,TERMINATED,192.168.7.50:97901,512,0.0001,512,0.0001,9.4697,4
train_63b42_00080,TERMINATED,192.168.7.50:101336,512,0.001,512,0.0001,9.4698,4
train_63b42_00104,TERMINATED,192.168.7.50:126189,512,2.26274,128,1e-05,9.4784,12
train_63b42_00071,TERMINATED,192.168.7.50:89795,512,0.1,256,0.0001,9.4786,12
train_63b42_00119,TERMINATED,192.168.7.50:140458,512,2.26274,256,1e-05,9.4876,12
train_63b42_00126,TERMINATED,192.168.7.50:678,128,0.01,512,1e-05,9.4878,4
train_63b42_00095,TERMINATED,192.168.7.50:119203,512,0.001,128,1e-05,9.504,4
train_63b42_00130,TERMINATED,192.168.7.50:4008,256,0.1,512,1e-05,9.5061,4
train_63b42_00103,TERMINATED,192.168.7.50:124966,256,2.26274,128,1e-05,9.516,12
train_63b42_00054,TERMINATED,192.168.7.50:70077,128,0.1,128,0.0001,9.5169,4
train_63b42_00036,TERMINATED,192.168.7.50:52935,128,0.01,512,0.0,9.5173,4
train_63b42_00056,TERMINATED,192.168.7.50:70860,512,0.1,128,0.0001,9.5202,12
train_63b42_00068,TERMINATED,192.168.7.50:86764,512,0.01,256,0.0001,9.5222,4
train_63b42_00110,TERMINATED,192.168.7.50:133786,512,0.001,256,1e-05,9.5231,4
train_63b42_00111,TERMINATED,192.168.7.50:134540,128,0.01,256,1e-05,9.526,4
train_63b42_00051,TERMINATED,192.168.7.50:66511,128,0.01,128,0.0001,9.5271,4
train_63b42_00003,TERMINATED,192.168.7.50:22260,128,0.001,128,0.0,9.5302,4
train_63b42_00085,TERMINATED,192.168.7.50:106651,256,0.1,512,0.0001,9.5311,12
train_63b42_00005,TERMINATED,192.168.7.50:24997,512,0.001,128,0.0,9.5314,4
train_63b42_00001,TERMINATED,192.168.7.50:22256,256,0.0001,128,0.0,9.5404,4
train_63b42_00015,TERMINATED,192.168.7.50:32719,128,0.0001,256,0.0,9.5426,4
train_63b42_00067,TERMINATED,192.168.7.50:85478,256,0.01,256,0.0001,9.5517,4
train_63b42_00081,TERMINATED,192.168.7.50:102719,128,0.01,512,0.0001,9.5545,4
train_63b42_00037,TERMINATED,192.168.7.50:52988,256,0.01,512,0.0,9.5563,4
train_63b42_00091,TERMINATED,192.168.7.50:115900,256,0.0001,128,1e-05,9.5593,4
train_63b42_00094,TERMINATED,192.168.7.50:118620,256,0.001,128,1e-05,9.5598,4
train_63b42_00038,TERMINATED,192.168.7.50:53891,512,0.01,512,0.0,9.5622,4
train_63b42_00066,TERMINATED,192.168.7.50:84379,128,0.01,256,0.0001,9.5639,4
train_63b42_00108,TERMINATED,192.168.7.50:132081,128,0.001,256,1e-05,9.5654,4
train_63b42_00052,TERMINATED,192.168.7.50:68159,256,0.01,128,0.0001,9.5701,4
train_63b42_00114,TERMINATED,192.168.7.50:136956,128,0.1,256,1e-05,9.5711,4
train_63b42_00128,TERMINATED,192.168.7.50:1587,512,0.01,512,1e-05,9.5715,4
train_63b42_00048,TERMINATED,192.168.7.50:61434,128,0.001,128,0.0001,9.5751,4
train_63b42_00033,TERMINATED,192.168.7.50:47231,128,0.001,512,0.0,9.5751,4
train_63b42_00016,TERMINATED,192.168.7.50:34414,256,0.0001,256,0.0,9.5785,4
train_63b42_00006,TERMINATED,192.168.7.50:26828,128,0.01,128,0.0,9.579,4
train_63b42_00046,TERMINATED,192.168.7.50:60736,256,0.0001,128,0.0001,9.5814,4
train_63b42_00105,TERMINATED,192.168.7.50:126192,128,0.0001,256,1e-05,9.5818,4
train_63b42_00113,TERMINATED,192.168.7.50:136062,512,0.01,256,1e-05,9.5841,4
train_63b42_00127,TERMINATED,192.168.7.50:1514,256,0.01,512,1e-05,9.5849,4
train_63b42_00106,TERMINATED,192.168.7.50:129013,256,0.0001,256,1e-05,9.585,4
train_63b42_00083,TERMINATED,192.168.7.50:105289,512,0.01,512,0.0001,9.5859,12
train_63b42_00055,TERMINATED,192.168.7.50:70808,256,0.1,128,0.0001,9.5869,12
train_63b42_00049,TERMINATED,192.168.7.50:63573,256,0.001,128,0.0001,9.5893,12
train_63b42_00034,TERMINATED,192.168.7.50:49179,256,0.001,512,0.0,9.5911,4
train_63b42_00007,TERMINATED,192.168.7.50:26833,256,0.01,128,0.0,9.5913,4
train_63b42_00010,TERMINATED,192.168.7.50:29765,256,0.1,128,0.0,9.6041,4
