Trial name,status,loc,hidden_dim,lr,momentum,out_dim,weight_decay,loss,training_iteration
train_6636c_00165,TERMINATED,192.168.7.50:145992,128,0.1,0.9,128,1e-05,-0.9885,12
train_6636c_00126,TERMINATED,192.168.7.50:107000,128,0.01,0.99,512,0.0001,-0.9791,12
train_6636c_00141,TERMINATED,192.168.7.50:118859,128,0.1,0.9,512,0.0001,-0.9758,12
train_6636c_00055,TERMINATED,192.168.7.50:45917,256,0.01,0.99,512,0.0,-0.9731,12
train_6636c_00033,TERMINATED,192.168.7.50:25031,128,0.1,0.99,256,0.0,-0.9728,12
train_6636c_00127,TERMINATED,192.168.7.50:107266,256,0.01,0.99,512,0.0001,-0.9672,12
train_6636c_00150,TERMINATED,192.168.7.50:129987,128,0.01,0.99,128,1e-05,-0.9662,12
train_6636c_00054,TERMINATED,192.168.7.50:45623,128,0.01,0.99,512,0.0,-0.9627,12
train_6636c_00006,TERMINATED,192.168.7.50:149012,128,0.01,0.99,128,0.0,-0.9608,12
train_6636c_00213,TERMINATED,192.168.7.50:40466,128,0.1,0.9,512,1e-05,-0.9578,12
train_6636c_00022,TERMINATED,192.168.7.50:15272,256,0.1,0.9,128,0.0,-0.9504,12
train_6636c_00189,TERMINATED,192.168.7.50:18762,128,0.1,0.9,256,1e-05,-0.948,12
train_6636c_00068,TERMINATED,192.168.7.50:55847,512,0.01,0.9,512,0.0,-0.9474,12
train_6636c_00115,TERMINATED,192.168.7.50:96527,256,0.01,0.9,256,0.0001,-0.9469,12
train_6636c_00188,TERMINATED,192.168.7.50:15097,512,0.01,0.9,256,1e-05,-0.9465,12
train_6636c_00201,TERMINATED,192.168.7.50:28462,128,0.1,0.99,512,1e-05,-0.9465,12
train_6636c_00018,TERMINATED,192.168.7.50:9214,128,0.01,0.9,128,0.0,-0.9445,12
train_6636c_00215,TERMINATED,192.168.7.50:44802,512,0.1,0.9,512,1e-05,-0.9443,12
train_6636c_00116,TERMINATED,192.168.7.50:97928,512,0.01,0.9,256,0.0001,-0.9437,12
train_6636c_00162,TERMINATED,192.168.7.50:139838,128,0.01,0.9,128,1e-05,-0.9435,12
train_6636c_00212,TERMINATED,192.168.7.50:39035,512,0.01,0.9,512,1e-05,-0.9431,12
train_6636c_00091,TERMINATED,192.168.7.50:77066,256,0.01,0.9,128,0.0001,-0.9426,12
train_6636c_00140,TERMINATED,192.168.7.50:118857,512,0.01,0.9,512,0.0001,-0.9415,12
train_6636c_00044,TERMINATED,192.168.7.50:34577,512,0.01,0.9,256,0.0,-0.9409,12
train_6636c_00092,TERMINATED,192.168.7.50:79133,512,0.01,0.9,128,0.0001,-0.9408,12
train_6636c_00019,TERMINATED,192.168.7.50:12821,256,0.01,0.9,128,0.0,-0.9404,12
train_6636c_00042,TERMINATED,192.168.7.50:34018,128,0.01,0.9,256,0.0,-0.9402,12
train_6636c_00187,TERMINATED,192.168.7.50:14509,256,0.01,0.9,256,1e-05,-0.94,12
train_6636c_00163,TERMINATED,192.168.7.50:140490,256,0.01,0.9,128,1e-05,-0.94,12
train_6636c_00090,TERMINATED,192.168.7.50:74969,128,0.01,0.9,128,0.0001,-0.9394,12
train_6636c_00139,TERMINATED,192.168.7.50:118797,256,0.01,0.9,512,0.0001,-0.9392,12
train_6636c_00114,TERMINATED,192.168.7.50:95867,128,0.01,0.9,256,0.0001,-0.9389,12
train_6636c_00211,TERMINATED,192.168.7.50:38061,256,0.01,0.9,512,1e-05,-0.938,12
train_6636c_00067,TERMINATED,192.168.7.50:55591,256,0.01,0.9,512,0.0,-0.938,12
train_6636c_00138,TERMINATED,192.168.7.50:118468,128,0.01,0.9,512,0.0001,-0.9377,12
train_6636c_00164,TERMINATED,192.168.7.50:144719,512,0.01,0.9,128,1e-05,-0.9371,12
train_6636c_00093,TERMINATED,192.168.7.50:80445,128,0.1,0.9,128,0.0001,-0.9366,12
train_6636c_00015,TERMINATED,192.168.7.50:7015,128,0.001,0.9,128,0.0,-0.9365,12
train_6636c_00043,TERMINATED,192.168.7.50:34519,256,0.01,0.9,256,0.0,-0.9364,12
train_6636c_00020,TERMINATED,192.168.7.50:14754,512,0.01,0.9,128,0.0,-0.9353,12
train_6636c_00209,TERMINATED,192.168.7.50:36520,512,0.001,0.9,512,1e-05,-0.9343,12
train_6636c_00198,TERMINATED,192.168.7.50:27610,128,0.01,0.99,512,1e-05,-0.9339,12
train_6636c_00190,TERMINATED,192.168.7.50:20660,256,0.1,0.9,256,1e-05,-0.9336,12
train_6636c_00030,TERMINATED,192.168.7.50:24226,128,0.01,0.99,256,0.0,-0.9334,12
