epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.944,2.221,0.122,0.625,0.122,0.100,0.145,"[0.135, 0.057, 0.003, 0.211, 0.068, 0.0, 0.186, 0.244, 0.096, 0.0]"
01,1.141,1.942,0.229,0.831,0.229,0.132,0.197,"[0.185, 0.039, 0.022, 0.483, 0.053, 0.113, 0.068, 0.237, 0.121, 0.0]"
02,0.768,1.662,0.311,0.938,0.311,0.193,0.270,"[0.36, 0.163, 0.087, 0.515, 0.0, 0.316, 0.121, 0.264, 0.105, 0.0]"
03,0.500,1.318,0.482,0.944,0.482,0.272,0.464,"[0.328, 0.37, 0.071, 0.554, 0.0, 0.445, 0.554, 0.382, 0.014, 0.0]"
04,0.380,1.197,0.534,0.947,0.534,0.262,0.487,"[0.18, 0.331, 0.077, 0.588, 0.0, 0.355, 0.659, 0.419, 0.014, 0.0]"
05,0.193,1.240,0.518,0.950,0.518,0.262,0.478,"[0.128, 0.296, 0.077, 0.577, 0.0, 0.484, 0.611, 0.436, 0.014, 0.0]"
06,0.141,1.211,0.529,0.955,0.529,0.282,0.501,"[0.147, 0.437, 0.077, 0.588, 0.0, 0.523, 0.576, 0.447, 0.028, 0.0]"
07,0.132,1.078,0.600,0.958,0.600,0.319,0.572,"[0.22, 0.588, 0.077, 0.638, 0.0, 0.527, 0.68, 0.395, 0.069, 0.0]"
08,0.095,1.098,0.596,0.960,0.596,0.303,0.557,"[0.238, 0.596, 0.077, 0.638, 0.0, 0.431, 0.685, 0.254, 0.108, 0.0]"
09,0.092,1.199,0.581,0.962,0.581,0.306,0.541,"[0.305, 0.559, 0.077, 0.614, 0.0, 0.385, 0.673, 0.311, 0.133, 0.0]"
10,0.061,1.257,0.570,0.963,0.570,0.323,0.539,"[0.345, 0.511, 0.077, 0.603, 0.0, 0.411, 0.658, 0.474, 0.153, 0.0]"
11,0.044,1.298,0.568,0.963,0.568,0.341,0.550,"[0.349, 0.576, 0.077, 0.599, 0.0, 0.475, 0.624, 0.511, 0.195, 0.0]"
12,0.059,1.320,0.570,0.962,0.570,0.345,0.551,"[0.364, 0.622, 0.077, 0.56, 0.0, 0.515, 0.625, 0.517, 0.168, 0.0]"
