epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.038,2.423,0.021,0.666,0.021,0.005,0.001,"[0.041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0]"
01,1.769,2.626,0.033,0.640,0.033,0.015,0.011,"[0.056, 0.0, 0.0, 0.029, 0.0, 0.0, 0.0, 0.0, 0.062, 0.0]"
02,1.563,2.764,0.080,0.688,0.080,0.049,0.081,"[0.063, 0.0, 0.0, 0.198, 0.0, 0.122, 0.026, 0.0, 0.082, 0.0]"
03,1.360,2.438,0.281,0.819,0.281,0.119,0.282,"[0.077, 0.114, 0.0, 0.359, 0.0, 0.096, 0.497, 0.0, 0.048, 0.0]"
04,1.494,3.130,0.278,0.819,0.278,0.120,0.239,"[0.075, 0.459, 0.0, 0.0, 0.099, 0.057, 0.509, 0.0, 0.0, 0.0]"
05,1.292,3.905,0.123,0.867,0.123,0.093,0.141,"[0.064, 0.374, 0.0, 0.032, 0.117, 0.173, 0.15, 0.02, 0.0, 0.0]"
06,0.949,3.393,0.125,0.875,0.125,0.094,0.155,"[0.059, 0.328, 0.0, 0.232, 0.088, 0.184, 0.033, 0.013, 0.0, 0.0]"
07,0.871,3.328,0.143,0.850,0.143,0.099,0.138,"[0.05, 0.513, 0.0, 0.088, 0.109, 0.092, 0.031, 0.021, 0.083, 0.0]"
08,0.723,2.815,0.173,0.865,0.173,0.115,0.187,"[0.057, 0.44, 0.08, 0.136, 0.073, 0.087, 0.195, 0.04, 0.04, 0.0]"
09,0.882,2.435,0.243,0.900,0.243,0.141,0.280,"[0.037, 0.327, 0.0, 0.487, 0.041, 0.186, 0.199, 0.105, 0.025, 0.0]"
10,0.665,3.167,0.263,0.904,0.263,0.147,0.247,"[0.06, 0.279, 0.067, 0.543, 0.049, 0.186, 0.038, 0.197, 0.054, 0.0]"
11,0.924,2.029,0.305,0.924,0.305,0.201,0.302,"[0.248, 0.477, 0.042, 0.276, 0.074, 0.272, 0.298, 0.285, 0.04, 0.0]"
12,0.569,2.377,0.394,0.916,0.394,0.173,0.305,"[0.172, 0.518, 0.0, 0.008, 0.132, 0.296, 0.588, 0.0, 0.014, 0.0]"
13,0.732,4.677,0.254,0.935,0.254,0.183,0.244,"[0.116, 0.484, 0.0, 0.047, 0.135, 0.289, 0.298, 0.288, 0.175, 0.0]"
14,0.682,3.967,0.242,0.953,0.242,0.165,0.227,"[0.129, 0.249, 0.0, 0.403, 0.115, 0.258, 0.06, 0.272, 0.168, 0.0]"
15,0.658,3.948,0.251,0.960,0.251,0.171,0.228,"[0.129, 0.12, 0.0, 0.416, 0.138, 0.339, 0.087, 0.294, 0.183, 0.0]"
16,0.456,2.884,0.345,0.960,0.345,0.225,0.368,"[0.134, 0.277, 0.0, 0.436, 0.142, 0.37, 0.44, 0.273, 0.178, 0.0]"
17,0.437,2.157,0.374,0.946,0.374,0.188,0.315,"[0.15, 0.466, 0.0, 0.063, 0.057, 0.296, 0.566, 0.103, 0.184, 0.0]"
18,0.572,2.155,0.328,0.941,0.328,0.204,0.284,"[0.181, 0.428, 0.0, 0.036, 0.11, 0.282, 0.464, 0.302, 0.242, 0.0]"
19,0.628,2.015,0.376,0.946,0.376,0.262,0.394,"[0.167, 0.37, 0.074, 0.453, 0.083, 0.427, 0.408, 0.348, 0.286, 0.0]"
20,0.555,1.859,0.400,0.957,0.400,0.240,0.365,"[0.197, 0.085, 0.074, 0.582, 0.072, 0.429, 0.35, 0.39, 0.225, 0.0]"
21,0.626,1.612,0.429,0.955,0.429,0.268,0.396,"[0.223, 0.231, 0.114, 0.583, 0.113, 0.462, 0.35, 0.46, 0.142, 0.0]"
22,0.370,1.816,0.414,0.955,0.414,0.285,0.426,"[0.207, 0.54, 0.067, 0.476, 0.12, 0.483, 0.365, 0.488, 0.109, 0.0]"
23,0.458,1.604,0.406,0.953,0.406,0.262,0.371,"[0.244, 0.536, 0.125, 0.224, 0.038, 0.451, 0.439, 0.397, 0.165, 0.0]"
24,0.289,1.729,0.378,0.949,0.378,0.253,0.328,"[0.238, 0.498, 0.133, 0.093, 0.108, 0.406, 0.448, 0.408, 0.198, 0.0]"
25,0.392,1.787,0.426,0.954,0.426,0.295,0.430,"[0.214, 0.506, 0.105, 0.394, 0.122, 0.458, 0.48, 0.408, 0.26, 0.0]"
26,0.418,2.027,0.396,0.955,0.396,0.279,0.412,"[0.175, 0.502, 0.089, 0.457, 0.109, 0.446, 0.378, 0.378, 0.257, 0.0]"
27,0.477,2.889,0.359,0.936,0.359,0.237,0.368,"[0.153, 0.569, 0.043, 0.305, 0.085, 0.285, 0.412, 0.362, 0.158, 0.0]"
28,0.421,3.245,0.329,0.931,0.329,0.206,0.333,"[0.137, 0.563, 0.026, 0.233, 0.0, 0.254, 0.388, 0.341, 0.113, 0.0]"
29,0.679,1.743,0.453,0.951,0.453,0.266,0.454,"[0.231, 0.464, 0.042, 0.527, 0.057, 0.341, 0.534, 0.338, 0.13, 0.0]"
30,0.426,1.667,0.434,0.950,0.434,0.253,0.424,"[0.149, 0.32, 0.067, 0.554, 0.05, 0.393, 0.46, 0.432, 0.105, 0.0]"
31,0.552,1.736,0.402,0.946,0.402,0.214,0.356,"[0.09, 0.192, 0.0, 0.58, 0.091, 0.425, 0.286, 0.384, 0.092, 0.0]"
