epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.007,2.300,0.012,0.488,0.012,0.005,0.003,"[0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.007, 0.0, 0.0, 0.022]"
01,1.873,2.260,0.013,0.477,0.013,0.003,0.000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026]"
02,1.831,2.148,0.146,0.570,0.146,0.055,0.133,"[0.069, 0.0, 0.0, 0.0, 0.0, 0.072, 0.414, 0.0, 0.0, 0.0]"
03,1.671,1.974,0.304,0.839,0.304,0.115,0.298,"[0.0, 0.0, 0.0, 0.477, 0.0, 0.0, 0.537, 0.018, 0.114, 0.0]"
04,1.621,1.908,0.162,0.839,0.162,0.070,0.181,"[0.0, 0.0, 0.0, 0.342, 0.0, 0.0, 0.272, 0.083, 0.0, 0.0]"
05,1.730,2.005,0.084,0.752,0.084,0.031,0.057,"[0.021, 0.011, 0.0, 0.047, 0.0, 0.0, 0.119, 0.112, 0.0, 0.0]"
06,1.667,2.103,0.081,0.683,0.081,0.035,0.037,"[0.065, 0.151, 0.0, 0.0, 0.0, 0.0, 0.008, 0.127, 0.0, 0.0]"
07,1.638,2.017,0.115,0.774,0.115,0.026,0.026,"[0.048, 0.005, 0.0, 0.002, 0.0, 0.206, 0.0, 0.0, 0.0, 0.0]"
08,1.627,1.904,0.196,0.896,0.196,0.083,0.153,"[0.0, 0.397, 0.0, 0.211, 0.0, 0.227, 0.0, 0.0, 0.0, 0.0]"
09,1.361,1.871,0.215,0.920,0.215,0.070,0.144,"[0.0, 0.357, 0.0, 0.289, 0.0, 0.0, 0.002, 0.0, 0.052, 0.0]"
10,1.490,1.982,0.190,0.813,0.190,0.066,0.107,"[0.065, 0.395, 0.0, 0.12, 0.0, 0.0, 0.006, 0.0, 0.073, 0.0]"
11,1.426,2.105,0.235,0.744,0.235,0.120,0.191,"[0.022, 0.415, 0.0, 0.101, 0.0, 0.022, 0.236, 0.21, 0.192, 0.0]"
12,1.285,2.202,0.106,0.758,0.106,0.047,0.084,"[0.0, 0.109, 0.0, 0.193, 0.0, 0.031, 0.0, 0.133, 0.0, 0.0]"
13,1.362,2.106,0.175,0.808,0.175,0.079,0.158,"[0.0, 0.27, 0.0, 0.364, 0.0, 0.0, 0.005, 0.148, 0.0, 0.0]"
14,1.223,1.974,0.345,0.832,0.345,0.173,0.309,"[0.022, 0.49, 0.0, 0.393, 0.0, 0.0, 0.305, 0.294, 0.221, 0.0]"
15,1.115,2.139,0.213,0.799,0.213,0.109,0.147,"[0.232, 0.383, 0.0, 0.111, 0.0, 0.0, 0.109, 0.196, 0.057, 0.0]"
16,1.107,2.260,0.194,0.793,0.194,0.081,0.106,"[0.227, 0.368, 0.0, 0.086, 0.0, 0.0, 0.036, 0.032, 0.062, 0.0]"
17,1.286,2.107,0.315,0.850,0.315,0.149,0.290,"[0.022, 0.419, 0.0, 0.352, 0.0, 0.34, 0.256, 0.016, 0.085, 0.0]"
18,1.136,2.069,0.420,0.871,0.420,0.195,0.399,"[0.0, 0.496, 0.0, 0.419, 0.0, 0.368, 0.499, 0.047, 0.121, 0.0]"
19,1.145,2.071,0.444,0.853,0.444,0.197,0.394,"[0.02, 0.495, 0.0, 0.397, 0.0, 0.078, 0.556, 0.382, 0.041, 0.0]"
20,0.926,2.266,0.326,0.823,0.326,0.180,0.290,"[0.27, 0.486, 0.0, 0.266, 0.0, 0.004, 0.35, 0.313, 0.114, 0.0]"
21,1.090,2.598,0.212,0.801,0.212,0.118,0.152,"[0.208, 0.431, 0.0, 0.206, 0.0, 0.0, 0.002, 0.187, 0.147, 0.0]"
22,1.068,2.580,0.246,0.819,0.246,0.120,0.188,"[0.0, 0.447, 0.0, 0.301, 0.0, 0.091, 0.0, 0.206, 0.153, 0.0]"
23,1.033,2.459,0.337,0.853,0.337,0.182,0.280,"[0.0, 0.472, 0.0, 0.484, 0.0, 0.317, 0.0, 0.382, 0.164, 0.0]"
24,0.858,2.542,0.339,0.864,0.339,0.193,0.286,"[0.0, 0.373, 0.0, 0.53, 0.0, 0.316, 0.003, 0.556, 0.155, 0.0]"
25,1.041,2.396,0.400,0.857,0.400,0.232,0.395,"[0.029, 0.502, 0.0, 0.498, 0.0, 0.397, 0.324, 0.362, 0.169, 0.041]"
26,1.185,2.429,0.427,0.837,0.427,0.222,0.405,"[0.193, 0.53, 0.0, 0.331, 0.0, 0.361, 0.561, 0.099, 0.098, 0.043]"
27,1.112,2.433,0.415,0.853,0.415,0.220,0.398,"[0.17, 0.528, 0.0, 0.302, 0.0, 0.358, 0.554, 0.173, 0.118, 0.0]"
28,1.071,2.331,0.444,0.877,0.444,0.275,0.445,"[0.167, 0.517, 0.0, 0.456, 0.0, 0.428, 0.468, 0.523, 0.195, 0.0]"
29,0.735,2.587,0.381,0.881,0.381,0.191,0.311,"[0.0, 0.515, 0.0, 0.558, 0.0, 0.381, 0.002, 0.308, 0.148, 0.0]"
