epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.509,0.291,0.163,0.113,"[0.094, 0.271, 0.065, 0.305, 0.06, 0.19, 0.282, 0.136, 0.13, 0.098]"
01,0.296,0.340,0.177,0.110,"[0.103, 0.258, 0.044, 0.278, 0.055, 0.192, 0.445, 0.158, 0.133, 0.101]"
02,0.333,0.350,0.159,0.096,"[0.107, 0.22, 0.044, 0.268, 0.055, 0.193, 0.306, 0.162, 0.135, 0.101]"
03,0.300,0.396,0.146,0.089,"[0.107, 0.197, 0.044, 0.319, 0.055, 0.162, 0.181, 0.161, 0.135, 0.101]"
04,0.286,0.364,0.148,0.090,"[0.107, 0.192, 0.044, 0.266, 0.055, 0.231, 0.191, 0.157, 0.135, 0.101]"
05,0.266,0.334,0.141,0.082,"[0.106, 0.202, 0.044, 0.256, 0.055, 0.202, 0.18, 0.13, 0.134, 0.101]"
06,0.239,0.305,0.140,0.079,"[0.102, 0.215, 0.044, 0.278, 0.055, 0.157, 0.203, 0.106, 0.134, 0.101]"
07,0.222,0.299,0.139,0.080,"[0.094, 0.199, 0.044, 0.269, 0.055, 0.172, 0.201, 0.117, 0.134, 0.101]"
08,0.219,0.289,0.133,0.079,"[0.085, 0.193, 0.044, 0.253, 0.055, 0.156, 0.194, 0.119, 0.133, 0.101]"
09,0.206,0.291,0.135,0.080,"[0.077, 0.2, 0.044, 0.232, 0.055, 0.188, 0.193, 0.128, 0.132, 0.101]"
10,0.192,0.306,0.140,0.081,"[0.071, 0.235, 0.044, 0.233, 0.055, 0.225, 0.189, 0.111, 0.132, 0.101]"
11,0.194,0.313,0.141,0.079,"[0.085, 0.251, 0.044, 0.271, 0.055, 0.176, 0.189, 0.109, 0.132, 0.101]"
12,0.180,0.300,0.139,0.077,"[0.095, 0.227, 0.044, 0.29, 0.055, 0.147, 0.183, 0.118, 0.13, 0.101]"
13,0.172,0.280,0.133,0.074,"[0.093, 0.195, 0.044, 0.264, 0.055, 0.147, 0.179, 0.128, 0.127, 0.101]"
14,0.177,0.267,0.127,0.071,"[0.087, 0.183, 0.044, 0.228, 0.055, 0.144, 0.173, 0.127, 0.123, 0.101]"
15,0.166,0.261,0.123,0.069,"[0.078, 0.18, 0.044, 0.216, 0.055, 0.142, 0.177, 0.113, 0.12, 0.101]"
16,0.167,0.256,0.121,0.069,"[0.072, 0.18, 0.044, 0.215, 0.055, 0.143, 0.181, 0.104, 0.119, 0.101]"
