epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.474,0.473,0.174,0.128,"[0.108, 0.267, 0.088, 0.317, 0.082, 0.194, 0.287, 0.146, 0.14, 0.11]"
01,0.262,0.351,0.164,0.119,"[0.101, 0.263, 0.063, 0.308, 0.061, 0.192, 0.268, 0.144, 0.133, 0.106]"
02,0.296,0.302,0.157,0.107,"[0.099, 0.255, 0.045, 0.307, 0.053, 0.19, 0.25, 0.145, 0.129, 0.095]"
03,0.296,0.310,0.156,0.104,"[0.104, 0.257, 0.044, 0.292, 0.055, 0.191, 0.24, 0.145, 0.131, 0.096]"
04,0.289,0.320,0.158,0.104,"[0.106, 0.255, 0.044, 0.289, 0.055, 0.225, 0.23, 0.14, 0.133, 0.098]"
05,0.280,0.312,0.151,0.097,"[0.106, 0.217, 0.044, 0.266, 0.055, 0.238, 0.226, 0.12, 0.134, 0.099]"
06,0.257,0.346,0.153,0.092,"[0.105, 0.219, 0.044, 0.337, 0.055, 0.173, 0.228, 0.136, 0.134, 0.1]"
07,0.254,0.378,0.150,0.090,"[0.111, 0.206, 0.044, 0.281, 0.055, 0.182, 0.22, 0.167, 0.134, 0.1]"
08,0.237,0.485,0.167,0.101,"[0.265, 0.209, 0.044, 0.343, 0.055, 0.176, 0.216, 0.132, 0.133, 0.099]"
09,0.225,0.616,0.161,0.100,"[0.196, 0.211, 0.044, 0.344, 0.055, 0.201, 0.223, 0.105, 0.133, 0.098]"
10,0.222,0.409,0.151,0.092,"[0.096, 0.196, 0.044, 0.293, 0.055, 0.283, 0.221, 0.097, 0.132, 0.096]"
11,0.210,0.368,0.144,0.085,"[0.103, 0.24, 0.044, 0.279, 0.055, 0.177, 0.215, 0.092, 0.134, 0.097]"
12,0.213,0.395,0.158,0.093,"[0.104, 0.351, 0.044, 0.295, 0.055, 0.184, 0.216, 0.089, 0.136, 0.101]"
13,0.212,0.360,0.146,0.088,"[0.104, 0.262, 0.044, 0.275, 0.055, 0.179, 0.213, 0.091, 0.136, 0.103]"
14,0.209,0.369,0.149,0.091,"[0.103, 0.207, 0.044, 0.279, 0.055, 0.224, 0.218, 0.13, 0.131, 0.098]"
15,0.209,0.340,0.148,0.089,"[0.101, 0.202, 0.044, 0.26, 0.055, 0.205, 0.225, 0.166, 0.13, 0.095]"
16,0.202,0.314,0.145,0.084,"[0.101, 0.206, 0.044, 0.275, 0.055, 0.174, 0.229, 0.138, 0.129, 0.094]"
17,0.203,0.300,0.138,0.081,"[0.103, 0.201, 0.044, 0.271, 0.055, 0.169, 0.218, 0.097, 0.129, 0.095]"
18,0.200,0.292,0.134,0.080,"[0.104, 0.198, 0.044, 0.253, 0.055, 0.162, 0.206, 0.09, 0.136, 0.094]"
19,0.196,0.286,0.133,0.079,"[0.096, 0.197, 0.044, 0.26, 0.055, 0.159, 0.208, 0.089, 0.132, 0.094]"
20,0.198,0.282,0.131,0.077,"[0.092, 0.182, 0.044, 0.258, 0.055, 0.159, 0.212, 0.089, 0.129, 0.094]"
21,0.190,0.283,0.133,0.078,"[0.093, 0.186, 0.044, 0.267, 0.055, 0.159, 0.215, 0.089, 0.129, 0.093]"
22,0.189,0.281,0.133,0.077,"[0.097, 0.183, 0.044, 0.263, 0.055, 0.161, 0.215, 0.091, 0.128, 0.092]"
23,0.191,0.278,0.133,0.078,"[0.106, 0.205, 0.044, 0.249, 0.055, 0.159, 0.201, 0.093, 0.128, 0.093]"
24,0.186,0.277,0.133,0.078,"[0.094, 0.21, 0.044, 0.248, 0.055, 0.16, 0.201, 0.097, 0.128, 0.093]"
25,0.191,0.278,0.133,0.076,"[0.09, 0.2, 0.044, 0.269, 0.055, 0.156, 0.201, 0.091, 0.129, 0.093]"
26,0.184,0.271,0.130,0.075,"[0.09, 0.186, 0.044, 0.268, 0.055, 0.153, 0.2, 0.087, 0.128, 0.092]"
27,0.180,0.270,0.128,0.074,"[0.09, 0.182, 0.044, 0.244, 0.055, 0.157, 0.2, 0.089, 0.127, 0.092]"
28,0.182,0.292,0.134,0.077,"[0.089, 0.218, 0.044, 0.256, 0.055, 0.15, 0.214, 0.088, 0.129, 0.093]"
29,0.177,0.276,0.131,0.074,"[0.088, 0.183, 0.044, 0.278, 0.055, 0.148, 0.202, 0.089, 0.129, 0.093]"
30,0.182,0.268,0.128,0.074,"[0.087, 0.183, 0.044, 0.257, 0.055, 0.149, 0.196, 0.087, 0.128, 0.092]"
31,0.177,0.268,0.129,0.075,"[0.087, 0.188, 0.044, 0.258, 0.055, 0.155, 0.193, 0.089, 0.127, 0.092]"
32,0.175,0.272,0.130,0.077,"[0.087, 0.193, 0.044, 0.252, 0.055, 0.152, 0.198, 0.094, 0.13, 0.093]"
33,0.173,0.277,0.133,0.076,"[0.089, 0.187, 0.044, 0.291, 0.055, 0.152, 0.202, 0.095, 0.127, 0.092]"
34,0.174,0.273,0.131,0.075,"[0.088, 0.18, 0.044, 0.269, 0.055, 0.159, 0.207, 0.09, 0.127, 0.091]"
35,0.177,0.268,0.128,0.074,"[0.086, 0.178, 0.044, 0.263, 0.055, 0.147, 0.197, 0.088, 0.128, 0.092]"
36,0.168,0.274,0.133,0.078,"[0.088, 0.205, 0.044, 0.279, 0.055, 0.146, 0.199, 0.089, 0.135, 0.092]"
37,0.170,0.271,0.129,0.074,"[0.086, 0.18, 0.044, 0.274, 0.055, 0.146, 0.198, 0.089, 0.127, 0.091]"
38,0.171,0.269,0.129,0.075,"[0.087, 0.197, 0.044, 0.249, 0.055, 0.145, 0.195, 0.088, 0.136, 0.092]"
39,0.165,0.267,0.128,0.073,"[0.086, 0.187, 0.044, 0.255, 0.055, 0.153, 0.199, 0.088, 0.126, 0.092]"
40,0.167,0.269,0.129,0.078,"[0.087, 0.178, 0.044, 0.253, 0.055, 0.152, 0.199, 0.096, 0.137, 0.092]"
41,0.163,0.265,0.128,0.076,"[0.094, 0.18, 0.044, 0.249, 0.055, 0.147, 0.196, 0.104, 0.124, 0.092]"
42,0.167,0.261,0.126,0.073,"[0.089, 0.182, 0.044, 0.247, 0.055, 0.147, 0.194, 0.088, 0.125, 0.092]"
43,0.169,0.262,0.126,0.073,"[0.086, 0.178, 0.044, 0.245, 0.055, 0.151, 0.19, 0.09, 0.125, 0.092]"
44,0.163,0.270,0.129,0.076,"[0.084, 0.169, 0.044, 0.262, 0.055, 0.17, 0.199, 0.092, 0.126, 0.091]"
45,0.163,0.278,0.134,0.076,"[0.084, 0.183, 0.044, 0.278, 0.055, 0.162, 0.206, 0.096, 0.144, 0.091]"
