epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.455,0.303,0.166,0.120,"[0.116, 0.247, 0.051, 0.337, 0.069, 0.195, 0.27, 0.137, 0.136, 0.103]"
01,0.298,0.331,0.165,0.107,"[0.104, 0.244, 0.044, 0.336, 0.055, 0.188, 0.305, 0.143, 0.131, 0.098]"
02,0.329,0.329,0.174,0.109,"[0.105, 0.231, 0.044, 0.315, 0.055, 0.188, 0.406, 0.157, 0.134, 0.101]"
03,0.325,0.336,0.150,0.096,"[0.105, 0.224, 0.044, 0.296, 0.055, 0.178, 0.201, 0.158, 0.135, 0.101]"
04,0.300,0.308,0.153,0.096,"[0.1, 0.211, 0.044, 0.274, 0.055, 0.269, 0.191, 0.149, 0.135, 0.101]"
05,0.280,0.311,0.150,0.093,"[0.112, 0.204, 0.044, 0.311, 0.055, 0.17, 0.246, 0.126, 0.135, 0.101]"
06,0.265,0.314,0.158,0.099,"[0.152, 0.22, 0.044, 0.282, 0.055, 0.183, 0.2, 0.207, 0.134, 0.1]"
07,0.239,0.289,0.137,0.084,"[0.085, 0.198, 0.044, 0.259, 0.055, 0.165, 0.18, 0.151, 0.133, 0.098]"
08,0.218,0.265,0.130,0.078,"[0.086, 0.189, 0.044, 0.239, 0.055, 0.172, 0.179, 0.119, 0.121, 0.091]"
09,0.212,0.286,0.143,0.090,"[0.089, 0.197, 0.044, 0.268, 0.055, 0.169, 0.177, 0.139, 0.17, 0.118]"
10,0.212,0.290,0.146,0.090,"[0.084, 0.213, 0.044, 0.252, 0.055, 0.151, 0.205, 0.142, 0.2, 0.115]"
11,0.200,0.273,0.133,0.078,"[0.075, 0.21, 0.044, 0.246, 0.055, 0.153, 0.216, 0.126, 0.118, 0.087]"
12,0.196,0.267,0.127,0.073,"[0.078, 0.19, 0.044, 0.257, 0.055, 0.144, 0.18, 0.11, 0.118, 0.091]"
13,0.202,0.270,0.130,0.077,"[0.093, 0.177, 0.044, 0.228, 0.055, 0.156, 0.187, 0.141, 0.124, 0.094]"
14,0.203,0.268,0.127,0.074,"[0.095, 0.176, 0.044, 0.231, 0.055, 0.158, 0.18, 0.121, 0.123, 0.092]"
15,0.193,0.265,0.125,0.071,"[0.081, 0.175, 0.044, 0.225, 0.055, 0.141, 0.214, 0.113, 0.115, 0.087]"
16,0.184,0.263,0.125,0.072,"[0.071, 0.18, 0.044, 0.237, 0.055, 0.142, 0.207, 0.121, 0.11, 0.085]"
17,0.189,0.258,0.122,0.072,"[0.072, 0.178, 0.044, 0.234, 0.055, 0.14, 0.183, 0.117, 0.112, 0.087]"
18,0.185,0.255,0.121,0.072,"[0.071, 0.179, 0.044, 0.223, 0.055, 0.148, 0.179, 0.112, 0.117, 0.087]"
19,0.181,0.255,0.122,0.073,"[0.073, 0.181, 0.044, 0.228, 0.055, 0.143, 0.185, 0.111, 0.116, 0.086]"
20,0.177,0.257,0.124,0.073,"[0.084, 0.189, 0.044, 0.224, 0.055, 0.142, 0.19, 0.114, 0.113, 0.085]"
21,0.173,0.253,0.122,0.070,"[0.082, 0.181, 0.044, 0.225, 0.055, 0.141, 0.185, 0.109, 0.109, 0.084]"
22,0.172,0.250,0.121,0.070,"[0.072, 0.173, 0.044, 0.224, 0.055, 0.142, 0.188, 0.113, 0.11, 0.085]"
23,0.170,0.250,0.122,0.071,"[0.07, 0.174, 0.044, 0.222, 0.055, 0.144, 0.201, 0.116, 0.111, 0.085]"
24,0.173,0.248,0.120,0.070,"[0.07, 0.175, 0.044, 0.221, 0.055, 0.145, 0.19, 0.112, 0.109, 0.084]"
25,0.164,0.248,0.121,0.071,"[0.072, 0.182, 0.044, 0.221, 0.054, 0.143, 0.186, 0.112, 0.108, 0.085]"
26,0.160,0.247,0.122,0.072,"[0.072, 0.187, 0.044, 0.221, 0.053, 0.143, 0.19, 0.112, 0.11, 0.085]"
27,0.165,0.243,0.120,0.071,"[0.072, 0.179, 0.044, 0.221, 0.052, 0.142, 0.184, 0.111, 0.109, 0.084]"
28,0.163,0.243,0.120,0.072,"[0.072, 0.177, 0.044, 0.225, 0.051, 0.141, 0.184, 0.113, 0.109, 0.084]"
29,0.160,0.244,0.121,0.072,"[0.071, 0.176, 0.044, 0.224, 0.05, 0.142, 0.191, 0.115, 0.11, 0.084]"
30,0.166,0.244,0.121,0.072,"[0.071, 0.182, 0.044, 0.221, 0.05, 0.144, 0.19, 0.113, 0.109, 0.084]"
31,0.164,0.244,0.121,0.071,"[0.072, 0.183, 0.044, 0.221, 0.05, 0.145, 0.187, 0.112, 0.109, 0.084]"
32,0.159,0.243,0.120,0.071,"[0.071, 0.177, 0.044, 0.222, 0.05, 0.144, 0.19, 0.112, 0.109, 0.084]"
33,0.160,0.242,0.120,0.071,"[0.072, 0.175, 0.044, 0.222, 0.05, 0.143, 0.187, 0.112, 0.108, 0.083]"
34,0.159,0.243,0.120,0.071,"[0.074, 0.175, 0.044, 0.223, 0.051, 0.141, 0.184, 0.113, 0.108, 0.083]"
35,0.159,0.243,0.120,0.071,"[0.074, 0.177, 0.044, 0.223, 0.051, 0.141, 0.186, 0.114, 0.108, 0.084]"
36,0.158,0.244,0.122,0.072,"[0.072, 0.184, 0.044, 0.221, 0.052, 0.144, 0.196, 0.114, 0.109, 0.084]"
37,0.158,0.244,0.122,0.072,"[0.07, 0.18, 0.044, 0.223, 0.052, 0.144, 0.198, 0.113, 0.11, 0.084]"
38,0.158,0.241,0.119,0.070,"[0.069, 0.177, 0.044, 0.223, 0.052, 0.143, 0.182, 0.112, 0.108, 0.083]"
39,0.159,0.241,0.119,0.070,"[0.07, 0.175, 0.044, 0.223, 0.052, 0.141, 0.185, 0.112, 0.108, 0.083]"
40,0.156,0.241,0.121,0.070,"[0.07, 0.176, 0.044, 0.222, 0.052, 0.142, 0.195, 0.114, 0.109, 0.083]"
41,0.153,0.243,0.122,0.071,"[0.073, 0.182, 0.044, 0.222, 0.052, 0.144, 0.2, 0.116, 0.109, 0.084]"
42,0.155,0.243,0.122,0.071,"[0.075, 0.182, 0.044, 0.223, 0.052, 0.146, 0.191, 0.113, 0.11, 0.084]"
43,0.154,0.240,0.120,0.070,"[0.07, 0.176, 0.044, 0.223, 0.052, 0.144, 0.184, 0.112, 0.108, 0.083]"
44,0.155,0.239,0.119,0.070,"[0.069, 0.175, 0.044, 0.223, 0.051, 0.142, 0.188, 0.112, 0.108, 0.083]"
45,0.153,0.241,0.121,0.071,"[0.069, 0.179, 0.044, 0.222, 0.051, 0.143, 0.193, 0.113, 0.109, 0.084]"
46,0.155,0.242,0.121,0.071,"[0.072, 0.183, 0.044, 0.223, 0.051, 0.145, 0.189, 0.113, 0.11, 0.084]"
47,0.154,0.240,0.120,0.070,"[0.072, 0.176, 0.044, 0.224, 0.051, 0.145, 0.186, 0.113, 0.108, 0.083]"
48,0.154,0.238,0.120,0.070,"[0.069, 0.174, 0.044, 0.222, 0.051, 0.142, 0.194, 0.115, 0.109, 0.083]"
49,0.152,0.238,0.121,0.070,"[0.07, 0.174, 0.044, 0.223, 0.051, 0.142, 0.197, 0.114, 0.109, 0.083]"
50,0.152,0.237,0.120,0.070,"[0.071, 0.177, 0.044, 0.223, 0.051, 0.142, 0.186, 0.112, 0.108, 0.083]"
51,0.151,0.237,0.120,0.071,"[0.073, 0.18, 0.044, 0.22, 0.051, 0.146, 0.182, 0.111, 0.108, 0.083]"
52,0.147,0.237,0.120,0.070,"[0.072, 0.18, 0.044, 0.218, 0.051, 0.143, 0.184, 0.112, 0.109, 0.084]"
53,0.145,0.235,0.118,0.069,"[0.07, 0.174, 0.044, 0.218, 0.05, 0.139, 0.183, 0.113, 0.108, 0.083]"
54,0.142,0.236,0.119,0.069,"[0.068, 0.175, 0.044, 0.223, 0.05, 0.137, 0.187, 0.113, 0.107, 0.083]"
55,0.143,0.236,0.118,0.068,"[0.068, 0.174, 0.044, 0.22, 0.05, 0.136, 0.187, 0.114, 0.106, 0.083]"
56,0.142,0.237,0.117,0.068,"[0.071, 0.17, 0.044, 0.215, 0.05, 0.136, 0.187, 0.112, 0.105, 0.083]"
