epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.516,0.410,0.173,0.126,"[0.108, 0.268, 0.092, 0.326, 0.084, 0.192, 0.279, 0.145, 0.135, 0.104]"
01,0.288,0.332,0.168,0.120,"[0.105, 0.265, 0.082, 0.316, 0.071, 0.19, 0.282, 0.145, 0.133, 0.096]"
02,0.353,0.296,0.161,0.110,"[0.1, 0.261, 0.055, 0.299, 0.055, 0.187, 0.279, 0.149, 0.129, 0.096]"
03,0.347,0.309,0.159,0.107,"[0.102, 0.267, 0.045, 0.297, 0.054, 0.185, 0.258, 0.154, 0.131, 0.1]"
04,0.346,0.324,0.162,0.110,"[0.104, 0.286, 0.044, 0.293, 0.055, 0.2, 0.253, 0.155, 0.133, 0.101]"
05,0.348,0.323,0.169,0.114,"[0.104, 0.256, 0.044, 0.307, 0.055, 0.29, 0.251, 0.151, 0.134, 0.101]"
06,0.343,0.309,0.163,0.108,"[0.103, 0.244, 0.044, 0.301, 0.055, 0.249, 0.259, 0.139, 0.134, 0.101]"
07,0.315,0.301,0.153,0.102,"[0.101, 0.24, 0.044, 0.283, 0.055, 0.181, 0.249, 0.141, 0.134, 0.101]"
08,0.303,0.326,0.163,0.110,"[0.098, 0.248, 0.044, 0.292, 0.055, 0.189, 0.247, 0.226, 0.134, 0.101]"
09,0.309,0.328,0.166,0.113,"[0.099, 0.265, 0.044, 0.315, 0.055, 0.181, 0.256, 0.208, 0.133, 0.101]"
10,0.287,0.298,0.152,0.103,"[0.107, 0.228, 0.044, 0.292, 0.055, 0.195, 0.239, 0.13, 0.132, 0.101]"
11,0.268,0.297,0.153,0.100,"[0.095, 0.231, 0.044, 0.274, 0.055, 0.228, 0.235, 0.135, 0.129, 0.101]"
12,0.258,0.292,0.149,0.100,"[0.101, 0.225, 0.044, 0.274, 0.055, 0.19, 0.232, 0.14, 0.132, 0.101]"
13,0.257,0.300,0.155,0.104,"[0.103, 0.274, 0.044, 0.281, 0.055, 0.173, 0.232, 0.136, 0.148, 0.101]"
14,0.264,0.286,0.146,0.096,"[0.101, 0.231, 0.044, 0.271, 0.055, 0.175, 0.225, 0.124, 0.131, 0.101]"
15,0.236,0.281,0.143,0.093,"[0.097, 0.215, 0.044, 0.27, 0.055, 0.172, 0.228, 0.121, 0.129, 0.101]"
16,0.237,0.284,0.147,0.096,"[0.101, 0.212, 0.044, 0.269, 0.055, 0.18, 0.232, 0.14, 0.132, 0.101]"
17,0.239,0.283,0.147,0.096,"[0.106, 0.216, 0.044, 0.276, 0.055, 0.179, 0.233, 0.128, 0.132, 0.1]"
18,0.225,0.274,0.141,0.090,"[0.096, 0.219, 0.044, 0.265, 0.055, 0.168, 0.223, 0.115, 0.132, 0.098]"
19,0.226,0.271,0.142,0.088,"[0.097, 0.209, 0.044, 0.273, 0.055, 0.169, 0.223, 0.121, 0.13, 0.095]"
20,0.226,0.270,0.141,0.090,"[0.096, 0.206, 0.044, 0.265, 0.055, 0.167, 0.224, 0.123, 0.129, 0.098]"
21,0.225,0.269,0.142,0.092,"[0.095, 0.207, 0.044, 0.264, 0.055, 0.168, 0.222, 0.122, 0.137, 0.106]"
22,0.220,0.269,0.141,0.092,"[0.094, 0.206, 0.044, 0.271, 0.055, 0.169, 0.221, 0.115, 0.132, 0.102]"
23,0.216,0.266,0.139,0.089,"[0.099, 0.204, 0.044, 0.266, 0.055, 0.166, 0.22, 0.112, 0.129, 0.096]"
24,0.211,0.263,0.138,0.087,"[0.102, 0.202, 0.044, 0.26, 0.055, 0.165, 0.219, 0.112, 0.129, 0.095]"
25,0.217,0.261,0.137,0.086,"[0.098, 0.202, 0.044, 0.259, 0.055, 0.163, 0.219, 0.109, 0.129, 0.095]"
26,0.211,0.262,0.139,0.086,"[0.094, 0.203, 0.044, 0.263, 0.055, 0.164, 0.226, 0.113, 0.129, 0.097]"
