epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.028,2.234,0.08,0.659,0.08,0.05,0.073,
1,1.779,2.182,0.101,0.713,0.101,0.065,0.095,
2,1.614,1.989,0.238,0.827,0.238,0.12,0.221,
3,1.369,1.84,0.362,0.857,0.362,0.176,0.295,
4,1.244,1.774,0.376,0.856,0.376,0.219,0.314,
5,1.071,1.795,0.33,0.827,0.33,0.209,0.272,
6,0.963,1.751,0.331,0.863,0.331,0.22,0.299,
7,0.906,1.581,0.422,0.919,0.422,0.279,0.408,
8,0.831,1.438,0.496,0.944,0.496,0.303,0.477,
9,0.783,1.408,0.503,0.95,0.503,0.311,0.482,
10,0.747,1.476,0.473,0.942,0.473,0.324,0.471,
11,0.705,1.518,0.444,0.936,0.444,0.321,0.446,
12,0.667,1.533,0.435,0.933,0.435,0.312,0.414,
13,0.619,1.565,0.425,0.932,0.425,0.302,0.402,
14,0.585,1.52,0.441,0.94,0.441,0.313,0.425,
15,0.592,1.481,0.465,0.948,0.465,0.325,0.462,
16,0.57,1.508,0.466,0.95,0.466,0.323,0.462,
17,0.598,1.492,0.474,0.953,0.474,0.329,0.47,
18,0.521,1.547,0.453,0.953,0.453,0.313,0.437,
19,0.595,1.556,0.447,0.951,0.447,0.315,0.432,
20,0.512,1.524,0.46,0.949,0.46,0.327,0.451,
21,0.535,1.451,0.487,0.953,0.487,0.341,0.483,
22,0.456,1.466,0.485,0.955,0.485,0.342,0.475,
23,0.551,1.543,0.458,0.953,0.458,0.331,0.45,
24,0.492,1.56,0.451,0.955,0.451,0.33,0.451,
25,0.525,1.545,0.462,0.95,0.462,0.332,0.448,
26,0.471,1.52,0.478,0.951,0.478,0.333,0.462,
27,0.504,1.447,0.497,0.957,0.497,0.345,0.486,
28,0.492,1.43,0.498,0.958,0.498,0.347,0.489,
29,0.411,1.503,0.477,0.954,0.477,0.341,0.467,
30,0.404,1.532,0.47,0.951,0.47,0.333,0.457,
31,0.518,1.48,0.487,0.952,0.487,0.343,0.483,
32,0.398,1.467,0.497,0.954,0.497,0.349,0.492,
33,0.459,1.445,0.499,0.955,0.499,0.347,0.494,
34,0.4,1.522,0.48,0.957,0.48,0.333,0.468,
35,0.449,1.544,0.469,0.957,0.469,0.327,0.458,
36,0.423,1.502,0.483,0.959,0.483,0.337,0.477,
37,0.483,1.436,0.504,0.959,0.504,0.349,0.503,
38,0.388,1.486,0.489,0.954,0.489,0.342,0.475,
39,0.43,1.47,0.482,0.956,0.482,0.342,0.482,
40,0.49,1.52,0.474,0.957,0.474,0.334,0.455,
41,0.424,1.557,0.473,0.957,0.473,0.334,0.454,
42,0.414,1.481,0.49,0.959,0.49,0.346,0.482,
43,0.405,1.492,0.491,0.956,0.491,0.346,0.483,
44,0.405,1.553,0.479,0.954,0.479,0.335,0.462,
45,0.447,1.457,0.498,0.957,0.498,0.35,0.5,
46,0.359,1.49,0.492,0.957,0.492,0.345,0.487,
47,0.375,1.558,0.475,0.955,0.475,0.331,0.462,
48,0.352,1.514,0.477,0.955,0.477,0.341,0.475,
49,0.378,1.488,0.481,0.956,0.481,0.345,0.479,
50,0.355,1.48,0.486,0.956,0.486,0.348,0.484,
51,0.388,1.49,0.49,0.954,0.49,0.35,0.491,
52,0.328,1.505,0.49,0.955,0.49,0.351,0.49,
53,0.281,1.501,0.49,0.956,0.49,0.349,0.49,
54,0.277,1.509,0.487,0.955,0.487,0.349,0.489,
55,0.257,1.532,0.48,0.955,0.48,0.345,0.483,
56,0.265,1.541,0.478,0.955,0.478,0.344,0.482,
57,0.267,1.499,0.492,0.956,0.492,0.352,0.494,
58,0.223,1.462,0.503,0.957,0.503,0.352,0.503,
59,0.232,1.434,0.511,0.96,0.511,0.357,0.51,
60,0.253,1.438,0.511,0.962,0.511,0.356,0.508,
61,0.206,1.464,0.506,0.962,0.506,0.353,0.501,
62,0.182,1.481,0.506,0.963,0.506,0.353,0.498,
63,0.174,1.489,0.511,0.962,0.511,0.358,0.502,
64,0.196,1.472,0.517,0.963,0.517,0.362,0.506,
65,0.195,1.428,0.524,0.963,0.524,0.366,0.515,
66,0.155,1.401,0.532,0.963,0.532,0.37,0.527,
67,0.16,1.409,0.536,0.962,0.536,0.367,0.529,
68,0.166,1.414,0.534,0.963,0.534,0.371,0.528,
69,0.134,1.424,0.525,0.962,0.525,0.373,0.52,
70,0.152,1.444,0.522,0.962,0.522,0.374,0.518,
71,0.148,1.452,0.525,0.961,0.525,0.378,0.522,
72,0.14,1.444,0.532,0.96,0.532,0.383,0.529,
73,0.123,1.421,0.542,0.959,0.542,0.384,0.539,
74,0.116,1.416,0.552,0.959,0.552,0.384,0.547,
75,0.12,1.412,0.558,0.958,0.558,0.377,0.549,
76,0.12,1.41,0.561,0.958,0.561,0.373,0.55,
77,0.127,1.403,0.558,0.958,0.558,0.372,0.548,
78,0.106,1.407,0.555,0.959,0.555,0.373,0.547,
79,0.092,1.417,0.549,0.959,0.549,0.376,0.543,
80,0.115,1.428,0.548,0.959,0.548,0.381,0.542,
81,0.095,1.444,0.541,0.959,0.541,0.37,0.534,
82,0.084,1.451,0.54,0.959,0.54,0.369,0.533,
