epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.993,2.206,0.146,0.622,0.146,0.099,0.134,
1,1.185,2.036,0.186,0.79,0.186,0.113,0.165,
2,0.722,1.763,0.315,0.901,0.315,0.197,0.298,
3,0.505,1.412,0.472,0.948,0.472,0.276,0.442,
4,0.334,1.256,0.516,0.957,0.516,0.306,0.484,
5,0.192,1.235,0.514,0.959,0.514,0.305,0.484,
6,0.162,1.182,0.542,0.961,0.542,0.328,0.523,
7,0.111,1.12,0.59,0.962,0.59,0.336,0.563,
8,0.085,1.166,0.588,0.962,0.588,0.326,0.555,
9,0.084,1.207,0.591,0.963,0.591,0.343,0.561,
10,0.042,1.234,0.588,0.963,0.588,0.35,0.561,
11,0.037,1.245,0.592,0.964,0.592,0.364,0.57,
12,0.034,1.266,0.595,0.965,0.595,0.371,0.575,
13,0.013,1.293,0.6,0.965,0.6,0.375,0.579,
14,0.013,1.322,0.601,0.965,0.601,0.374,0.578,
15,0.017,1.305,0.614,0.965,0.614,0.378,0.591,
16,0.007,1.326,0.612,0.966,0.612,0.371,0.586,
17,0.005,1.351,0.61,0.965,0.61,0.365,0.583,
18,0.007,1.375,0.607,0.965,0.607,0.361,0.579,
19,0.006,1.386,0.606,0.965,0.606,0.364,0.577,
20,0.004,1.395,0.606,0.965,0.606,0.367,0.578,
21,0.005,1.402,0.608,0.965,0.608,0.371,0.58,
22,0.003,1.42,0.61,0.965,0.61,0.371,0.582,
23,0.005,1.417,0.612,0.965,0.612,0.371,0.583,
24,0.002,1.421,0.613,0.965,0.613,0.368,0.584,
25,0.001,1.417,0.617,0.965,0.617,0.367,0.588,
26,0.003,1.426,0.618,0.965,0.618,0.365,0.588,
27,0.001,1.416,0.62,0.965,0.62,0.365,0.59,
28,0.002,1.411,0.62,0.966,0.62,0.365,0.59,
29,0.002,1.402,0.62,0.966,0.62,0.369,0.591,
30,0.002,1.41,0.619,0.966,0.619,0.369,0.59,
31,0.002,1.422,0.616,0.967,0.616,0.365,0.586,
32,0.001,1.416,0.616,0.967,0.616,0.369,0.587,
33,0.001,1.424,0.616,0.968,0.616,0.366,0.587,
34,0.001,1.417,0.615,0.967,0.615,0.367,0.587,
35,0.001,1.414,0.618,0.968,0.618,0.371,0.59,
36,0.001,1.413,0.617,0.967,0.617,0.371,0.589,
37,0.001,1.418,0.619,0.967,0.619,0.371,0.591,
38,0.001,1.42,0.62,0.967,0.62,0.37,0.591,
39,0.001,1.414,0.62,0.967,0.62,0.369,0.592,
40,0.001,1.407,0.619,0.967,0.619,0.37,0.592,
41,0.001,1.409,0.621,0.967,0.621,0.371,0.594,
42,0.001,1.405,0.622,0.967,0.622,0.374,0.595,
43,0.001,1.407,0.62,0.967,0.62,0.37,0.593,
44,0.001,1.412,0.62,0.967,0.62,0.37,0.593,
45,0.001,1.415,0.621,0.967,0.621,0.37,0.593,
46,0.001,1.425,0.622,0.967,0.622,0.368,0.593,
47,0.001,1.425,0.621,0.967,0.621,0.367,0.592,
48,0.001,1.411,0.623,0.967,0.623,0.374,0.595,
49,0.001,1.417,0.621,0.966,0.621,0.37,0.593,
50,0.0,1.418,0.621,0.966,0.621,0.372,0.594,
51,0.001,1.409,0.623,0.967,0.623,0.373,0.595,
52,0.001,1.415,0.623,0.966,0.623,0.374,0.596,
53,0.0,1.429,0.622,0.966,0.622,0.373,0.594,
54,0.001,1.443,0.621,0.967,0.621,0.371,0.592,
55,0.0,1.43,0.622,0.967,0.622,0.371,0.594,
56,0.0,1.425,0.624,0.967,0.624,0.372,0.595,
57,0.001,1.418,0.624,0.967,0.624,0.376,0.596,
58,0.001,1.409,0.624,0.967,0.624,0.377,0.596,
59,0.001,1.412,0.625,0.968,0.625,0.381,0.597,
60,0.001,1.395,0.627,0.967,0.627,0.387,0.6,
61,0.0,1.393,0.626,0.967,0.626,0.382,0.599,
62,0.0,1.399,0.625,0.967,0.625,0.378,0.597,
63,0.001,1.411,0.624,0.967,0.624,0.371,0.596,
64,0.001,1.408,0.625,0.968,0.625,0.373,0.597,
65,0.001,1.395,0.625,0.967,0.625,0.374,0.598,
66,0.001,1.388,0.626,0.968,0.626,0.376,0.599,
67,0.0,1.389,0.625,0.968,0.625,0.377,0.598,
68,0.0,1.406,0.626,0.968,0.626,0.38,0.598,
69,0.0,1.408,0.627,0.968,0.627,0.38,0.599,
70,0.0,1.423,0.626,0.968,0.626,0.375,0.598,
71,0.001,1.427,0.625,0.968,0.625,0.372,0.597,
72,0.0,1.437,0.626,0.968,0.626,0.374,0.597,
73,0.0,1.415,0.626,0.968,0.626,0.378,0.598,
74,0.001,1.428,0.625,0.968,0.625,0.376,0.596,
75,0.0,1.429,0.625,0.968,0.625,0.373,0.597,
76,0.001,1.417,0.625,0.967,0.625,0.378,0.598,
77,0.0,1.414,0.626,0.967,0.626,0.377,0.598,
78,0.001,1.43,0.622,0.967,0.622,0.373,0.594,
79,0.0,1.429,0.623,0.967,0.623,0.375,0.595,
80,0.0,1.429,0.623,0.968,0.623,0.374,0.595,
81,0.0,1.429,0.626,0.967,0.626,0.378,0.6,
82,0.0,1.424,0.625,0.966,0.625,0.38,0.599,
83,0.001,1.433,0.622,0.967,0.622,0.378,0.595,
84,0.0,1.414,0.623,0.966,0.623,0.381,0.597,
85,0.001,1.41,0.625,0.967,0.625,0.379,0.599,
86,0.0,1.411,0.624,0.967,0.624,0.374,0.598,
