epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.001,2.441,0.021,0.491,0.021,0.01,0.009,
1,1.755,2.551,0.025,0.663,0.025,0.01,0.006,
2,1.571,2.683,0.102,0.734,0.102,0.056,0.091,
3,1.405,2.584,0.216,0.799,0.216,0.083,0.183,
4,1.364,2.629,0.271,0.847,0.271,0.13,0.26,
5,1.188,2.728,0.205,0.857,0.205,0.132,0.211,
6,1.106,2.402,0.206,0.877,0.206,0.155,0.19,
7,0.916,2.313,0.259,0.89,0.259,0.169,0.267,
8,0.826,2.113,0.325,0.891,0.325,0.207,0.326,
9,0.802,2.103,0.3,0.895,0.3,0.175,0.284,
10,0.709,2.46,0.294,0.902,0.294,0.171,0.26,
11,0.772,2.174,0.304,0.907,0.304,0.199,0.307,
12,0.594,2.372,0.328,0.907,0.328,0.183,0.308,
13,0.66,3.069,0.275,0.919,0.275,0.189,0.268,
14,0.564,2.991,0.261,0.93,0.261,0.176,0.243,
15,0.597,2.65,0.334,0.923,0.334,0.204,0.319,
16,0.578,2.383,0.352,0.941,0.352,0.237,0.368,
17,0.465,4.263,0.295,0.934,0.295,0.19,0.287,
18,0.516,3.682,0.282,0.913,0.282,0.196,0.289,
19,0.577,2.883,0.318,0.932,0.318,0.221,0.347,
20,0.452,2.387,0.404,0.946,0.404,0.258,0.401,
21,0.551,2.671,0.387,0.929,0.387,0.255,0.389,
22,0.446,3.202,0.354,0.927,0.354,0.248,0.363,
23,0.477,4.865,0.343,0.941,0.343,0.207,0.345,
24,0.42,5.18,0.367,0.941,0.367,0.214,0.349,
25,0.482,3.459,0.375,0.947,0.375,0.236,0.384,
26,0.44,2.546,0.368,0.943,0.368,0.253,0.384,
27,0.43,2.597,0.361,0.939,0.361,0.243,0.368,
28,0.425,2.673,0.376,0.939,0.376,0.247,0.393,
29,0.523,2.193,0.419,0.945,0.419,0.24,0.428,
30,0.43,2.063,0.437,0.944,0.437,0.258,0.424,
31,0.477,2.295,0.397,0.942,0.397,0.228,0.357,
32,0.456,2.462,0.377,0.942,0.377,0.212,0.346,
33,0.354,2.106,0.431,0.947,0.431,0.227,0.396,
34,0.397,1.855,0.47,0.952,0.47,0.274,0.448,
35,0.306,2.232,0.43,0.957,0.43,0.277,0.425,
36,0.477,2.351,0.398,0.953,0.398,0.26,0.387,
37,0.345,2.483,0.365,0.946,0.365,0.242,0.347,
38,0.346,1.838,0.416,0.952,0.416,0.272,0.399,
39,0.409,2.24,0.404,0.95,0.404,0.255,0.391,
40,0.303,2.457,0.398,0.946,0.398,0.277,0.397,
41,0.347,1.827,0.421,0.951,0.421,0.28,0.398,
42,0.331,2.267,0.351,0.95,0.351,0.237,0.33,
43,0.271,2.55,0.383,0.95,0.383,0.252,0.362,
44,0.296,1.807,0.465,0.952,0.465,0.284,0.457,
45,0.342,2.286,0.448,0.952,0.448,0.283,0.428,
46,0.297,2.621,0.424,0.946,0.424,0.276,0.411,
47,0.313,2.867,0.408,0.916,0.408,0.264,0.398,
48,0.375,2.63,0.418,0.912,0.418,0.266,0.393,
49,0.35,1.933,0.434,0.937,0.434,0.286,0.415,
50,0.204,1.813,0.474,0.945,0.474,0.283,0.443,
51,0.262,1.8,0.493,0.946,0.493,0.309,0.458,
52,0.231,1.905,0.429,0.948,0.429,0.288,0.407,
53,0.151,2.017,0.42,0.946,0.42,0.281,0.399,
54,0.173,1.984,0.441,0.948,0.441,0.3,0.431,
55,0.216,1.622,0.521,0.952,0.521,0.327,0.519,
56,0.188,1.618,0.529,0.948,0.529,0.29,0.5,
57,0.196,1.648,0.527,0.947,0.527,0.299,0.507,
58,0.179,1.767,0.513,0.952,0.513,0.291,0.492,
59,0.226,1.718,0.516,0.952,0.516,0.286,0.489,
60,0.21,1.723,0.528,0.954,0.528,0.293,0.505,
61,0.176,1.987,0.465,0.947,0.465,0.278,0.436,
62,0.169,2.368,0.434,0.919,0.434,0.273,0.409,
63,0.174,2.234,0.439,0.928,0.439,0.271,0.404,
64,0.216,2.058,0.472,0.955,0.472,0.288,0.448,
65,0.159,2.06,0.482,0.956,0.482,0.294,0.463,
66,0.176,2.01,0.487,0.953,0.487,0.287,0.461,
67,0.15,2.237,0.486,0.952,0.486,0.291,0.477,
68,0.168,2.374,0.493,0.951,0.493,0.286,0.484,
69,0.13,2.105,0.512,0.952,0.512,0.282,0.494,
70,0.088,1.964,0.519,0.953,0.519,0.299,0.499,
71,0.142,2.067,0.496,0.956,0.496,0.285,0.474,
72,0.139,2.063,0.479,0.955,0.479,0.294,0.462,
73,0.123,1.9,0.502,0.955,0.502,0.304,0.485,
74,0.134,1.888,0.508,0.953,0.508,0.285,0.484,
75,0.08,1.879,0.518,0.955,0.518,0.277,0.491,
76,0.101,1.78,0.528,0.955,0.528,0.287,0.502,
77,0.076,1.77,0.524,0.957,0.524,0.294,0.502,
78,0.071,1.808,0.522,0.956,0.522,0.289,0.503,
79,0.092,1.843,0.528,0.956,0.528,0.294,0.513,
80,0.083,1.785,0.536,0.958,0.536,0.308,0.522,
81,0.053,1.891,0.527,0.956,0.527,0.298,0.508,
82,0.058,2.002,0.532,0.954,0.532,0.308,0.517,
83,0.068,2.064,0.535,0.95,0.535,0.304,0.516,
84,0.051,1.846,0.551,0.953,0.551,0.314,0.524,
85,0.042,1.83,0.552,0.954,0.552,0.322,0.53,
86,0.055,1.854,0.542,0.954,0.542,0.317,0.523,
87,0.113,1.926,0.537,0.95,0.537,0.317,0.519,
88,0.058,2.152,0.511,0.946,0.511,0.293,0.491,
89,0.161,2.04,0.515,0.95,0.515,0.301,0.498,
90,0.067,1.945,0.513,0.953,0.513,0.315,0.506,
91,0.052,1.918,0.504,0.954,0.504,0.313,0.499,
92,0.024,1.865,0.513,0.954,0.513,0.315,0.507,
93,0.035,1.85,0.522,0.955,0.522,0.316,0.515,
94,0.066,1.83,0.538,0.954,0.538,0.319,0.527,
95,0.025,1.895,0.544,0.954,0.544,0.314,0.527,
96,0.051,2.235,0.521,0.952,0.521,0.297,0.505,
97,0.054,2.44,0.512,0.94,0.512,0.303,0.507,
98,0.032,2.234,0.516,0.941,0.516,0.304,0.509,
99,0.021,2.051,0.514,0.946,0.514,0.299,0.505,"[0.132, 0.558, 0.061, 0.537, 0.047, 0.46, 0.589, 0.351, 0.206, 0.044]"
