epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.419,4.325,0.128,0.653,0.128,0.044,0.074,
1,3.907,8.815,0.184,0.65,0.184,0.088,0.106,
2,8.096,14.772,0.265,0.648,0.265,0.157,0.203,
3,9.569,17.645,0.304,0.614,0.304,0.184,0.245,
4,9.451,13.406,0.341,0.795,0.341,0.204,0.276,
5,3.729,10.074,0.376,0.848,0.376,0.22,0.316,
6,3.873,9.232,0.391,0.934,0.391,0.21,0.332,
7,2.337,10.788,0.448,0.929,0.448,0.222,0.375,
8,4.311,12.339,0.389,0.936,0.389,0.227,0.358,
9,2.994,14.16,0.352,0.921,0.352,0.232,0.339,
10,3.487,15.736,0.414,0.9,0.414,0.269,0.381,
11,2.422,14.897,0.459,0.897,0.459,0.286,0.411,
12,1.725,15.963,0.447,0.906,0.447,0.268,0.417,
13,1.64,16.481,0.473,0.911,0.473,0.264,0.444,
14,1.864,17.917,0.486,0.921,0.486,0.268,0.449,
15,2.838,17.378,0.513,0.927,0.513,0.293,0.483,
16,2.093,16.444,0.54,0.928,0.54,0.309,0.52,
17,1.334,19.276,0.511,0.924,0.511,0.297,0.486,
18,1.138,22.135,0.499,0.917,0.499,0.293,0.465,
19,2.069,22.218,0.5,0.919,0.5,0.301,0.472,
20,1.716,20.926,0.503,0.925,0.503,0.312,0.497,
21,0.897,22.834,0.488,0.924,0.488,0.298,0.478,
22,1.351,25.833,0.48,0.92,0.48,0.282,0.455,
23,2.217,26.8,0.492,0.913,0.492,0.284,0.465,
24,1.528,26.981,0.504,0.909,0.504,0.29,0.481,
25,1.369,27.693,0.508,0.911,0.508,0.294,0.486,
26,1.509,28.548,0.509,0.912,0.509,0.295,0.487,
27,0.521,30.167,0.503,0.914,0.503,0.293,0.479,
28,1.442,31.073,0.504,0.914,0.504,0.297,0.481,
29,1.632,30.485,0.524,0.916,0.524,0.305,0.501,
30,0.786,30.072,0.538,0.917,0.538,0.307,0.515,
31,0.664,31.462,0.533,0.916,0.533,0.301,0.507,
32,0.628,32.154,0.531,0.917,0.531,0.301,0.506,
33,0.506,32.369,0.529,0.916,0.529,0.302,0.505,
34,0.718,33.021,0.528,0.914,0.528,0.306,0.506,
35,0.502,33.773,0.523,0.915,0.523,0.308,0.503,
36,0.438,34.872,0.516,0.913,0.516,0.308,0.496,
37,0.851,36.074,0.514,0.911,0.514,0.307,0.494,
38,1.454,37.394,0.511,0.908,0.511,0.301,0.489,
39,0.963,37.715,0.518,0.906,0.518,0.305,0.495,
40,0.319,37.919,0.523,0.904,0.523,0.31,0.501,
41,0.214,38.772,0.524,0.901,0.524,0.311,0.5,
42,0.493,39.609,0.523,0.896,0.523,0.312,0.497,
43,1.165,39.997,0.526,0.894,0.526,0.313,0.498,
44,0.686,40.866,0.522,0.89,0.522,0.316,0.495,
45,0.438,40.639,0.524,0.892,0.524,0.318,0.499,
46,0.0,40.719,0.523,0.892,0.523,0.318,0.5,
47,0.237,40.547,0.525,0.894,0.525,0.32,0.506,
48,0.034,40.098,0.527,0.896,0.527,0.323,0.511,
49,0.198,39.62,0.532,0.897,0.532,0.326,0.516,
50,2.042,108.437,0.332,0.814,0.332,0.167,0.302,
51,79.587,5401375237513.437,0.084,0.563,0.084,0.023,0.029,
52,138.311,36744333394362.664,0.163,0.536,0.163,0.035,0.068,
53,99.21,93660428970.667,0.154,0.623,0.154,0.026,0.058,
54,37.226,1519170154.667,0.193,0.695,0.193,0.031,0.082,
55,27.513,143596621.333,0.138,0.606,0.138,0.023,0.049,
56,20.281,10494298.667,0.138,0.606,0.138,0.023,0.049,
57,18.912,1646463.833,0.102,0.537,0.102,0.019,0.025,
58,15.879,396998.573,0.066,0.534,0.066,0.013,0.017,
59,17.6,125507.149,0.014,0.515,0.014,0.003,0.001,
60,9.77,41775.521,0.013,0.507,0.013,0.007,0.007,
61,10.328,16543.646,0.024,0.51,0.024,0.015,0.022,
62,12.638,6171.327,0.113,0.579,0.113,0.029,0.058,
63,9.62,2659.256,0.134,0.562,0.134,0.03,0.069,
64,9.578,1205.096,0.141,0.529,0.141,0.03,0.07,
65,10.927,637.888,0.151,0.583,0.151,0.041,0.086,
66,9.774,353.675,0.142,0.635,0.142,0.044,0.108,
67,10.779,214.709,0.182,0.626,0.182,0.058,0.13,
68,13.037,145.831,0.19,0.638,0.19,0.079,0.154,
69,7.33,112.147,0.131,0.645,0.131,0.067,0.117,
70,8.087,88.246,0.189,0.712,0.189,0.084,0.151,
71,8.077,68.939,0.206,0.741,0.206,0.1,0.165,
72,9.877,55.208,0.151,0.729,0.151,0.106,0.147,
73,7.957,48.833,0.161,0.661,0.161,0.093,0.132,
74,6.501,39.64,0.196,0.778,0.196,0.137,0.163,
75,5.692,33.464,0.219,0.788,0.219,0.11,0.173,
76,7.956,29.753,0.207,0.781,0.207,0.115,0.155,
77,6.887,25.203,0.225,0.782,0.225,0.129,0.2,
78,6.278,22.404,0.258,0.885,0.258,0.143,0.19,
79,5.714,20.436,0.324,0.891,0.324,0.157,0.255,
80,5.422,20.715,0.319,0.86,0.319,0.169,0.258,
81,5.248,21.054,0.218,0.78,0.218,0.141,0.168,
82,5.267,20.881,0.211,0.788,0.211,0.145,0.151,
83,6.496,20.553,0.291,0.812,0.291,0.17,0.23,
84,5.53,20.51,0.256,0.803,0.256,0.141,0.196,
85,6.264,20.391,0.232,0.851,0.232,0.146,0.169,
86,6.284,16.711,0.35,0.874,0.35,0.201,0.281,
87,4.343,19.056,0.284,0.853,0.284,0.138,0.177,
88,6.204,21.217,0.221,0.77,0.221,0.14,0.178,
89,5.044,21.256,0.19,0.79,0.19,0.121,0.136,
90,6.253,19.412,0.239,0.777,0.239,0.149,0.175,
91,4.623,18.174,0.295,0.811,0.295,0.145,0.228,
92,5.347,15.064,0.361,0.884,0.361,0.178,0.307,
93,3.832,16.784,0.301,0.846,0.301,0.169,0.235,
94,4.916,19.363,0.208,0.821,0.208,0.141,0.17,
95,4.769,18.245,0.213,0.84,0.213,0.149,0.206,
96,5.578,25.113,0.211,0.782,0.211,0.141,0.18,
97,5.149,28.554,0.272,0.806,0.272,0.159,0.197,
98,4.492,29.762,0.264,0.818,0.264,0.144,0.179,
99,5.174,30.471,0.207,0.786,0.207,0.143,0.176,"[0.015, 0.224, 0.321, 0.413, 0.048, 0.009, 0.002, 0.244, 0.089, 0.069]"
