epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.052,0.041,0.045,0.027,0.045,0.025,0.036,
1,0.055,0.07,0.024,0.015,0.024,0.03,0.055,
2,0.042,0.069,0.026,0.061,0.026,0.01,0.03,
3,0.045,0.11,0.098,0.07,0.098,0.019,0.098,
4,0.073,0.119,0.087,0.086,0.087,0.011,0.102,
5,0.104,0.12,0.081,0.068,0.081,0.042,0.11,
6,0.061,0.109,0.072,0.026,0.072,0.034,0.061,
7,0.055,0.113,0.045,0.027,0.045,0.031,0.045,
8,0.105,0.12,0.019,0.018,0.019,0.046,0.033,
9,0.118,0.132,0.017,0.019,0.017,0.045,0.03,
10,0.073,0.106,0.028,0.019,0.028,0.013,0.02,
11,0.057,0.082,0.036,0.011,0.036,0.021,0.032,
12,0.078,0.074,0.032,0.018,0.032,0.025,0.05,
13,0.035,0.109,0.027,0.022,0.027,0.028,0.042,
14,0.047,0.154,0.027,0.018,0.027,0.016,0.024,
15,0.092,0.165,0.03,0.01,0.03,0.024,0.035,
16,0.034,0.174,0.01,0.013,0.01,0.027,0.005,
17,0.122,0.153,0.021,0.012,0.021,0.017,0.017,
18,0.084,0.196,0.013,0.011,0.013,0.023,0.021,
19,0.09,0.23,0.023,0.015,0.023,0.03,0.037,
20,0.143,0.162,0.037,0.01,0.037,0.032,0.05,
21,0.11,0.144,0.026,0.008,0.026,0.024,0.022,
22,0.063,0.113,0.06,0.005,0.06,0.013,0.059,
23,0.008,0.133,0.039,0.006,0.039,0.015,0.038,
24,0.019,0.306,0.044,0.012,0.044,0.038,0.047,
25,0.062,0.3,0.022,0.016,0.022,0.039,0.032,
26,0.02,0.26,0.027,0.016,0.027,0.031,0.03,
27,0.025,0.204,0.024,0.012,0.024,0.032,0.024,
28,0.077,0.135,0.025,0.009,0.025,0.027,0.029,
29,0.045,0.137,0.027,0.01,0.027,0.021,0.029,
30,0.013,0.165,0.04,0.01,0.04,0.017,0.052,
31,0.047,0.182,0.048,0.011,0.048,0.015,0.051,
32,0.033,0.195,0.015,0.011,0.015,0.018,0.009,
33,0.071,0.172,0.005,0.009,0.005,0.015,0.009,
34,0.047,0.263,0.014,0.011,0.014,0.02,0.023,
35,0.012,0.209,0.016,0.013,0.016,0.023,0.029,
36,0.047,0.153,0.024,0.01,0.024,0.028,0.031,
37,0.028,0.136,0.015,0.01,0.015,0.024,0.015,
38,0.012,0.166,0.014,0.008,0.014,0.023,0.028,
39,0.035,0.123,0.038,0.008,0.038,0.018,0.034,
40,0.065,0.166,0.035,0.01,0.035,0.034,0.056,
41,0.074,0.245,0.013,0.01,0.013,0.038,0.033,
42,0.03,0.237,0.014,0.01,0.014,0.025,0.01,
43,0.046,0.223,0.009,0.011,0.009,0.024,0.002,
44,0.041,0.269,0.004,0.012,0.004,0.025,0.013,
45,0.063,0.23,0.021,0.012,0.021,0.024,0.02,
46,0.041,0.197,0.006,0.014,0.006,0.02,0.003,
47,0.044,0.239,0.005,0.015,0.005,0.023,0.007,
48,0.023,0.189,0.015,0.012,0.015,0.015,0.015,
49,0.058,0.152,0.02,0.011,0.02,0.018,0.019,
50,0.059,0.158,0.031,0.009,0.031,0.011,0.033,
51,0.039,0.167,0.039,0.01,0.039,0.014,0.045,
52,0.018,0.208,0.024,0.012,0.024,0.022,0.022,
53,0.051,0.259,0.013,0.013,0.013,0.027,0.011,
54,0.056,0.273,0.013,0.012,0.013,0.024,0.013,
55,0.048,0.207,0.004,0.01,0.004,0.023,0.002,
56,0.057,0.163,0.017,0.008,0.017,0.015,0.014,
57,0.092,0.147,0.025,0.007,0.025,0.013,0.031,
58,0.01,0.175,0.017,0.009,0.017,0.013,0.025,
59,0.025,0.198,0.005,0.009,0.005,0.014,0.007,
60,0.057,0.247,0.007,0.01,0.007,0.025,0.01,
61,0.013,0.323,0.02,0.013,0.02,0.031,0.023,
62,0.113,0.233,0.022,0.013,0.022,0.014,0.021,
63,0.069,0.157,0.025,0.011,0.025,0.018,0.031,
64,0.012,0.121,0.035,0.008,0.035,0.018,0.046,
65,0.042,0.136,0.029,0.008,0.029,0.019,0.034,
66,0.026,0.251,0.008,0.008,0.008,0.021,0.012,
67,0.07,0.278,0.017,0.009,0.017,0.017,0.021,
68,0.068,0.256,0.016,0.01,0.016,0.015,0.012,
69,0.055,0.239,0.016,0.011,0.016,0.021,0.011,
70,0.047,0.25,0.033,0.012,0.033,0.014,0.032,
71,0.039,0.193,0.047,0.008,0.047,0.009,0.055,
72,0.038,0.192,0.043,0.009,0.043,0.012,0.056,
73,0.044,0.216,0.026,0.009,0.026,0.017,0.03,
74,0.061,0.223,0.009,0.009,0.009,0.014,0.007,
75,0.043,0.246,0.004,0.009,0.004,0.011,0.004,
76,0.057,0.308,0.014,0.01,0.014,0.014,0.021,
77,0.043,0.259,0.014,0.01,0.014,0.004,0.017,
78,0.019,0.183,0.032,0.008,0.032,0.002,0.031,
79,0.075,0.158,0.038,0.006,0.038,0.008,0.034,
80,0.04,0.15,0.036,0.006,0.036,0.002,0.035,
81,0.026,0.187,0.032,0.009,0.032,0.004,0.042,
82,0.039,0.28,0.026,0.011,0.026,0.013,0.031,
83,0.037,0.32,0.029,0.013,0.029,0.02,0.027,
84,0.022,0.304,0.027,0.011,0.027,0.017,0.026,
85,0.014,0.193,0.014,0.008,0.014,0.01,0.01,
86,0.036,0.155,0.016,0.005,0.016,0.007,0.014,
87,0.04,0.186,0.016,0.005,0.016,0.01,0.012,
88,0.011,0.213,0.015,0.008,0.015,0.004,0.016,
89,0.023,0.278,0.019,0.01,0.019,0.01,0.021,
90,0.027,0.355,0.025,0.016,0.025,0.02,0.034,
91,0.05,0.354,0.012,0.018,0.012,0.017,0.025,
92,0.03,0.312,0.008,0.014,0.008,0.013,0.014,
93,0.012,0.252,0.004,0.01,0.004,0.009,0.007,
94,0.018,0.196,0.01,0.008,0.01,0.01,0.013,
95,0.037,0.18,0.013,0.008,0.013,0.008,0.014,
96,0.04,0.227,0.01,0.008,0.01,0.013,0.007,
97,0.068,0.207,0.021,0.008,0.021,0.006,0.018,
98,0.034,0.153,0.04,0.003,0.04,0.004,0.044,
99,0.027,0.143,0.041,0.003,0.041,0.009,0.045,"[0.063, 0.042, 0.18, 0.041, 0.089, 0.041, 0.103, 0.086, 0.026, 0.111]"
