epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.878+-0.074,2.63+-0.395,0.181+-0.011,0.801+-0.083,0.181+-0.011,0.158+-0.01,0.189+-0.039
1,1.402+-0.08,2.104+-0.549,0.278+-0.092,0.848+-0.048,0.278+-0.092,0.222+-0.094,0.248+-0.098
2,1.237+-0.163,3.353+-1.943,0.211+-0.076,0.829+-0.073,0.211+-0.076,0.179+-0.038,0.207+-0.058
3,1.09+-0.058,3.348+-0.509,0.212+-0.05,0.865+-0.051,0.212+-0.05,0.175+-0.033,0.182+-0.045
4,1.061+-0.073,2.668+-1.085,0.243+-0.081,0.873+-0.073,0.243+-0.081,0.197+-0.057,0.256+-0.08
5,0.936+-0.099,3.228+-1.708,0.293+-0.118,0.837+-0.137,0.293+-0.118,0.219+-0.073,0.295+-0.093
6,0.935+-0.139,1.891+-0.474,0.382+-0.122,0.94+-0.002,0.382+-0.122,0.274+-0.052,0.387+-0.101
7,0.859+-0.093,2.011+-0.479,0.373+-0.061,0.945+-0.01,0.373+-0.061,0.28+-0.08,0.377+-0.071
8,0.783+-0.102,1.8+-0.389,0.407+-0.07,0.956+-0.019,0.407+-0.07,0.338+-0.074,0.416+-0.08
9,0.822+-0.132,2.1+-0.3,0.354+-0.057,0.927+-0.054,0.354+-0.057,0.307+-0.06,0.372+-0.062
10,0.741+-0.105,2.159+-0.688,0.37+-0.093,0.928+-0.035,0.37+-0.093,0.312+-0.079,0.386+-0.1
11,0.686+-0.101,1.703+-0.411,0.439+-0.097,0.951+-0.02,0.439+-0.097,0.351+-0.077,0.445+-0.091
12,0.638+-0.096,1.5+-0.132,0.453+-0.088,0.966+-0.004,0.453+-0.088,0.357+-0.03,0.427+-0.1
13,0.575+-0.141,1.477+-0.197,0.465+-0.09,0.959+-0.003,0.465+-0.09,0.39+-0.039,0.44+-0.12
14,0.532+-0.117,1.659+-0.281,0.439+-0.068,0.958+-0.017,0.439+-0.068,0.371+-0.057,0.433+-0.076
15,0.542+-0.107,1.397+-0.161,0.503+-0.067,0.968+-0.004,0.503+-0.067,0.402+-0.041,0.482+-0.069
16,0.492+-0.107,1.422+-0.303,0.502+-0.08,0.962+-0.007,0.502+-0.08,0.384+-0.053,0.494+-0.069
17,0.481+-0.086,1.49+-0.179,0.459+-0.066,0.966+-0.004,0.459+-0.066,0.392+-0.035,0.437+-0.081
18,0.43+-0.04,1.431+-0.131,0.513+-0.04,0.968+-0.003,0.513+-0.04,0.402+-0.028,0.507+-0.047
19,0.384+-0.039,1.531+-0.22,0.506+-0.054,0.96+-0.012,0.506+-0.054,0.355+-0.088,0.487+-0.065
20,0.395+-0.093,1.218+-0.031,0.57+-0.019,0.97+-0.005,0.57+-0.019,0.445+-0.039,0.56+-0.023
21,0.365+-0.061,1.563+-0.368,0.517+-0.102,0.964+-0.004,0.517+-0.102,0.426+-0.065,0.524+-0.072
22,0.322+-0.093,1.363+-0.078,0.556+-0.027,0.97+-0.006,0.556+-0.027,0.44+-0.006,0.543+-0.028
23,0.299+-0.066,1.418+-0.214,0.545+-0.047,0.966+-0.004,0.545+-0.047,0.422+-0.052,0.542+-0.046
24,0.322+-0.131,1.425+-0.04,0.547+-0.035,0.963+-0.001,0.547+-0.035,0.397+-0.042,0.531+-0.029
25,0.294+-0.137,1.629+-0.249,0.488+-0.025,0.966+-0.009,0.488+-0.025,0.395+-0.062,0.457+-0.032
26,0.273+-0.144,1.434+-0.155,0.549+-0.055,0.966+-0.005,0.549+-0.055,0.424+-0.013,0.532+-0.058
27,0.26+-0.15,1.38+-0.136,0.558+-0.009,0.967+-0.006,0.558+-0.009,0.457+-0.032,0.55+-0.018
28,0.198+-0.113,1.594+-0.252,0.538+-0.093,0.958+-0.008,0.538+-0.093,0.397+-0.077,0.527+-0.087
29,0.186+-0.117,1.5+-0.103,0.541+-0.014,0.967+-0.0,0.541+-0.014,0.418+-0.018,0.534+-0.016
30,0.188+-0.111,1.518+-0.248,0.535+-0.032,0.969+-0.008,0.535+-0.032,0.416+-0.038,0.525+-0.039
31,0.152+-0.101,1.436+-0.183,0.593+-0.01,0.966+-0.006,0.593+-0.01,0.423+-0.04,0.581+-0.015
32,0.148+-0.108,1.718+-0.171,0.531+-0.023,0.962+-0.005,0.531+-0.023,0.41+-0.028,0.513+-0.017
33,0.129+-0.089,2.451+-1.176,0.473+-0.056,0.952+-0.007,0.473+-0.056,0.371+-0.072,0.474+-0.04
34,0.164+-0.142,1.912+-0.251,0.504+-0.07,0.96+-0.01,0.504+-0.07,0.383+-0.035,0.492+-0.066
35,0.148+-0.123,1.596+-0.181,0.54+-0.034,0.962+-0.004,0.54+-0.034,0.396+-0.031,0.531+-0.027
36,0.12+-0.107,1.832+-0.396,0.525+-0.074,0.951+-0.02,0.525+-0.074,0.407+-0.057,0.528+-0.049
37,0.109+-0.091,1.71+-0.093,0.532+-0.033,0.965+-0.006,0.532+-0.033,0.382+-0.052,0.507+-0.04
38,0.09+-0.087,1.689+-0.193,0.559+-0.021,0.962+-0.01,0.559+-0.021,0.425+-0.037,0.54+-0.02
39,0.069+-0.05,1.577+-0.044,0.578+-0.016,0.964+-0.005,0.578+-0.016,0.449+-0.021,0.566+-0.012
40,0.057+-0.067,1.617+-0.083,0.555+-0.051,0.96+-0.005,0.555+-0.051,0.429+-0.026,0.537+-0.06
41,0.081+-0.08,1.629+-0.073,0.557+-0.047,0.948+-0.024,0.557+-0.047,0.411+-0.016,0.528+-0.061
