epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,2.086+-0.037,2.215+-0.134,0.183+-0.122,0.614+-0.106,0.183+-0.122,0.093+-0.039,0.121+-0.093
1,1.899+-0.092,2.191+-0.311,0.201+-0.176,0.736+-0.126,0.201+-0.176,0.102+-0.069,0.125+-0.136
2,1.853+-0.165,2.211+-0.621,0.306+-0.072,0.795+-0.156,0.306+-0.072,0.218+-0.019,0.294+-0.075
3,1.871+-0.241,1.982+-0.167,0.325+-0.08,0.882+-0.038,0.325+-0.08,0.225+-0.047,0.264+-0.073
4,1.78+-0.04,2.081+-0.432,0.32+-0.08,0.867+-0.043,0.32+-0.08,0.26+-0.039,0.352+-0.075
5,1.665+-0.243,2.244+-0.446,0.366+-0.027,0.854+-0.096,0.366+-0.027,0.258+-0.016,0.32+-0.009
6,1.678+-0.04,2.693+-0.563,0.308+-0.024,0.822+-0.082,0.308+-0.024,0.246+-0.012,0.257+-0.086
7,1.716+-0.244,2.332+-0.5,0.352+-0.069,0.834+-0.011,0.352+-0.069,0.262+-0.057,0.362+-0.113
8,1.544+-0.133,2.393+-0.629,0.383+-0.085,0.833+-0.053,0.383+-0.085,0.317+-0.018,0.358+-0.08
9,1.578+-0.402,2.54+-0.552,0.341+-0.07,0.841+-0.063,0.341+-0.07,0.291+-0.06,0.358+-0.06
10,1.632+-0.299,2.652+-1.028,0.361+-0.046,0.837+-0.07,0.361+-0.046,0.28+-0.013,0.328+-0.051
11,1.653+-0.343,2.198+-0.375,0.416+-0.057,0.897+-0.017,0.416+-0.057,0.306+-0.046,0.414+-0.076
12,1.573+-0.443,3.365+-1.798,0.328+-0.055,0.825+-0.128,0.328+-0.055,0.293+-0.035,0.306+-0.053
13,1.502+-0.411,2.1+-0.344,0.434+-0.021,0.918+-0.014,0.434+-0.021,0.341+-0.041,0.443+-0.024
14,1.446+-0.541,2.718+-1.39,0.402+-0.12,0.886+-0.028,0.402+-0.12,0.302+-0.054,0.39+-0.126
15,1.475+-0.523,2.5+-0.384,0.399+-0.019,0.9+-0.038,0.399+-0.019,0.302+-0.042,0.376+-0.027
16,1.5+-0.554,3.0+-1.626,0.395+-0.095,0.856+-0.11,0.395+-0.095,0.31+-0.049,0.369+-0.124
17,1.567+-0.475,3.049+-1.275,0.359+-0.137,0.857+-0.089,0.359+-0.137,0.283+-0.097,0.328+-0.16
18,1.486+-0.396,2.248+-0.922,0.434+-0.079,0.917+-0.056,0.434+-0.079,0.329+-0.055,0.405+-0.095
19,1.461+-0.424,3.189+-0.885,0.316+-0.026,0.854+-0.059,0.316+-0.026,0.266+-0.035,0.296+-0.066
20,1.441+-0.194,2.742+-0.775,0.406+-0.06,0.897+-0.062,0.406+-0.06,0.311+-0.02,0.358+-0.069
21,1.459+-0.485,2.697+-0.213,0.347+-0.072,0.891+-0.058,0.347+-0.072,0.282+-0.038,0.342+-0.089
22,1.377+-0.599,2.434+-0.556,0.448+-0.027,0.935+-0.007,0.448+-0.027,0.347+-0.04,0.425+-0.028
23,1.439+-0.572,3.159+-1.406,0.375+-0.108,0.912+-0.026,0.375+-0.108,0.314+-0.045,0.382+-0.098
24,1.51+-0.51,2.823+-0.194,0.383+-0.018,0.891+-0.053,0.383+-0.018,0.281+-0.03,0.344+-0.028
25,1.431+-0.699,3.039+-0.786,0.388+-0.032,0.936+-0.021,0.388+-0.032,0.281+-0.037,0.341+-0.024
26,1.472+-0.671,2.732+-0.839,0.434+-0.079,0.891+-0.105,0.434+-0.079,0.35+-0.074,0.415+-0.117
27,1.465+-0.458,2.302+-0.226,0.415+-0.093,0.93+-0.031,0.415+-0.093,0.332+-0.052,0.408+-0.097
28,1.202+-0.413,3.731+-2.182,0.333+-0.139,0.855+-0.128,0.333+-0.139,0.29+-0.106,0.323+-0.146
29,1.158+-0.448,2.628+-0.404,0.44+-0.076,0.922+-0.037,0.44+-0.076,0.335+-0.027,0.399+-0.096
30,1.353+-0.696,3.405+-1.489,0.353+-0.084,0.866+-0.114,0.353+-0.084,0.312+-0.027,0.339+-0.052
31,1.163+-0.643,2.5+-0.361,0.414+-0.042,0.926+-0.017,0.414+-0.042,0.326+-0.043,0.398+-0.07
32,1.197+-0.346,2.356+-0.444,0.43+-0.039,0.927+-0.03,0.43+-0.039,0.339+-0.027,0.442+-0.033
33,0.95+-0.31,2.267+-0.172,0.453+-0.042,0.947+-0.014,0.453+-0.042,0.339+-0.021,0.442+-0.055
34,1.161+-0.37,2.494+-0.337,0.399+-0.021,0.929+-0.006,0.399+-0.021,0.315+-0.039,0.396+-0.026
35,0.935+-0.184,2.169+-0.234,0.461+-0.012,0.951+-0.006,0.461+-0.012,0.365+-0.03,0.466+-0.023
36,0.833+-0.282,2.07+-0.133,0.45+-0.055,0.946+-0.017,0.45+-0.055,0.36+-0.003,0.443+-0.059
37,0.872+-0.258,2.357+-0.309,0.408+-0.039,0.924+-0.025,0.408+-0.039,0.301+-0.028,0.407+-0.04
38,0.883+-0.114,2.492+-0.25,0.416+-0.054,0.949+-0.007,0.416+-0.054,0.325+-0.041,0.389+-0.04
39,0.951+-0.286,2.207+-0.495,0.432+-0.098,0.943+-0.027,0.432+-0.098,0.314+-0.006,0.425+-0.099
40,1.033+-0.446,2.536+-0.336,0.374+-0.012,0.929+-0.018,0.374+-0.012,0.329+-0.013,0.386+-0.011
41,0.939+-0.131,2.384+-0.483,0.451+-0.027,0.933+-0.017,0.451+-0.027,0.341+-0.002,0.448+-0.016
42,0.997+-0.164,2.606+-0.44,0.415+-0.035,0.942+-0.014,0.415+-0.035,0.333+-0.03,0.388+-0.068
43,1.091+-0.318,2.291+-0.249,0.423+-0.068,0.936+-0.009,0.423+-0.068,0.347+-0.022,0.428+-0.059
44,1.106+-0.207,2.82+-0.373,0.404+-0.065,0.905+-0.053,0.404+-0.065,0.315+-0.05,0.363+-0.095
45,0.862+-0.126,2.565+-0.136,0.393+-0.073,0.95+-0.013,0.393+-0.073,0.303+-0.044,0.365+-0.075
46,0.868+-0.117,2.661+-0.193,0.407+-0.035,0.899+-0.043,0.407+-0.035,0.305+-0.033,0.393+-0.037
47,1.041+-0.253,2.268+-0.544,0.493+-0.035,0.943+-0.006,0.493+-0.035,0.358+-0.027,0.496+-0.021
48,0.88+-0.17,2.374+-0.285,0.438+-0.082,0.944+-0.007,0.438+-0.082,0.319+-0.035,0.41+-0.113
49,0.956+-0.224,2.357+-0.356,0.45+-0.064,0.918+-0.038,0.45+-0.064,0.339+-0.024,0.451+-0.062
50,0.74+-0.094,2.128+-0.174,0.45+-0.045,0.952+-0.013,0.45+-0.045,0.345+-0.028,0.447+-0.053
51,0.8+-0.109,2.624+-0.564,0.416+-0.084,0.939+-0.029,0.416+-0.084,0.303+-0.065,0.397+-0.104
52,0.889+-0.279,2.694+-0.3,0.409+-0.052,0.939+-0.036,0.409+-0.052,0.318+-0.033,0.396+-0.054
53,0.792+-0.192,2.692+-1.144,0.469+-0.048,0.902+-0.101,0.469+-0.048,0.338+-0.016,0.429+-0.09
54,1.018+-0.278,2.683+-0.37,0.42+-0.067,0.915+-0.029,0.42+-0.067,0.313+-0.048,0.392+-0.064
55,0.896+-0.327,3.365+-1.347,0.417+-0.084,0.891+-0.083,0.417+-0.084,0.3+-0.025,0.374+-0.11
56,1.077+-0.3,2.417+-0.511,0.451+-0.087,0.924+-0.047,0.451+-0.087,0.324+-0.056,0.424+-0.113
57,0.912+-0.284,2.805+-0.291,0.423+-0.016,0.922+-0.041,0.423+-0.016,0.318+-0.028,0.397+-0.01
58,0.909+-0.409,2.968+-0.553,0.391+-0.057,0.922+-0.045,0.391+-0.057,0.308+-0.048,0.355+-0.076
59,1.0+-0.351,2.352+-0.448,0.433+-0.035,0.945+-0.007,0.433+-0.035,0.345+-0.057,0.425+-0.049
60,0.857+-0.398,3.387+-1.62,0.41+-0.044,0.864+-0.15,0.41+-0.044,0.322+-0.018,0.364+-0.056
61,0.886+-0.454,2.314+-0.699,0.493+-0.043,0.953+-0.008,0.493+-0.043,0.34+-0.087,0.456+-0.081
62,0.813+-0.393,2.805+-1.121,0.411+-0.034,0.899+-0.094,0.411+-0.034,0.343+-0.032,0.4+-0.051
63,0.852+-0.434,2.375+-0.561,0.45+-0.055,0.937+-0.026,0.45+-0.055,0.33+-0.029,0.444+-0.057
64,0.717+-0.267,2.524+-0.668,0.426+-0.083,0.928+-0.038,0.426+-0.083,0.326+-0.058,0.433+-0.07
65,0.866+-0.342,2.226+-0.491,0.475+-0.025,0.946+-0.022,0.475+-0.025,0.37+-0.01,0.457+-0.038
66,0.899+-0.352,2.019+-0.195,0.511+-0.027,0.963+-0.003,0.511+-0.027,0.373+-0.012,0.493+-0.039
67,0.762+-0.189,2.537+-0.252,0.41+-0.013,0.948+-0.001,0.41+-0.013,0.334+-0.022,0.4+-0.017
68,0.685+-0.186,2.486+-0.594,0.464+-0.061,0.937+-0.04,0.464+-0.061,0.351+-0.028,0.45+-0.061
69,0.699+-0.215,2.263+-0.66,0.469+-0.058,0.948+-0.027,0.469+-0.058,0.382+-0.035,0.469+-0.068
70,0.775+-0.082,2.436+-0.647,0.455+-0.026,0.957+-0.007,0.455+-0.026,0.364+-0.033,0.432+-0.051
71,0.615+-0.191,2.642+-0.935,0.453+-0.075,0.923+-0.049,0.453+-0.075,0.366+-0.034,0.44+-0.068
72,0.723+-0.126,2.308+-0.248,0.426+-0.041,0.952+-0.006,0.426+-0.041,0.338+-0.016,0.396+-0.071
73,0.645+-0.124,2.058+-0.265,0.479+-0.019,0.962+-0.003,0.479+-0.019,0.369+-0.031,0.476+-0.018
74,0.667+-0.098,2.778+-0.778,0.431+-0.032,0.884+-0.116,0.431+-0.032,0.342+-0.038,0.41+-0.063
75,0.755+-0.048,2.66+-0.446,0.432+-0.024,0.951+-0.007,0.432+-0.024,0.314+-0.024,0.387+-0.065
76,0.708+-0.076,3.194+-0.706,0.404+-0.013,0.893+-0.116,0.404+-0.013,0.322+-0.013,0.378+-0.044
77,0.838+-0.138,2.437+-0.287,0.444+-0.038,0.94+-0.008,0.444+-0.038,0.352+-0.036,0.423+-0.056
78,0.817+-0.136,2.985+-0.652,0.436+-0.032,0.917+-0.053,0.436+-0.032,0.335+-0.006,0.385+-0.053
79,0.841+-0.233,2.887+-0.684,0.4+-0.082,0.93+-0.058,0.4+-0.082,0.289+-0.019,0.345+-0.122
80,0.691+-0.178,2.801+-0.48,0.451+-0.069,0.948+-0.012,0.451+-0.069,0.33+-0.046,0.404+-0.091
81,0.727+-0.231,3.711+-1.535,0.366+-0.063,0.868+-0.127,0.366+-0.063,0.275+-0.021,0.297+-0.099
82,0.707+-0.139,2.866+-0.627,0.427+-0.052,0.951+-0.005,0.427+-0.052,0.316+-0.065,0.383+-0.103
83,0.685+-0.073,2.732+-0.817,0.449+-0.019,0.919+-0.07,0.449+-0.019,0.323+-0.023,0.406+-0.053
84,0.629+-0.092,2.405+-0.556,0.477+-0.042,0.935+-0.026,0.477+-0.042,0.355+-0.056,0.446+-0.079
85,0.614+-0.121,2.24+-0.204,0.484+-0.023,0.949+-0.014,0.484+-0.023,0.35+-0.06,0.463+-0.017
86,0.622+-0.201,2.693+-0.721,0.433+-0.088,0.939+-0.035,0.433+-0.088,0.365+-0.064,0.413+-0.095
87,0.633+-0.095,2.231+-0.119,0.481+-0.031,0.958+-0.008,0.481+-0.031,0.357+-0.047,0.463+-0.015
88,0.587+-0.216,2.592+-1.155,0.46+-0.099,0.915+-0.085,0.46+-0.099,0.374+-0.061,0.437+-0.132
89,0.607+-0.32,2.4+-0.082,0.457+-0.029,0.956+-0.004,0.457+-0.029,0.357+-0.03,0.433+-0.025
90,0.595+-0.241,2.867+-1.218,0.431+-0.11,0.939+-0.032,0.431+-0.11,0.312+-0.072,0.405+-0.153
91,0.642+-0.255,2.364+-0.438,0.466+-0.033,0.952+-0.01,0.466+-0.033,0.336+-0.037,0.444+-0.047
92,0.697+-0.306,2.613+-0.561,0.422+-0.104,0.936+-0.031,0.422+-0.104,0.329+-0.062,0.393+-0.125
93,0.642+-0.159,2.555+-0.773,0.462+-0.044,0.932+-0.033,0.462+-0.044,0.345+-0.036,0.427+-0.074
94,0.691+-0.108,2.578+-0.595,0.452+-0.028,0.935+-0.037,0.452+-0.028,0.346+-0.034,0.42+-0.061
95,0.581+-0.111,3.022+-1.63,0.451+-0.042,0.901+-0.099,0.451+-0.042,0.35+-0.055,0.417+-0.085
96,0.654+-0.316,2.39+-0.6,0.461+-0.079,0.941+-0.027,0.461+-0.079,0.356+-0.04,0.441+-0.094
97,0.504+-0.1,2.402+-0.437,0.484+-0.043,0.94+-0.023,0.484+-0.043,0.349+-0.023,0.472+-0.033
98,0.608+-0.17,2.508+-0.458,0.439+-0.021,0.937+-0.022,0.439+-0.021,0.333+-0.008,0.41+-0.043
99,0.582+-0.198,2.249+-0.453,0.519+-0.014,0.96+-0.012,0.519+-0.014,0.385+-0.014,0.504+-0.018
