epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,2.086,2.215,0.183,0.614,0.183,0.093,0.121,
1,1.899,2.191,0.201,0.736,0.201,0.102,0.125,
2,1.853,2.211,0.306,0.795,0.306,0.218,0.294,
3,1.871,1.982,0.325,0.882,0.325,0.225,0.264,
4,1.78,2.081,0.32,0.867,0.32,0.26,0.352,
5,1.665,2.244,0.366,0.854,0.366,0.258,0.32,
6,1.678,2.693,0.308,0.822,0.308,0.246,0.257,
7,1.716,2.332,0.352,0.834,0.352,0.262,0.362,
8,1.544,2.393,0.383,0.833,0.383,0.317,0.358,
9,1.578,2.54,0.341,0.841,0.341,0.291,0.358,
10,1.632,2.652,0.361,0.837,0.361,0.28,0.328,
11,1.653,2.198,0.416,0.897,0.416,0.306,0.414,
12,1.573,3.365,0.328,0.825,0.328,0.293,0.306,
13,1.502,2.1,0.434,0.918,0.434,0.341,0.443,
14,1.446,2.718,0.402,0.886,0.402,0.302,0.39,
15,1.475,2.5,0.399,0.9,0.399,0.302,0.376,
16,1.5,3.0,0.395,0.856,0.395,0.31,0.369,
17,1.567,3.049,0.359,0.857,0.359,0.283,0.328,
18,1.486,2.248,0.434,0.917,0.434,0.329,0.405,
19,1.461,3.189,0.316,0.854,0.316,0.266,0.296,
20,1.441,2.742,0.406,0.897,0.406,0.311,0.358,
21,1.459,2.697,0.347,0.891,0.347,0.282,0.342,
22,1.377,2.434,0.448,0.935,0.448,0.347,0.425,
23,1.439,3.159,0.375,0.912,0.375,0.314,0.382,
24,1.51,2.823,0.383,0.891,0.383,0.281,0.344,
25,1.431,3.039,0.388,0.936,0.388,0.281,0.341,
26,1.472,2.732,0.434,0.891,0.434,0.35,0.415,
27,1.465,2.302,0.415,0.93,0.415,0.332,0.408,
28,1.202,3.731,0.333,0.855,0.333,0.29,0.323,
29,1.158,2.628,0.44,0.922,0.44,0.335,0.399,
30,1.353,3.405,0.353,0.866,0.353,0.312,0.339,
31,1.163,2.5,0.414,0.926,0.414,0.326,0.398,
32,1.197,2.356,0.43,0.927,0.43,0.339,0.442,
33,0.95,2.267,0.453,0.947,0.453,0.339,0.442,
34,1.161,2.494,0.399,0.929,0.399,0.315,0.396,
35,0.935,2.169,0.461,0.951,0.461,0.365,0.466,
36,0.833,2.07,0.45,0.946,0.45,0.36,0.443,
37,0.872,2.357,0.408,0.924,0.408,0.301,0.407,
38,0.883,2.492,0.416,0.949,0.416,0.325,0.389,
39,0.951,2.207,0.432,0.943,0.432,0.314,0.425,
40,1.033,2.536,0.374,0.929,0.374,0.329,0.386,
41,0.939,2.384,0.451,0.933,0.451,0.341,0.448,
42,0.997,2.606,0.415,0.942,0.415,0.333,0.388,
43,1.091,2.291,0.423,0.936,0.423,0.347,0.428,
44,1.106,2.82,0.404,0.905,0.404,0.315,0.363,
45,0.862,2.565,0.393,0.95,0.393,0.303,0.365,
46,0.868,2.661,0.407,0.899,0.407,0.305,0.393,
47,1.041,2.268,0.493,0.943,0.493,0.358,0.496,
48,0.88,2.374,0.438,0.944,0.438,0.319,0.41,
49,0.956,2.357,0.45,0.918,0.45,0.339,0.451,
50,11.706,120811.756,0.006,0.512,0.006,0.002,0.0,
51,3.447,383.572,0.071,0.67,0.071,0.061,0.073,
52,1.9,12.682,0.203,0.82,0.203,0.173,0.225,
53,1.515,1.843,0.354,0.939,0.354,0.304,0.34,
54,1.533,3.753,0.269,0.902,0.269,0.253,0.261,
55,1.317,1.744,0.34,0.931,0.34,0.323,0.354,
56,1.322,1.722,0.373,0.944,0.373,0.303,0.391,
57,1.161,1.647,0.375,0.941,0.375,0.333,0.36,
58,1.155,1.521,0.418,0.951,0.418,0.358,0.418,
59,1.103,1.519,0.439,0.954,0.439,0.381,0.454,
60,1.078,1.585,0.424,0.946,0.424,0.369,0.441,
61,1.03,1.599,0.392,0.952,0.392,0.356,0.383,
62,1.014,1.501,0.427,0.961,0.427,0.385,0.434,
63,1.144,1.531,0.418,0.956,0.418,0.374,0.424,
64,0.913,1.43,0.454,0.959,0.454,0.404,0.465,
65,0.928,1.432,0.446,0.962,0.446,0.397,0.452,
66,0.916,1.521,0.443,0.956,0.443,0.377,0.454,
67,0.988,1.547,0.426,0.958,0.426,0.349,0.431,
68,0.942,1.462,0.441,0.967,0.441,0.365,0.442,
69,0.856,1.369,0.479,0.967,0.479,0.389,0.497,
70,0.914,1.85,0.389,0.951,0.389,0.337,0.398,
71,0.987,1.892,0.389,0.95,0.389,0.335,0.398,
72,0.894,1.596,0.409,0.963,0.409,0.365,0.414,
73,0.874,1.639,0.383,0.951,0.383,0.327,0.399,
74,0.83,1.568,0.408,0.963,0.408,0.371,0.402,
75,0.866,1.408,0.481,0.965,0.481,0.417,0.483,
76,1.228,2.345,0.415,0.949,0.415,0.321,0.412,
77,0.922,1.739,0.41,0.959,0.41,0.347,0.399,
78,0.979,1.417,0.466,0.964,0.466,0.391,0.463,
79,0.869,1.791,0.394,0.958,0.394,0.352,0.41,
80,0.842,1.416,0.458,0.968,0.458,0.42,0.459,
81,0.78,1.424,0.459,0.966,0.459,0.408,0.475,
82,0.734,1.427,0.467,0.969,0.467,0.419,0.462,
83,0.683,1.394,0.478,0.965,0.478,0.41,0.486,
84,0.7,1.31,0.507,0.97,0.507,0.424,0.506,
85,0.921,1.356,0.495,0.969,0.495,0.424,0.501,
86,0.885,1.423,0.47,0.97,0.47,0.412,0.455,
87,0.713,1.374,0.484,0.968,0.484,0.407,0.49,
