epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.06,0.192,0.141,0.069,0.141,0.031,0.097,
1,0.119,0.046,0.013,0.008,0.013,0.015,0.01,
2,0.13,0.082,0.017,0.008,0.017,0.022,0.045,
3,0.168,0.263,0.058,0.028,0.058,0.038,0.061,
4,0.111,0.391,0.088,0.024,0.088,0.05,0.077,
5,0.124,0.207,0.038,0.017,0.038,0.026,0.047,
6,0.163,0.055,0.05,0.01,0.05,0.02,0.05,
7,0.077,0.321,0.053,0.009,0.053,0.038,0.063,
8,0.159,0.066,0.029,0.005,0.029,0.009,0.015,
9,0.016,0.534,0.054,0.024,0.054,0.056,0.07,
10,0.08,0.499,0.025,0.036,0.025,0.02,0.041,
11,0.234,0.721,0.044,0.006,0.044,0.046,0.06,
12,0.271,0.806,0.044,0.021,0.044,0.024,0.062,
13,0.392,0.526,0.064,0.021,0.064,0.015,0.077,
14,0.408,0.172,0.058,0.012,0.058,0.04,0.05,
15,0.321,0.769,0.068,0.018,0.068,0.024,0.075,
16,0.165,1.25,0.038,0.032,0.038,0.049,0.052,
17,0.414,0.916,0.095,0.037,0.095,0.043,0.094,
18,0.527,0.47,0.061,0.004,0.061,0.039,0.054,
19,0.515,1.124,0.089,0.008,0.089,0.07,0.099,
20,0.473,1.614,0.025,0.043,0.025,0.05,0.058,
21,0.545,1.243,0.075,0.007,0.075,0.047,0.11,
22,0.663,0.304,0.038,0.005,0.038,0.02,0.054,
23,0.47,0.786,0.052,0.007,0.052,0.046,0.055,
24,0.432,0.585,0.063,0.021,0.063,0.039,0.083,
25,0.417,0.724,0.06,0.003,0.06,0.037,0.052,
26,0.293,0.457,0.014,0.002,0.014,0.025,0.011,
27,0.463,0.883,0.073,0.006,0.073,0.051,0.073,
28,0.504,0.32,0.013,0.004,0.013,0.03,0.007,
29,0.366,0.502,0.083,0.014,0.083,0.027,0.108,
30,0.419,0.862,0.077,0.007,0.077,0.047,0.068,
31,0.201,0.876,0.084,0.01,0.084,0.062,0.107,
32,0.262,0.231,0.011,0.013,0.011,0.018,0.005,
33,0.165,0.12,0.066,0.004,0.066,0.036,0.086,
34,0.139,0.505,0.039,0.006,0.039,0.021,0.028,
35,0.15,0.531,0.078,0.025,0.078,0.031,0.081,
36,0.131,0.266,0.019,0.004,0.019,0.019,0.031,
37,0.078,0.153,0.011,0.005,0.011,0.005,0.011,
38,0.2,0.548,0.053,0.005,0.053,0.034,0.065,
39,0.153,0.532,0.031,0.018,0.031,0.041,0.055,
40,0.185,0.141,0.021,0.003,0.021,0.022,0.016,
41,0.179,0.74,0.065,0.003,0.065,0.033,0.067,
42,0.177,0.505,0.027,0.008,0.027,0.024,0.033,
43,0.156,0.778,0.078,0.019,0.078,0.044,0.071,
44,0.398,0.845,0.06,0.004,0.06,0.059,0.062,
45,0.226,0.871,0.027,0.003,0.027,0.028,0.04,
46,0.393,0.619,0.049,0.003,0.049,0.036,0.054,
47,0.379,0.469,0.008,0.002,0.008,0.035,0.018,
48,0.217,0.236,0.026,0.006,0.026,0.016,0.037,
49,0.186,0.348,0.016,0.004,0.016,0.017,0.016,
50,0.092,0.353,0.052,0.01,0.052,0.032,0.058,
51,0.175,0.572,0.045,0.009,0.045,0.031,0.043,
52,0.229,0.267,0.059,0.008,0.059,0.073,0.063,
53,0.138,0.32,0.036,0.005,0.036,0.037,0.029,
54,0.118,0.98,0.036,0.004,0.036,0.077,0.043,
55,0.266,0.931,0.003,0.005,0.003,0.03,0.017,
56,0.3,4.417,0.101,0.025,0.101,0.118,0.106,
57,0.349,0.065,0.021,0.004,0.021,0.014,0.015,
58,0.093,0.428,0.049,0.013,0.049,0.076,0.044,
59,0.26,0.394,0.036,0.004,0.036,0.031,0.038,
60,0.064,0.17,0.037,0.003,0.037,0.008,0.034,
61,0.122,1.706,0.083,0.004,0.083,0.102,0.057,
62,0.098,0.386,0.057,0.002,0.057,0.016,0.052,
63,0.046,0.218,0.022,0.003,0.022,0.029,0.024,
64,0.051,0.128,0.034,0.004,0.034,0.01,0.032,
65,0.023,0.146,0.018,0.004,0.018,0.018,0.018,
66,0.022,0.112,0.018,0.004,0.018,0.016,0.015,
67,0.025,0.057,0.016,0.003,0.016,0.013,0.019,
68,0.009,0.057,0.018,0.004,0.018,0.01,0.016,
69,0.011,0.04,0.006,0.004,0.006,0.014,0.005,
70,0.007,0.068,0.011,0.004,0.011,0.008,0.011,
71,0.004,0.077,0.01,0.004,0.01,0.002,0.01,
72,0.004,0.1,0.019,0.004,0.019,0.013,0.021,
73,0.004,0.106,0.021,0.003,0.021,0.01,0.021,
74,0.004,0.065,0.015,0.004,0.015,0.02,0.017,
75,0.004,0.119,0.012,0.003,0.012,0.012,0.014,
76,0.005,0.126,0.009,0.002,0.009,0.016,0.012,
77,0.003,0.1,0.008,0.002,0.008,0.006,0.009,
78,0.003,0.059,0.007,0.003,0.007,0.011,0.006,
79,0.003,0.079,0.009,0.004,0.009,0.019,0.013,
80,0.001,0.088,0.009,0.003,0.009,0.019,0.011,
81,0.003,0.08,0.008,0.002,0.008,0.014,0.01,
82,0.003,0.069,0.01,0.003,0.01,0.02,0.012,
83,0.002,0.107,0.014,0.003,0.014,0.016,0.017,
84,0.003,0.115,0.015,0.003,0.015,0.009,0.017,
85,0.003,0.116,0.015,0.002,0.015,0.015,0.017,
86,0.004,0.107,0.017,0.002,0.017,0.017,0.02,
87,0.002,0.112,0.015,0.002,0.015,0.013,0.018,
88,0.01,0.09,0.011,0.003,0.011,0.006,0.012,
89,0.002,0.175,0.013,0.002,0.013,0.032,0.014,
90,0.009,0.188,0.01,0.002,0.01,0.018,0.012,
91,0.006,0.157,0.009,0.002,0.009,0.032,0.009,
92,0.003,0.097,0.008,0.002,0.008,0.034,0.008,
93,0.002,0.093,0.011,0.002,0.011,0.036,0.013,
94,0.002,0.086,0.01,0.002,0.01,0.029,0.011,
95,0.002,0.088,0.008,0.002,0.008,0.025,0.01,
96,0.002,0.081,0.008,0.002,0.008,0.021,0.009,
97,0.027,0.099,0.01,0.003,0.01,0.049,0.011,
98,0.003,0.074,0.01,0.003,0.01,0.015,0.011,
99,0.002,0.069,0.008,0.002,0.008,0.012,0.008,"[0.075, 0.01, 0.183, 0.009, 0.064, 0.023, 0.011, 0.06, 0.072, 0.06]"
