epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.386+-0.048,2.092+-0.945,0.366+-0.141,0.964+-0.009,0.366+-0.141,0.31+-0.096,0.367+-0.139
1,0.842+-0.049,1.645+-0.448,0.444+-0.092,0.956+-0.022,0.444+-0.092,0.416+-0.038,0.436+-0.078
2,0.692+-0.077,1.572+-0.357,0.434+-0.1,0.972+-0.011,0.434+-0.1,0.415+-0.084,0.448+-0.084
3,0.597+-0.068,1.895+-0.298,0.419+-0.034,0.948+-0.033,0.419+-0.034,0.376+-0.011,0.392+-0.04
4,0.527+-0.082,1.782+-0.812,0.479+-0.114,0.969+-0.009,0.479+-0.114,0.396+-0.061,0.477+-0.1
5,0.459+-0.056,1.233+-0.142,0.575+-0.043,0.976+-0.006,0.575+-0.043,0.505+-0.095,0.556+-0.06
6,0.399+-0.038,1.28+-0.237,0.565+-0.034,0.981+-0.003,0.565+-0.034,0.533+-0.038,0.573+-0.03
7,0.366+-0.028,1.207+-0.122,0.592+-0.023,0.978+-0.005,0.592+-0.023,0.506+-0.034,0.584+-0.036
8,0.346+-0.06,1.455+-0.318,0.538+-0.011,0.974+-0.016,0.538+-0.011,0.501+-0.048,0.528+-0.006
9,0.319+-0.009,1.508+-0.408,0.509+-0.025,0.972+-0.016,0.509+-0.025,0.43+-0.066,0.502+-0.046
10,0.322+-0.03,1.857+-0.603,0.482+-0.092,0.977+-0.009,0.482+-0.092,0.447+-0.066,0.479+-0.099
11,0.281+-0.007,1.038+-0.023,0.64+-0.011,0.978+-0.002,0.64+-0.011,0.53+-0.062,0.631+-0.024
12,0.237+-0.03,1.296+-0.283,0.583+-0.049,0.979+-0.006,0.583+-0.049,0.535+-0.041,0.576+-0.057
13,0.227+-0.042,1.287+-0.355,0.583+-0.074,0.976+-0.007,0.583+-0.074,0.53+-0.049,0.576+-0.08
14,0.177+-0.028,1.309+-0.038,0.581+-0.029,0.983+-0.003,0.581+-0.029,0.536+-0.024,0.58+-0.036
15,0.193+-0.049,1.755+-0.24,0.536+-0.049,0.969+-0.014,0.536+-0.049,0.481+-0.042,0.529+-0.042
16,0.17+-0.018,1.707+-0.254,0.516+-0.023,0.966+-0.014,0.516+-0.023,0.481+-0.027,0.504+-0.023
17,0.137+-0.027,1.642+-0.315,0.551+-0.083,0.975+-0.004,0.551+-0.083,0.488+-0.048,0.527+-0.072
18,0.115+-0.02,1.468+-0.128,0.571+-0.022,0.977+-0.002,0.571+-0.022,0.523+-0.006,0.558+-0.036
19,0.159+-0.089,1.48+-0.164,0.598+-0.028,0.968+-0.012,0.598+-0.028,0.512+-0.048,0.586+-0.026
20,0.115+-0.059,1.314+-0.205,0.616+-0.032,0.977+-0.003,0.616+-0.032,0.547+-0.03,0.608+-0.037
21,0.117+-0.052,1.721+-0.506,0.555+-0.09,0.968+-0.013,0.555+-0.09,0.482+-0.105,0.539+-0.1
22,0.094+-0.043,1.44+-0.25,0.619+-0.041,0.98+-0.006,0.619+-0.041,0.527+-0.055,0.609+-0.043
23,0.082+-0.034,1.437+-0.021,0.596+-0.034,0.977+-0.006,0.596+-0.034,0.529+-0.008,0.587+-0.035
24,0.093+-0.019,1.957+-0.816,0.553+-0.141,0.968+-0.014,0.553+-0.141,0.475+-0.123,0.559+-0.123
25,0.088+-0.046,1.881+-0.365,0.582+-0.061,0.977+-0.008,0.582+-0.061,0.523+-0.087,0.573+-0.06
26,0.053+-0.018,1.312+-0.021,0.632+-0.024,0.976+-0.002,0.632+-0.024,0.554+-0.043,0.627+-0.026
27,0.051+-0.007,1.685+-0.361,0.601+-0.015,0.981+-0.004,0.601+-0.015,0.527+-0.065,0.589+-0.037
28,0.04+-0.008,1.39+-0.101,0.639+-0.013,0.977+-0.006,0.639+-0.013,0.556+-0.01,0.631+-0.022
29,0.034+-0.013,1.602+-0.426,0.626+-0.06,0.979+-0.006,0.626+-0.06,0.549+-0.063,0.615+-0.065
30,0.034+-0.016,1.585+-0.057,0.623+-0.027,0.977+-0.006,0.623+-0.027,0.568+-0.029,0.616+-0.03
31,0.028+-0.008,1.711+-0.255,0.626+-0.052,0.977+-0.003,0.626+-0.052,0.54+-0.003,0.615+-0.053
32,0.029+-0.018,1.942+-0.778,0.595+-0.072,0.97+-0.013,0.595+-0.072,0.552+-0.061,0.589+-0.073
33,0.042+-0.025,1.851+-0.657,0.627+-0.062,0.973+-0.009,0.627+-0.062,0.524+-0.089,0.606+-0.078
34,0.017+-0.008,1.677+-0.105,0.623+-0.034,0.977+-0.002,0.623+-0.034,0.551+-0.018,0.612+-0.022
35,0.028+-0.015,1.589+-0.368,0.638+-0.046,0.975+-0.007,0.638+-0.046,0.58+-0.04,0.634+-0.043
36,0.027+-0.019,2.119+-0.41,0.6+-0.073,0.964+-0.014,0.6+-0.073,0.5+-0.07,0.579+-0.07
37,0.019+-0.008,1.577+-0.142,0.635+-0.038,0.976+-0.007,0.635+-0.038,0.544+-0.05,0.631+-0.035
38,0.011+-0.009,1.739+-0.697,0.645+-0.048,0.978+-0.003,0.645+-0.048,0.562+-0.053,0.636+-0.059
39,0.018+-0.021,1.526+-0.02,0.664+-0.014,0.978+-0.002,0.664+-0.014,0.587+-0.002,0.66+-0.016
40,0.014+-0.011,1.486+-0.014,0.663+-0.011,0.978+-0.005,0.663+-0.011,0.589+-0.012,0.656+-0.013
41,0.009+-0.004,1.504+-0.14,0.669+-0.002,0.98+-0.003,0.669+-0.002,0.578+-0.029,0.659+-0.001
42,0.007+-0.003,1.522+-0.173,0.66+-0.02,0.979+-0.001,0.66+-0.02,0.58+-0.037,0.651+-0.022
43,0.003+-0.002,1.375+-0.047,0.679+-0.023,0.984+-0.003,0.679+-0.023,0.601+-0.014,0.674+-0.023
44,0.002+-0.002,1.359+-0.06,0.69+-0.011,0.982+-0.001,0.69+-0.011,0.608+-0.01,0.684+-0.01
45,0.001+-0.001,1.343+-0.073,0.691+-0.006,0.983+-0.002,0.691+-0.006,0.614+-0.009,0.685+-0.004
