epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.081+-0.055,1.296+-0.135,0.528+-0.033,0.97+-0.011,0.528+-0.033,0.499+-0.046,0.531+-0.035
1,0.395+-0.065,1.119+-0.28,0.606+-0.068,0.984+-0.004,0.606+-0.068,0.566+-0.015,0.599+-0.071
2,0.23+-0.047,0.93+-0.085,0.672+-0.031,0.988+-0.002,0.672+-0.031,0.584+-0.031,0.662+-0.033
3,0.151+-0.006,1.071+-0.127,0.649+-0.032,0.987+-0.001,0.649+-0.032,0.594+-0.028,0.641+-0.035
4,0.13+-0.016,1.091+-0.149,0.656+-0.026,0.986+-0.003,0.656+-0.026,0.569+-0.045,0.644+-0.031
5,0.086+-0.003,0.946+-0.073,0.69+-0.008,0.991+-0.001,0.69+-0.008,0.609+-0.028,0.686+-0.009
6,0.069+-0.007,1.021+-0.019,0.681+-0.011,0.988+-0.003,0.681+-0.011,0.607+-0.027,0.678+-0.011
7,0.045+-0.017,1.019+-0.043,0.706+-0.02,0.989+-0.001,0.706+-0.02,0.604+-0.027,0.699+-0.019
8,0.029+-0.005,1.003+-0.06,0.706+-0.004,0.988+-0.002,0.706+-0.004,0.62+-0.013,0.702+-0.003
9,0.025+-0.011,1.131+-0.216,0.708+-0.01,0.987+-0.002,0.708+-0.01,0.599+-0.013,0.695+-0.019
10,0.018+-0.01,1.19+-0.197,0.693+-0.019,0.989+-0.002,0.693+-0.019,0.615+-0.022,0.687+-0.022
11,0.02+-0.018,1.012+-0.025,0.721+-0.006,0.989+-0.003,0.721+-0.006,0.621+-0.02,0.712+-0.003
12,0.017+-0.009,1.264+-0.366,0.686+-0.053,0.981+-0.011,0.686+-0.053,0.612+-0.055,0.678+-0.06
13,0.014+-0.007,1.043+-0.033,0.709+-0.01,0.988+-0.001,0.709+-0.01,0.624+-0.029,0.704+-0.01
14,0.011+-0.003,1.133+-0.135,0.71+-0.013,0.987+-0.001,0.71+-0.013,0.611+-0.029,0.701+-0.015
15,0.007+-0.002,1.052+-0.042,0.721+-0.014,0.988+-0.002,0.721+-0.014,0.629+-0.034,0.715+-0.015
16,0.007+-0.005,1.059+-0.064,0.726+-0.011,0.988+-0.001,0.726+-0.011,0.631+-0.029,0.72+-0.014
17,0.004+-0.001,1.069+-0.084,0.728+-0.006,0.989+-0.001,0.728+-0.006,0.632+-0.032,0.721+-0.009
18,0.002+-0.001,1.084+-0.094,0.727+-0.005,0.988+-0.002,0.727+-0.005,0.636+-0.021,0.72+-0.007
19,0.002+-0.001,1.068+-0.053,0.735+-0.003,0.988+-0.001,0.735+-0.003,0.639+-0.028,0.728+-0.002
20,0.001+-0.0,1.111+-0.034,0.731+-0.012,0.988+-0.001,0.731+-0.012,0.638+-0.034,0.725+-0.013
21,0.001+-0.0,1.08+-0.047,0.734+-0.005,0.988+-0.001,0.734+-0.005,0.634+-0.029,0.727+-0.006
22,0.001+-0.0,1.09+-0.038,0.737+-0.004,0.988+-0.001,0.737+-0.004,0.643+-0.028,0.73+-0.006
23,0.001+-0.0,1.061+-0.018,0.74+-0.007,0.988+-0.001,0.74+-0.007,0.648+-0.029,0.734+-0.007
24,0.001+-0.0,1.081+-0.042,0.737+-0.007,0.988+-0.002,0.737+-0.007,0.64+-0.028,0.731+-0.006
25,0.001+-0.0,1.106+-0.055,0.735+-0.007,0.988+-0.002,0.735+-0.007,0.64+-0.034,0.729+-0.009
26,0.001+-0.001,1.103+-0.022,0.738+-0.005,0.988+-0.001,0.738+-0.005,0.643+-0.03,0.732+-0.006
27,0.002+-0.002,1.099+-0.028,0.734+-0.012,0.988+-0.001,0.734+-0.012,0.639+-0.028,0.729+-0.011
28,0.001+-0.002,1.123+-0.003,0.733+-0.014,0.988+-0.001,0.733+-0.014,0.643+-0.037,0.728+-0.014
29,0.002+-0.001,1.158+-0.029,0.732+-0.014,0.988+-0.002,0.732+-0.014,0.64+-0.03,0.726+-0.013
30,0.001+-0.001,1.126+-0.043,0.736+-0.009,0.988+-0.002,0.736+-0.009,0.644+-0.03,0.73+-0.009
31,0.0+-0.001,1.111+-0.023,0.737+-0.009,0.988+-0.002,0.737+-0.009,0.649+-0.032,0.731+-0.01
32,0.0+-0.001,1.127+-0.015,0.736+-0.008,0.988+-0.001,0.736+-0.008,0.643+-0.025,0.73+-0.008
33,0.0+-0.001,1.137+-0.015,0.737+-0.007,0.987+-0.001,0.737+-0.007,0.644+-0.032,0.73+-0.008
34,0.0+-0.001,1.134+-0.041,0.738+-0.005,0.987+-0.002,0.738+-0.005,0.643+-0.028,0.731+-0.007
35,0.001+-0.0,1.129+-0.013,0.738+-0.005,0.988+-0.001,0.738+-0.005,0.642+-0.03,0.732+-0.007
36,0.0+-0.001,1.123+-0.007,0.736+-0.007,0.988+-0.001,0.736+-0.007,0.643+-0.03,0.731+-0.008
37,0.0+-0.0,1.125+-0.025,0.737+-0.008,0.988+-0.002,0.737+-0.008,0.643+-0.033,0.731+-0.009
38,0.0+-0.0,1.112+-0.023,0.738+-0.008,0.988+-0.0,0.738+-0.008,0.648+-0.033,0.732+-0.009
39,0.0+-0.0,1.119+-0.035,0.738+-0.009,0.987+-0.001,0.738+-0.009,0.648+-0.031,0.732+-0.01
40,0.0+-0.0,1.134+-0.012,0.739+-0.005,0.988+-0.001,0.739+-0.005,0.646+-0.024,0.733+-0.006
41,0.0+-0.0,1.129+-0.005,0.74+-0.008,0.988+-0.001,0.74+-0.008,0.65+-0.029,0.735+-0.009
42,0.0+-0.0,1.145+-0.023,0.738+-0.008,0.988+-0.001,0.738+-0.008,0.645+-0.028,0.733+-0.009
43,0.0+-0.0,1.138+-0.008,0.74+-0.008,0.987+-0.001,0.74+-0.008,0.65+-0.03,0.735+-0.01
