epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.764,1.578,0.457,0.935,0.457,0.374,0.461,
1,1.502,1.877,0.486,0.947,0.486,0.413,0.494,
2,1.397,2.289,0.451,0.946,0.451,0.383,0.425,
3,1.421,2.422,0.471,0.945,0.471,0.399,0.44,
4,1.486,2.172,0.497,0.958,0.497,0.425,0.477,
5,1.368,2.172,0.501,0.953,0.501,0.441,0.484,
6,1.365,2.284,0.492,0.961,0.492,0.423,0.506,
7,1.269,2.566,0.436,0.958,0.436,0.407,0.426,
8,1.218,2.465,0.467,0.954,0.467,0.417,0.446,
9,1.131,2.368,0.497,0.96,0.497,0.424,0.488,
10,1.241,2.494,0.495,0.957,0.495,0.43,0.485,
11,1.293,2.454,0.495,0.967,0.495,0.44,0.49,
12,1.228,1.953,0.548,0.975,0.548,0.476,0.552,
13,1.137,2.168,0.528,0.969,0.528,0.458,0.526,
14,1.071,2.668,0.475,0.96,0.475,0.433,0.484,
15,1.095,2.094,0.526,0.976,0.526,0.482,0.531,
16,1.029,2.009,0.536,0.971,0.536,0.472,0.542,
17,0.908,2.34,0.488,0.97,0.488,0.454,0.489,
18,0.929,2.099,0.518,0.978,0.518,0.478,0.524,
19,0.86,2.077,0.518,0.971,0.518,0.472,0.506,
20,0.842,2.26,0.495,0.974,0.495,0.451,0.473,
21,0.922,2.369,0.485,0.975,0.485,0.434,0.466,
22,1.039,2.381,0.512,0.971,0.512,0.464,0.493,
23,0.831,2.008,0.525,0.977,0.525,0.479,0.523,
24,0.906,2.24,0.487,0.973,0.487,0.446,0.479,
25,0.805,2.689,0.463,0.957,0.463,0.421,0.451,
26,0.761,2.395,0.528,0.972,0.528,0.469,0.498,
27,0.88,2.197,0.536,0.978,0.536,0.469,0.513,
28,0.709,1.752,0.554,0.976,0.554,0.487,0.56,
29,0.706,1.905,0.536,0.974,0.536,0.472,0.534,
30,0.707,1.834,0.552,0.978,0.552,0.487,0.546,
31,0.694,2.275,0.494,0.975,0.494,0.452,0.475,
32,0.765,2.133,0.51,0.969,0.51,0.461,0.494,
33,0.713,2.016,0.507,0.971,0.507,0.465,0.504,
34,0.634,2.434,0.472,0.965,0.472,0.446,0.456,
35,0.716,2.608,0.472,0.968,0.472,0.434,0.464,
36,0.809,2.11,0.515,0.972,0.515,0.474,0.508,
37,0.709,2.303,0.482,0.966,0.482,0.453,0.482,
38,0.673,1.89,0.54,0.977,0.54,0.483,0.537,
39,0.709,2.109,0.507,0.973,0.507,0.46,0.511,
40,0.799,2.05,0.539,0.974,0.539,0.481,0.538,
41,0.726,2.072,0.534,0.975,0.534,0.488,0.524,
42,0.75,2.256,0.503,0.968,0.503,0.447,0.493,
43,0.707,1.925,0.546,0.975,0.546,0.47,0.543,
44,0.741,2.389,0.506,0.969,0.506,0.467,0.486,
45,0.735,2.033,0.535,0.975,0.535,0.473,0.545,
46,0.646,1.943,0.568,0.977,0.568,0.497,0.565,
47,0.669,2.053,0.561,0.978,0.561,0.489,0.544,
48,0.706,2.153,0.55,0.975,0.55,0.481,0.534,
49,0.656,2.048,0.545,0.977,0.545,0.481,0.533,
50,0.645,1.854,0.562,0.981,0.562,0.498,0.55,
51,0.528,2.038,0.532,0.975,0.532,0.479,0.533,
52,0.562,1.884,0.571,0.98,0.571,0.503,0.567,
53,0.543,2.053,0.556,0.972,0.556,0.474,0.556,
54,0.529,1.815,0.571,0.975,0.571,0.474,0.566,
55,0.57,1.716,0.585,0.98,0.585,0.503,0.591,
56,0.579,1.941,0.549,0.977,0.549,0.49,0.556,
57,0.613,2.242,0.521,0.975,0.521,0.478,0.517,
58,0.592,2.04,0.561,0.971,0.561,0.488,0.551,
59,0.598,1.852,0.555,0.977,0.555,0.487,0.555,
60,0.613,2.36,0.523,0.972,0.523,0.481,0.513,
61,0.687,2.333,0.517,0.973,0.517,0.48,0.522,
62,0.598,2.441,0.504,0.967,0.504,0.459,0.497,
63,0.763,2.068,0.538,0.977,0.538,0.463,0.535,
64,0.744,2.29,0.518,0.97,0.518,0.455,0.524,
65,0.616,2.221,0.53,0.978,0.53,0.487,0.533,
66,0.626,2.55,0.512,0.966,0.512,0.451,0.511,
67,0.703,2.006,0.564,0.976,0.564,0.488,0.562,
68,0.705,2.768,0.487,0.94,0.487,0.425,0.49,
69,0.809,2.058,0.553,0.978,0.553,0.489,0.547,
70,0.742,2.158,0.568,0.972,0.568,0.5,0.567,
71,0.657,2.449,0.51,0.97,0.51,0.461,0.523,
72,0.643,2.446,0.531,0.969,0.531,0.486,0.529,
73,0.697,2.345,0.533,0.976,0.533,0.477,0.534,
74,0.647,2.283,0.524,0.972,0.524,0.462,0.526,
75,0.577,2.173,0.533,0.977,0.533,0.476,0.537,
76,0.551,2.44,0.494,0.975,0.494,0.452,0.493,
77,0.581,2.216,0.532,0.973,0.532,0.485,0.524,
78,0.622,2.288,0.532,0.977,0.532,0.482,0.528,
79,0.558,2.262,0.529,0.975,0.529,0.481,0.522,
80,0.569,2.174,0.534,0.977,0.534,0.483,0.524,
81,0.61,2.154,0.538,0.97,0.538,0.465,0.543,
82,0.605,2.176,0.557,0.978,0.557,0.477,0.541,
83,0.536,2.209,0.545,0.976,0.545,0.484,0.533,
84,0.56,2.262,0.532,0.978,0.532,0.478,0.521,
85,0.548,2.563,0.512,0.971,0.512,0.455,0.501,
86,0.629,2.262,0.542,0.972,0.542,0.465,0.533,
87,0.572,2.49,0.518,0.968,0.518,0.463,0.504,
88,0.638,2.72,0.476,0.972,0.476,0.463,0.463,
89,0.607,2.264,0.52,0.972,0.52,0.479,0.516,
90,0.642,2.227,0.523,0.969,0.523,0.457,0.51,
91,0.612,2.203,0.547,0.978,0.547,0.493,0.544,
92,0.61,2.424,0.532,0.97,0.532,0.476,0.52,
93,0.614,2.212,0.544,0.976,0.544,0.493,0.54,
94,0.593,2.645,0.496,0.962,0.496,0.445,0.483,
95,0.59,2.58,0.514,0.975,0.514,0.463,0.494,
96,0.625,2.299,0.526,0.974,0.526,0.478,0.518,
97,0.699,2.987,0.489,0.959,0.489,0.451,0.466,
98,0.612,2.45,0.526,0.969,0.526,0.464,0.518,
99,0.661,2.3,0.55,0.978,0.55,0.493,0.544,"[0.469, 0.64, 0.551, 0.527, 0.358, 0.454, 0.578, 0.504, 0.344, 0.5]"
