epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.055,0.135,0.033,0.011,0.033,0.046,0.035,
1,0.065,0.28,0.068,0.004,0.068,0.015,0.071,
2,0.047,0.085,0.031,0.002,0.031,0.031,0.033,
3,0.006,0.127,0.032,0.001,0.032,0.028,0.035,
4,0.016,0.149,0.026,0.003,0.026,0.045,0.031,
5,0.003,0.073,0.008,0.001,0.008,0.028,0.009,
6,0.007,0.019,0.011,0.003,0.011,0.027,0.011,
7,0.017,0.043,0.02,0.001,0.02,0.027,0.019,
8,0.005,0.06,0.004,0.002,0.004,0.013,0.003,
9,0.011,0.216,0.01,0.002,0.01,0.013,0.019,
10,0.01,0.197,0.019,0.002,0.019,0.022,0.022,
11,0.018,0.025,0.006,0.003,0.006,0.02,0.003,
12,0.009,0.366,0.053,0.011,0.053,0.055,0.06,
13,0.007,0.033,0.01,0.001,0.01,0.029,0.01,
14,0.003,0.135,0.013,0.001,0.013,0.029,0.015,
15,0.002,0.042,0.014,0.002,0.014,0.034,0.015,
16,0.005,0.064,0.011,0.001,0.011,0.029,0.014,
17,0.001,0.084,0.006,0.001,0.006,0.032,0.009,
18,0.001,0.094,0.005,0.002,0.005,0.021,0.007,
19,0.001,0.053,0.003,0.001,0.003,0.028,0.002,
20,0.0,0.034,0.012,0.001,0.012,0.034,0.013,
21,0.0,0.047,0.005,0.001,0.005,0.029,0.006,
22,0.0,0.038,0.004,0.001,0.004,0.028,0.006,
23,0.0,0.018,0.007,0.001,0.007,0.029,0.007,
24,0.0,0.042,0.007,0.002,0.007,0.028,0.006,
25,0.0,0.055,0.007,0.002,0.007,0.034,0.009,
26,0.001,0.022,0.005,0.001,0.005,0.03,0.006,
27,0.002,0.028,0.012,0.001,0.012,0.028,0.011,
28,0.002,0.003,0.014,0.001,0.014,0.037,0.014,
29,0.001,0.029,0.014,0.002,0.014,0.03,0.013,
30,0.001,0.043,0.009,0.002,0.009,0.03,0.009,
31,0.001,0.023,0.009,0.002,0.009,0.032,0.01,
32,0.001,0.015,0.008,0.001,0.008,0.025,0.008,
33,0.001,0.015,0.007,0.001,0.007,0.032,0.008,
34,0.001,0.041,0.005,0.002,0.005,0.028,0.007,
35,0.0,0.013,0.005,0.001,0.005,0.03,0.007,
36,0.001,0.007,0.007,0.001,0.007,0.03,0.008,
37,0.0,0.025,0.008,0.002,0.008,0.033,0.009,
38,0.0,0.023,0.008,0.0,0.008,0.033,0.009,
39,0.0,0.035,0.009,0.001,0.009,0.031,0.01,
40,0.0,0.012,0.005,0.001,0.005,0.024,0.006,
41,0.0,0.005,0.008,0.001,0.008,0.029,0.009,
42,0.0,0.023,0.008,0.001,0.008,0.028,0.009,
43,0.0,0.008,0.008,0.001,0.008,0.03,0.01,
44,0.0,0.023,0.006,0.001,0.006,0.028,0.006,
45,0.0,0.026,0.007,0.002,0.007,0.028,0.008,
46,0.0,0.018,0.009,0.001,0.009,0.028,0.009,
47,0.0,0.021,0.005,0.001,0.005,0.03,0.006,
48,0.0,0.006,0.006,0.002,0.006,0.027,0.007,
49,0.0,0.016,0.006,0.001,0.006,0.027,0.006,
50,0.0,0.026,0.008,0.001,0.008,0.029,0.008,
51,0.0,0.024,0.006,0.001,0.006,0.029,0.007,
52,0.0,0.018,0.006,0.001,0.006,0.029,0.006,
53,0.0,0.016,0.007,0.001,0.007,0.028,0.008,
54,0.0,0.038,0.006,0.0,0.006,0.03,0.007,
55,0.0,0.021,0.006,0.001,0.006,0.027,0.007,
56,0.0,0.007,0.005,0.001,0.005,0.025,0.007,
57,0.0,0.009,0.006,0.001,0.006,0.029,0.006,
58,0.0,0.027,0.004,0.001,0.004,0.026,0.005,
59,0.0,0.034,0.007,0.0,0.007,0.031,0.009,
60,0.0,0.01,0.005,0.001,0.005,0.025,0.007,
61,0.0,0.012,0.006,0.002,0.006,0.027,0.007,
62,0.0,0.017,0.004,0.001,0.004,0.022,0.005,
63,0.0,0.013,0.007,0.001,0.007,0.029,0.009,
64,0.0,0.026,0.006,0.001,0.006,0.03,0.008,
65,0.0,0.022,0.006,0.002,0.006,0.026,0.007,
