epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.029,0.296,0.063,0.094,0.063,0.039,0.083,
1,0.051,1.041,0.122,0.08,0.122,0.102,0.117,
2,0.061,0.281,0.052,0.016,0.052,0.056,0.062,
3,0.085,0.805,0.066,0.011,0.066,0.029,0.054,
4,0.091,0.395,0.117,0.011,0.117,0.105,0.095,
5,0.071,1.236,0.155,0.033,0.155,0.119,0.139,
6,0.045,0.215,0.069,0.013,0.069,0.038,0.063,
7,0.012,1.696,0.099,0.079,0.099,0.041,0.081,
8,0.102,0.085,0.029,0.01,0.029,0.06,0.029,
9,0.07,0.532,0.12,0.045,0.12,0.032,0.127,
10,0.04,0.082,0.037,0.015,0.037,0.045,0.039,
11,0.069,0.046,0.028,0.005,0.028,0.014,0.03,
12,0.049,0.376,0.05,0.005,0.05,0.066,0.029,
13,0.074,0.05,0.033,0.01,0.033,0.019,0.035,
14,0.067,0.254,0.074,0.002,0.074,0.054,0.079,
15,0.123,0.109,0.033,0.005,0.033,0.039,0.034,
16,0.124,0.34,0.071,0.006,0.071,0.052,0.073,
17,0.109,0.138,0.046,0.007,0.046,0.048,0.044,
18,0.079,0.351,0.044,0.009,0.044,0.041,0.049,
19,0.081,0.325,0.046,0.009,0.046,0.081,0.042,
20,0.075,0.047,0.016,0.007,0.016,0.044,0.011,
21,0.103,0.359,0.047,0.011,0.047,0.046,0.063,
22,0.076,0.281,0.016,0.009,0.016,0.03,0.02,
23,0.063,0.287,0.063,0.005,0.063,0.04,0.07,
24,0.036,0.28,0.032,0.01,0.032,0.013,0.026,
25,0.051,0.276,0.035,0.021,0.035,0.06,0.043,
26,0.061,0.182,0.037,0.006,0.037,0.036,0.046,
27,0.066,0.057,0.014,0.005,0.014,0.01,0.011,
28,0.033,0.481,0.01,0.012,0.01,0.036,0.014,
29,0.041,0.058,0.024,0.002,0.024,0.019,0.032,
30,0.025,0.206,0.022,0.007,0.022,0.02,0.023,
31,0.031,0.094,0.013,0.003,0.013,0.002,0.009,
32,0.044,0.361,0.03,0.014,0.03,0.017,0.031,
33,0.02,0.117,0.008,0.006,0.008,0.007,0.009,
34,0.017,0.15,0.009,0.007,0.009,0.026,0.006,
35,0.016,0.126,0.032,0.006,0.032,0.022,0.038,
36,0.013,0.29,0.016,0.01,0.016,0.044,0.024,
37,0.012,0.116,0.023,0.009,0.023,0.023,0.025,
38,0.015,0.175,0.011,0.005,0.011,0.018,0.011,
39,0.009,0.073,0.005,0.005,0.005,0.029,0.005,
40,0.004,0.179,0.01,0.006,0.01,0.023,0.013,
41,0.002,0.132,0.014,0.007,0.014,0.035,0.017,
42,0.003,0.202,0.021,0.006,0.021,0.023,0.021,
43,0.002,0.068,0.014,0.004,0.014,0.008,0.014,
44,0.002,0.145,0.009,0.01,0.009,0.026,0.006,
45,0.001,0.179,0.006,0.007,0.006,0.023,0.008,
46,0.001,0.038,0.004,0.007,0.004,0.012,0.004,
47,0.001,0.13,0.011,0.006,0.011,0.024,0.011,
48,0.004,0.061,0.006,0.006,0.006,0.005,0.003,
49,0.002,0.074,0.013,0.002,0.013,0.018,0.019,
50,0.003,0.076,0.008,0.005,0.008,0.003,0.005,
51,0.001,0.097,0.007,0.005,0.007,0.011,0.007,
52,0.0,0.094,0.005,0.005,0.005,0.009,0.004,
53,0.0,0.122,0.004,0.005,0.004,0.019,0.005,
54,0.001,0.128,0.007,0.004,0.007,0.015,0.007,
55,0.0,0.111,0.006,0.004,0.006,0.014,0.006,
56,0.001,0.074,0.005,0.004,0.005,0.01,0.005,
57,0.001,0.099,0.002,0.004,0.002,0.016,0.003,
58,0.001,0.114,0.006,0.004,0.006,0.019,0.007,
59,0.002,0.053,0.006,0.002,0.006,0.023,0.008,
60,0.001,0.096,0.002,0.004,0.002,0.012,0.003,
61,0.0,0.096,0.007,0.004,0.007,0.01,0.006,
62,0.0,0.071,0.007,0.005,0.007,0.013,0.007,
63,0.001,0.063,0.003,0.005,0.003,0.004,0.003,
64,0.001,0.06,0.005,0.005,0.005,0.017,0.006,
65,0.001,0.023,0.004,0.003,0.004,0.003,0.004,
66,0.001,0.104,0.004,0.003,0.004,0.026,0.005,
