epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,3.018+-0.522,2.518+-0.279,0.471+-0.023,0.952+-0.02,0.471+-0.023,0.404+-0.041,0.452+-0.019
1,2.494+-0.11,4.581+-2.322,0.392+-0.026,0.826+-0.127,0.392+-0.026,0.353+-0.046,0.364+-0.038
2,1.914+-0.167,2.7+-0.773,0.464+-0.033,0.944+-0.035,0.464+-0.033,0.392+-0.054,0.468+-0.064
3,2.051+-0.083,2.025+-0.22,0.544+-0.028,0.968+-0.008,0.544+-0.028,0.491+-0.04,0.548+-0.032
4,1.684+-0.148,3.04+-1.407,0.474+-0.113,0.92+-0.045,0.474+-0.113,0.423+-0.089,0.447+-0.145
5,1.731+-0.044,2.857+-1.277,0.527+-0.051,0.922+-0.068,0.527+-0.051,0.458+-0.013,0.499+-0.081
6,1.797+-0.138,2.624+-0.698,0.476+-0.069,0.959+-0.004,0.476+-0.069,0.455+-0.017,0.484+-0.073
7,1.708+-0.204,2.612+-1.185,0.495+-0.088,0.95+-0.032,0.495+-0.088,0.448+-0.08,0.49+-0.098
8,1.512+-0.261,2.532+-0.734,0.486+-0.086,0.946+-0.055,0.486+-0.086,0.463+-0.056,0.482+-0.088
9,1.552+-0.373,2.023+-0.32,0.541+-0.033,0.969+-0.004,0.541+-0.033,0.47+-0.014,0.544+-0.029
10,1.372+-0.316,2.546+-0.318,0.487+-0.035,0.966+-0.006,0.487+-0.035,0.459+-0.018,0.475+-0.045
11,1.419+-0.271,2.486+-0.487,0.482+-0.088,0.96+-0.011,0.482+-0.088,0.459+-0.043,0.461+-0.11
12,1.46+-0.319,2.899+-0.561,0.461+-0.076,0.954+-0.012,0.461+-0.076,0.429+-0.027,0.421+-0.091
13,1.445+-0.281,2.27+-0.506,0.544+-0.054,0.963+-0.009,0.544+-0.054,0.488+-0.048,0.545+-0.06
14,1.183+-0.104,1.946+-0.252,0.545+-0.016,0.977+-0.005,0.545+-0.016,0.512+-0.023,0.544+-0.011
15,1.183+-0.012,3.034+-0.834,0.462+-0.068,0.962+-0.015,0.462+-0.068,0.43+-0.06,0.424+-0.089
16,1.372+-0.216,2.363+-0.362,0.521+-0.064,0.975+-0.006,0.521+-0.064,0.496+-0.05,0.491+-0.077
17,1.251+-0.141,2.073+-0.073,0.569+-0.039,0.972+-0.007,0.569+-0.039,0.49+-0.038,0.576+-0.016
18,1.041+-0.095,2.77+-0.648,0.483+-0.029,0.958+-0.018,0.483+-0.029,0.464+-0.031,0.436+-0.062
19,1.269+-0.231,2.412+-0.983,0.529+-0.08,0.965+-0.018,0.529+-0.08,0.475+-0.06,0.528+-0.085
20,1.088+-0.162,2.15+-0.427,0.541+-0.077,0.964+-0.02,0.541+-0.077,0.493+-0.051,0.522+-0.106
21,1.191+-0.227,2.275+-0.869,0.529+-0.064,0.962+-0.032,0.529+-0.064,0.505+-0.053,0.532+-0.058
22,1.143+-0.117,2.308+-0.544,0.516+-0.069,0.965+-0.019,0.516+-0.069,0.491+-0.043,0.517+-0.084
23,1.16+-0.112,2.268+-0.37,0.542+-0.063,0.968+-0.014,0.542+-0.063,0.493+-0.054,0.535+-0.057
24,1.09+-0.259,2.973+-1.173,0.454+-0.113,0.932+-0.064,0.454+-0.113,0.45+-0.074,0.435+-0.119
25,1.12+-0.375,2.594+-0.934,0.488+-0.073,0.964+-0.021,0.488+-0.073,0.482+-0.044,0.473+-0.078
26,1.057+-0.281,2.196+-0.551,0.535+-0.06,0.971+-0.009,0.535+-0.06,0.486+-0.042,0.528+-0.094
27,1.111+-0.187,3.024+-0.387,0.46+-0.035,0.945+-0.021,0.46+-0.035,0.442+-0.015,0.442+-0.042
28,1.229+-0.088,2.218+-0.292,0.55+-0.067,0.97+-0.015,0.55+-0.067,0.505+-0.032,0.535+-0.071
29,1.21+-0.074,2.328+-0.17,0.508+-0.044,0.964+-0.019,0.508+-0.044,0.494+-0.031,0.5+-0.046
30,1.044+-0.092,2.05+-0.387,0.535+-0.07,0.979+-0.006,0.535+-0.07,0.507+-0.039,0.524+-0.081
31,1.02+-0.077,2.564+-0.306,0.498+-0.042,0.958+-0.017,0.498+-0.042,0.464+-0.032,0.499+-0.065
32,1.043+-0.046,2.79+-0.619,0.498+-0.065,0.968+-0.007,0.498+-0.065,0.476+-0.032,0.479+-0.083
33,1.115+-0.121,1.802+-0.066,0.602+-0.01,0.979+-0.003,0.602+-0.01,0.532+-0.012,0.594+-0.016
34,1.045+-0.056,1.861+-0.179,0.574+-0.044,0.978+-0.007,0.574+-0.044,0.511+-0.014,0.569+-0.045
35,1.11+-0.153,2.428+-0.413,0.516+-0.034,0.975+-0.008,0.516+-0.034,0.508+-0.021,0.531+-0.052
36,1.214+-0.286,2.328+-0.144,0.559+-0.032,0.966+-0.006,0.559+-0.032,0.489+-0.016,0.546+-0.029
37,0.986+-0.166,2.291+-0.325,0.524+-0.054,0.973+-0.004,0.524+-0.054,0.483+-0.05,0.533+-0.052
38,1.055+-0.176,2.686+-0.869,0.498+-0.076,0.957+-0.031,0.498+-0.076,0.475+-0.058,0.491+-0.091
39,1.175+-0.247,2.314+-0.282,0.557+-0.022,0.979+-0.003,0.557+-0.022,0.498+-0.036,0.542+-0.02
40,1.061+-0.227,1.845+-0.128,0.597+-0.018,0.981+-0.005,0.597+-0.018,0.539+-0.037,0.592+-0.023
41,0.846+-0.149,1.813+-0.256,0.593+-0.031,0.982+-0.003,0.593+-0.031,0.539+-0.01,0.585+-0.042
42,0.996+-0.043,2.179+-0.341,0.525+-0.051,0.976+-0.006,0.525+-0.051,0.507+-0.029,0.523+-0.066
43,0.877+-0.106,2.493+-0.675,0.52+-0.072,0.973+-0.012,0.52+-0.072,0.482+-0.026,0.512+-0.079
44,0.92+-0.096,2.496+-0.681,0.51+-0.085,0.973+-0.009,0.51+-0.085,0.488+-0.06,0.494+-0.093
45,0.952+-0.183,2.063+-0.303,0.556+-0.03,0.977+-0.002,0.556+-0.03,0.513+-0.018,0.553+-0.022
46,0.994+-0.022,2.442+-0.329,0.539+-0.041,0.976+-0.004,0.539+-0.041,0.503+-0.009,0.525+-0.028
47,1.138+-0.193,2.765+-0.317,0.513+-0.031,0.94+-0.022,0.513+-0.031,0.459+-0.01,0.518+-0.016
48,1.067+-0.183,2.689+-0.523,0.514+-0.022,0.955+-0.02,0.514+-0.022,0.471+-0.015,0.492+-0.062
49,1.003+-0.072,2.534+-0.355,0.507+-0.044,0.975+-0.007,0.507+-0.044,0.495+-0.03,0.499+-0.01
50,2.687+-0.256,6.247+-0.881,0.415+-0.065,0.903+-0.047,0.415+-0.065,0.295+-0.043,0.386+-0.06
51,1.448+-0.099,3.711+-1.476,0.406+-0.064,0.971+-0.003,0.406+-0.064,0.427+-0.061,0.38+-0.082
52,0.602+-0.074,1.445+-0.21,0.586+-0.047,0.983+-0.004,0.586+-0.047,0.546+-0.031,0.583+-0.045
53,0.339+-0.018,1.234+-0.065,0.621+-0.003,0.985+-0.002,0.621+-0.003,0.562+-0.013,0.615+-0.007
54,0.233+-0.031,1.271+-0.127,0.655+-0.012,0.987+-0.001,0.655+-0.012,0.584+-0.021,0.65+-0.016
55,0.181+-0.016,1.169+-0.083,0.642+-0.009,0.985+-0.001,0.642+-0.009,0.574+-0.015,0.64+-0.008
56,0.128+-0.022,1.278+-0.05,0.639+-0.024,0.985+-0.001,0.639+-0.024,0.586+-0.013,0.637+-0.023
57,0.103+-0.009,1.269+-0.026,0.647+-0.006,0.984+-0.0,0.647+-0.006,0.572+-0.023,0.64+-0.014
58,0.078+-0.015,1.185+-0.058,0.67+-0.016,0.985+-0.001,0.67+-0.016,0.586+-0.003,0.666+-0.014
59,0.062+-0.002,1.244+-0.043,0.66+-0.001,0.985+-0.002,0.66+-0.001,0.591+-0.007,0.657+-0.002
60,0.053+-0.009,1.251+-0.112,0.663+-0.011,0.986+-0.001,0.663+-0.011,0.58+-0.023,0.658+-0.01
61,0.039+-0.004,1.254+-0.057,0.673+-0.002,0.985+-0.002,0.673+-0.002,0.599+-0.007,0.666+-0.005
62,0.032+-0.007,1.232+-0.008,0.662+-0.013,0.985+-0.001,0.662+-0.013,0.592+-0.007,0.657+-0.012
63,0.028+-0.01,1.266+-0.024,0.674+-0.008,0.985+-0.001,0.674+-0.008,0.59+-0.016,0.669+-0.006
64,0.019+-0.001,1.252+-0.047,0.681+-0.013,0.986+-0.001,0.681+-0.013,0.601+-0.006,0.677+-0.011
65,0.016+-0.001,1.293+-0.053,0.679+-0.01,0.985+-0.001,0.679+-0.01,0.59+-0.01,0.671+-0.01
66,0.015+-0.004,1.27+-0.03,0.679+-0.006,0.986+-0.001,0.679+-0.006,0.597+-0.005,0.674+-0.006
67,0.012+-0.005,1.278+-0.041,0.681+-0.001,0.986+-0.001,0.681+-0.001,0.6+-0.01,0.676+-0.001
68,0.009+-0.003,1.281+-0.022,0.68+-0.009,0.986+-0.0,0.68+-0.009,0.602+-0.002,0.675+-0.007
69,0.009+-0.003,1.296+-0.018,0.679+-0.005,0.986+-0.0,0.679+-0.005,0.602+-0.014,0.674+-0.003
70,0.008+-0.002,1.29+-0.04,0.683+-0.003,0.986+-0.001,0.683+-0.003,0.601+-0.019,0.677+-0.002
71,0.007+-0.001,1.322+-0.029,0.681+-0.006,0.986+-0.001,0.681+-0.006,0.603+-0.01,0.676+-0.007
72,0.005+-0.001,1.311+-0.016,0.684+-0.005,0.986+-0.001,0.684+-0.005,0.602+-0.003,0.678+-0.004
73,0.005+-0.001,1.311+-0.022,0.682+-0.007,0.986+-0.001,0.682+-0.007,0.602+-0.005,0.677+-0.005
74,0.005+-0.002,1.332+-0.023,0.683+-0.004,0.986+-0.001,0.683+-0.004,0.598+-0.016,0.678+-0.002
75,0.005+-0.002,1.329+-0.068,0.682+-0.01,0.986+-0.0,0.682+-0.01,0.596+-0.009,0.678+-0.009
76,0.004+-0.0,1.329+-0.03,0.684+-0.008,0.986+-0.002,0.684+-0.008,0.6+-0.016,0.68+-0.007
77,0.004+-0.001,1.339+-0.02,0.687+-0.004,0.985+-0.002,0.687+-0.004,0.596+-0.009,0.681+-0.003
78,0.003+-0.0,1.333+-0.021,0.685+-0.009,0.986+-0.001,0.685+-0.009,0.597+-0.009,0.679+-0.006
79,0.002+-0.001,1.332+-0.018,0.687+-0.006,0.986+-0.001,0.687+-0.006,0.601+-0.012,0.682+-0.006
80,0.002+-0.0,1.349+-0.028,0.686+-0.002,0.987+-0.001,0.686+-0.002,0.597+-0.009,0.681+-0.002
81,0.003+-0.001,1.406+-0.112,0.683+-0.009,0.984+-0.003,0.683+-0.009,0.577+-0.049,0.676+-0.011
82,0.002+-0.001,1.359+-0.014,0.687+-0.007,0.987+-0.001,0.687+-0.007,0.609+-0.005,0.682+-0.005
83,0.002+-0.0,1.359+-0.016,0.689+-0.004,0.986+-0.001,0.689+-0.004,0.606+-0.006,0.684+-0.003
84,0.002+-0.0,1.355+-0.032,0.686+-0.008,0.986+-0.002,0.686+-0.008,0.6+-0.01,0.681+-0.006
85,0.002+-0.0,1.362+-0.019,0.688+-0.006,0.986+-0.001,0.688+-0.006,0.605+-0.005,0.683+-0.004
86,0.001+-0.001,1.358+-0.025,0.688+-0.006,0.986+-0.001,0.688+-0.006,0.612+-0.007,0.685+-0.006
87,0.003+-0.001,1.376+-0.019,0.688+-0.01,0.986+-0.002,0.688+-0.01,0.605+-0.003,0.682+-0.008
88,0.001+-0.001,1.368+-0.02,0.688+-0.006,0.986+-0.002,0.688+-0.006,0.61+-0.002,0.683+-0.004
89,0.002+-0.0,1.378+-0.014,0.689+-0.005,0.986+-0.001,0.689+-0.005,0.607+-0.003,0.684+-0.004
90,0.001+-0.0,1.378+-0.003,0.69+-0.004,0.987+-0.001,0.69+-0.004,0.608+-0.003,0.685+-0.003
91,0.001+-0.001,1.382+-0.011,0.69+-0.005,0.986+-0.001,0.69+-0.005,0.607+-0.004,0.685+-0.004
92,0.001+-0.0,1.39+-0.017,0.69+-0.007,0.986+-0.0,0.69+-0.007,0.608+-0.005,0.685+-0.005
93,0.001+-0.0,1.38+-0.034,0.689+-0.005,0.986+-0.002,0.689+-0.005,0.603+-0.004,0.684+-0.003
94,0.001+-0.001,1.38+-0.022,0.686+-0.006,0.986+-0.001,0.686+-0.006,0.605+-0.003,0.683+-0.006
95,0.001+-0.001,1.392+-0.013,0.686+-0.006,0.986+-0.001,0.686+-0.006,0.601+-0.008,0.681+-0.005
96,0.001+-0.0,1.394+-0.016,0.689+-0.004,0.986+-0.001,0.689+-0.004,0.603+-0.006,0.684+-0.004
97,0.001+-0.0,1.393+-0.009,0.692+-0.005,0.986+-0.001,0.692+-0.005,0.611+-0.002,0.687+-0.004
98,0.001+-0.001,1.404+-0.022,0.69+-0.005,0.986+-0.001,0.69+-0.005,0.602+-0.009,0.685+-0.005
99,0.001+-0.001,1.397+-0.011,0.69+-0.005,0.987+-0.001,0.69+-0.005,0.604+-0.001,0.685+-0.004
