epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.241+-0.05,1.33+-0.21,0.513+-0.064,0.961+-0.012,0.513+-0.064,0.485+-0.035,0.513+-0.074
1,0.759+-0.018,1.164+-0.068,0.569+-0.029,0.974+-0.002,0.569+-0.029,0.513+-0.019,0.572+-0.022
2,0.657+-0.03,1.146+-0.043,0.573+-0.03,0.979+-0.002,0.573+-0.03,0.527+-0.002,0.577+-0.039
3,0.591+-0.04,1.055+-0.056,0.599+-0.023,0.982+-0.002,0.599+-0.023,0.537+-0.018,0.604+-0.028
4,0.534+-0.015,1.147+-0.159,0.572+-0.05,0.98+-0.008,0.572+-0.05,0.526+-0.023,0.571+-0.056
5,0.508+-0.03,1.027+-0.006,0.621+-0.007,0.985+-0.001,0.621+-0.007,0.549+-0.009,0.631+-0.011
6,0.489+-0.044,1.077+-0.071,0.607+-0.03,0.983+-0.004,0.607+-0.03,0.543+-0.022,0.616+-0.026
7,0.502+-0.048,1.044+-0.041,0.611+-0.01,0.984+-0.002,0.611+-0.01,0.551+-0.01,0.62+-0.01
8,0.46+-0.019,1.02+-0.042,0.632+-0.01,0.983+-0.004,0.632+-0.01,0.561+-0.022,0.637+-0.011
9,0.461+-0.019,1.025+-0.074,0.623+-0.023,0.985+-0.002,0.623+-0.023,0.56+-0.004,0.63+-0.022
10,0.444+-0.013,1.034+-0.064,0.632+-0.017,0.985+-0.001,0.632+-0.017,0.559+-0.002,0.637+-0.016
11,0.458+-0.042,1.033+-0.045,0.634+-0.016,0.985+-0.003,0.634+-0.016,0.563+-0.007,0.636+-0.017
12,0.436+-0.046,1.04+-0.057,0.62+-0.019,0.985+-0.002,0.62+-0.019,0.559+-0.011,0.627+-0.021
13,0.429+-0.021,1.066+-0.053,0.615+-0.017,0.985+-0.001,0.615+-0.017,0.553+-0.002,0.62+-0.02
14,0.411+-0.012,1.065+-0.084,0.615+-0.03,0.987+-0.003,0.615+-0.03,0.553+-0.037,0.622+-0.024
15,0.397+-0.008,1.102+-0.059,0.609+-0.013,0.984+-0.001,0.609+-0.013,0.548+-0.005,0.614+-0.018
16,0.408+-0.021,1.123+-0.101,0.613+-0.037,0.981+-0.004,0.613+-0.037,0.541+-0.025,0.612+-0.049
17,0.428+-0.031,1.111+-0.055,0.61+-0.023,0.986+-0.002,0.61+-0.023,0.552+-0.023,0.613+-0.021
18,0.394+-0.023,1.002+-0.042,0.649+-0.01,0.987+-0.002,0.649+-0.01,0.57+-0.02,0.653+-0.009
19,0.411+-0.029,1.136+-0.082,0.604+-0.029,0.985+-0.003,0.604+-0.029,0.546+-0.034,0.611+-0.025
20,0.372+-0.031,0.985+-0.008,0.652+-0.005,0.987+-0.002,0.652+-0.005,0.568+-0.014,0.654+-0.004
21,0.382+-0.017,1.08+-0.043,0.622+-0.022,0.987+-0.001,0.622+-0.022,0.563+-0.02,0.623+-0.024
