epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.566,1.429,0.476,0.945,0.476,0.443,0.486,
1,0.989,1.172,0.555,0.978,0.555,0.526,0.564,
2,0.82,1.203,0.544,0.978,0.544,0.508,0.554,
3,0.737,1.081,0.591,0.98,0.591,0.545,0.598,
4,0.676,1.076,0.572,0.983,0.572,0.543,0.578,
5,0.594,1.016,0.6,0.986,0.6,0.561,0.606,
6,0.554,1.026,0.608,0.988,0.608,0.573,0.611,
7,0.504,0.925,0.643,0.987,0.643,0.612,0.647,
8,0.482,0.896,0.646,0.991,0.646,0.603,0.647,
9,0.425,0.827,0.679,0.99,0.679,0.629,0.681,
10,0.411,0.938,0.631,0.986,0.631,0.585,0.638,
11,0.391,0.993,0.616,0.988,0.616,0.587,0.621,
12,0.368,0.9,0.641,0.989,0.641,0.606,0.634,
13,0.353,0.902,0.654,0.992,0.654,0.616,0.658,
14,0.328,0.819,0.69,0.99,0.69,0.626,0.692,
15,0.314,0.935,0.637,0.989,0.637,0.59,0.634,
16,0.299,0.835,0.677,0.992,0.677,0.636,0.678,
17,0.278,0.872,0.674,0.989,0.674,0.621,0.67,
18,0.272,0.817,0.694,0.99,0.694,0.631,0.69,
19,0.244,0.884,0.669,0.991,0.669,0.625,0.671,
20,0.227,0.894,0.667,0.991,0.667,0.619,0.665,
21,0.224,0.9,0.672,0.992,0.672,0.629,0.666,
22,0.212,0.864,0.683,0.991,0.683,0.634,0.683,
23,0.2,0.915,0.676,0.991,0.676,0.625,0.676,
24,0.182,0.82,0.699,0.99,0.699,0.627,0.696,
25,0.17,0.839,0.701,0.99,0.701,0.625,0.697,
26,0.174,0.907,0.676,0.987,0.676,0.607,0.674,
27,0.157,0.854,0.691,0.989,0.691,0.636,0.694,
28,0.148,1.295,0.631,0.987,0.631,0.595,0.624,
29,0.142,0.914,0.684,0.99,0.684,0.623,0.682,
30,0.126,0.878,0.704,0.989,0.704,0.632,0.702,
31,0.112,1.041,0.674,0.99,0.674,0.624,0.675,
32,0.112,0.902,0.701,0.99,0.701,0.636,0.702,
33,0.105,0.952,0.693,0.991,0.693,0.629,0.691,
34,0.095,0.979,0.705,0.989,0.705,0.619,0.695,
35,0.089,1.02,0.681,0.989,0.681,0.63,0.679,
36,0.085,0.987,0.692,0.989,0.692,0.623,0.69,
37,0.076,0.998,0.705,0.987,0.705,0.629,0.698,
38,0.064,0.965,0.704,0.989,0.704,0.641,0.7,
39,0.064,1.193,0.646,0.984,0.646,0.614,0.639,
