epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.021,0.056,0.023,0.011,0.023,0.03,0.015,
1,0.025,0.013,0.007,0.005,0.007,0.005,0.008,
2,0.018,0.119,0.053,0.003,0.053,0.034,0.053,
3,0.022,0.031,0.02,0.001,0.02,0.021,0.019,
4,0.028,0.07,0.033,0.003,0.033,0.017,0.032,
5,0.027,0.024,0.007,0.005,0.007,0.016,0.002,
6,0.032,0.19,0.064,0.002,0.064,0.041,0.068,
7,0.03,0.028,0.013,0.001,0.013,0.01,0.011,
8,0.015,0.057,0.03,0.001,0.03,0.017,0.027,
9,0.017,0.003,0.011,0.001,0.011,0.006,0.011,
10,0.03,0.145,0.056,0.004,0.056,0.033,0.052,
11,0.024,0.316,0.114,0.009,0.114,0.06,0.109,
12,0.015,0.024,0.01,0.002,0.01,0.007,0.017,
13,0.01,0.12,0.028,0.001,0.028,0.016,0.022,
14,0.017,0.058,0.007,0.001,0.007,0.013,0.006,
15,0.014,0.245,0.093,0.005,0.093,0.067,0.098,
16,0.026,0.047,0.025,0.002,0.025,0.006,0.027,
17,0.023,0.115,0.045,0.002,0.045,0.015,0.041,
18,0.01,0.052,0.014,0.001,0.014,0.02,0.013,
19,0.019,0.038,0.011,0.002,0.011,0.007,0.008,
20,0.022,0.14,0.05,0.002,0.05,0.027,0.051,
21,0.012,0.174,0.051,0.002,0.051,0.027,0.061,
22,0.015,0.051,0.009,0.002,0.009,0.012,0.007,
23,0.019,0.046,0.025,0.001,0.025,0.009,0.022,
24,0.024,0.015,0.009,0.002,0.009,0.011,0.011,
25,0.011,0.03,0.006,0.004,0.006,0.017,0.011,
26,0.015,0.059,0.031,0.002,0.031,0.017,0.03,
27,0.01,0.023,0.02,0.001,0.02,0.013,0.018,
28,0.014,0.391,0.079,0.002,0.079,0.046,0.079,
29,0.013,0.045,0.006,0.003,0.006,0.005,0.003,
30,0.013,0.056,0.007,0.002,0.007,0.006,0.006,
31,0.016,0.139,0.026,0.002,0.026,0.016,0.024,
32,0.012,0.031,0.004,0.003,0.004,0.007,0.006,
33,0.022,0.036,0.013,0.002,0.013,0.027,0.011,
34,0.034,0.171,0.024,0.002,0.024,0.042,0.035,
35,0.01,0.114,0.019,0.001,0.019,0.009,0.019,
