epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.371+-0.033,1.362+-0.11,0.547+-0.04,0.962+-0.01,0.547+-0.04,0.502+-0.035,0.548+-0.044
1,0.93+-0.033,1.272+-0.145,0.565+-0.049,0.977+-0.007,0.565+-0.049,0.513+-0.016,0.568+-0.058
2,0.773+-0.037,1.159+-0.16,0.591+-0.057,0.977+-0.01,0.591+-0.057,0.531+-0.019,0.587+-0.072
3,0.665+-0.014,1.067+-0.107,0.617+-0.03,0.981+-0.008,0.617+-0.03,0.539+-0.022,0.628+-0.027
4,0.597+-0.025,1.066+-0.078,0.616+-0.02,0.984+-0.001,0.616+-0.02,0.546+-0.025,0.622+-0.016
5,0.577+-0.022,1.001+-0.018,0.632+-0.012,0.986+-0.001,0.632+-0.012,0.561+-0.013,0.641+-0.012
6,0.545+-0.014,1.072+-0.138,0.618+-0.044,0.984+-0.003,0.618+-0.044,0.547+-0.039,0.624+-0.044
7,0.531+-0.017,1.122+-0.055,0.607+-0.024,0.982+-0.002,0.607+-0.024,0.533+-0.016,0.614+-0.03
8,0.545+-0.007,1.118+-0.16,0.615+-0.039,0.98+-0.006,0.615+-0.039,0.54+-0.026,0.623+-0.037
9,0.531+-0.006,1.091+-0.038,0.614+-0.012,0.985+-0.002,0.614+-0.012,0.548+-0.012,0.619+-0.011
10,0.52+-0.011,1.052+-0.079,0.62+-0.027,0.985+-0.002,0.62+-0.027,0.557+-0.021,0.626+-0.024
11,0.502+-0.009,1.085+-0.062,0.613+-0.012,0.983+-0.005,0.613+-0.012,0.544+-0.011,0.622+-0.014
12,0.498+-0.009,1.087+-0.027,0.608+-0.009,0.985+-0.001,0.608+-0.009,0.545+-0.015,0.619+-0.01
13,0.49+-0.018,1.039+-0.046,0.636+-0.021,0.985+-0.002,0.636+-0.021,0.56+-0.021,0.643+-0.018
14,0.491+-0.015,1.008+-0.05,0.642+-0.017,0.986+-0.001,0.642+-0.017,0.569+-0.012,0.649+-0.014
15,0.503+-0.006,1.08+-0.093,0.618+-0.034,0.988+-0.003,0.618+-0.034,0.557+-0.024,0.621+-0.035
16,0.522+-0.043,1.218+-0.108,0.607+-0.021,0.98+-0.009,0.607+-0.021,0.544+-0.023,0.609+-0.019
17,0.507+-0.041,1.238+-0.183,0.59+-0.049,0.983+-0.005,0.59+-0.049,0.527+-0.036,0.603+-0.049
18,0.491+-0.021,1.108+-0.027,0.611+-0.008,0.985+-0.001,0.611+-0.008,0.549+-0.016,0.617+-0.007
19,0.491+-0.017,1.014+-0.069,0.643+-0.023,0.988+-0.001,0.643+-0.023,0.571+-0.017,0.644+-0.027
20,0.475+-0.01,1.066+-0.113,0.63+-0.039,0.988+-0.001,0.63+-0.039,0.562+-0.028,0.633+-0.047
21,0.481+-0.019,1.095+-0.087,0.632+-0.025,0.985+-0.001,0.632+-0.025,0.558+-0.015,0.638+-0.024
22,0.497+-0.008,1.084+-0.052,0.626+-0.026,0.985+-0.002,0.626+-0.026,0.555+-0.006,0.631+-0.022
23,0.464+-0.005,1.156+-0.191,0.607+-0.051,0.985+-0.003,0.607+-0.051,0.546+-0.034,0.612+-0.056
24,0.472+-0.016,1.101+-0.046,0.621+-0.01,0.985+-0.002,0.621+-0.01,0.554+-0.005,0.626+-0.013
25,0.484+-0.026,1.173+-0.069,0.6+-0.015,0.986+-0.001,0.6+-0.015,0.55+-0.016,0.605+-0.017
26,0.49+-0.043,1.046+-0.066,0.655+-0.02,0.985+-0.001,0.655+-0.02,0.567+-0.02,0.655+-0.019
27,0.502+-0.061,1.141+-0.085,0.609+-0.025,0.985+-0.003,0.609+-0.025,0.549+-0.026,0.611+-0.031
28,0.461+-0.012,1.061+-0.079,0.645+-0.028,0.985+-0.003,0.645+-0.028,0.562+-0.014,0.65+-0.027
29,0.437+-0.006,1.06+-0.009,0.635+-0.006,0.986+-0.001,0.635+-0.006,0.567+-0.006,0.641+-0.006
30,0.423+-0.004,1.084+-0.07,0.632+-0.013,0.985+-0.002,0.632+-0.013,0.559+-0.011,0.638+-0.011
31,0.451+-0.028,1.106+-0.093,0.622+-0.026,0.985+-0.002,0.622+-0.026,0.554+-0.014,0.63+-0.027
32,0.467+-0.006,1.154+-0.138,0.608+-0.044,0.986+-0.003,0.608+-0.044,0.548+-0.023,0.612+-0.055
33,0.44+-0.025,1.079+-0.034,0.64+-0.015,0.986+-0.001,0.64+-0.015,0.563+-0.008,0.645+-0.013
34,0.457+-0.025,1.136+-0.195,0.622+-0.058,0.984+-0.003,0.622+-0.058,0.558+-0.037,0.625+-0.055
35,0.461+-0.04,1.1+-0.08,0.623+-0.025,0.985+-0.001,0.623+-0.025,0.563+-0.024,0.624+-0.032
36,0.447+-0.015,1.149+-0.075,0.608+-0.02,0.985+-0.001,0.608+-0.02,0.544+-0.02,0.616+-0.02
37,0.437+-0.014,1.101+-0.031,0.628+-0.002,0.985+-0.004,0.628+-0.002,0.559+-0.005,0.636+-0.002
38,0.447+-0.006,1.119+-0.07,0.624+-0.022,0.986+-0.001,0.624+-0.022,0.557+-0.02,0.633+-0.021
39,0.426+-0.02,1.172+-0.07,0.608+-0.024,0.985+-0.002,0.608+-0.024,0.547+-0.023,0.615+-0.023
40,0.446+-0.019,1.132+-0.134,0.619+-0.04,0.987+-0.001,0.619+-0.04,0.554+-0.036,0.625+-0.044
41,0.44+-0.021,1.173+-0.091,0.605+-0.026,0.986+-0.003,0.605+-0.026,0.539+-0.02,0.613+-0.028
42,0.445+-0.028,1.166+-0.153,0.61+-0.044,0.984+-0.003,0.61+-0.044,0.545+-0.019,0.615+-0.043
43,0.427+-0.009,1.132+-0.14,0.618+-0.044,0.986+-0.001,0.618+-0.044,0.554+-0.031,0.627+-0.041
44,0.425+-0.014,1.07+-0.055,0.637+-0.02,0.985+-0.004,0.637+-0.02,0.561+-0.028,0.647+-0.016
45,0.434+-0.009,1.077+-0.087,0.641+-0.029,0.987+-0.002,0.641+-0.029,0.566+-0.02,0.645+-0.028
46,0.428+-0.005,1.073+-0.057,0.639+-0.015,0.987+-0.001,0.639+-0.015,0.567+-0.002,0.643+-0.017
47,0.427+-0.014,1.11+-0.015,0.62+-0.006,0.986+-0.002,0.62+-0.006,0.559+-0.005,0.626+-0.011
48,0.429+-0.015,1.137+-0.051,0.627+-0.009,0.984+-0.001,0.627+-0.009,0.553+-0.011,0.635+-0.008
49,0.438+-0.02,1.041+-0.084,0.651+-0.023,0.987+-0.001,0.651+-0.023,0.567+-0.008,0.654+-0.023
50,0.327+-0.012,0.944+-0.021,0.682+-0.006,0.99+-0.001,0.682+-0.006,0.603+-0.013,0.685+-0.006
51,0.196+-0.005,0.891+-0.022,0.695+-0.008,0.991+-0.002,0.695+-0.008,0.625+-0.016,0.696+-0.008
52,0.125+-0.011,0.858+-0.016,0.714+-0.008,0.991+-0.001,0.714+-0.008,0.631+-0.018,0.712+-0.008
53,0.089+-0.002,0.859+-0.029,0.721+-0.012,0.99+-0.003,0.721+-0.012,0.64+-0.015,0.72+-0.011
54,0.065+-0.003,0.854+-0.01,0.727+-0.005,0.99+-0.001,0.727+-0.005,0.641+-0.009,0.725+-0.005
55,0.045+-0.005,0.855+-0.008,0.732+-0.008,0.989+-0.001,0.732+-0.008,0.642+-0.021,0.73+-0.009
56,0.04+-0.004,0.863+-0.015,0.733+-0.009,0.99+-0.001,0.733+-0.009,0.642+-0.014,0.73+-0.008
57,0.031+-0.002,0.865+-0.005,0.737+-0.004,0.989+-0.002,0.737+-0.004,0.644+-0.012,0.734+-0.005
58,0.025+-0.002,0.876+-0.009,0.74+-0.009,0.989+-0.002,0.74+-0.009,0.639+-0.012,0.736+-0.009
