epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.176,0.971,0.641,0.98,0.641,0.602,0.647,
1,0.555,0.824,0.677,0.989,0.677,0.64,0.68,
2,0.408,0.737,0.706,0.992,0.706,0.667,0.708,
3,0.314,0.714,0.717,0.992,0.717,0.68,0.718,
4,0.251,0.699,0.723,0.994,0.723,0.681,0.726,
5,0.212,0.675,0.738,0.994,0.738,0.694,0.74,
6,0.173,0.69,0.731,0.994,0.731,0.689,0.732,
7,0.142,0.658,0.752,0.994,0.752,0.696,0.752,
8,0.12,0.672,0.748,0.994,0.748,0.697,0.748,
9,0.097,0.69,0.75,0.994,0.75,0.693,0.749,
10,0.079,0.712,0.745,0.994,0.745,0.698,0.746,
11,0.071,0.706,0.758,0.994,0.758,0.702,0.757,
12,0.053,0.718,0.754,0.994,0.754,0.698,0.754,
13,0.045,0.74,0.753,0.993,0.753,0.696,0.752,
14,0.037,0.749,0.756,0.994,0.756,0.696,0.755,
15,0.032,0.766,0.76,0.994,0.76,0.7,0.757,
16,0.026,0.772,0.759,0.993,0.759,0.695,0.758,
17,0.022,0.775,0.76,0.993,0.76,0.699,0.758,
18,0.022,0.78,0.756,0.993,0.756,0.698,0.754,
19,0.018,0.789,0.761,0.992,0.761,0.699,0.76,
20,0.016,0.81,0.762,0.993,0.762,0.697,0.76,
21,0.013,0.829,0.759,0.992,0.759,0.697,0.756,
22,0.012,0.827,0.757,0.992,0.757,0.696,0.755,
23,0.01,0.843,0.759,0.992,0.759,0.696,0.757,
24,0.008,0.851,0.76,0.992,0.76,0.697,0.758,
25,0.008,0.86,0.758,0.992,0.758,0.699,0.756,
26,0.007,0.86,0.76,0.992,0.76,0.7,0.758,
27,0.007,0.866,0.76,0.991,0.76,0.697,0.757,
28,0.006,0.883,0.761,0.992,0.761,0.7,0.758,
29,0.006,0.879,0.758,0.991,0.758,0.698,0.756,
30,0.005,0.892,0.757,0.991,0.757,0.695,0.755,
31,0.005,0.89,0.756,0.991,0.756,0.694,0.754,
32,0.005,0.895,0.759,0.991,0.759,0.697,0.757,
33,0.004,0.9,0.76,0.991,0.76,0.697,0.758,
34,0.004,0.91,0.761,0.991,0.761,0.698,0.759,
35,0.004,0.91,0.758,0.991,0.758,0.696,0.755,
36,0.004,0.917,0.761,0.991,0.761,0.7,0.758,
37,0.004,0.926,0.76,0.991,0.76,0.697,0.758,
38,0.003,0.922,0.76,0.991,0.76,0.696,0.758,
39,0.003,0.941,0.76,0.991,0.76,0.697,0.758,
40,0.003,0.941,0.76,0.991,0.76,0.697,0.758,
41,0.003,0.947,0.758,0.99,0.758,0.697,0.756,
42,0.003,0.951,0.76,0.99,0.76,0.696,0.757,
43,0.003,0.958,0.758,0.99,0.758,0.694,0.756,
44,0.003,0.964,0.757,0.991,0.757,0.696,0.755,
45,0.002,0.958,0.758,0.991,0.758,0.695,0.756,
46,0.002,0.961,0.758,0.99,0.758,0.695,0.756,
47,0.002,0.972,0.757,0.991,0.757,0.696,0.754,
48,0.002,0.966,0.759,0.99,0.759,0.692,0.757,
49,0.002,0.978,0.758,0.99,0.758,0.695,0.755,
50,0.002,0.97,0.758,0.99,0.758,0.696,0.756,
51,0.002,0.981,0.758,0.99,0.758,0.695,0.756,
52,0.002,0.979,0.757,0.99,0.757,0.692,0.755,
53,0.002,0.989,0.758,0.99,0.758,0.692,0.756,
54,0.002,0.99,0.755,0.99,0.755,0.695,0.753,
55,0.002,0.989,0.761,0.99,0.761,0.695,0.759,
56,0.002,0.991,0.76,0.99,0.76,0.695,0.758,
57,0.002,0.985,0.76,0.99,0.76,0.698,0.758,
58,0.002,1.005,0.758,0.99,0.758,0.691,0.754,
59,0.001,1.009,0.759,0.991,0.759,0.695,0.756,
60,0.002,0.999,0.759,0.99,0.759,0.695,0.756,
61,0.001,1.008,0.758,0.99,0.758,0.691,0.755,
62,0.001,1.017,0.759,0.99,0.759,0.695,0.756,
63,0.001,1.009,0.758,0.99,0.758,0.693,0.756,
64,0.001,1.022,0.76,0.99,0.76,0.694,0.757,
65,0.002,1.01,0.757,0.99,0.757,0.692,0.754,
66,0.001,1.017,0.756,0.99,0.756,0.692,0.754,
67,0.001,1.025,0.759,0.99,0.759,0.694,0.756,
68,0.001,1.026,0.758,0.989,0.758,0.693,0.755,
69,0.001,1.021,0.76,0.99,0.76,0.695,0.758,
70,0.001,1.024,0.759,0.99,0.759,0.696,0.757,
71,0.001,1.032,0.76,0.99,0.76,0.695,0.757,
72,0.001,1.026,0.759,0.991,0.759,0.695,0.757,
73,0.001,1.035,0.758,0.99,0.758,0.694,0.756,
74,0.001,1.048,0.757,0.989,0.757,0.694,0.754,
75,0.001,1.029,0.758,0.99,0.758,0.692,0.756,
76,0.001,1.053,0.76,0.99,0.76,0.695,0.757,
77,0.001,1.04,0.757,0.99,0.757,0.693,0.755,
78,0.001,1.045,0.756,0.99,0.756,0.69,0.754,
