epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.589,1.872,0.304,0.915,0.304,0.287,0.312,
1,1.208,1.774,0.383,0.943,0.383,0.351,0.411,
2,1.09,1.576,0.461,0.934,0.461,0.408,0.483,
3,0.979,1.303,0.499,0.978,0.499,0.477,0.504,
4,0.899,1.375,0.504,0.967,0.504,0.449,0.513,
5,0.85,1.223,0.545,0.975,0.545,0.497,0.56,
6,0.792,1.096,0.588,0.987,0.588,0.54,0.594,
7,0.73,1.11,0.568,0.981,0.568,0.522,0.576,
8,0.664,1.131,0.556,0.987,0.556,0.528,0.551,
9,0.623,1.173,0.547,0.987,0.547,0.535,0.544,
10,0.585,1.279,0.517,0.988,0.517,0.499,0.501,
11,0.525,1.035,0.591,0.987,0.591,0.567,0.59,
12,0.49,1.05,0.599,0.988,0.599,0.556,0.6,
13,0.453,1.083,0.599,0.985,0.599,0.556,0.595,
14,0.418,1.052,0.613,0.986,0.613,0.584,0.615,
15,0.395,1.117,0.601,0.986,0.601,0.546,0.593,
16,0.364,1.149,0.598,0.983,0.598,0.562,0.591,
17,0.352,0.983,0.642,0.984,0.642,0.568,0.643,
18,0.315,1.035,0.632,0.983,0.632,0.566,0.629,
19,0.286,1.101,0.639,0.981,0.639,0.542,0.635,
20,0.265,1.216,0.603,0.982,0.603,0.536,0.586,
21,0.245,1.106,0.649,0.982,0.649,0.567,0.645,
22,0.21,1.217,0.618,0.982,0.618,0.538,0.614,
23,0.18,1.207,0.637,0.982,0.637,0.544,0.63,
24,0.154,1.284,0.637,0.982,0.637,0.572,0.634,
25,0.145,1.31,0.647,0.981,0.647,0.56,0.64,
26,0.131,1.478,0.605,0.98,0.605,0.536,0.6,
27,0.133,1.496,0.621,0.978,0.621,0.536,0.616,
28,0.107,1.467,0.622,0.981,0.622,0.555,0.621,
29,0.096,1.484,0.624,0.981,0.624,0.553,0.62,
30,0.091,1.601,0.612,0.977,0.612,0.529,0.599,
31,0.08,1.52,0.641,0.976,0.641,0.545,0.634,
32,0.064,1.54,0.638,0.977,0.638,0.553,0.632,
33,0.05,1.623,0.65,0.98,0.65,0.561,0.644,
34,0.042,1.59,0.645,0.979,0.645,0.561,0.64,
