epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.036,0.04,0.015,0.004,0.015,0.016,0.016,
1,0.031,0.069,0.013,0.001,0.013,0.025,0.012,
2,0.011,0.095,0.036,0.002,0.036,0.024,0.037,
3,0.021,0.04,0.02,0.001,0.02,0.007,0.018,
4,0.027,0.134,0.036,0.002,0.036,0.021,0.041,
5,0.013,0.041,0.007,0.001,0.007,0.008,0.006,
6,0.007,0.021,0.011,0.0,0.011,0.013,0.009,
7,0.013,0.042,0.007,0.001,0.007,0.009,0.005,
8,0.011,0.107,0.023,0.001,0.023,0.011,0.023,
9,0.013,0.049,0.011,0.002,0.011,0.01,0.008,
10,0.004,0.05,0.007,0.001,0.007,0.006,0.005,
11,0.003,0.14,0.022,0.001,0.022,0.016,0.021,
12,0.003,0.049,0.011,0.002,0.011,0.008,0.009,
13,0.008,0.026,0.014,0.001,0.014,0.017,0.012,
14,0.007,0.047,0.01,0.001,0.01,0.008,0.007,
15,0.004,0.102,0.004,0.001,0.004,0.014,0.002,
16,0.005,0.067,0.009,0.001,0.009,0.016,0.008,
17,0.009,0.045,0.007,0.001,0.007,0.011,0.005,
18,0.01,0.052,0.003,0.002,0.003,0.009,0.002,
19,0.004,0.029,0.005,0.001,0.005,0.002,0.006,
20,0.006,0.055,0.002,0.001,0.002,0.006,0.001,
21,0.005,0.022,0.006,0.002,0.006,0.005,0.006,
22,0.01,0.032,0.002,0.002,0.002,0.022,0.002,
23,0.006,0.059,0.004,0.001,0.004,0.007,0.002,
24,0.004,0.075,0.006,0.001,0.006,0.013,0.007,
25,0.004,0.089,0.004,0.001,0.004,0.001,0.003,
26,0.002,0.019,0.008,0.001,0.008,0.007,0.006,
27,0.003,0.109,0.004,0.001,0.004,0.002,0.004,
28,0.002,0.092,0.007,0.001,0.007,0.007,0.004,
29,0.001,0.067,0.009,0.001,0.009,0.021,0.009,
30,0.001,0.089,0.005,0.002,0.005,0.009,0.004,
31,0.005,0.07,0.009,0.002,0.009,0.006,0.009,
32,0.003,0.067,0.006,0.002,0.006,0.007,0.004,
33,0.004,0.08,0.009,0.001,0.009,0.005,0.007,
34,0.002,0.045,0.002,0.003,0.002,0.008,0.003,
35,0.004,0.006,0.006,0.001,0.006,0.025,0.007,
36,0.003,0.054,0.006,0.001,0.006,0.009,0.006,
37,0.006,0.028,0.009,0.001,0.009,0.008,0.007,
38,0.004,0.069,0.006,0.001,0.006,0.007,0.005,
39,0.002,0.015,0.007,0.001,0.007,0.01,0.007,
40,0.002,0.032,0.004,0.001,0.004,0.004,0.005,
41,0.001,0.003,0.005,0.001,0.005,0.007,0.006,
42,0.001,0.061,0.005,0.001,0.005,0.014,0.004,
43,0.004,0.045,0.006,0.001,0.006,0.009,0.005,
44,0.003,0.026,0.008,0.002,0.008,0.005,0.008,
45,0.002,0.013,0.005,0.002,0.005,0.012,0.005,
46,0.004,0.037,0.011,0.001,0.011,0.014,0.008,
47,0.004,0.051,0.006,0.001,0.006,0.01,0.004,
48,0.005,0.025,0.01,0.002,0.01,0.008,0.009,
49,0.002,0.069,0.004,0.001,0.004,0.004,0.003,
50,0.003,0.068,0.01,0.001,0.01,0.005,0.008,
51,0.005,0.106,0.005,0.001,0.005,0.005,0.006,
52,0.003,0.013,0.012,0.001,0.012,0.005,0.01,
53,0.003,0.109,0.008,0.001,0.008,0.005,0.008,
54,0.002,0.076,0.003,0.001,0.003,0.003,0.002,
55,0.001,0.072,0.006,0.001,0.006,0.03,0.007,
56,0.001,0.092,0.003,0.001,0.003,0.006,0.002,
57,0.002,0.029,0.003,0.002,0.003,0.031,0.004,
58,0.002,0.039,0.003,0.001,0.003,0.02,0.002,
59,0.001,0.085,0.005,0.002,0.005,0.017,0.004,
60,0.001,0.131,0.001,0.0,0.001,0.027,0.001,
61,0.001,0.04,0.006,0.001,0.006,0.012,0.006,
62,0.001,0.063,0.004,0.001,0.004,0.016,0.004,
63,0.001,0.068,0.004,0.001,0.004,0.009,0.003,
64,0.001,0.053,0.009,0.001,0.009,0.012,0.009,
65,0.001,0.035,0.005,0.001,0.005,0.022,0.006,
66,0.001,0.032,0.004,0.002,0.004,0.01,0.004,
67,0.001,0.075,0.003,0.002,0.003,0.018,0.003,
68,0.001,0.032,0.002,0.002,0.002,0.01,0.003,
69,0.0,0.102,0.003,0.001,0.003,0.012,0.003,
70,0.001,0.058,0.006,0.002,0.006,0.022,0.005,
