epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.009,0.104,0.039,0.005,0.039,0.031,0.035,
1,0.028,0.075,0.029,0.004,0.029,0.014,0.023,
2,0.005,0.135,0.055,0.005,0.055,0.026,0.044,
3,0.015,0.092,0.025,0.007,0.025,0.02,0.021,
4,0.022,0.111,0.031,0.006,0.031,0.017,0.014,
5,0.008,0.072,0.026,0.002,0.026,0.013,0.022,
6,0.003,0.089,0.029,0.002,0.029,0.026,0.033,
7,0.008,0.082,0.022,0.001,0.022,0.008,0.019,
8,0.015,0.102,0.027,0.003,0.027,0.021,0.04,
9,0.015,0.047,0.012,0.001,0.012,0.019,0.009,
10,0.007,0.187,0.063,0.008,0.063,0.045,0.078,
11,0.011,0.212,0.04,0.006,0.04,0.034,0.06,
12,0.009,0.043,0.013,0.002,0.013,0.011,0.018,
13,0.006,0.086,0.027,0.006,0.027,0.014,0.015,
14,0.008,0.043,0.016,0.002,0.016,0.002,0.02,
15,0.011,0.087,0.027,0.002,0.027,0.008,0.035,
16,0.006,0.139,0.038,0.005,0.038,0.032,0.039,
17,0.01,0.126,0.037,0.004,0.037,0.021,0.033,
18,0.006,0.066,0.022,0.002,0.022,0.012,0.023,
19,0.02,0.243,0.07,0.007,0.07,0.043,0.086,
20,0.0,0.136,0.038,0.005,0.038,0.029,0.043,
21,0.017,0.079,0.027,0.002,0.027,0.019,0.026,
22,0.01,0.052,0.004,0.002,0.004,0.004,0.001,
23,0.007,0.209,0.057,0.004,0.057,0.042,0.074,
24,0.008,0.055,0.015,0.002,0.015,0.01,0.016,
25,0.027,0.075,0.024,0.002,0.024,0.012,0.024,
26,0.006,0.139,0.037,0.005,0.037,0.027,0.032,
27,0.014,0.087,0.031,0.002,0.031,0.014,0.046,
28,0.007,0.098,0.037,0.002,0.037,0.021,0.036,
29,0.001,0.153,0.043,0.004,0.043,0.032,0.047,
30,0.011,0.069,0.033,0.003,0.033,0.021,0.037,
31,0.006,0.044,0.009,0.0,0.009,0.006,0.011,
32,0.024,0.095,0.035,0.001,0.035,0.018,0.031,
33,0.015,0.038,0.005,0.002,0.005,0.003,0.01,
34,0.016,0.135,0.044,0.002,0.044,0.025,0.041,
35,0.014,0.079,0.025,0.001,0.025,0.019,0.024,
36,0.007,0.086,0.029,0.003,0.029,0.021,0.026,
37,0.005,0.045,0.016,0.001,0.016,0.007,0.015,
38,0.006,0.057,0.023,0.002,0.023,0.02,0.029,
39,0.021,0.155,0.04,0.004,0.04,0.024,0.051,
40,0.023,0.074,0.025,0.001,0.025,0.015,0.028,
41,0.009,0.117,0.041,0.004,0.041,0.027,0.034,
42,0.014,0.019,0.005,0.001,0.005,0.004,0.005,
43,0.005,0.101,0.024,0.002,0.024,0.013,0.028,
44,0.008,0.086,0.023,0.002,0.023,0.02,0.022,
45,0.013,0.076,0.041,0.003,0.041,0.022,0.043,
46,0.016,0.085,0.028,0.002,0.028,0.02,0.027,
47,0.011,0.068,0.031,0.001,0.031,0.012,0.032,
48,0.016,0.057,0.012,0.0,0.012,0.015,0.011,
49,0.01,0.058,0.018,0.002,0.018,0.021,0.018,
50,0.009,0.122,0.044,0.003,0.044,0.023,0.055,
51,0.014,0.133,0.036,0.003,0.036,0.031,0.033,
52,0.004,0.046,0.016,0.002,0.016,0.01,0.016,
53,0.016,0.045,0.016,0.001,0.016,0.007,0.016,
54,0.006,0.036,0.015,0.002,0.015,0.008,0.021,
55,0.005,0.046,0.006,0.001,0.006,0.006,0.012,
56,0.005,0.181,0.038,0.008,0.038,0.029,0.043,
57,0.01,0.071,0.025,0.001,0.025,0.01,0.028,
58,0.015,0.062,0.009,0.001,0.009,0.002,0.004,
59,0.011,0.047,0.019,0.001,0.019,0.009,0.018,
60,0.006,0.065,0.03,0.001,0.03,0.016,0.029,
61,0.012,0.022,0.013,0.001,0.013,0.005,0.014,
62,0.01,0.087,0.017,0.002,0.017,0.015,0.012,
63,0.011,0.104,0.038,0.002,0.038,0.024,0.042,
64,0.01,0.045,0.01,0.002,0.01,0.009,0.007,
65,0.021,0.045,0.013,0.001,0.013,0.007,0.011,
66,0.003,0.062,0.006,0.002,0.006,0.008,0.006,
67,0.009,0.11,0.029,0.003,0.029,0.023,0.023,
68,0.011,0.132,0.025,0.003,0.025,0.023,0.029,
69,0.013,0.087,0.02,0.002,0.02,0.006,0.019,
70,0.014,0.047,0.022,0.001,0.022,0.013,0.019,
71,0.025,0.212,0.05,0.002,0.05,0.033,0.048,
72,0.004,0.026,0.014,0.001,0.014,0.006,0.014,
73,0.004,0.215,0.05,0.004,0.05,0.021,0.049,
74,0.019,0.125,0.034,0.003,0.034,0.012,0.036,
75,0.015,0.089,0.031,0.002,0.031,0.016,0.033,
