epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,1.654,1.648,0.386,0.899,0.386,0.345,0.384,
1,1.411,1.631,0.409,0.905,0.409,0.36,0.401,
2,1.342,1.53,0.431,0.924,0.431,0.391,0.427,
3,1.301,1.489,0.443,0.924,0.443,0.405,0.429,
4,1.271,1.515,0.425,0.931,0.425,0.399,0.429,
5,1.247,1.621,0.405,0.914,0.405,0.377,0.414,
6,1.223,1.43,0.457,0.947,0.457,0.404,0.465,
7,1.215,1.546,0.409,0.927,0.409,0.382,0.41,
8,1.168,1.409,0.465,0.945,0.465,0.418,0.468,
9,1.168,1.409,0.473,0.947,0.473,0.409,0.491,
10,1.153,1.455,0.452,0.939,0.452,0.4,0.464,
11,1.151,1.468,0.459,0.937,0.459,0.406,0.444,
12,1.138,1.39,0.477,0.949,0.477,0.427,0.485,
13,1.129,1.329,0.502,0.959,0.502,0.443,0.512,
14,1.122,1.451,0.454,0.945,0.454,0.418,0.463,
15,1.116,1.418,0.463,0.95,0.463,0.425,0.476,
16,1.106,1.483,0.435,0.937,0.435,0.39,0.432,
17,1.103,1.365,0.487,0.957,0.487,0.426,0.505,
18,1.09,1.404,0.469,0.951,0.469,0.421,0.476,
19,1.082,1.484,0.434,0.929,0.434,0.396,0.417,
20,1.085,1.51,0.422,0.941,0.422,0.417,0.428,
21,1.074,1.373,0.484,0.951,0.484,0.428,0.49,
22,1.073,1.447,0.45,0.942,0.45,0.421,0.447,
23,1.052,1.418,0.46,0.941,0.46,0.411,0.459,
24,1.057,1.394,0.477,0.946,0.477,0.417,0.478,
25,1.058,1.487,0.436,0.936,0.436,0.404,0.444,
26,1.045,1.434,0.465,0.941,0.465,0.422,0.475,
27,1.042,1.361,0.482,0.96,0.482,0.436,0.494,
28,1.037,1.302,0.516,0.96,0.516,0.447,0.523,
29,1.041,1.346,0.493,0.958,0.493,0.434,0.511,
30,1.044,1.365,0.488,0.952,0.488,0.423,0.498,
31,1.027,1.262,0.531,0.963,0.531,0.454,0.537,
32,1.022,1.43,0.46,0.952,0.46,0.416,0.473,
33,1.019,1.414,0.472,0.944,0.472,0.421,0.478,
34,1.029,1.48,0.441,0.949,0.441,0.405,0.451,
35,1.018,1.36,0.481,0.961,0.481,0.445,0.502,
36,1.013,1.323,0.502,0.959,0.502,0.438,0.51,
37,1.003,1.363,0.49,0.953,0.49,0.418,0.508,
38,1.013,1.452,0.457,0.95,0.457,0.409,0.457,
39,1.015,1.532,0.429,0.938,0.429,0.399,0.416,
40,1.004,1.344,0.488,0.959,0.488,0.434,0.506,
41,0.999,1.285,0.519,0.965,0.519,0.46,0.519,
42,0.999,1.295,0.507,0.965,0.507,0.453,0.512,
43,0.989,1.439,0.453,0.949,0.453,0.423,0.453,
44,1.0,1.411,0.464,0.956,0.464,0.41,0.465,
45,0.984,1.454,0.457,0.95,0.457,0.408,0.481,
46,1.0,1.388,0.484,0.954,0.484,0.43,0.495,
47,0.988,1.363,0.485,0.957,0.485,0.435,0.489,
48,1.0,1.391,0.489,0.949,0.489,0.425,0.48,
49,0.98,1.368,0.495,0.949,0.495,0.437,0.509,
50,0.986,1.403,0.471,0.951,0.471,0.422,0.475,
51,0.984,1.409,0.464,0.948,0.464,0.418,0.466,
52,0.987,1.372,0.479,0.957,0.479,0.424,0.483,
53,0.977,1.307,0.497,0.965,0.497,0.433,0.504,
54,0.979,1.386,0.483,0.952,0.483,0.424,0.499,
55,0.973,1.428,0.464,0.953,0.464,0.42,0.466,
56,0.967,1.37,0.487,0.954,0.487,0.419,0.493,
57,0.97,1.33,0.492,0.959,0.492,0.45,0.502,
58,0.979,1.395,0.468,0.959,0.468,0.414,0.48,
59,0.98,1.377,0.495,0.955,0.495,0.436,0.518,
60,0.966,1.371,0.482,0.957,0.482,0.428,0.501,
61,0.967,1.303,0.509,0.962,0.509,0.438,0.514,
62,0.959,1.445,0.447,0.948,0.447,0.412,0.449,
63,0.956,1.371,0.476,0.959,0.476,0.438,0.479,
64,0.963,1.403,0.471,0.951,0.471,0.404,0.479,
65,0.961,1.461,0.455,0.944,0.455,0.414,0.465,
66,0.962,1.478,0.435,0.952,0.435,0.41,0.444,
67,0.956,1.413,0.466,0.952,0.466,0.418,0.475,
68,0.96,1.391,0.469,0.954,0.469,0.42,0.466,
69,0.947,1.375,0.476,0.958,0.476,0.421,0.491,
70,0.954,1.313,0.509,0.962,0.509,0.443,0.519,
71,0.97,1.439,0.444,0.953,0.444,0.407,0.455,
72,0.962,1.353,0.499,0.955,0.499,0.44,0.502,
73,0.959,1.431,0.464,0.948,0.464,0.411,0.473,
74,0.937,1.4,0.487,0.952,0.487,0.432,0.488,
75,0.943,1.399,0.461,0.957,0.461,0.414,0.465,
76,0.939,1.402,0.472,0.956,0.472,0.414,0.481,
77,0.945,1.338,0.495,0.958,0.495,0.441,0.491,
78,0.947,1.437,0.454,0.95,0.454,0.401,0.465,
79,0.935,1.295,0.506,0.965,0.506,0.444,0.518,
80,0.932,1.495,0.436,0.946,0.436,0.387,0.427,
81,0.939,1.358,0.487,0.963,0.487,0.447,0.509,
82,0.953,1.41,0.46,0.957,0.46,0.41,0.464,
83,0.943,1.41,0.468,0.95,0.468,0.417,0.475,
84,0.939,1.391,0.474,0.956,0.474,0.422,0.485,
85,0.93,1.53,0.445,0.937,0.445,0.395,0.44,
86,0.946,1.373,0.481,0.961,0.481,0.425,0.465,
87,0.938,1.446,0.447,0.953,0.447,0.411,0.466,
88,0.93,1.396,0.463,0.956,0.463,0.406,0.472,
89,0.939,1.366,0.486,0.956,0.486,0.422,0.494,
90,0.93,1.429,0.466,0.954,0.466,0.405,0.484,
91,0.919,1.462,0.451,0.946,0.451,0.399,0.465,
92,0.917,1.356,0.479,0.961,0.479,0.432,0.485,
93,0.926,1.331,0.495,0.96,0.495,0.442,0.493,
94,0.928,1.33,0.498,0.962,0.498,0.433,0.51,
95,0.921,1.461,0.458,0.944,0.458,0.409,0.464,
96,0.927,1.409,0.475,0.959,0.475,0.422,0.468,
97,0.931,1.276,0.524,0.966,0.524,0.456,0.533,
98,0.93,1.469,0.458,0.946,0.458,0.401,0.461,
99,0.919,1.407,0.469,0.955,0.469,0.42,0.477,"[0.309, 0.594, 0.581, 0.406, 0.18, 0.511, 0.5, 0.546, 0.209, 0.363]"
