epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
0,0.018,0.151,0.081,0.042,0.081,0.047,0.11,
1,0.021,0.058,0.024,0.025,0.024,0.032,0.028,
2,0.009,0.182,0.084,0.031,0.084,0.034,0.096,
3,0.024,0.104,0.062,0.008,0.062,0.044,0.062,
4,0.043,0.035,0.012,0.015,0.012,0.009,0.011,
5,0.009,0.281,0.105,0.044,0.105,0.054,0.12,
6,0.018,0.052,0.03,0.017,0.03,0.05,0.033,
7,0.016,0.112,0.041,0.025,0.041,0.045,0.063,
8,0.025,0.029,0.014,0.009,0.014,0.01,0.022,
9,0.022,0.048,0.025,0.007,0.025,0.028,0.028,
10,0.026,0.185,0.065,0.035,0.065,0.049,0.077,
11,0.013,0.193,0.068,0.033,0.068,0.069,0.096,
12,0.016,0.062,0.015,0.01,0.015,0.028,0.028,
13,0.017,0.079,0.018,0.011,0.018,0.033,0.015,
14,0.013,0.102,0.043,0.006,0.043,0.024,0.05,
15,0.024,0.016,0.019,0.003,0.019,0.007,0.027,
16,0.024,0.105,0.04,0.019,0.04,0.003,0.068,
17,0.006,0.041,0.026,0.002,0.026,0.032,0.022,
18,0.028,0.029,0.009,0.006,0.009,0.016,0.006,
19,0.014,0.087,0.042,0.017,0.042,0.022,0.052,
20,0.011,0.02,0.017,0.003,0.017,0.017,0.027,
21,0.016,0.13,0.062,0.015,0.062,0.052,0.063,
22,0.017,0.169,0.078,0.024,0.078,0.048,0.089,
23,0.01,0.021,0.014,0.003,0.014,0.012,0.006,
24,0.026,0.089,0.039,0.017,0.039,0.042,0.037,
25,0.023,0.097,0.045,0.014,0.045,0.015,0.059,
26,0.014,0.147,0.069,0.022,0.069,0.034,0.067,
27,0.018,0.114,0.05,0.01,0.05,0.032,0.048,
28,0.013,0.104,0.058,0.008,0.058,0.018,0.063,
29,0.012,0.117,0.056,0.006,0.056,0.031,0.045,
30,0.008,0.056,0.017,0.006,0.017,0.03,0.004,
31,0.009,0.069,0.029,0.01,0.029,0.032,0.028,
32,0.031,0.076,0.03,0.006,0.03,0.022,0.037,
33,0.034,0.159,0.058,0.021,0.058,0.05,0.065,
34,0.016,0.221,0.077,0.017,0.077,0.036,0.084,
35,0.014,0.092,0.04,0.009,0.04,0.027,0.032,
36,0.009,0.076,0.036,0.006,0.036,0.013,0.046,
37,0.013,0.115,0.048,0.016,0.048,0.051,0.051,
38,0.028,0.016,0.004,0.003,0.004,0.013,0.004,
39,0.033,0.116,0.007,0.023,0.007,0.003,0.033,
40,0.026,0.082,0.036,0.01,0.036,0.033,0.042,
41,0.012,0.136,0.053,0.012,0.053,0.039,0.051,
42,0.028,0.07,0.025,0.005,0.025,0.036,0.02,
43,0.014,0.095,0.038,0.01,0.038,0.02,0.04,
44,0.022,0.035,0.018,0.001,0.018,0.005,0.01,
45,0.016,0.081,0.012,0.007,0.012,0.02,0.007,
46,0.02,0.064,0.037,0.008,0.037,0.033,0.048,
47,0.011,0.105,0.049,0.009,0.049,0.039,0.052,
48,0.015,0.129,0.052,0.013,0.052,0.044,0.071,
49,0.024,0.029,0.008,0.008,0.008,0.016,0.009,
50,0.008,0.087,0.029,0.013,0.029,0.007,0.047,
51,0.007,0.057,0.03,0.003,0.03,0.019,0.02,
52,0.011,0.035,0.015,0.001,0.015,0.01,0.026,
53,0.025,0.126,0.043,0.009,0.043,0.034,0.037,
54,0.013,0.058,0.016,0.011,0.016,0.019,0.038,
55,0.021,0.045,0.025,0.008,0.025,0.019,0.035,
56,0.023,0.056,0.019,0.014,0.019,0.039,0.048,
57,0.024,0.075,0.033,0.007,0.033,0.013,0.035,
58,0.032,0.046,0.021,0.004,0.021,0.018,0.024,
59,0.006,0.037,0.008,0.012,0.008,0.021,0.006,
60,0.025,0.013,0.008,0.003,0.008,0.006,0.012,
61,0.019,0.036,0.017,0.007,0.017,0.022,0.03,
62,0.01,0.124,0.058,0.01,0.058,0.035,0.06,
63,0.006,0.052,0.024,0.011,0.024,0.03,0.039,
64,0.022,0.147,0.048,0.015,0.048,0.036,0.049,
65,0.01,0.298,0.086,0.042,0.086,0.07,0.098,
66,0.012,0.095,0.037,0.008,0.037,0.025,0.048,
67,0.017,0.036,0.004,0.004,0.004,0.016,0.007,
68,0.018,0.022,0.015,0.006,0.015,0.019,0.015,
69,0.023,0.071,0.032,0.009,0.032,0.019,0.034,
70,0.009,0.022,0.011,0.002,0.011,0.014,0.017,
71,0.021,0.023,0.008,0.005,0.008,0.003,0.024,
72,0.022,0.289,0.103,0.031,0.103,0.09,0.11,
