epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.014,1.919,0.141,0.823,0.141,0.185,0.115,"[0.452, 0.322, 0.343, 0.008, 0.16, 0.012, 0.074, 0.314, 0.064, 0.1]"
01,1.273,1.526,0.469,0.926,0.469,0.398,0.452,"[0.388, 0.549, 0.4, 0.564, 0.13, 0.478, 0.308, 0.498, 0.264, 0.398]"
02,1.324,1.733,0.457,0.930,0.457,0.401,0.463,"[0.376, 0.594, 0.329, 0.455, 0.277, 0.345, 0.488, 0.372, 0.277, 0.5]"
03,1.039,1.675,0.530,0.978,0.530,0.444,0.518,"[0.33, 0.493, 0.5, 0.618, 0.226, 0.491, 0.502, 0.485, 0.296, 0.5]"
04,1.335,2.398,0.378,0.932,0.378,0.348,0.403,"[0.149, 0.198, 0.4, 0.54, 0.297, 0.421, 0.421, 0.417, 0.266, 0.366]"
05,1.339,1.857,0.488,0.972,0.488,0.405,0.472,"[0.431, 0.584, 0.41, 0.575, 0.0, 0.454, 0.356, 0.455, 0.277, 0.509]"
06,1.269,2.333,0.421,0.961,0.421,0.359,0.408,"[0.201, 0.032, 0.455, 0.549, 0.31, 0.363, 0.538, 0.434, 0.239, 0.473]"
07,1.163,1.707,0.545,0.977,0.545,0.454,0.545,"[0.599, 0.605, 0.378, 0.562, 0.308, 0.448, 0.599, 0.428, 0.277, 0.336]"
08,1.201,2.472,0.391,0.956,0.391,0.378,0.410,"[0.274, 0.45, 0.474, 0.407, 0.27, 0.374, 0.434, 0.406, 0.216, 0.478]"
09,1.092,1.650,0.532,0.980,0.532,0.463,0.536,"[0.544, 0.623, 0.474, 0.541, 0.151, 0.408, 0.573, 0.496, 0.343, 0.477]"
10,1.171,2.553,0.464,0.933,0.464,0.381,0.436,"[0.328, 0.602, 0.409, 0.59, 0.143, 0.425, 0.238, 0.425, 0.276, 0.37]"
11,1.109,2.609,0.452,0.959,0.452,0.361,0.434,"[0.483, 0.464, 0.462, 0.35, 0.0, 0.262, 0.616, 0.311, 0.21, 0.452]"
12,1.000,2.371,0.468,0.965,0.468,0.394,0.457,"[0.482, 0.624, 0.444, 0.566, 0.0, 0.491, 0.305, 0.325, 0.231, 0.472]"
13,1.026,1.977,0.542,0.968,0.542,0.385,0.538,"[0.273, 0.603, 0.439, 0.606, 0.0, 0.486, 0.612, 0.039, 0.335, 0.46]"
