epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.438,1.606,0.405,0.967,0.405,0.298,0.395,"[0.425, 0.391, 0.0, 0.602, 0.205, 0.113, 0.37, 0.281, 0.128, 0.463]"
01,0.822,1.151,0.548,0.973,0.548,0.457,0.525,"[0.547, 0.634, 0.593, 0.499, 0.261, 0.222, 0.663, 0.436, 0.17, 0.547]"
02,0.652,1.181,0.550,0.984,0.550,0.509,0.542,"[0.47, 0.548, 0.545, 0.66, 0.413, 0.485, 0.479, 0.508, 0.406, 0.574]"
03,0.540,2.025,0.390,0.947,0.390,0.372,0.366,"[0.196, 0.497, 0.387, 0.111, 0.606, 0.47, 0.508, 0.354, 0.284, 0.31]"
04,0.440,2.682,0.371,0.959,0.371,0.333,0.404,"[0.021, 0.603, 0.0, 0.446, 0.333, 0.491, 0.258, 0.486, 0.134, 0.56]"
05,0.428,1.357,0.548,0.979,0.548,0.559,0.509,"[0.622, 0.725, 0.818, 0.648, 0.521, 0.495, 0.251, 0.514, 0.412, 0.586]"
06,0.357,1.546,0.526,0.980,0.526,0.490,0.538,"[0.571, 0.514, 0.4, 0.642, 0.508, 0.55, 0.504, 0.398, 0.323, 0.485]"
07,0.335,1.346,0.571,0.974,0.571,0.482,0.548,"[0.491, 0.715, 0.324, 0.423, 0.449, 0.53, 0.644, 0.373, 0.349, 0.525]"
08,0.276,1.810,0.529,0.956,0.529,0.454,0.521,"[0.255, 0.55, 0.703, 0.601, 0.449, 0.445, 0.597, 0.0, 0.283, 0.653]"
09,0.329,1.979,0.485,0.955,0.485,0.354,0.451,"[0.167, 0.601, 0.08, 0.231, 0.471, 0.553, 0.65, 0.008, 0.439, 0.344]"
10,0.349,2.230,0.422,0.969,0.422,0.398,0.433,"[0.358, 0.646, 0.5, 0.402, 0.375, 0.344, 0.465, 0.008, 0.377, 0.5]"
11,0.273,1.057,0.645,0.979,0.645,0.568,0.646,"[0.534, 0.715, 0.667, 0.7, 0.486, 0.54, 0.667, 0.525, 0.374, 0.471]"
12,0.203,1.620,0.530,0.973,0.530,0.495,0.512,"[0.442, 0.634, 0.683, 0.691, 0.417, 0.542, 0.31, 0.377, 0.349, 0.506]"
13,0.180,1.009,0.638,0.982,0.638,0.579,0.639,"[0.535, 0.691, 0.703, 0.682, 0.434, 0.549, 0.654, 0.591, 0.396, 0.554]"
14,0.148,1.333,0.567,0.980,0.567,0.523,0.567,"[0.601, 0.675, 0.737, 0.553, 0.286, 0.29, 0.661, 0.48, 0.432, 0.515]"
15,0.141,1.622,0.584,0.969,0.584,0.530,0.568,"[0.655, 0.577, 0.857, 0.638, 0.293, 0.396, 0.603, 0.546, 0.229, 0.509]"
