epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.416,2.259,0.450,0.930,0.450,0.420,0.462,"[0.537, 0.66, 0.391, 0.38, 0.22, 0.37, 0.503, 0.363, 0.231, 0.545]"
01,2.577,3.495,0.403,0.879,0.403,0.336,0.353,"[0.354, 0.594, 0.178, 0.007, 0.175, 0.267, 0.567, 0.412, 0.266, 0.543]"
02,1.875,2.238,0.501,0.968,0.501,0.425,0.532,"[0.493, 0.573, 0.429, 0.561, 0.163, 0.489, 0.557, 0.477, 0.368, 0.14]"
03,2.001,2.276,0.516,0.960,0.516,0.449,0.514,"[0.401, 0.548, 0.63, 0.62, 0.255, 0.461, 0.463, 0.471, 0.358, 0.287]"
04,1.535,4.604,0.347,0.911,0.347,0.322,0.285,"[0.449, 0.515, 0.455, 0.005, 0.073, 0.024, 0.469, 0.41, 0.319, 0.5]"
05,1.750,2.104,0.568,0.967,0.568,0.448,0.545,"[0.466, 0.411, 0.465, 0.6, 0.281, 0.48, 0.676, 0.317, 0.424, 0.359]"
06,1.814,3.426,0.400,0.955,0.400,0.435,0.401,"[0.59, 0.628, 0.718, 0.376, 0.238, 0.371, 0.311, 0.377, 0.186, 0.558]"
07,1.644,1.522,0.597,0.980,0.597,0.537,0.600,"[0.574, 0.693, 0.694, 0.615, 0.351, 0.506, 0.628, 0.492, 0.338, 0.478]"
08,1.244,1.691,0.585,0.977,0.585,0.520,0.584,"[0.569, 0.548, 0.684, 0.669, 0.305, 0.558, 0.589, 0.5, 0.372, 0.402]"
09,1.149,1.708,0.579,0.973,0.579,0.467,0.576,"[0.393, 0.578, 0.5, 0.657, 0.24, 0.357, 0.651, 0.51, 0.313, 0.468]"
10,1.100,2.212,0.471,0.963,0.471,0.449,0.485,"[0.429, 0.665, 0.683, 0.443, 0.0, 0.373, 0.477, 0.55, 0.354, 0.515]"
11,1.356,2.010,0.559,0.973,0.559,0.493,0.565,"[0.463, 0.59, 0.629, 0.539, 0.267, 0.489, 0.657, 0.534, 0.292, 0.47]"
12,1.236,3.067,0.448,0.960,0.448,0.406,0.376,"[0.544, 0.334, 0.472, 0.653, 0.25, 0.451, 0.091, 0.413, 0.365, 0.489]"
13,1.296,2.746,0.485,0.953,0.485,0.454,0.480,"[0.377, 0.617, 0.681, 0.458, 0.345, 0.497, 0.439, 0.508, 0.387, 0.231]"
14,1.067,1.850,0.536,0.971,0.536,0.490,0.544,"[0.417, 0.563, 0.744, 0.641, 0.308, 0.544, 0.493, 0.483, 0.362, 0.346]"
15,1.171,2.958,0.450,0.962,0.450,0.412,0.434,"[0.381, 0.651, 0.529, 0.562, 0.284, 0.432, 0.228, 0.355, 0.274, 0.425]"
16,1.256,2.700,0.447,0.972,0.447,0.447,0.403,"[0.521, 0.424, 0.72, 0.633, 0.238, 0.421, 0.14, 0.522, 0.286, 0.561]"
17,1.413,2.117,0.549,0.966,0.549,0.462,0.569,"[0.393, 0.641, 0.412, 0.628, 0.288, 0.52, 0.555, 0.54, 0.34, 0.301]"
18,0.939,2.156,0.507,0.970,0.507,0.462,0.500,"[0.439, 0.648, 0.494, 0.45, 0.303, 0.444, 0.501, 0.554, 0.345, 0.444]"
19,1.347,1.798,0.580,0.976,0.580,0.483,0.585,"[0.438, 0.601, 0.557, 0.596, 0.2, 0.563, 0.639, 0.521, 0.402, 0.312]"
20,1.234,1.673,0.606,0.986,0.606,0.552,0.607,"[0.614, 0.683, 0.706, 0.597, 0.316, 0.57, 0.637, 0.531, 0.396, 0.467]"
