epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.318,1.135,0.583,0.974,0.583,0.528,0.588,"[0.525, 0.667, 0.61, 0.629, 0.31, 0.506, 0.581, 0.521, 0.439, 0.492]"
01,0.859,1.010,0.609,0.984,0.609,0.567,0.614,"[0.684, 0.691, 0.654, 0.675, 0.265, 0.558, 0.571, 0.536, 0.469, 0.568]"
02,0.706,1.006,0.616,0.986,0.616,0.576,0.623,"[0.58, 0.685, 0.717, 0.701, 0.365, 0.595, 0.576, 0.49, 0.483, 0.566]"
03,0.639,0.940,0.622,0.986,0.622,0.594,0.625,"[0.673, 0.744, 0.702, 0.678, 0.393, 0.564, 0.571, 0.496, 0.493, 0.623]"
04,0.540,0.879,0.640,0.990,0.640,0.591,0.641,"[0.587, 0.756, 0.679, 0.713, 0.415, 0.583, 0.578, 0.53, 0.484, 0.586]"
05,0.501,0.824,0.666,0.990,0.666,0.618,0.670,"[0.642, 0.751, 0.737, 0.671, 0.386, 0.63, 0.689, 0.556, 0.496, 0.622]"
06,0.444,0.780,0.676,0.995,0.676,0.652,0.675,"[0.692, 0.724, 0.8, 0.737, 0.451, 0.624, 0.64, 0.589, 0.538, 0.719]"
07,0.396,0.850,0.651,0.993,0.651,0.619,0.656,"[0.671, 0.778, 0.702, 0.735, 0.5, 0.585, 0.583, 0.557, 0.454, 0.624]"
08,0.397,0.980,0.615,0.988,0.615,0.573,0.618,"[0.589, 0.688, 0.731, 0.551, 0.441, 0.629, 0.682, 0.56, 0.394, 0.462]"
09,0.369,0.867,0.651,0.992,0.651,0.628,0.643,"[0.715, 0.79, 0.702, 0.713, 0.511, 0.581, 0.55, 0.519, 0.509, 0.689]"
10,0.348,0.819,0.677,0.994,0.677,0.652,0.675,"[0.709, 0.793, 0.741, 0.737, 0.543, 0.636, 0.603, 0.538, 0.549, 0.672]"
11,0.318,0.829,0.679,0.993,0.679,0.647,0.682,"[0.67, 0.79, 0.776, 0.757, 0.507, 0.605, 0.629, 0.526, 0.542, 0.672]"
12,0.291,0.799,0.687,0.993,0.687,0.637,0.691,"[0.65, 0.79, 0.741, 0.757, 0.348, 0.63, 0.648, 0.534, 0.56, 0.711]"
13,0.284,0.728,0.719,0.992,0.719,0.660,0.722,"[0.679, 0.797, 0.784, 0.778, 0.426, 0.639, 0.714, 0.608, 0.512, 0.667]"
14,0.266,0.745,0.718,0.992,0.718,0.655,0.722,"[0.6, 0.789, 0.755, 0.762, 0.486, 0.653, 0.738, 0.601, 0.456, 0.711]"
15,0.253,0.829,0.679,0.991,0.679,0.640,0.685,"[0.671, 0.79, 0.727, 0.735, 0.433, 0.589, 0.659, 0.584, 0.512, 0.696]"
16,0.217,0.772,0.699,0.993,0.699,0.664,0.699,"[0.705, 0.783, 0.809, 0.769, 0.507, 0.641, 0.656, 0.553, 0.544, 0.673]"
17,0.223,0.833,0.691,0.991,0.691,0.641,0.694,"[0.69, 0.753, 0.816, 0.762, 0.394, 0.594, 0.693, 0.523, 0.532, 0.654]"
18,0.214,0.784,0.713,0.995,0.713,0.666,0.713,"[0.716, 0.801, 0.741, 0.782, 0.462, 0.625, 0.674, 0.604, 0.56, 0.696]"
19,0.188,0.867,0.693,0.990,0.693,0.659,0.691,"[0.658, 0.78, 0.818, 0.767, 0.516, 0.615, 0.635, 0.6, 0.568, 0.635]"
20,0.177,0.900,0.683,0.991,0.683,0.646,0.687,"[0.625, 0.755, 0.766, 0.75, 0.5, 0.617, 0.661, 0.569, 0.545, 0.667]"
21,0.170,0.859,0.684,0.990,0.684,0.637,0.684,"[0.626, 0.741, 0.741, 0.694, 0.379, 0.613, 0.706, 0.602, 0.578, 0.692]"
22,0.159,0.891,0.692,0.992,0.692,0.627,0.695,"[0.574, 0.772, 0.667, 0.718, 0.421, 0.614, 0.716, 0.587, 0.553, 0.649]"
23,0.144,0.949,0.683,0.990,0.683,0.633,0.679,"[0.63, 0.714, 0.818, 0.741, 0.415, 0.622, 0.668, 0.578, 0.522, 0.624]"
24,0.125,0.892,0.695,0.992,0.695,0.652,0.696,"[0.671, 0.776, 0.851, 0.75, 0.421, 0.649, 0.671, 0.541, 0.55, 0.642]"
25,0.124,1.436,0.613,0.990,0.613,0.603,0.601,"[0.653, 0.637, 0.826, 0.658, 0.4, 0.601, 0.539, 0.561, 0.514, 0.645]"
26,0.113,0.853,0.717,0.991,0.717,0.649,0.715,"[0.703, 0.794, 0.826, 0.773, 0.353, 0.603, 0.73, 0.487, 0.562, 0.661]"
27,0.097,0.831,0.722,0.991,0.722,0.664,0.721,"[0.659, 0.784, 0.851, 0.75, 0.455, 0.63, 0.755, 0.547, 0.564, 0.648]"
28,0.099,1.245,0.642,0.990,0.642,0.623,0.633,"[0.646, 0.748, 0.844, 0.676, 0.462, 0.599, 0.582, 0.455, 0.554, 0.66]"
29,0.078,1.099,0.669,0.990,0.669,0.633,0.673,"[0.643, 0.784, 0.889, 0.718, 0.346, 0.583, 0.643, 0.598, 0.488, 0.635]"
30,0.077,1.120,0.652,0.991,0.652,0.630,0.661,"[0.675, 0.792, 0.826, 0.769, 0.415, 0.496, 0.589, 0.538, 0.531, 0.667]"
31,0.075,0.928,0.731,0.989,0.731,0.653,0.723,"[0.667, 0.79, 0.769, 0.766, 0.453, 0.641, 0.763, 0.43, 0.545, 0.709]"
32,0.065,0.896,0.731,0.992,0.731,0.659,0.727,"[0.698, 0.788, 0.792, 0.764, 0.346, 0.633, 0.752, 0.565, 0.58, 0.674]"
33,0.062,0.927,0.720,0.991,0.720,0.660,0.716,"[0.687, 0.73, 0.833, 0.763, 0.481, 0.639, 0.752, 0.553, 0.539, 0.619]"
