epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.548,1.452,0.479,0.943,0.479,0.426,0.496,"[0.565, 0.56, 0.275, 0.545, 0.158, 0.482, 0.457, 0.46, 0.281, 0.478]"
01,1.150,1.430,0.472,0.963,0.472,0.418,0.494,"[0.496, 0.593, 0.404, 0.563, 0.128, 0.394, 0.463, 0.396, 0.331, 0.409]"
02,1.071,1.582,0.438,0.951,0.438,0.387,0.466,"[0.554, 0.573, 0.317, 0.551, 0.174, 0.412, 0.397, 0.371, 0.283, 0.235]"
03,0.994,1.656,0.399,0.945,0.399,0.368,0.390,"[0.493, 0.627, 0.349, 0.527, 0.181, 0.406, 0.143, 0.351, 0.248, 0.355]"
04,0.923,1.312,0.541,0.947,0.541,0.470,0.536,"[0.491, 0.633, 0.463, 0.397, 0.302, 0.54, 0.643, 0.558, 0.362, 0.308]"
05,0.934,1.111,0.578,0.977,0.578,0.522,0.586,"[0.644, 0.585, 0.543, 0.658, 0.37, 0.548, 0.573, 0.568, 0.375, 0.354]"
06,0.894,1.063,0.593,0.981,0.593,0.554,0.595,"[0.562, 0.667, 0.642, 0.647, 0.424, 0.57, 0.554, 0.577, 0.348, 0.549]"
07,0.826,0.996,0.609,0.983,0.609,0.548,0.612,"[0.548, 0.682, 0.535, 0.649, 0.408, 0.573, 0.601, 0.568, 0.37, 0.542]"
08,0.844,0.975,0.622,0.986,0.622,0.581,0.623,"[0.599, 0.672, 0.678, 0.661, 0.476, 0.582, 0.616, 0.57, 0.418, 0.541]"
09,0.825,1.023,0.605,0.977,0.605,0.539,0.603,"[0.569, 0.612, 0.633, 0.671, 0.372, 0.447, 0.642, 0.538, 0.383, 0.527]"
10,0.815,1.086,0.576,0.977,0.576,0.517,0.572,"[0.548, 0.667, 0.472, 0.527, 0.438, 0.461, 0.644, 0.516, 0.368, 0.527]"
11,0.782,1.279,0.522,0.961,0.522,0.450,0.528,"[0.458, 0.654, 0.356, 0.526, 0.283, 0.508, 0.513, 0.5, 0.313, 0.385]"
12,0.812,1.140,0.560,0.975,0.560,0.501,0.574,"[0.452, 0.666, 0.494, 0.641, 0.407, 0.507, 0.55, 0.452, 0.317, 0.527]"
13,0.760,1.118,0.569,0.976,0.569,0.509,0.580,"[0.543, 0.676, 0.541, 0.535, 0.229, 0.54, 0.628, 0.571, 0.315, 0.516]"
14,0.754,1.076,0.581,0.978,0.581,0.536,0.586,"[0.534, 0.67, 0.606, 0.664, 0.472, 0.538, 0.539, 0.462, 0.413, 0.46]"
15,0.722,1.055,0.597,0.981,0.597,0.525,0.599,"[0.547, 0.675, 0.494, 0.555, 0.298, 0.556, 0.658, 0.57, 0.384, 0.519]"
16,0.770,1.348,0.494,0.963,0.494,0.476,0.465,"[0.495, 0.685, 0.679, 0.593, 0.339, 0.508, 0.213, 0.455, 0.334, 0.457]"
17,0.739,1.024,0.600,0.979,0.600,0.533,0.602,"[0.571, 0.651, 0.519, 0.679, 0.407, 0.462, 0.616, 0.479, 0.379, 0.569]"
18,0.745,1.107,0.579,0.976,0.579,0.534,0.575,"[0.511, 0.684, 0.655, 0.654, 0.439, 0.578, 0.481, 0.509, 0.418, 0.414]"
19,0.742,1.219,0.519,0.980,0.519,0.509,0.514,"[0.624, 0.688, 0.645, 0.554, 0.304, 0.506, 0.396, 0.505, 0.318, 0.544]"
20,0.725,0.987,0.630,0.984,0.630,0.562,0.635,"[0.428, 0.673, 0.72, 0.632, 0.4, 0.569, 0.704, 0.553, 0.406, 0.537]"
21,0.719,1.220,0.520,0.980,0.520,0.513,0.519,"[0.527, 0.688, 0.655, 0.597, 0.394, 0.468, 0.385, 0.536, 0.312, 0.567]"
22,0.718,1.138,0.565,0.978,0.565,0.537,0.579,"[0.621, 0.69, 0.714, 0.559, 0.353, 0.552, 0.59, 0.545, 0.274, 0.468]"
23,0.734,0.949,0.636,0.982,0.636,0.584,0.637,"[0.556, 0.653, 0.745, 0.677, 0.459, 0.518, 0.683, 0.576, 0.417, 0.559]"
24,0.696,1.152,0.554,0.979,0.554,0.519,0.560,"[0.486, 0.703, 0.654, 0.61, 0.347, 0.551, 0.485, 0.5, 0.296, 0.558]"
25,0.675,0.994,0.623,0.983,0.623,0.558,0.628,"[0.507, 0.708, 0.642, 0.608, 0.348, 0.576, 0.673, 0.584, 0.402, 0.537]"
26,0.683,0.959,0.628,0.985,0.628,0.573,0.628,"[0.571, 0.666, 0.625, 0.679, 0.413, 0.567, 0.624, 0.574, 0.44, 0.565]"
27,0.688,1.296,0.499,0.973,0.499,0.490,0.471,"[0.565, 0.628, 0.59, 0.457, 0.364, 0.542, 0.361, 0.495, 0.401, 0.497]"
28,0.710,0.998,0.621,0.982,0.621,0.550,0.628,"[0.53, 0.622, 0.548, 0.67, 0.336, 0.574, 0.665, 0.574, 0.401, 0.58]"
29,0.653,1.086,0.590,0.977,0.590,0.536,0.609,"[0.54, 0.664, 0.655, 0.626, 0.333, 0.555, 0.645, 0.553, 0.284, 0.503]"
30,0.679,1.081,0.573,0.983,0.573,0.539,0.583,"[0.453, 0.689, 0.756, 0.629, 0.426, 0.569, 0.54, 0.483, 0.367, 0.475]"
31,0.669,1.128,0.564,0.977,0.564,0.513,0.572,"[0.579, 0.635, 0.559, 0.672, 0.298, 0.54, 0.506, 0.44, 0.405, 0.497]"
32,0.649,1.084,0.576,0.982,0.576,0.524,0.587,"[0.485, 0.688, 0.6, 0.614, 0.346, 0.547, 0.576, 0.512, 0.35, 0.519]"
33,0.646,1.041,0.587,0.983,0.587,0.561,0.594,"[0.58, 0.679, 0.717, 0.659, 0.415, 0.515, 0.545, 0.572, 0.389, 0.541]"
34,0.700,1.129,0.551,0.983,0.551,0.545,0.544,"[0.529, 0.695, 0.75, 0.616, 0.453, 0.486, 0.425, 0.538, 0.433, 0.525]"
35,0.663,1.007,0.621,0.982,0.621,0.554,0.626,"[0.44, 0.691, 0.632, 0.643, 0.419, 0.579, 0.65, 0.554, 0.443, 0.487]"
36,0.666,0.959,0.628,0.984,0.628,0.588,0.624,"[0.577, 0.577, 0.75, 0.682, 0.475, 0.571, 0.656, 0.56, 0.451, 0.581]"
37,0.670,1.232,0.536,0.962,0.536,0.491,0.535,"[0.496, 0.651, 0.655, 0.419, 0.255, 0.509, 0.629, 0.493, 0.314, 0.489]"
38,0.660,1.025,0.601,0.978,0.601,0.559,0.608,"[0.524, 0.615, 0.731, 0.674, 0.468, 0.538, 0.622, 0.502, 0.399, 0.515]"
39,0.663,1.261,0.515,0.977,0.515,0.498,0.498,"[0.528, 0.648, 0.541, 0.441, 0.404, 0.528, 0.459, 0.533, 0.354, 0.541]"
40,0.706,1.050,0.585,0.982,0.585,0.545,0.595,"[0.613, 0.698, 0.615, 0.661, 0.435, 0.566, 0.542, 0.462, 0.355, 0.506]"
41,0.651,1.026,0.597,0.983,0.597,0.560,0.602,"[0.608, 0.699, 0.691, 0.657, 0.393, 0.563, 0.555, 0.55, 0.336, 0.554]"
42,0.635,1.077,0.589,0.981,0.589,0.547,0.604,"[0.622, 0.702, 0.667, 0.635, 0.359, 0.567, 0.59, 0.511, 0.316, 0.506]"
43,0.632,1.029,0.597,0.983,0.597,0.538,0.606,"[0.558, 0.691, 0.541, 0.673, 0.407, 0.56, 0.576, 0.485, 0.37, 0.516]"
44,0.645,1.129,0.566,0.977,0.566,0.525,0.580,"[0.463, 0.681, 0.72, 0.665, 0.296, 0.549, 0.517, 0.443, 0.361, 0.551]"
45,0.658,1.100,0.579,0.977,0.579,0.521,0.590,"[0.483, 0.671, 0.655, 0.656, 0.347, 0.519, 0.57, 0.479, 0.4, 0.429]"
46,0.629,1.288,0.510,0.969,0.510,0.493,0.480,"[0.5, 0.626, 0.621, 0.275, 0.393, 0.565, 0.563, 0.486, 0.367, 0.537]"
47,0.643,1.083,0.581,0.979,0.581,0.526,0.590,"[0.462, 0.657, 0.632, 0.666, 0.434, 0.535, 0.564, 0.478, 0.402, 0.435]"
48,0.622,1.083,0.570,0.981,0.570,0.524,0.580,"[0.502, 0.684, 0.594, 0.582, 0.404, 0.563, 0.582, 0.467, 0.357, 0.507]"
49,0.624,1.024,0.602,0.985,0.602,0.561,0.611,"[0.578, 0.697, 0.644, 0.654, 0.404, 0.582, 0.587, 0.514, 0.375, 0.571]"
50,0.591,1.131,0.572,0.985,0.572,0.548,0.582,"[0.624, 0.697, 0.776, 0.658, 0.347, 0.497, 0.529, 0.43, 0.367, 0.553]"
51,0.402,0.949,0.637,0.990,0.637,0.598,0.634,"[0.629, 0.715, 0.63, 0.592, 0.458, 0.588, 0.664, 0.639, 0.514, 0.554]"
52,0.353,0.888,0.659,0.990,0.659,0.625,0.665,"[0.663, 0.75, 0.81, 0.702, 0.419, 0.595, 0.66, 0.491, 0.542, 0.619]"
53,0.261,0.875,0.670,0.990,0.670,0.631,0.669,"[0.707, 0.751, 0.818, 0.711, 0.364, 0.593, 0.649, 0.582, 0.523, 0.609]"
54,0.240,0.903,0.660,0.990,0.660,0.618,0.661,"[0.614, 0.738, 0.773, 0.694, 0.367, 0.588, 0.653, 0.576, 0.562, 0.613]"
55,0.198,0.882,0.681,0.991,0.681,0.639,0.684,"[0.688, 0.725, 0.773, 0.742, 0.375, 0.632, 0.669, 0.553, 0.556, 0.678]"
56,0.166,0.974,0.641,0.989,0.641,0.615,0.639,"[0.675, 0.692, 0.783, 0.629, 0.353, 0.641, 0.641, 0.576, 0.556, 0.609]"
57,0.147,0.952,0.681,0.986,0.681,0.622,0.678,"[0.667, 0.729, 0.75, 0.723, 0.386, 0.601, 0.684, 0.6, 0.452, 0.634]"
58,0.130,0.862,0.695,0.989,0.695,0.646,0.695,"[0.688, 0.762, 0.791, 0.745, 0.379, 0.633, 0.678, 0.6, 0.526, 0.654]"
59,0.117,0.882,0.693,0.989,0.693,0.644,0.691,"[0.64, 0.75, 0.791, 0.69, 0.426, 0.622, 0.728, 0.607, 0.529, 0.661]"
60,0.098,0.878,0.689,0.991,0.689,0.645,0.688,"[0.667, 0.749, 0.766, 0.738, 0.415, 0.627, 0.667, 0.603, 0.561, 0.655]"
61,0.087,0.861,0.699,0.990,0.699,0.642,0.696,"[0.648, 0.752, 0.773, 0.71, 0.385, 0.64, 0.724, 0.565, 0.54, 0.684]"
