epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.980,2.355,0.013,0.511,0.013,0.004,0.001,"[0.018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
01,1.790,2.361,0.012,0.673,0.012,0.002,0.000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024]"
02,1.659,2.158,0.196,0.785,0.196,0.093,0.188,"[0.11, 0.131, 0.0, 0.468, 0.0, 0.135, 0.056, 0.011, 0.0, 0.016]"
03,1.450,1.951,0.332,0.837,0.332,0.103,0.253,"[0.0, 0.16, 0.0, 0.515, 0.0, 0.0, 0.264, 0.018, 0.068, 0.0]"
04,1.372,1.851,0.357,0.890,0.357,0.160,0.336,"[0.0, 0.429, 0.0, 0.548, 0.0, 0.0, 0.313, 0.243, 0.069, 0.0]"
05,1.303,2.009,0.237,0.852,0.237,0.121,0.191,"[0.112, 0.471, 0.0, 0.025, 0.0, 0.055, 0.264, 0.255, 0.015, 0.013]"
06,1.175,1.965,0.251,0.845,0.251,0.146,0.226,"[0.113, 0.495, 0.0, 0.258, 0.0, 0.215, 0.088, 0.253, 0.015, 0.027]"
07,1.005,1.819,0.365,0.880,0.365,0.223,0.393,"[0.0, 0.517, 0.0, 0.471, 0.0, 0.246, 0.376, 0.5, 0.08, 0.042]"
08,0.973,1.795,0.411,0.879,0.411,0.241,0.416,"[0.0, 0.516, 0.0, 0.426, 0.0, 0.246, 0.479, 0.582, 0.106, 0.058]"
09,0.704,1.982,0.306,0.862,0.306,0.195,0.268,"[0.183, 0.49, 0.0, 0.318, 0.0, 0.221, 0.119, 0.461, 0.093, 0.062]"
10,0.807,1.964,0.350,0.881,0.350,0.211,0.301,"[0.211, 0.542, 0.0, 0.506, 0.0, 0.296, 0.017, 0.296, 0.141, 0.101]"
11,0.672,1.991,0.368,0.914,0.368,0.228,0.366,"[0.093, 0.513, 0.0, 0.58, 0.0, 0.35, 0.155, 0.422, 0.059, 0.112]"
12,0.620,2.257,0.367,0.929,0.367,0.210,0.388,"[0.021, 0.515, 0.0, 0.506, 0.0, 0.341, 0.331, 0.339, 0.0, 0.046]"
13,0.547,2.024,0.365,0.932,0.365,0.193,0.336,"[0.058, 0.557, 0.0, 0.261, 0.0, 0.19, 0.409, 0.373, 0.0, 0.08]"
14,0.433,2.243,0.343,0.922,0.343,0.174,0.287,"[0.032, 0.5, 0.0, 0.157, 0.0, 0.164, 0.383, 0.39, 0.0, 0.109]"
15,0.474,2.197,0.345,0.912,0.345,0.183,0.305,"[0.049, 0.523, 0.0, 0.266, 0.0, 0.192, 0.317, 0.375, 0.0, 0.104]"
16,0.370,2.013,0.403,0.913,0.403,0.233,0.389,"[0.135, 0.531, 0.0, 0.581, 0.0, 0.403, 0.211, 0.39, 0.0, 0.08]"
17,0.401,2.645,0.327,0.906,0.327,0.219,0.356,"[0.112, 0.449, 0.0, 0.432, 0.0, 0.216, 0.336, 0.441, 0.151, 0.057]"
18,0.345,3.295,0.350,0.854,0.350,0.241,0.391,"[0.089, 0.581, 0.0, 0.338, 0.0, 0.123, 0.478, 0.576, 0.136, 0.085]"
19,0.457,2.900,0.300,0.897,0.300,0.204,0.326,"[0.138, 0.432, 0.0, 0.443, 0.0, 0.189, 0.25, 0.454, 0.074, 0.065]"
20,0.296,2.034,0.446,0.934,0.446,0.270,0.432,"[0.214, 0.458, 0.0, 0.577, 0.0, 0.331, 0.395, 0.444, 0.178, 0.103]"
21,0.307,2.057,0.462,0.933,0.462,0.263,0.459,"[0.035, 0.526, 0.0, 0.54, 0.0, 0.221, 0.525, 0.482, 0.204, 0.096]"
22,0.330,2.055,0.452,0.935,0.452,0.260,0.446,"[0.02, 0.613, 0.0, 0.402, 0.0, 0.191, 0.567, 0.523, 0.2, 0.087]"
23,0.233,2.304,0.407,0.938,0.407,0.231,0.427,"[0.0, 0.593, 0.0, 0.465, 0.0, 0.203, 0.483, 0.422, 0.116, 0.028]"
24,0.240,1.705,0.498,0.936,0.498,0.266,0.486,"[0.0, 0.593, 0.0, 0.529, 0.0, 0.301, 0.56, 0.598, 0.0, 0.079]"
25,0.402,2.365,0.443,0.949,0.443,0.269,0.447,"[0.22, 0.611, 0.0, 0.575, 0.0, 0.277, 0.385, 0.475, 0.099, 0.048]"
26,0.326,2.321,0.475,0.939,0.475,0.282,0.479,"[0.152, 0.596, 0.0, 0.567, 0.0, 0.321, 0.487, 0.492, 0.12, 0.088]"
