epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.608,5.340,0.197,0.601,0.197,0.057,0.108,"[0.0, 0.358, 0.0, 0.0, 0.0, 0.0, 0.15, 0.0, 0.065, 0.0]"
01,5.680,13.382,0.084,0.425,0.084,0.076,0.025,"[0.376, 0.0, 0.0, 0.0, 0.0, 0.022, 0.0, 0.168, 0.112, 0.08]"
02,9.770,27.866,0.280,0.502,0.280,0.163,0.209,"[0.451, 0.0, 0.0, 0.54, 0.0, 0.273, 0.0, 0.285, 0.028, 0.048]"
03,15.691,32.828,0.241,0.424,0.241,0.144,0.189,"[0.356, 0.0, 0.0, 0.58, 0.0, 0.0, 0.0, 0.213, 0.22, 0.072]"
04,14.004,25.693,0.271,0.608,0.271,0.173,0.222,"[0.415, 0.04, 0.0, 0.585, 0.0, 0.135, 0.0, 0.415, 0.102, 0.034]"
05,5.818,18.264,0.358,0.671,0.358,0.170,0.280,"[0.044, 0.519, 0.0, 0.481, 0.0, 0.354, 0.0, 0.234, 0.067, 0.0]"
06,6.471,6.723,0.523,0.938,0.523,0.281,0.495,"[0.378, 0.582, 0.0, 0.595, 0.0, 0.464, 0.519, 0.177, 0.098, 0.0]"
07,1.521,14.454,0.465,0.942,0.465,0.191,0.388,"[0.358, 0.286, 0.0, 0.481, 0.0, 0.139, 0.605, 0.008, 0.028, 0.0]"
08,7.672,11.467,0.482,0.912,0.482,0.245,0.446,"[0.395, 0.175, 0.0, 0.574, 0.0, 0.332, 0.641, 0.302, 0.028, 0.0]"
09,2.437,17.038,0.353,0.895,0.353,0.222,0.357,"[0.429, 0.459, 0.0, 0.583, 0.0, 0.302, 0.194, 0.235, 0.014, 0.0]"
10,2.822,21.390,0.394,0.815,0.394,0.237,0.357,"[0.455, 0.632, 0.0, 0.592, 0.0, 0.35, 0.063, 0.251, 0.028, 0.0]"
11,2.952,21.500,0.411,0.811,0.411,0.248,0.358,"[0.426, 0.524, 0.0, 0.515, 0.0, 0.396, 0.149, 0.424, 0.046, 0.0]"
12,1.722,21.858,0.424,0.834,0.424,0.259,0.394,"[0.403, 0.511, 0.0, 0.523, 0.0, 0.4, 0.27, 0.409, 0.07, 0.0]"
13,0.838,20.258,0.461,0.869,0.461,0.244,0.435,"[0.333, 0.558, 0.0, 0.558, 0.0, 0.399, 0.413, 0.106, 0.07, 0.0]"
14,2.032,19.413,0.509,0.894,0.509,0.259,0.485,"[0.29, 0.596, 0.0, 0.589, 0.0, 0.417, 0.531, 0.024, 0.145, 0.0]"
15,2.691,19.307,0.532,0.901,0.532,0.281,0.511,"[0.365, 0.611, 0.0, 0.609, 0.0, 0.447, 0.573, 0.024, 0.179, 0.0]"
16,1.991,20.436,0.517,0.904,0.517,0.282,0.504,"[0.351, 0.623, 0.0, 0.607, 0.0, 0.428, 0.541, 0.062, 0.203, 0.0]"
17,1.282,22.203,0.487,0.903,0.487,0.287,0.487,"[0.37, 0.612, 0.0, 0.588, 0.0, 0.38, 0.489, 0.272, 0.155, 0.0]"
18,1.815,23.263,0.486,0.902,0.486,0.294,0.485,"[0.354, 0.612, 0.0, 0.587, 0.0, 0.386, 0.463, 0.385, 0.158, 0.0]"
19,2.116,21.921,0.529,0.904,0.529,0.317,0.518,"[0.366, 0.619, 0.0, 0.613, 0.0, 0.465, 0.495, 0.49, 0.126, 0.0]"
20,0.732,21.839,0.537,0.904,0.537,0.313,0.525,"[0.352, 0.609, 0.0, 0.612, 0.0, 0.474, 0.532, 0.446, 0.106, 0.0]"
21,0.866,23.340,0.524,0.905,0.524,0.299,0.510,"[0.347, 0.601, 0.0, 0.604, 0.0, 0.376, 0.54, 0.404, 0.118, 0.0]"
