epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.324,1.481,0.398,0.943,0.398,0.400,0.328,"[0.523, 0.559, 0.529, 0.442, 0.426, 0.391, 0.022, 0.422, 0.373, 0.314]"
01,0.446,1.069,0.598,0.980,0.598,0.545,0.596,"[0.57, 0.71, 0.452, 0.648, 0.435, 0.553, 0.538, 0.514, 0.438, 0.589]"
02,0.292,0.951,0.628,0.985,0.628,0.552,0.630,"[0.504, 0.732, 0.632, 0.681, 0.308, 0.586, 0.605, 0.507, 0.436, 0.527]"
03,0.136,1.093,0.622,0.987,0.622,0.584,0.623,"[0.644, 0.619, 0.718, 0.713, 0.471, 0.597, 0.599, 0.494, 0.452, 0.529]"
04,0.122,1.074,0.641,0.983,0.641,0.558,0.630,"[0.603, 0.548, 0.485, 0.71, 0.444, 0.45, 0.711, 0.576, 0.474, 0.581]"
05,0.083,1.078,0.680,0.985,0.680,0.566,0.661,"[0.639, 0.769, 0.595, 0.715, 0.435, 0.621, 0.702, 0.112, 0.469, 0.607]"
06,0.083,1.150,0.626,0.982,0.626,0.576,0.628,"[0.61, 0.701, 0.611, 0.695, 0.464, 0.527, 0.614, 0.486, 0.502, 0.548]"
07,0.059,1.196,0.635,0.987,0.635,0.571,0.629,"[0.576, 0.652, 0.485, 0.699, 0.464, 0.605, 0.607, 0.546, 0.415, 0.667]"
08,0.040,1.139,0.667,0.986,0.667,0.591,0.663,"[0.575, 0.713, 0.5, 0.674, 0.5, 0.581, 0.71, 0.567, 0.493, 0.6]"
09,0.029,1.346,0.635,0.984,0.635,0.567,0.636,"[0.601, 0.749, 0.5, 0.66, 0.381, 0.523, 0.654, 0.431, 0.514, 0.653]"
10,0.025,1.185,0.689,0.986,0.689,0.577,0.672,"[0.643, 0.731, 0.529, 0.739, 0.4, 0.505, 0.731, 0.372, 0.48, 0.64]"
11,0.019,1.105,0.673,0.987,0.673,0.595,0.669,"[0.663, 0.733, 0.485, 0.668, 0.419, 0.609, 0.707, 0.58, 0.462, 0.63]"
12,0.029,1.125,0.688,0.987,0.688,0.586,0.682,"[0.634, 0.668, 0.452, 0.725, 0.409, 0.606, 0.742, 0.574, 0.471, 0.581]"
13,0.020,1.143,0.705,0.988,0.705,0.603,0.699,"[0.623, 0.759, 0.452, 0.715, 0.449, 0.632, 0.746, 0.575, 0.477, 0.6]"
14,0.007,1.287,0.651,0.982,0.651,0.573,0.642,"[0.651, 0.759, 0.286, 0.723, 0.5, 0.593, 0.566, 0.544, 0.46, 0.653]"
15,0.020,1.104,0.701,0.986,0.701,0.581,0.690,"[0.674, 0.768, 0.333, 0.745, 0.464, 0.571, 0.734, 0.402, 0.473, 0.645]"
16,0.006,1.086,0.708,0.989,0.708,0.602,0.702,"[0.663, 0.76, 0.438, 0.735, 0.462, 0.629, 0.743, 0.553, 0.439, 0.6]"
17,0.004,1.090,0.702,0.987,0.702,0.608,0.698,"[0.667, 0.719, 0.485, 0.734, 0.423, 0.656, 0.728, 0.611, 0.47, 0.584]"
18,0.002,1.070,0.706,0.987,0.706,0.612,0.702,"[0.671, 0.742, 0.485, 0.737, 0.431, 0.647, 0.727, 0.618, 0.456, 0.607]"
19,0.002,1.048,0.717,0.987,0.717,0.621,0.713,"[0.671, 0.764, 0.485, 0.75, 0.462, 0.65, 0.738, 0.609, 0.468, 0.614]"
20,0.002,1.082,0.713,0.987,0.713,0.621,0.709,"[0.671, 0.763, 0.485, 0.744, 0.444, 0.638, 0.734, 0.606, 0.495, 0.63]"
21,0.001,1.120,0.712,0.987,0.712,0.606,0.705,"[0.652, 0.77, 0.438, 0.745, 0.471, 0.635, 0.737, 0.519, 0.457, 0.637]"
22,0.001,1.113,0.715,0.987,0.715,0.614,0.709,"[0.659, 0.771, 0.485, 0.748, 0.444, 0.627, 0.74, 0.566, 0.475, 0.63]"
23,0.001,1.123,0.710,0.987,0.710,0.599,0.703,"[0.659, 0.761, 0.387, 0.746, 0.44, 0.626, 0.738, 0.541, 0.45, 0.644]"
24,0.001,1.088,0.717,0.987,0.717,0.621,0.712,"[0.667, 0.773, 0.485, 0.752, 0.449, 0.635, 0.739, 0.565, 0.498, 0.646]"
25,0.001,1.082,0.712,0.986,0.712,0.624,0.708,"[0.659, 0.763, 0.529, 0.747, 0.462, 0.636, 0.732, 0.571, 0.484, 0.653]"
26,0.001,1.094,0.713,0.986,0.713,0.622,0.708,"[0.655, 0.768, 0.529, 0.748, 0.462, 0.631, 0.732, 0.58, 0.471, 0.645]"
27,0.001,1.097,0.716,0.987,0.716,0.616,0.711,"[0.659, 0.769, 0.485, 0.752, 0.453, 0.639, 0.739, 0.563, 0.465, 0.637]"
28,0.001,1.130,0.716,0.987,0.716,0.614,0.710,"[0.654, 0.775, 0.485, 0.751, 0.449, 0.632, 0.739, 0.551, 0.47, 0.629]"
29,0.001,1.155,0.712,0.987,0.712,0.608,0.706,"[0.671, 0.762, 0.438, 0.748, 0.426, 0.627, 0.735, 0.565, 0.483, 0.629]"
30,0.001,1.179,0.703,0.987,0.703,0.605,0.697,"[0.679, 0.733, 0.387, 0.736, 0.462, 0.632, 0.731, 0.571, 0.463, 0.66]"
