epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.044,2.118,0.110,0.692,0.110,0.046,0.038,"[0.121, 0.053, 0.0, 0.0, 0.057, 0.223, 0.0, 0.0, 0.0, 0.0]"
01,1.786,1.855,0.170,0.887,0.170,0.146,0.184,"[0.0, 0.021, 0.152, 0.328, 0.198, 0.091, 0.168, 0.408, 0.059, 0.038]"
02,1.645,1.906,0.234,0.875,0.234,0.211,0.254,"[0.156, 0.463, 0.143, 0.135, 0.112, 0.095, 0.298, 0.481, 0.091, 0.135]"
03,1.527,1.848,0.333,0.826,0.333,0.279,0.305,"[0.175, 0.543, 0.485, 0.453, 0.149, 0.449, 0.0, 0.428, 0.014, 0.091]"
04,1.492,1.604,0.479,0.898,0.479,0.357,0.491,"[0.281, 0.568, 0.202, 0.531, 0.146, 0.452, 0.483, 0.578, 0.207, 0.119]"
05,1.364,1.823,0.312,0.903,0.312,0.291,0.315,"[0.194, 0.221, 0.652, 0.517, 0.095, 0.254, 0.212, 0.416, 0.155, 0.191]"
06,1.328,1.637,0.384,0.898,0.384,0.335,0.424,"[0.225, 0.521, 0.556, 0.477, 0.167, 0.396, 0.386, 0.525, 0.013, 0.084]"
07,1.299,1.430,0.504,0.951,0.504,0.395,0.511,"[0.315, 0.571, 0.529, 0.562, 0.166, 0.478, 0.511, 0.565, 0.124, 0.127]"
08,1.295,1.627,0.407,0.923,0.407,0.345,0.412,"[0.263, 0.269, 0.485, 0.565, 0.121, 0.442, 0.37, 0.519, 0.186, 0.234]"
09,1.221,1.572,0.428,0.907,0.428,0.357,0.445,"[0.31, 0.562, 0.529, 0.564, 0.137, 0.412, 0.336, 0.483, 0.121, 0.113]"
10,1.196,1.642,0.394,0.910,0.394,0.340,0.420,"[0.165, 0.547, 0.45, 0.393, 0.119, 0.471, 0.395, 0.53, 0.149, 0.179]"
11,1.176,1.589,0.444,0.933,0.444,0.374,0.485,"[0.25, 0.532, 0.452, 0.499, 0.107, 0.35, 0.544, 0.614, 0.159, 0.228]"
12,1.169,1.499,0.482,0.922,0.482,0.397,0.494,"[0.345, 0.503, 0.537, 0.596, 0.132, 0.426, 0.462, 0.618, 0.191, 0.163]"
13,1.172,1.499,0.449,0.934,0.449,0.361,0.447,"[0.233, 0.61, 0.457, 0.478, 0.213, 0.474, 0.372, 0.527, 0.067, 0.181]"
14,1.134,1.377,0.521,0.951,0.521,0.414,0.521,"[0.349, 0.45, 0.596, 0.605, 0.154, 0.46, 0.567, 0.623, 0.068, 0.269]"
15,1.163,1.406,0.514,0.946,0.514,0.422,0.526,"[0.338, 0.581, 0.634, 0.571, 0.169, 0.455, 0.544, 0.585, 0.145, 0.201]"
16,1.166,1.668,0.373,0.883,0.373,0.325,0.364,"[0.266, 0.54, 0.466, 0.513, 0.208, 0.442, 0.116, 0.506, 0.09, 0.102]"
17,1.146,1.438,0.484,0.946,0.484,0.413,0.491,"[0.34, 0.513, 0.649, 0.606, 0.186, 0.458, 0.437, 0.502, 0.225, 0.218]"
18,1.108,1.318,0.541,0.959,0.541,0.413,0.546,"[0.324, 0.536, 0.396, 0.592, 0.166, 0.458, 0.615, 0.587, 0.167, 0.288]"
19,1.171,1.476,0.456,0.938,0.456,0.382,0.432,"[0.335, 0.497, 0.529, 0.597, 0.15, 0.491, 0.243, 0.504, 0.24, 0.229]"
20,1.060,1.611,0.403,0.928,0.403,0.353,0.424,"[0.201, 0.592, 0.465, 0.476, 0.229, 0.462, 0.319, 0.438, 0.172, 0.175]"
21,1.061,1.515,0.415,0.938,0.415,0.355,0.388,"[0.284, 0.606, 0.529, 0.537, 0.193, 0.488, 0.115, 0.442, 0.186, 0.171]"
22,1.050,1.466,0.454,0.941,0.454,0.380,0.452,"[0.252, 0.446, 0.571, 0.589, 0.155, 0.471, 0.369, 0.479, 0.188, 0.279]"
23,1.030,1.599,0.396,0.928,0.396,0.349,0.366,"[0.323, 0.535, 0.571, 0.587, 0.154, 0.444, 0.056, 0.4, 0.178, 0.242]"
24,1.031,1.573,0.419,0.925,0.419,0.365,0.422,"[0.317, 0.6, 0.556, 0.266, 0.162, 0.357, 0.524, 0.515, 0.148, 0.2]"
25,1.044,1.752,0.338,0.906,0.338,0.334,0.374,"[0.323, 0.512, 0.452, 0.253, 0.146, 0.318, 0.444, 0.513, 0.121, 0.257]"
26,0.956,1.563,0.363,0.950,0.363,0.338,0.389,"[0.159, 0.592, 0.457, 0.467, 0.235, 0.449, 0.216, 0.469, 0.122, 0.215]"
27,0.985,1.672,0.378,0.907,0.378,0.322,0.398,"[0.191, 0.595, 0.333, 0.391, 0.183, 0.451, 0.314, 0.465, 0.157, 0.141]"
28,0.996,1.489,0.451,0.939,0.451,0.384,0.467,"[0.238, 0.535, 0.556, 0.535, 0.179, 0.448, 0.413, 0.6, 0.14, 0.193]"
29,1.063,1.574,0.428,0.905,0.428,0.366,0.403,"[0.28, 0.591, 0.465, 0.501, 0.195, 0.487, 0.189, 0.518, 0.196, 0.234]"
30,1.011,1.456,0.487,0.921,0.487,0.397,0.487,"[0.273, 0.599, 0.513, 0.372, 0.175, 0.475, 0.578, 0.634, 0.14, 0.213]"
31,0.974,1.487,0.441,0.941,0.441,0.401,0.472,"[0.318, 0.609, 0.485, 0.513, 0.247, 0.479, 0.391, 0.584, 0.141, 0.239]"
32,1.001,1.393,0.497,0.953,0.497,0.420,0.529,"[0.356, 0.578, 0.429, 0.543, 0.223, 0.426, 0.578, 0.633, 0.179, 0.26]"
33,0.959,1.453,0.476,0.938,0.476,0.395,0.487,"[0.306, 0.6, 0.36, 0.549, 0.167, 0.496, 0.406, 0.557, 0.222, 0.281]"
34,0.963,1.552,0.432,0.923,0.432,0.377,0.454,"[0.278, 0.595, 0.509, 0.437, 0.15, 0.446, 0.443, 0.471, 0.195, 0.243]"
35,0.962,1.528,0.426,0.924,0.426,0.366,0.405,"[0.385, 0.523, 0.566, 0.607, 0.149, 0.442, 0.162, 0.438, 0.231, 0.159]"
36,0.978,1.589,0.434,0.906,0.434,0.352,0.390,"[0.254, 0.622, 0.345, 0.551, 0.234, 0.493, 0.089, 0.472, 0.231, 0.229]"
37,0.919,1.407,0.496,0.949,0.496,0.419,0.509,"[0.262, 0.597, 0.486, 0.448, 0.212, 0.484, 0.573, 0.607, 0.213, 0.303]"
38,0.951,1.402,0.498,0.948,0.498,0.425,0.523,"[0.372, 0.584, 0.571, 0.554, 0.179, 0.457, 0.535, 0.604, 0.237, 0.158]"
39,0.896,1.212,0.568,0.967,0.568,0.456,0.564,"[0.37, 0.617, 0.611, 0.612, 0.266, 0.456, 0.597, 0.632, 0.131, 0.266]"
40,0.902,1.355,0.488,0.956,0.488,0.419,0.469,"[0.37, 0.598, 0.611, 0.616, 0.247, 0.49, 0.295, 0.454, 0.246, 0.268]"
41,0.904,1.389,0.497,0.942,0.497,0.414,0.514,"[0.289, 0.598, 0.529, 0.517, 0.23, 0.44, 0.54, 0.615, 0.221, 0.16]"
42,0.937,1.382,0.486,0.954,0.486,0.429,0.502,"[0.365, 0.606, 0.545, 0.47, 0.224, 0.491, 0.514, 0.609, 0.196, 0.266]"
43,0.902,1.471,0.463,0.947,0.463,0.393,0.482,"[0.289, 0.595, 0.5, 0.519, 0.149, 0.449, 0.44, 0.546, 0.258, 0.191]"
44,0.890,1.341,0.498,0.956,0.498,0.428,0.474,"[0.389, 0.603, 0.615, 0.599, 0.228, 0.506, 0.302, 0.526, 0.272, 0.236]"
45,0.844,1.448,0.460,0.939,0.460,0.407,0.464,"[0.356, 0.59, 0.524, 0.374, 0.212, 0.473, 0.498, 0.601, 0.211, 0.235]"
46,0.931,1.402,0.490,0.951,0.490,0.415,0.507,"[0.327, 0.608, 0.541, 0.513, 0.254, 0.314, 0.567, 0.582, 0.19, 0.26]"
47,0.873,1.456,0.428,0.951,0.428,0.381,0.430,"[0.298, 0.613, 0.513, 0.478, 0.221, 0.488, 0.303, 0.442, 0.176, 0.277]"
48,0.894,1.330,0.520,0.960,0.520,0.433,0.534,"[0.301, 0.608, 0.5, 0.574, 0.24, 0.482, 0.528, 0.591, 0.277, 0.233]"
49,0.849,1.373,0.501,0.957,0.501,0.416,0.522,"[0.291, 0.596, 0.485, 0.56, 0.162, 0.465, 0.522, 0.568, 0.258, 0.253]"
