epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.576,3.714,0.239,0.694,0.239,0.186,0.236,"[0.02, 0.371, 0.345, 0.566, 0.091, 0.016, 0.002, 0.0, 0.168, 0.282]"
01,1.237,2.108,0.266,0.944,0.266,0.232,0.259,"[0.387, 0.371, 0.0, 0.395, 0.116, 0.356, 0.019, 0.385, 0.207, 0.087]"
02,1.132,1.816,0.342,0.954,0.342,0.334,0.372,"[0.227, 0.423, 0.549, 0.388, 0.064, 0.397, 0.33, 0.504, 0.203, 0.257]"
03,1.063,1.585,0.449,0.964,0.449,0.391,0.470,"[0.514, 0.493, 0.548, 0.625, 0.283, 0.157, 0.468, 0.504, 0.213, 0.105]"
04,0.832,1.216,0.504,0.983,0.504,0.489,0.507,"[0.61, 0.571, 0.78, 0.652, 0.249, 0.447, 0.384, 0.492, 0.253, 0.449]"
05,0.781,4.018,0.254,0.907,0.254,0.244,0.297,"[0.202, 0.559, 0.526, 0.413, 0.322, 0.008, 0.238, 0.008, 0.115, 0.053]"
06,0.714,1.249,0.499,0.977,0.499,0.483,0.504,"[0.457, 0.473, 0.735, 0.598, 0.281, 0.515, 0.459, 0.494, 0.273, 0.548]"
07,0.654,1.797,0.452,0.969,0.452,0.364,0.502,"[0.356, 0.597, 0.124, 0.547, 0.286, 0.333, 0.535, 0.517, 0.226, 0.119]"
08,0.582,1.566,0.469,0.974,0.469,0.414,0.494,"[0.556, 0.62, 0.571, 0.532, 0.188, 0.4, 0.482, 0.416, 0.261, 0.116]"
09,0.530,1.685,0.560,0.972,0.560,0.438,0.579,"[0.228, 0.605, 0.276, 0.62, 0.232, 0.529, 0.619, 0.613, 0.267, 0.39]"
10,0.457,1.150,0.611,0.970,0.611,0.498,0.609,"[0.192, 0.677, 0.611, 0.632, 0.368, 0.566, 0.647, 0.54, 0.406, 0.339]"
11,0.398,1.068,0.581,0.984,0.581,0.541,0.582,"[0.59, 0.625, 0.732, 0.567, 0.353, 0.548, 0.622, 0.574, 0.301, 0.496]"
12,0.396,1.163,0.602,0.973,0.602,0.528,0.603,"[0.596, 0.688, 0.655, 0.584, 0.189, 0.509, 0.662, 0.556, 0.312, 0.525]"
13,0.326,1.117,0.628,0.976,0.628,0.549,0.628,"[0.525, 0.668, 0.773, 0.668, 0.133, 0.544, 0.661, 0.526, 0.434, 0.556]"
14,0.293,1.631,0.492,0.970,0.492,0.450,0.494,"[0.403, 0.474, 0.684, 0.635, 0.218, 0.406, 0.434, 0.56, 0.239, 0.45]"
15,0.277,1.242,0.608,0.971,0.608,0.510,0.605,"[0.394, 0.662, 0.75, 0.66, 0.103, 0.534, 0.623, 0.52, 0.324, 0.529]"
16,0.221,1.821,0.531,0.956,0.531,0.405,0.497,"[0.537, 0.564, 0.189, 0.278, 0.057, 0.579, 0.67, 0.606, 0.132, 0.436]"
17,0.276,1.416,0.583,0.970,0.583,0.515,0.585,"[0.556, 0.63, 0.529, 0.656, 0.217, 0.495, 0.579, 0.5, 0.333, 0.655]"
18,0.226,1.412,0.559,0.964,0.559,0.485,0.547,"[0.551, 0.611, 0.744, 0.621, 0.146, 0.435, 0.53, 0.487, 0.347, 0.373]"
19,0.182,1.634,0.559,0.953,0.559,0.484,0.551,"[0.489, 0.627, 0.75, 0.502, 0.083, 0.491, 0.639, 0.51, 0.134, 0.618]"
20,0.131,1.508,0.577,0.968,0.577,0.518,0.568,"[0.596, 0.63, 0.75, 0.622, 0.208, 0.484, 0.574, 0.381, 0.373, 0.566]"
