epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.210,1.841,0.358,0.928,0.358,0.267,0.336,"[0.0, 0.538, 0.421, 0.543, 0.114, 0.238, 0.12, 0.297, 0.175, 0.22]"
01,1.927,2.575,0.281,0.864,0.281,0.258,0.283,"[0.244, 0.379, 0.304, 0.533, 0.217, 0.2, 0.006, 0.558, 0.081, 0.059]"
02,1.943,1.675,0.469,0.963,0.469,0.378,0.464,"[0.242, 0.615, 0.537, 0.556, 0.241, 0.221, 0.444, 0.456, 0.171, 0.301]"
03,1.835,2.480,0.326,0.873,0.326,0.286,0.334,"[0.272, 0.437, 0.091, 0.483, 0.091, 0.469, 0.106, 0.391, 0.145, 0.37]"
04,1.693,2.014,0.408,0.942,0.408,0.343,0.402,"[0.264, 0.578, 0.541, 0.45, 0.162, 0.431, 0.296, 0.452, 0.0, 0.257]"
05,1.535,2.629,0.353,0.878,0.353,0.331,0.315,"[0.173, 0.607, 0.345, 0.374, 0.221, 0.405, 0.032, 0.565, 0.136, 0.456]"
06,1.940,4.420,0.222,0.818,0.222,0.231,0.229,"[0.092, 0.171, 0.4, 0.015, 0.095, 0.04, 0.48, 0.634, 0.107, 0.271]"
07,2.109,2.869,0.418,0.916,0.418,0.364,0.392,"[0.194, 0.469, 0.317, 0.531, 0.293, 0.524, 0.174, 0.578, 0.151, 0.413]"
08,1.797,2.681,0.377,0.938,0.377,0.350,0.379,"[0.278, 0.372, 0.537, 0.553, 0.13, 0.421, 0.238, 0.361, 0.192, 0.419]"
09,1.606,1.866,0.391,0.943,0.391,0.317,0.387,"[0.213, 0.573, 0.181, 0.38, 0.25, 0.255, 0.386, 0.337, 0.194, 0.405]"
10,1.520,2.774,0.373,0.952,0.373,0.359,0.363,"[0.278, 0.561, 0.5, 0.197, 0.096, 0.447, 0.359, 0.586, 0.15, 0.419]"
11,1.637,2.431,0.359,0.941,0.359,0.313,0.367,"[0.116, 0.61, 0.387, 0.182, 0.048, 0.448, 0.412, 0.423, 0.055, 0.453]"
12,1.356,2.101,0.446,0.954,0.446,0.384,0.466,"[0.21, 0.545, 0.408, 0.442, 0.155, 0.453, 0.502, 0.525, 0.119, 0.478]"
13,1.150,2.083,0.354,0.962,0.354,0.313,0.304,"[0.25, 0.499, 0.345, 0.227, 0.197, 0.417, 0.214, 0.41, 0.163, 0.41]"
14,1.125,2.277,0.417,0.938,0.417,0.348,0.372,"[0.277, 0.589, 0.452, 0.542, 0.111, 0.475, 0.067, 0.486, 0.068, 0.415]"
15,1.389,1.623,0.512,0.956,0.512,0.394,0.516,"[0.266, 0.637, 0.233, 0.455, 0.151, 0.512, 0.579, 0.535, 0.109, 0.464]"
16,1.321,1.990,0.466,0.955,0.466,0.370,0.489,"[0.186, 0.476, 0.222, 0.555, 0.181, 0.493, 0.491, 0.565, 0.171, 0.36]"
17,1.350,1.754,0.537,0.967,0.537,0.401,0.525,"[0.293, 0.621, 0.556, 0.573, 0.182, 0.524, 0.572, 0.107, 0.214, 0.373]"
18,1.240,2.213,0.400,0.940,0.400,0.312,0.356,"[0.271, 0.45, 0.286, 0.538, 0.24, 0.312, 0.177, 0.385, 0.151, 0.306]"
19,1.114,1.865,0.468,0.968,0.468,0.395,0.482,"[0.218, 0.627, 0.432, 0.425, 0.174, 0.42, 0.532, 0.502, 0.19, 0.431]"
20,1.065,1.735,0.505,0.948,0.505,0.370,0.501,"[0.194, 0.612, 0.233, 0.578, 0.198, 0.513, 0.428, 0.606, 0.12, 0.223]"
21,1.242,2.654,0.304,0.905,0.304,0.306,0.361,"[0.266, 0.284, 0.274, 0.307, 0.154, 0.38, 0.45, 0.597, 0.104, 0.239]"
22,1.364,2.242,0.344,0.951,0.344,0.335,0.332,"[0.167, 0.594, 0.512, 0.141, 0.152, 0.455, 0.306, 0.543, 0.13, 0.354]"
23,1.391,1.554,0.554,0.962,0.554,0.458,0.555,"[0.306, 0.615, 0.591, 0.595, 0.206, 0.508, 0.573, 0.571, 0.12, 0.5]"
24,1.358,2.106,0.536,0.950,0.536,0.342,0.500,"[0.242, 0.572, 0.485, 0.573, 0.143, 0.359, 0.617, 0.07, 0.0, 0.357]"
25,1.693,3.231,0.438,0.901,0.438,0.361,0.350,"[0.333, 0.476, 0.387, 0.58, 0.29, 0.503, 0.0, 0.472, 0.145, 0.424]"
26,1.882,2.972,0.298,0.954,0.298,0.319,0.352,"[0.287, 0.374, 0.345, 0.31, 0.263, 0.078, 0.47, 0.603, 0.096, 0.366]"
27,1.954,1.884,0.502,0.955,0.502,0.395,0.511,"[0.137, 0.63, 0.438, 0.517, 0.045, 0.492, 0.503, 0.612, 0.181, 0.4]"
28,1.631,2.275,0.455,0.938,0.455,0.340,0.454,"[0.152, 0.611, 0.228, 0.504, 0.049, 0.473, 0.357, 0.596, 0.163, 0.263]"
29,1.593,4.249,0.226,0.838,0.226,0.247,0.204,"[0.224, 0.223, 0.283, 0.211, 0.119, 0.414, 0.035, 0.601, 0.102, 0.261]"
30,1.402,2.486,0.391,0.932,0.391,0.335,0.400,"[0.259, 0.415, 0.49, 0.434, 0.0, 0.456, 0.373, 0.483, 0.149, 0.292]"
31,1.276,2.567,0.450,0.958,0.450,0.377,0.396,"[0.211, 0.611, 0.485, 0.576, 0.148, 0.439, 0.082, 0.608, 0.197, 0.416]"
32,1.168,1.627,0.533,0.971,0.533,0.435,0.527,"[0.185, 0.593, 0.438, 0.585, 0.252, 0.518, 0.493, 0.589, 0.253, 0.442]"
33,1.026,1.675,0.515,0.958,0.515,0.413,0.524,"[0.287, 0.574, 0.387, 0.579, 0.268, 0.458, 0.529, 0.596, 0.169, 0.278]"
