epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.185,3.045,0.136,0.687,0.136,0.191,0.109,"[0.237, 0.097, 0.49, 0.0, 0.122, 0.252, 0.067, 0.593, 0.0, 0.049]"
01,2.412,2.665,0.238,0.838,0.238,0.230,0.273,"[0.19, 0.427, 0.222, 0.153, 0.055, 0.314, 0.284, 0.457, 0.098, 0.1]"
02,2.397,2.570,0.299,0.885,0.299,0.250,0.333,"[0.0, 0.412, 0.225, 0.238, 0.045, 0.226, 0.441, 0.492, 0.142, 0.282]"
03,2.437,2.532,0.378,0.938,0.378,0.309,0.379,"[0.298, 0.534, 0.452, 0.456, 0.195, 0.153, 0.355, 0.374, 0.087, 0.187]"
04,2.040,1.746,0.506,0.962,0.506,0.438,0.492,"[0.386, 0.508, 0.684, 0.602, 0.323, 0.512, 0.434, 0.5, 0.0, 0.435]"
05,1.604,2.757,0.271,0.870,0.271,0.259,0.256,"[0.217, 0.248, 0.286, 0.086, 0.263, 0.472, 0.32, 0.451, 0.13, 0.12]"
06,1.912,2.545,0.343,0.857,0.343,0.348,0.302,"[0.163, 0.528, 0.7, 0.013, 0.128, 0.364, 0.374, 0.602, 0.181, 0.429]"
07,2.079,2.123,0.420,0.931,0.420,0.343,0.405,"[0.22, 0.534, 0.595, 0.181, 0.226, 0.42, 0.592, 0.385, 0.129, 0.147]"
08,1.855,1.985,0.461,0.935,0.461,0.393,0.435,"[0.256, 0.551, 0.632, 0.183, 0.232, 0.503, 0.595, 0.591, 0.265, 0.127]"
09,1.573,2.712,0.337,0.916,0.337,0.365,0.342,"[0.251, 0.413, 0.632, 0.484, 0.247, 0.484, 0.11, 0.483, 0.119, 0.427]"
10,1.416,2.459,0.318,0.949,0.318,0.322,0.302,"[0.171, 0.294, 0.611, 0.524, 0.197, 0.384, 0.072, 0.38, 0.123, 0.463]"
11,1.567,2.134,0.423,0.952,0.423,0.367,0.419,"[0.187, 0.572, 0.556, 0.262, 0.181, 0.493, 0.476, 0.574, 0.16, 0.212]"
12,1.595,1.737,0.454,0.970,0.454,0.369,0.427,"[0.143, 0.573, 0.529, 0.494, 0.184, 0.41, 0.322, 0.484, 0.266, 0.282]"
13,1.677,2.202,0.521,0.923,0.521,0.397,0.489,"[0.347, 0.19, 0.529, 0.591, 0.157, 0.518, 0.601, 0.625, 0.054, 0.356]"
14,1.616,1.717,0.521,0.969,0.521,0.436,0.521,"[0.327, 0.526, 0.611, 0.611, 0.258, 0.515, 0.492, 0.614, 0.118, 0.29]"
15,1.467,1.640,0.504,0.965,0.504,0.443,0.512,"[0.379, 0.582, 0.684, 0.536, 0.158, 0.294, 0.564, 0.607, 0.23, 0.4]"
16,1.094,1.705,0.500,0.953,0.500,0.418,0.482,"[0.322, 0.565, 0.718, 0.459, 0.201, 0.187, 0.605, 0.527, 0.233, 0.362]"
17,1.064,2.149,0.414,0.946,0.414,0.389,0.405,"[0.236, 0.336, 0.611, 0.563, 0.269, 0.414, 0.291, 0.613, 0.174, 0.382]"
18,1.159,1.425,0.531,0.972,0.531,0.454,0.522,"[0.354, 0.606, 0.531, 0.437, 0.268, 0.512, 0.6, 0.601, 0.191, 0.436]"
19,1.393,1.656,0.517,0.969,0.517,0.429,0.497,"[0.331, 0.515, 0.642, 0.6, 0.262, 0.38, 0.481, 0.551, 0.17, 0.354]"
20,1.274,2.089,0.452,0.948,0.452,0.432,0.471,"[0.168, 0.444, 0.727, 0.548, 0.267, 0.483, 0.432, 0.628, 0.215, 0.409]"
21,1.247,2.702,0.382,0.848,0.382,0.346,0.322,"[0.288, 0.538, 0.611, 0.467, 0.247, 0.46, 0.009, 0.396, 0.203, 0.238]"
22,1.267,2.935,0.335,0.890,0.335,0.309,0.307,"[0.163, 0.556, 0.4, 0.197, 0.204, 0.438, 0.194, 0.568, 0.171, 0.201]"
23,1.426,2.366,0.422,0.928,0.422,0.352,0.394,"[0.208, 0.535, 0.36, 0.467, 0.165, 0.443, 0.224, 0.622, 0.21, 0.284]"
24,1.179,1.735,0.525,0.963,0.525,0.393,0.515,"[0.285, 0.599, 0.343, 0.539, 0.174, 0.224, 0.614, 0.558, 0.223, 0.372]"
25,1.280,1.470,0.540,0.971,0.540,0.424,0.540,"[0.288, 0.604, 0.419, 0.521, 0.268, 0.531, 0.59, 0.576, 0.236, 0.212]"
26,1.121,1.924,0.465,0.958,0.465,0.409,0.463,"[0.216, 0.563, 0.684, 0.583, 0.15, 0.453, 0.352, 0.44, 0.198, 0.446]"
27,1.073,2.005,0.440,0.948,0.440,0.381,0.444,"[0.29, 0.513, 0.6, 0.464, 0.246, 0.191, 0.525, 0.478, 0.164, 0.343]"
28,1.233,2.667,0.348,0.934,0.348,0.294,0.259,"[0.333, 0.511, 0.264, 0.062, 0.113, 0.451, 0.196, 0.416, 0.15, 0.442]"
29,1.348,2.980,0.369,0.909,0.369,0.347,0.335,"[0.175, 0.443, 0.711, 0.555, 0.222, 0.451, 0.047, 0.349, 0.127, 0.392]"
30,1.541,3.462,0.339,0.879,0.339,0.299,0.291,"[0.36, 0.168, 0.595, 0.563, 0.115, 0.165, 0.159, 0.29, 0.163, 0.413]"
31,1.574,2.080,0.448,0.953,0.448,0.394,0.428,"[0.044, 0.432, 0.766, 0.593, 0.274, 0.461, 0.284, 0.589, 0.186, 0.31]"
32,1.345,2.443,0.410,0.944,0.410,0.383,0.391,"[0.408, 0.534, 0.735, 0.479, 0.177, 0.195, 0.309, 0.457, 0.19, 0.343]"
33,1.378,3.556,0.272,0.920,0.272,0.316,0.271,"[0.105, 0.282, 0.698, 0.371, 0.212, 0.433, 0.064, 0.621, 0.126, 0.246]"
34,1.496,2.082,0.452,0.959,0.452,0.394,0.450,"[0.343, 0.589, 0.632, 0.47, 0.143, 0.485, 0.388, 0.439, 0.187, 0.263]"
