epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.173,0.937,0.653,0.983,0.653,0.607,0.658,"[0.622, 0.73, 0.667, 0.685, 0.505, 0.599, 0.665, 0.561, 0.448, 0.591]"
01,0.564,0.866,0.662,0.986,0.662,0.630,0.665,"[0.682, 0.772, 0.727, 0.731, 0.495, 0.613, 0.607, 0.544, 0.484, 0.644]"
02,0.410,0.716,0.722,0.992,0.722,0.681,0.725,"[0.706, 0.797, 0.741, 0.776, 0.548, 0.644, 0.717, 0.595, 0.537, 0.748]"
03,0.314,0.668,0.745,0.993,0.745,0.696,0.746,"[0.701, 0.809, 0.76, 0.782, 0.587, 0.653, 0.762, 0.64, 0.547, 0.718]"
04,0.251,0.688,0.725,0.994,0.725,0.687,0.725,"[0.702, 0.814, 0.76, 0.785, 0.585, 0.654, 0.689, 0.602, 0.564, 0.719]"
05,0.200,0.680,0.739,0.994,0.739,0.701,0.741,"[0.689, 0.829, 0.784, 0.806, 0.585, 0.658, 0.712, 0.596, 0.59, 0.759]"
06,0.168,0.657,0.747,0.994,0.747,0.697,0.746,"[0.702, 0.809, 0.741, 0.803, 0.627, 0.651, 0.75, 0.599, 0.558, 0.727]"
07,0.137,0.651,0.757,0.994,0.757,0.707,0.758,"[0.703, 0.82, 0.816, 0.811, 0.549, 0.662, 0.759, 0.631, 0.615, 0.701]"
08,0.117,0.656,0.753,0.995,0.753,0.708,0.753,"[0.685, 0.825, 0.816, 0.811, 0.582, 0.648, 0.747, 0.624, 0.62, 0.719]"
09,0.096,0.677,0.749,0.994,0.749,0.696,0.748,"[0.675, 0.825, 0.8, 0.814, 0.566, 0.645, 0.738, 0.609, 0.579, 0.713]"
10,0.080,0.685,0.751,0.995,0.751,0.704,0.752,"[0.686, 0.834, 0.816, 0.815, 0.582, 0.641, 0.741, 0.608, 0.599, 0.721]"
11,0.067,0.688,0.761,0.994,0.761,0.707,0.760,"[0.7, 0.821, 0.8, 0.814, 0.545, 0.66, 0.768, 0.609, 0.616, 0.739]"
12,0.051,0.700,0.759,0.994,0.759,0.702,0.758,"[0.655, 0.832, 0.792, 0.817, 0.566, 0.651, 0.758, 0.618, 0.615, 0.714]"
13,0.044,0.723,0.754,0.993,0.754,0.700,0.754,"[0.689, 0.824, 0.76, 0.808, 0.596, 0.649, 0.761, 0.613, 0.575, 0.727]"
14,0.033,0.735,0.759,0.994,0.759,0.705,0.759,"[0.678, 0.83, 0.816, 0.816, 0.556, 0.657, 0.759, 0.614, 0.607, 0.719]"
15,0.032,0.748,0.762,0.995,0.762,0.706,0.760,"[0.685, 0.824, 0.816, 0.818, 0.549, 0.65, 0.767, 0.608, 0.618, 0.721]"
16,0.026,0.759,0.754,0.994,0.754,0.701,0.753,"[0.681, 0.822, 0.816, 0.811, 0.566, 0.638, 0.758, 0.598, 0.607, 0.714]"
17,0.021,0.764,0.763,0.995,0.763,0.707,0.761,"[0.699, 0.832, 0.8, 0.817, 0.566, 0.648, 0.768, 0.597, 0.612, 0.734]"
18,0.020,0.777,0.754,0.993,0.754,0.706,0.753,"[0.725, 0.83, 0.769, 0.816, 0.594, 0.642, 0.743, 0.622, 0.601, 0.722]"
