epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.940,2.559,0.174,0.708,0.174,0.168,0.158,"[0.092, 0.283, 0.089, 0.144, 0.095, 0.379, 0.0, 0.285, 0.108, 0.207]"
01,1.446,1.768,0.364,0.893,0.364,0.316,0.351,"[0.159, 0.547, 0.75, 0.515, 0.176, 0.304, 0.153, 0.387, 0.0, 0.169]"
02,1.268,5.596,0.124,0.795,0.124,0.135,0.142,"[0.08, 0.288, 0.0, 0.16, 0.241, 0.17, 0.017, 0.34, 0.0, 0.057]"
03,1.153,3.665,0.236,0.917,0.236,0.186,0.161,"[0.065, 0.483, 0.158, 0.089, 0.155, 0.2, 0.023, 0.231, 0.026, 0.427]"
04,1.145,3.887,0.160,0.796,0.160,0.146,0.167,"[0.074, 0.371, 0.015, 0.207, 0.19, 0.123, 0.027, 0.306, 0.032, 0.115]"
05,0.975,5.071,0.170,0.686,0.170,0.134,0.194,"[0.141, 0.393, 0.0, 0.35, 0.136, 0.122, 0.02, 0.021, 0.096, 0.058]"
06,0.974,1.849,0.377,0.942,0.377,0.257,0.367,"[0.255, 0.424, 0.222, 0.583, 0.07, 0.057, 0.309, 0.367, 0.041, 0.242]"
07,0.922,1.791,0.358,0.948,0.358,0.306,0.354,"[0.143, 0.569, 0.698, 0.415, 0.143, 0.38, 0.221, 0.34, 0.081, 0.07]"
08,0.885,1.673,0.406,0.968,0.406,0.311,0.427,"[0.265, 0.5, 0.043, 0.527, 0.09, 0.344, 0.363, 0.538, 0.162, 0.275]"
09,0.903,1.849,0.396,0.964,0.396,0.331,0.397,"[0.534, 0.542, 0.151, 0.51, 0.093, 0.338, 0.268, 0.384, 0.116, 0.371]"
10,0.803,2.225,0.341,0.930,0.341,0.322,0.352,"[0.269, 0.556, 0.483, 0.325, 0.202, 0.167, 0.358, 0.368, 0.134, 0.353]"
11,0.788,2.039,0.336,0.929,0.336,0.270,0.343,"[0.236, 0.444, 0.288, 0.39, 0.103, 0.408, 0.267, 0.343, 0.106, 0.113]"
12,0.694,1.649,0.352,0.964,0.352,0.340,0.312,"[0.085, 0.484, 0.586, 0.235, 0.191, 0.332, 0.25, 0.511, 0.284, 0.44]"
13,0.691,1.701,0.365,0.959,0.365,0.346,0.307,"[0.365, 0.462, 0.6, 0.008, 0.25, 0.424, 0.409, 0.564, 0.222, 0.157]"
14,0.639,1.917,0.363,0.971,0.363,0.310,0.351,"[0.426, 0.524, 0.395, 0.482, 0.0, 0.227, 0.205, 0.318, 0.168, 0.351]"
15,0.639,1.536,0.426,0.971,0.426,0.393,0.403,"[0.31, 0.517, 0.611, 0.201, 0.222, 0.419, 0.528, 0.482, 0.282, 0.354]"
16,0.612,1.772,0.412,0.961,0.412,0.339,0.417,"[0.423, 0.584, 0.681, 0.361, 0.175, 0.305, 0.526, 0.051, 0.194, 0.089]"
17,0.562,1.301,0.528,0.971,0.528,0.423,0.527,"[0.48, 0.592, 0.345, 0.466, 0.193, 0.412, 0.658, 0.444, 0.246, 0.393]"
18,0.460,1.490,0.509,0.969,0.509,0.380,0.504,"[0.252, 0.589, 0.611, 0.518, 0.192, 0.344, 0.64, 0.132, 0.209, 0.314]"
19,0.429,1.277,0.551,0.974,0.551,0.453,0.552,"[0.105, 0.632, 0.78, 0.57, 0.217, 0.34, 0.64, 0.588, 0.224, 0.432]"
20,0.474,1.215,0.564,0.974,0.564,0.484,0.564,"[0.446, 0.616, 0.611, 0.561, 0.188, 0.516, 0.608, 0.521, 0.394, 0.375]"
21,0.432,1.984,0.401,0.967,0.401,0.354,0.442,"[0.28, 0.576, 0.718, 0.591, 0.19, 0.298, 0.371, 0.283, 0.167, 0.06]"
22,0.403,1.420,0.536,0.977,0.536,0.434,0.524,"[0.458, 0.63, 0.684, 0.474, 0.1, 0.353, 0.652, 0.358, 0.328, 0.303]"
23,0.375,1.203,0.583,0.971,0.583,0.481,0.578,"[0.434, 0.63, 0.649, 0.585, 0.068, 0.475, 0.636, 0.59, 0.303, 0.439]"
24,0.470,1.470,0.508,0.962,0.508,0.386,0.498,"[0.303, 0.614, 0.611, 0.599, 0.178, 0.133, 0.563, 0.332, 0.276, 0.251]"
25,0.449,1.501,0.470,0.975,0.470,0.418,0.474,"[0.508, 0.56, 0.536, 0.499, 0.219, 0.541, 0.428, 0.409, 0.228, 0.25]"
26,0.438,1.603,0.488,0.961,0.488,0.439,0.467,"[0.375, 0.588, 0.78, 0.607, 0.057, 0.482, 0.293, 0.429, 0.35, 0.432]"
27,0.433,1.228,0.567,0.974,0.567,0.493,0.570,"[0.429, 0.625, 0.571, 0.573, 0.232, 0.497, 0.61, 0.563, 0.355, 0.479]"
28,0.327,1.869,0.431,0.948,0.431,0.308,0.427,"[0.119, 0.564, 0.684, 0.394, 0.122, 0.224, 0.59, 0.076, 0.175, 0.127]"
29,0.318,1.424,0.556,0.967,0.556,0.439,0.550,"[0.329, 0.541, 0.438, 0.607, 0.167, 0.437, 0.605, 0.536, 0.324, 0.404]"
30,0.297,1.364,0.565,0.976,0.565,0.442,0.559,"[0.303, 0.597, 0.438, 0.612, 0.111, 0.495, 0.583, 0.528, 0.299, 0.455]"
31,0.257,1.250,0.590,0.973,0.590,0.435,0.584,"[0.214, 0.629, 0.438, 0.626, 0.093, 0.539, 0.63, 0.508, 0.319, 0.357]"
32,0.267,1.522,0.514,0.961,0.514,0.426,0.502,"[0.462, 0.556, 0.718, 0.614, 0.059, 0.534, 0.408, 0.491, 0.237, 0.183]"
33,0.226,3.803,0.410,0.947,0.410,0.291,0.434,"[0.413, 0.552, 0.4, 0.622, 0.0, 0.372, 0.357, 0.0, 0.159, 0.038]"
34,0.327,2.082,0.443,0.971,0.443,0.360,0.450,"[0.165, 0.618, 0.556, 0.331, 0.0, 0.432, 0.538, 0.458, 0.123, 0.377]"
35,0.285,1.589,0.505,0.962,0.505,0.361,0.500,"[0.393, 0.608, 0.419, 0.623, 0.075, 0.432, 0.494, 0.087, 0.161, 0.314]"
36,0.241,2.287,0.439,0.929,0.439,0.342,0.471,"[0.22, 0.622, 0.732, 0.573, 0.1, 0.328, 0.481, 0.14, 0.186, 0.042]"
37,0.207,1.679,0.498,0.972,0.498,0.396,0.479,"[0.298, 0.567, 0.438, 0.604, 0.14, 0.429, 0.367, 0.536, 0.33, 0.25]"
38,0.190,1.468,0.576,0.971,0.576,0.466,0.562,"[0.326, 0.591, 0.75, 0.545, 0.059, 0.506, 0.652, 0.516, 0.292, 0.42]"
39,0.127,1.529,0.562,0.968,0.562,0.466,0.552,"[0.231, 0.615, 0.684, 0.59, 0.233, 0.531, 0.546, 0.574, 0.304, 0.348]"
40,0.134,1.612,0.498,0.955,0.498,0.403,0.469,"[0.456, 0.568, 0.595, 0.333, 0.054, 0.454, 0.607, 0.307, 0.333, 0.319]"
41,0.169,1.705,0.503,0.920,0.503,0.419,0.458,"[0.144, 0.602, 0.75, 0.246, 0.241, 0.443, 0.615, 0.478, 0.34, 0.326]"
42,0.100,1.610,0.574,0.957,0.574,0.458,0.564,"[0.241, 0.618, 0.611, 0.609, 0.16, 0.505, 0.611, 0.328, 0.414, 0.484]"
43,0.101,1.741,0.532,0.959,0.532,0.431,0.523,"[0.445, 0.581, 0.75, 0.513, 0.15, 0.451, 0.631, 0.206, 0.33, 0.25]"
44,0.071,1.718,0.575,0.965,0.575,0.451,0.565,"[0.377, 0.631, 0.438, 0.604, 0.162, 0.436, 0.608, 0.521, 0.337, 0.394]"
45,0.066,1.582,0.571,0.951,0.571,0.452,0.559,"[0.397, 0.602, 0.571, 0.537, 0.154, 0.553, 0.654, 0.314, 0.361, 0.379]"
46,0.064,1.468,0.576,0.967,0.576,0.480,0.559,"[0.374, 0.639, 0.683, 0.538, 0.2, 0.435, 0.655, 0.402, 0.342, 0.533]"
47,0.071,1.532,0.564,0.959,0.564,0.457,0.541,"[0.405, 0.651, 0.649, 0.483, 0.158, 0.432, 0.657, 0.332, 0.355, 0.452]"
48,0.039,1.667,0.572,0.968,0.572,0.482,0.565,"[0.442, 0.589, 0.684, 0.608, 0.061, 0.522, 0.59, 0.469, 0.372, 0.489]"
49,0.029,1.557,0.570,0.965,0.570,0.474,0.565,"[0.478, 0.61, 0.667, 0.59, 0.061, 0.495, 0.615, 0.408, 0.385, 0.434]"
50,0.018,1.545,0.585,0.962,0.585,0.448,0.573,"[0.489, 0.628, 0.611, 0.589, 0.061, 0.506, 0.659, 0.311, 0.323, 0.304]"
51,0.018,1.804,0.586,0.961,0.586,0.467,0.568,"[0.457, 0.633, 0.649, 0.595, 0.162, 0.408, 0.647, 0.488, 0.185, 0.442]"
52,0.015,1.650,0.587,0.962,0.587,0.476,0.568,"[0.455, 0.65, 0.762, 0.556, 0.118, 0.422, 0.67, 0.411, 0.291, 0.425]"
53,0.019,1.622,0.573,0.960,0.573,0.502,0.570,"[0.5, 0.619, 0.732, 0.589, 0.167, 0.554, 0.589, 0.475, 0.373, 0.419]"
54,0.014,1.705,0.591,0.963,0.591,0.470,0.578,"[0.362, 0.645, 0.649, 0.593, 0.158, 0.474, 0.656, 0.4, 0.342, 0.425]"
55,0.026,1.503,0.572,0.970,0.572,0.487,0.568,"[0.48, 0.598, 0.684, 0.603, 0.114, 0.473, 0.615, 0.453, 0.38, 0.472]"
56,0.010,1.491,0.572,0.969,0.572,0.470,0.563,"[0.462, 0.623, 0.684, 0.589, 0.162, 0.464, 0.645, 0.263, 0.317, 0.488]"
57,0.008,1.581,0.586,0.969,0.586,0.477,0.574,"[0.484, 0.634, 0.684, 0.581, 0.059, 0.46, 0.659, 0.376, 0.386, 0.452]"
58,0.007,1.612,0.594,0.967,0.594,0.479,0.582,"[0.5, 0.634, 0.684, 0.597, 0.059, 0.487, 0.664, 0.346, 0.408, 0.409]"
59,0.005,1.713,0.595,0.965,0.595,0.474,0.581,"[0.5, 0.62, 0.649, 0.602, 0.061, 0.492, 0.666, 0.339, 0.4, 0.415]"
60,0.009,1.615,0.570,0.961,0.570,0.469,0.559,"[0.424, 0.617, 0.684, 0.541, 0.114, 0.468, 0.653, 0.392, 0.373, 0.424]"
61,0.005,1.684,0.591,0.965,0.591,0.475,0.576,"[0.465, 0.627, 0.718, 0.586, 0.061, 0.449, 0.673, 0.352, 0.392, 0.424]"
62,0.004,1.696,0.589,0.968,0.589,0.461,0.572,"[0.479, 0.627, 0.7, 0.595, 0.061, 0.513, 0.664, 0.168, 0.386, 0.42]"
63,0.005,1.693,0.585,0.968,0.585,0.455,0.573,"[0.455, 0.643, 0.571, 0.592, 0.056, 0.505, 0.643, 0.314, 0.37, 0.405]"
