epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,5.503,11.973,0.265,0.704,0.265,0.331,0.193,"[0.5, 0.557, 0.667, 0.0, 0.435, 0.287, 0.04, 0.458, 0.211, 0.159]"
01,4.485,11.684,0.278,0.781,0.278,0.225,0.201,"[0.273, 0.581, 0.08, 0.015, 0.0, 0.311, 0.062, 0.387, 0.35, 0.19]"
02,3.305,5.741,0.532,0.890,0.532,0.470,0.510,"[0.416, 0.573, 0.453, 0.345, 0.492, 0.51, 0.647, 0.577, 0.387, 0.299]"
03,1.725,5.408,0.463,0.943,0.463,0.383,0.479,"[0.471, 0.467, 0.0, 0.656, 0.469, 0.507, 0.377, 0.384, 0.213, 0.286]"
04,1.584,3.871,0.556,0.966,0.556,0.483,0.572,"[0.467, 0.619, 0.564, 0.671, 0.571, 0.404, 0.595, 0.463, 0.249, 0.222]"
05,1.012,3.766,0.558,0.962,0.558,0.492,0.561,"[0.457, 0.606, 0.571, 0.537, 0.375, 0.549, 0.611, 0.54, 0.327, 0.348]"
06,1.328,2.956,0.628,0.979,0.628,0.521,0.623,"[0.534, 0.642, 0.452, 0.67, 0.381, 0.574, 0.653, 0.529, 0.436, 0.338]"
07,0.841,3.450,0.598,0.978,0.598,0.498,0.592,"[0.459, 0.578, 0.345, 0.644, 0.49, 0.502, 0.636, 0.564, 0.419, 0.343]"
08,0.691,3.675,0.582,0.971,0.582,0.483,0.583,"[0.465, 0.496, 0.4, 0.663, 0.471, 0.506, 0.651, 0.542, 0.307, 0.328]"
09,0.657,4.233,0.563,0.978,0.563,0.463,0.557,"[0.497, 0.691, 0.4, 0.64, 0.171, 0.481, 0.479, 0.545, 0.383, 0.338]"
10,0.610,3.279,0.604,0.979,0.604,0.476,0.609,"[0.477, 0.657, 0.4, 0.65, 0.3, 0.551, 0.649, 0.523, 0.331, 0.219]"
11,0.481,4.422,0.558,0.969,0.558,0.484,0.537,"[0.48, 0.653, 0.4, 0.417, 0.444, 0.527, 0.621, 0.531, 0.354, 0.407]"
12,0.851,3.736,0.586,0.973,0.586,0.502,0.582,"[0.49, 0.635, 0.4, 0.664, 0.51, 0.459, 0.586, 0.465, 0.398, 0.411]"
13,0.584,4.492,0.552,0.969,0.552,0.472,0.536,"[0.471, 0.645, 0.4, 0.635, 0.4, 0.465, 0.453, 0.478, 0.365, 0.412]"
14,0.646,3.494,0.610,0.976,0.610,0.502,0.605,"[0.467, 0.653, 0.345, 0.629, 0.508, 0.543, 0.645, 0.557, 0.375, 0.296]"
15,0.395,3.426,0.598,0.971,0.598,0.495,0.602,"[0.471, 0.659, 0.333, 0.67, 0.482, 0.554, 0.602, 0.488, 0.375, 0.32]"
16,0.443,3.481,0.622,0.975,0.622,0.497,0.617,"[0.459, 0.614, 0.276, 0.67, 0.5, 0.565, 0.673, 0.483, 0.375, 0.351]"
17,0.473,4.643,0.519,0.976,0.519,0.465,0.534,"[0.402, 0.627, 0.438, 0.609, 0.426, 0.419, 0.498, 0.506, 0.401, 0.321]"
18,0.593,4.517,0.580,0.971,0.580,0.479,0.550,"[0.523, 0.273, 0.4, 0.65, 0.5, 0.518, 0.67, 0.509, 0.372, 0.375]"
19,0.546,3.719,0.590,0.971,0.590,0.512,0.596,"[0.383, 0.649, 0.438, 0.609, 0.561, 0.519, 0.642, 0.522, 0.435, 0.362]"
20,0.324,3.520,0.621,0.978,0.621,0.512,0.617,"[0.456, 0.603, 0.345, 0.665, 0.508, 0.542, 0.678, 0.525, 0.422, 0.371]"
21,0.433,3.883,0.587,0.969,0.587,0.479,0.594,"[0.383, 0.617, 0.333, 0.653, 0.419, 0.537, 0.626, 0.504, 0.342, 0.375]"
22,0.325,3.905,0.612,0.968,0.612,0.478,0.608,"[0.434, 0.667, 0.345, 0.614, 0.171, 0.558, 0.667, 0.484, 0.445, 0.391]"
23,0.300,3.963,0.608,0.969,0.608,0.471,0.603,"[0.458, 0.654, 0.345, 0.597, 0.061, 0.571, 0.664, 0.519, 0.433, 0.409]"
24,0.334,4.085,0.577,0.975,0.577,0.454,0.577,"[0.39, 0.587, 0.333, 0.672, 0.211, 0.534, 0.572, 0.516, 0.354, 0.374]"
25,0.445,3.695,0.601,0.979,0.601,0.471,0.599,"[0.321, 0.655, 0.4, 0.637, 0.263, 0.543, 0.638, 0.5, 0.385, 0.374]"
26,0.190,4.169,0.602,0.980,0.602,0.489,0.595,"[0.417, 0.58, 0.345, 0.646, 0.435, 0.556, 0.645, 0.481, 0.394, 0.391]"
27,0.385,4.259,0.591,0.978,0.591,0.484,0.580,"[0.432, 0.458, 0.4, 0.658, 0.4, 0.57, 0.642, 0.505, 0.402, 0.372]"
28,0.537,4.008,0.603,0.978,0.603,0.498,0.597,"[0.42, 0.568, 0.345, 0.653, 0.51, 0.517, 0.654, 0.539, 0.394, 0.378]"
29,0.332,4.052,0.600,0.975,0.600,0.478,0.596,"[0.358, 0.648, 0.4, 0.656, 0.326, 0.513, 0.62, 0.509, 0.372, 0.378]"
30,0.342,4.370,0.573,0.967,0.573,0.464,0.578,"[0.388, 0.572, 0.286, 0.657, 0.4, 0.526, 0.604, 0.478, 0.357, 0.378]"
31,0.398,4.141,0.604,0.975,0.604,0.483,0.602,"[0.419, 0.627, 0.345, 0.607, 0.35, 0.567, 0.67, 0.509, 0.409, 0.329]"
32,0.253,4.008,0.615,0.978,0.615,0.483,0.611,"[0.44, 0.636, 0.222, 0.663, 0.333, 0.578, 0.633, 0.535, 0.404, 0.386]"
33,0.338,4.489,0.566,0.971,0.566,0.466,0.566,"[0.387, 0.503, 0.4, 0.668, 0.417, 0.544, 0.589, 0.454, 0.367, 0.327]"
34,0.293,4.375,0.591,0.973,0.591,0.474,0.585,"[0.409, 0.625, 0.345, 0.648, 0.364, 0.559, 0.591, 0.469, 0.342, 0.392]"
35,0.391,3.899,0.616,0.978,0.616,0.477,0.611,"[0.305, 0.659, 0.286, 0.671, 0.444, 0.51, 0.649, 0.53, 0.373, 0.345]"
36,0.272,5.152,0.551,0.964,0.551,0.454,0.539,"[0.402, 0.648, 0.4, 0.637, 0.392, 0.405, 0.503, 0.433, 0.33, 0.39]"
37,0.418,4.632,0.612,0.978,0.612,0.465,0.591,"[0.411, 0.587, 0.222, 0.676, 0.49, 0.391, 0.678, 0.413, 0.379, 0.4]"
38,0.643,4.540,0.619,0.972,0.619,0.474,0.611,"[0.375, 0.632, 0.286, 0.665, 0.435, 0.521, 0.694, 0.358, 0.386, 0.385]"
39,0.206,4.210,0.620,0.975,0.620,0.489,0.615,"[0.416, 0.602, 0.286, 0.677, 0.435, 0.565, 0.666, 0.526, 0.352, 0.364]"
40,0.190,4.293,0.608,0.975,0.608,0.471,0.605,"[0.39, 0.653, 0.222, 0.641, 0.372, 0.494, 0.664, 0.528, 0.36, 0.39]"
41,0.159,4.111,0.590,0.979,0.590,0.452,0.591,"[0.355, 0.652, 0.222, 0.658, 0.25, 0.55, 0.592, 0.521, 0.348, 0.37]"
42,0.092,4.514,0.603,0.979,0.603,0.467,0.589,"[0.417, 0.517, 0.286, 0.66, 0.4, 0.565, 0.662, 0.416, 0.386, 0.366]"
43,0.398,5.384,0.566,0.977,0.566,0.445,0.548,"[0.418, 0.428, 0.154, 0.624, 0.458, 0.544, 0.608, 0.469, 0.37, 0.38]"
44,0.490,4.324,0.616,0.979,0.616,0.463,0.603,"[0.336, 0.601, 0.222, 0.66, 0.435, 0.51, 0.684, 0.439, 0.388, 0.356]"
45,0.344,5.152,0.597,0.971,0.597,0.432,0.577,"[0.319, 0.593, 0.08, 0.643, 0.408, 0.396, 0.662, 0.457, 0.376, 0.382]"
