epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.061,1.775,0.439,0.892,0.439,0.321,0.463,"[0.302, 0.345, 0.153, 0.58, 0.182, 0.381, 0.539, 0.345, 0.228, 0.156]"
01,1.121,1.202,0.549,0.972,0.549,0.533,0.556,"[0.533, 0.689, 0.696, 0.637, 0.449, 0.531, 0.461, 0.386, 0.451, 0.497]"
02,0.703,0.965,0.635,0.988,0.635,0.609,0.642,"[0.589, 0.711, 0.731, 0.683, 0.56, 0.603, 0.627, 0.511, 0.485, 0.587]"
03,0.554,0.898,0.665,0.988,0.665,0.628,0.669,"[0.658, 0.766, 0.691, 0.706, 0.575, 0.605, 0.65, 0.561, 0.466, 0.603]"
04,0.409,0.815,0.682,0.993,0.682,0.644,0.686,"[0.654, 0.769, 0.735, 0.739, 0.548, 0.607, 0.667, 0.571, 0.506, 0.639]"
05,0.352,0.779,0.686,0.993,0.686,0.650,0.689,"[0.66, 0.783, 0.735, 0.748, 0.548, 0.615, 0.659, 0.541, 0.542, 0.667]"
06,0.287,0.723,0.709,0.993,0.709,0.667,0.711,"[0.712, 0.785, 0.723, 0.763, 0.559, 0.635, 0.7, 0.573, 0.518, 0.696]"
07,0.249,0.718,0.704,0.993,0.704,0.665,0.706,"[0.734, 0.788, 0.723, 0.77, 0.554, 0.65, 0.675, 0.545, 0.518, 0.695]"
08,0.215,0.670,0.734,0.995,0.734,0.683,0.735,"[0.725, 0.792, 0.723, 0.789, 0.554, 0.657, 0.738, 0.581, 0.545, 0.727]"
09,0.190,0.679,0.731,0.994,0.731,0.682,0.730,"[0.725, 0.806, 0.739, 0.791, 0.567, 0.639, 0.718, 0.595, 0.536, 0.699]"
10,0.165,0.671,0.731,0.995,0.731,0.677,0.732,"[0.716, 0.808, 0.75, 0.792, 0.508, 0.648, 0.724, 0.563, 0.542, 0.721]"
11,0.137,0.678,0.737,0.995,0.737,0.678,0.737,"[0.717, 0.808, 0.696, 0.792, 0.525, 0.636, 0.738, 0.622, 0.527, 0.719]"
12,0.106,0.695,0.723,0.995,0.723,0.670,0.725,"[0.717, 0.807, 0.723, 0.792, 0.516, 0.641, 0.709, 0.558, 0.52, 0.716]"
13,0.097,0.680,0.739,0.994,0.739,0.683,0.738,"[0.732, 0.807, 0.75, 0.789, 0.508, 0.646, 0.741, 0.604, 0.526, 0.724]"
14,0.094,0.688,0.741,0.994,0.741,0.680,0.739,"[0.712, 0.801, 0.75, 0.796, 0.473, 0.653, 0.74, 0.612, 0.519, 0.748]"
15,0.073,0.701,0.743,0.994,0.743,0.677,0.739,"[0.736, 0.798, 0.773, 0.796, 0.475, 0.634, 0.76, 0.556, 0.491, 0.757]"
16,0.063,0.697,0.747,0.993,0.747,0.679,0.746,"[0.713, 0.814, 0.75, 0.806, 0.464, 0.655, 0.75, 0.585, 0.533, 0.724]"
17,0.050,0.721,0.741,0.994,0.741,0.679,0.739,"[0.724, 0.805, 0.75, 0.8, 0.467, 0.645, 0.74, 0.597, 0.518, 0.745]"
18,0.044,0.719,0.752,0.993,0.752,0.684,0.748,"[0.697, 0.817, 0.723, 0.794, 0.54, 0.637, 0.769, 0.611, 0.518, 0.738]"
19,0.039,0.751,0.739,0.994,0.739,0.676,0.738,"[0.709, 0.804, 0.696, 0.793, 0.509, 0.657, 0.739, 0.599, 0.526, 0.729]"
20,0.031,0.750,0.745,0.993,0.745,0.680,0.742,"[0.692, 0.817, 0.727, 0.797, 0.542, 0.656, 0.741, 0.608, 0.519, 0.698]"
21,0.032,0.769,0.756,0.994,0.756,0.694,0.751,"[0.739, 0.809, 0.766, 0.799, 0.533, 0.636, 0.774, 0.612, 0.525, 0.75]"
22,0.031,0.770,0.740,0.994,0.740,0.680,0.739,"[0.722, 0.813, 0.727, 0.797, 0.542, 0.654, 0.738, 0.583, 0.491, 0.736]"
23,0.024,0.767,0.752,0.993,0.752,0.684,0.748,"[0.727, 0.812, 0.727, 0.798, 0.533, 0.645, 0.764, 0.616, 0.495, 0.722]"
24,0.022,0.769,0.746,0.994,0.746,0.679,0.743,"[0.717, 0.809, 0.75, 0.795, 0.508, 0.642, 0.758, 0.6, 0.513, 0.7]"
25,0.018,0.783,0.741,0.994,0.741,0.686,0.741,"[0.725, 0.812, 0.75, 0.796, 0.548, 0.641, 0.745, 0.593, 0.517, 0.729]"
26,0.017,0.778,0.749,0.993,0.749,0.683,0.746,"[0.689, 0.809, 0.739, 0.797, 0.554, 0.632, 0.764, 0.62, 0.519, 0.705]"
