epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.129,1.942,0.428,0.917,0.428,0.312,0.448,"[0.282, 0.317, 0.18, 0.524, 0.064, 0.399, 0.531, 0.561, 0.0, 0.262]"
01,2.311,1.709,0.472,0.935,0.472,0.380,0.474,"[0.309, 0.4, 0.63, 0.603, 0.268, 0.402, 0.497, 0.506, 0.014, 0.17]"
02,2.090,1.736,0.433,0.948,0.433,0.363,0.388,"[0.122, 0.577, 0.586, 0.614, 0.27, 0.46, 0.077, 0.404, 0.183, 0.333]"
03,1.940,1.618,0.535,0.934,0.535,0.462,0.544,"[0.322, 0.578, 0.711, 0.531, 0.25, 0.544, 0.594, 0.606, 0.179, 0.304]"
04,1.905,2.317,0.423,0.915,0.423,0.339,0.460,"[0.263, 0.476, 0.054, 0.396, 0.209, 0.262, 0.625, 0.611, 0.122, 0.376]"
05,1.798,2.234,0.446,0.903,0.446,0.343,0.386,"[0.346, 0.574, 0.269, 0.601, 0.2, 0.465, 0.05, 0.598, 0.128, 0.203]"
06,1.774,1.982,0.433,0.922,0.433,0.366,0.467,"[0.398, 0.347, 0.7, 0.476, 0.07, 0.438, 0.622, 0.385, 0.072, 0.154]"
07,1.970,2.663,0.329,0.904,0.329,0.276,0.331,"[0.239, 0.503, 0.267, 0.501, 0.122, 0.242, 0.128, 0.441, 0.127, 0.186]"
08,1.666,1.848,0.445,0.947,0.445,0.390,0.446,"[0.249, 0.605, 0.533, 0.447, 0.243, 0.316, 0.448, 0.451, 0.195, 0.416]"
09,1.526,2.469,0.365,0.899,0.365,0.360,0.346,"[0.239, 0.566, 0.627, 0.14, 0.124, 0.396, 0.369, 0.606, 0.188, 0.346]"
10,1.722,2.384,0.364,0.923,0.364,0.342,0.360,"[0.351, 0.572, 0.684, 0.319, 0.1, 0.096, 0.402, 0.343, 0.16, 0.39]"
11,1.993,2.475,0.440,0.918,0.440,0.326,0.418,"[0.267, 0.291, 0.529, 0.565, 0.222, 0.141, 0.524, 0.405, 0.014, 0.297]"
12,2.013,3.615,0.311,0.885,0.311,0.292,0.300,"[0.229, 0.465, 0.491, 0.45, 0.067, 0.371, 0.017, 0.628, 0.0, 0.206]"
13,2.345,2.475,0.469,0.946,0.469,0.429,0.485,"[0.313, 0.617, 0.5, 0.539, 0.233, 0.486, 0.393, 0.569, 0.168, 0.473]"
14,1.833,1.935,0.480,0.950,0.480,0.438,0.497,"[0.333, 0.55, 0.611, 0.444, 0.243, 0.526, 0.539, 0.607, 0.196, 0.335]"
15,1.461,2.551,0.329,0.952,0.329,0.369,0.335,"[0.364, 0.42, 0.773, 0.417, 0.179, 0.36, 0.169, 0.578, 0.15, 0.28]"
16,1.722,2.144,0.453,0.908,0.453,0.385,0.435,"[0.312, 0.613, 0.438, 0.569, 0.211, 0.503, 0.23, 0.41, 0.183, 0.376]"
17,1.776,3.327,0.415,0.834,0.415,0.361,0.366,"[0.265, 0.503, 0.667, 0.003, 0.133, 0.491, 0.586, 0.497, 0.161, 0.302]"
18,1.854,2.902,0.351,0.899,0.351,0.318,0.306,"[0.247, 0.615, 0.283, 0.139, 0.17, 0.364, 0.225, 0.603, 0.183, 0.346]"
19,1.849,1.990,0.451,0.943,0.451,0.412,0.459,"[0.359, 0.604, 0.681, 0.496, 0.122, 0.456, 0.394, 0.417, 0.199, 0.392]"
20,1.674,1.846,0.478,0.953,0.478,0.390,0.475,"[0.412, 0.604, 0.239, 0.549, 0.244, 0.403, 0.416, 0.448, 0.187, 0.395]"
21,1.831,2.498,0.388,0.930,0.388,0.368,0.425,"[0.044, 0.519, 0.618, 0.298, 0.181, 0.297, 0.565, 0.604, 0.133, 0.418]"
22,1.837,2.658,0.354,0.944,0.354,0.349,0.383,"[0.365, 0.6, 0.4, 0.384, 0.092, 0.342, 0.299, 0.392, 0.151, 0.466]"
23,1.724,2.188,0.445,0.935,0.445,0.363,0.427,"[0.276, 0.522, 0.367, 0.225, 0.158, 0.513, 0.549, 0.604, 0.146, 0.268]"
24,1.232,1.963,0.528,0.948,0.528,0.413,0.503,"[0.371, 0.282, 0.63, 0.614, 0.115, 0.532, 0.57, 0.546, 0.152, 0.318]"
25,1.538,2.533,0.415,0.870,0.415,0.350,0.407,"[0.273, 0.535, 0.529, 0.177, 0.12, 0.404, 0.568, 0.598, 0.108, 0.191]"
26,1.995,2.635,0.451,0.941,0.451,0.408,0.432,"[0.364, 0.585, 0.629, 0.554, 0.297, 0.321, 0.299, 0.467, 0.175, 0.388]"
27,1.539,1.952,0.456,0.963,0.456,0.406,0.428,"[0.304, 0.59, 0.588, 0.538, 0.261, 0.524, 0.231, 0.443, 0.175, 0.408]"
28,1.356,2.158,0.471,0.942,0.471,0.367,0.488,"[0.19, 0.397, 0.472, 0.535, 0.135, 0.35, 0.628, 0.445, 0.173, 0.341]"
29,1.477,3.213,0.360,0.955,0.360,0.341,0.368,"[0.386, 0.36, 0.542, 0.565, 0.047, 0.286, 0.226, 0.46, 0.182, 0.356]"
30,1.700,2.716,0.440,0.940,0.440,0.348,0.411,"[0.331, 0.408, 0.281, 0.548, 0.239, 0.513, 0.311, 0.253, 0.203, 0.387]"
31,1.608,3.064,0.346,0.927,0.346,0.352,0.392,"[0.284, 0.338, 0.744, 0.464, 0.195, 0.078, 0.482, 0.58, 0.123, 0.229]"
32,1.605,2.568,0.432,0.958,0.432,0.381,0.433,"[0.196, 0.5, 0.615, 0.522, 0.141, 0.432, 0.348, 0.518, 0.17, 0.364]"
33,1.942,2.337,0.476,0.926,0.476,0.412,0.460,"[0.36, 0.218, 0.739, 0.584, 0.164, 0.479, 0.509, 0.517, 0.166, 0.381]"
34,1.761,2.167,0.471,0.969,0.471,0.387,0.464,"[0.16, 0.515, 0.611, 0.605, 0.192, 0.476, 0.369, 0.434, 0.134, 0.375]"
35,1.838,2.284,0.500,0.943,0.500,0.402,0.483,"[0.333, 0.54, 0.586, 0.481, 0.234, 0.247, 0.586, 0.607, 0.056, 0.352]"
36,2.074,2.833,0.402,0.939,0.402,0.363,0.425,"[0.164, 0.4, 0.591, 0.501, 0.271, 0.516, 0.39, 0.447, 0.129, 0.222]"
37,1.511,2.001,0.453,0.953,0.453,0.425,0.475,"[0.402, 0.612, 0.727, 0.501, 0.139, 0.475, 0.419, 0.483, 0.156, 0.337]"
38,1.274,1.835,0.527,0.964,0.527,0.446,0.519,"[0.4, 0.583, 0.667, 0.46, 0.206, 0.428, 0.62, 0.584, 0.164, 0.345]"
39,1.085,2.084,0.487,0.940,0.487,0.436,0.496,"[0.296, 0.391, 0.682, 0.505, 0.254, 0.528, 0.58, 0.573, 0.171, 0.377]"
40,1.234,3.436,0.392,0.827,0.392,0.382,0.357,"[0.337, 0.578, 0.727, 0.569, 0.255, 0.463, 0.0, 0.394, 0.166, 0.33]"
41,1.295,1.860,0.521,0.966,0.521,0.423,0.528,"[0.297, 0.536, 0.507, 0.608, 0.198, 0.463, 0.54, 0.551, 0.175, 0.354]"
42,1.133,2.037,0.490,0.957,0.490,0.403,0.490,"[0.326, 0.506, 0.516, 0.615, 0.22, 0.45, 0.45, 0.434, 0.178, 0.337]"
43,1.124,2.084,0.488,0.956,0.488,0.389,0.496,"[0.207, 0.567, 0.429, 0.392, 0.173, 0.49, 0.614, 0.577, 0.153, 0.291]"
44,1.484,2.291,0.483,0.913,0.483,0.407,0.476,"[0.245, 0.586, 0.711, 0.333, 0.184, 0.49, 0.589, 0.564, 0.131, 0.237]"
45,1.544,2.006,0.496,0.961,0.496,0.377,0.495,"[0.325, 0.491, 0.277, 0.546, 0.153, 0.392, 0.547, 0.574, 0.101, 0.361]"
46,1.639,2.635,0.461,0.935,0.461,0.371,0.460,"[0.234, 0.336, 0.622, 0.555, 0.222, 0.232, 0.574, 0.567, 0.138, 0.228]"
47,1.650,2.145,0.471,0.942,0.471,0.370,0.464,"[0.044, 0.603, 0.684, 0.584, 0.195, 0.173, 0.43, 0.604, 0.158, 0.228]"
48,2.054,2.957,0.441,0.917,0.441,0.347,0.444,"[0.38, 0.265, 0.5, 0.502, 0.205, 0.456, 0.598, 0.128, 0.158, 0.278]"
49,1.597,2.394,0.402,0.944,0.402,0.374,0.397,"[0.389, 0.588, 0.545, 0.431, 0.165, 0.327, 0.296, 0.49, 0.177, 0.329]"
50,1.229,1.967,0.467,0.964,0.467,0.402,0.478,"[0.271, 0.603, 0.508, 0.473, 0.2, 0.403, 0.482, 0.568, 0.162, 0.347]"
51,1.250,1.854,0.493,0.961,0.493,0.429,0.506,"[0.378, 0.6, 0.611, 0.52, 0.226, 0.424, 0.518, 0.571, 0.162, 0.279]"
52,1.339,3.115,0.350,0.914,0.350,0.325,0.328,"[0.178, 0.448, 0.571, 0.543, 0.214, 0.417, 0.043, 0.365, 0.151, 0.323]"
53,1.228,2.075,0.476,0.958,0.476,0.366,0.465,"[0.212, 0.598, 0.273, 0.337, 0.179, 0.477, 0.561, 0.493, 0.186, 0.349]"
54,1.491,2.081,0.463,0.950,0.463,0.375,0.493,"[0.309, 0.495, 0.343, 0.544, 0.158, 0.438, 0.522, 0.577, 0.17, 0.189]"
55,1.388,2.158,0.533,0.962,0.533,0.453,0.539,"[0.229, 0.582, 0.756, 0.587, 0.217, 0.444, 0.57, 0.592, 0.157, 0.391]"
56,1.218,2.014,0.458,0.944,0.458,0.370,0.483,"[0.268, 0.559, 0.354, 0.516, 0.135, 0.431, 0.496, 0.472, 0.202, 0.267]"
57,1.180,2.735,0.408,0.926,0.408,0.350,0.363,"[0.281, 0.512, 0.479, 0.587, 0.19, 0.468, 0.029, 0.52, 0.156, 0.279]"
58,1.628,2.756,0.417,0.940,0.417,0.359,0.358,"[0.3, 0.515, 0.611, 0.083, 0.317, 0.385, 0.535, 0.43, 0.068, 0.346]"
59,1.457,3.099,0.368,0.882,0.368,0.311,0.347,"[0.201, 0.595, 0.104, 0.456, 0.217, 0.413, 0.083, 0.498, 0.146, 0.4]"
60,1.636,2.848,0.420,0.910,0.420,0.343,0.439,"[0.199, 0.567, 0.391, 0.513, 0.194, 0.326, 0.393, 0.509, 0.132, 0.203]"
61,1.579,3.139,0.318,0.904,0.318,0.328,0.302,"[0.323, 0.54, 0.762, 0.232, 0.082, 0.388, 0.189, 0.444, 0.153, 0.164]"
62,1.802,4.008,0.294,0.874,0.294,0.297,0.303,"[0.218, 0.168, 0.651, 0.216, 0.047, 0.413, 0.424, 0.433, 0.102, 0.298]"
63,1.745,3.573,0.331,0.900,0.331,0.340,0.333,"[0.18, 0.56, 0.528, 0.376, 0.09, 0.408, 0.109, 0.595, 0.171, 0.379]"
64,1.805,2.768,0.402,0.934,0.402,0.381,0.398,"[0.154, 0.45, 0.739, 0.572, 0.212, 0.455, 0.203, 0.531, 0.147, 0.347]"
65,1.569,2.512,0.436,0.919,0.436,0.373,0.443,"[0.197, 0.28, 0.667, 0.471, 0.224, 0.409, 0.559, 0.584, 0.153, 0.186]"
66,1.352,2.785,0.424,0.924,0.424,0.369,0.396,"[0.229, 0.49, 0.523, 0.128, 0.179, 0.454, 0.579, 0.565, 0.146, 0.4]"
67,1.505,2.732,0.444,0.964,0.444,0.379,0.369,"[0.261, 0.389, 0.773, 0.585, 0.204, 0.478, 0.11, 0.547, 0.137, 0.305]"
68,1.815,2.549,0.483,0.962,0.483,0.389,0.459,"[0.349, 0.355, 0.667, 0.558, 0.151, 0.199, 0.556, 0.556, 0.183, 0.314]"
69,1.316,2.558,0.428,0.943,0.428,0.360,0.398,"[0.215, 0.573, 0.542, 0.576, 0.184, 0.438, 0.147, 0.487, 0.122, 0.317]"
70,1.547,2.535,0.459,0.943,0.459,0.402,0.406,"[0.361, 0.577, 0.618, 0.563, 0.219, 0.477, 0.13, 0.592, 0.162, 0.32]"
71,2.027,4.746,0.274,0.891,0.274,0.253,0.249,"[0.184, 0.294, 0.203, 0.361, 0.184, 0.37, 0.028, 0.595, 0.15, 0.16]"
72,2.102,2.723,0.491,0.966,0.491,0.425,0.474,"[0.311, 0.368, 0.667, 0.591, 0.17, 0.533, 0.43, 0.585, 0.207, 0.392]"
73,1.634,2.955,0.470,0.933,0.470,0.406,0.436,"[0.302, 0.472, 0.744, 0.607, 0.25, 0.507, 0.268, 0.443, 0.183, 0.279]"
74,1.674,2.103,0.506,0.963,0.506,0.451,0.515,"[0.37, 0.568, 0.744, 0.577, 0.193, 0.487, 0.478, 0.61, 0.184, 0.296]"
75,1.764,2.766,0.422,0.964,0.422,0.375,0.416,"[0.212, 0.572, 0.529, 0.356, 0.22, 0.44, 0.395, 0.574, 0.138, 0.315]"
76,1.619,2.282,0.450,0.958,0.450,0.407,0.448,"[0.301, 0.59, 0.7, 0.326, 0.162, 0.444, 0.516, 0.538, 0.152, 0.342]"
77,1.573,2.341,0.486,0.954,0.486,0.392,0.493,"[0.301, 0.46, 0.627, 0.599, 0.161, 0.46, 0.492, 0.571, 0.055, 0.193]"
78,1.623,2.767,0.465,0.922,0.465,0.387,0.466,"[0.216, 0.581, 0.718, 0.495, 0.131, 0.012, 0.58, 0.601, 0.147, 0.389]"
79,1.503,2.596,0.460,0.943,0.460,0.390,0.445,"[0.338, 0.597, 0.529, 0.574, 0.152, 0.423, 0.279, 0.509, 0.176, 0.325]"
80,1.491,3.208,0.341,0.920,0.341,0.341,0.341,"[0.298, 0.327, 0.727, 0.494, 0.23, 0.41, 0.187, 0.435, 0.151, 0.146]"
81,1.402,2.578,0.466,0.957,0.466,0.412,0.471,"[0.194, 0.562, 0.636, 0.32, 0.234, 0.482, 0.593, 0.6, 0.168, 0.329]"
82,1.340,2.393,0.416,0.945,0.416,0.359,0.410,"[0.267, 0.575, 0.444, 0.257, 0.226, 0.401, 0.49, 0.506, 0.171, 0.258]"
83,1.239,2.520,0.457,0.951,0.457,0.406,0.464,"[0.242, 0.377, 0.667, 0.584, 0.198, 0.502, 0.429, 0.522, 0.17, 0.373]"
84,1.165,2.607,0.411,0.940,0.411,0.330,0.384,"[0.283, 0.595, 0.267, 0.501, 0.174, 0.464, 0.159, 0.418, 0.159, 0.276]"
85,1.217,2.020,0.477,0.966,0.477,0.418,0.484,"[0.348, 0.562, 0.667, 0.461, 0.232, 0.445, 0.521, 0.557, 0.169, 0.223]"
86,1.009,3.383,0.315,0.910,0.315,0.330,0.279,"[0.3, 0.557, 0.651, 0.11, 0.156, 0.418, 0.181, 0.556, 0.148, 0.225]"
87,1.483,2.535,0.434,0.942,0.434,0.387,0.431,"[0.311, 0.54, 0.684, 0.579, 0.117, 0.424, 0.262, 0.523, 0.176, 0.251]"
88,1.435,2.569,0.467,0.951,0.467,0.329,0.425,"[0.253, 0.58, 0.35, 0.34, 0.272, 0.104, 0.598, 0.41, 0.123, 0.259]"
89,1.311,2.497,0.433,0.934,0.433,0.375,0.431,"[0.286, 0.594, 0.5, 0.552, 0.255, 0.424, 0.263, 0.519, 0.157, 0.199]"
90,1.525,3.321,0.408,0.892,0.408,0.343,0.374,"[0.31, 0.148, 0.588, 0.593, 0.2, 0.47, 0.285, 0.441, 0.164, 0.227]"
91,1.693,2.782,0.434,0.941,0.434,0.381,0.470,"[0.195, 0.506, 0.557, 0.528, 0.171, 0.462, 0.457, 0.523, 0.154, 0.259]"
92,1.670,2.774,0.491,0.939,0.491,0.416,0.498,"[0.343, 0.371, 0.7, 0.6, 0.157, 0.453, 0.547, 0.532, 0.179, 0.275]"
93,1.408,2.539,0.412,0.948,0.412,0.358,0.359,"[0.311, 0.592, 0.596, 0.494, 0.212, 0.207, 0.159, 0.439, 0.208, 0.36]"
94,1.558,2.412,0.505,0.960,0.505,0.365,0.492,"[0.315, 0.626, 0.384, 0.508, 0.216, 0.246, 0.612, 0.188, 0.191, 0.364]"
