epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,0.836,0.908,0.685,0.989,0.685,0.599,0.693,"[0.638, 0.723, 0.76, 0.751, 0.263, 0.593, 0.729, 0.587, 0.475, 0.471]"
01,0.420,0.869,0.689,0.991,0.689,0.624,0.694,"[0.655, 0.809, 0.8, 0.784, 0.269, 0.63, 0.644, 0.517, 0.412, 0.723]"
02,0.335,0.917,0.662,0.991,0.662,0.635,0.662,"[0.609, 0.732, 0.735, 0.659, 0.449, 0.616, 0.667, 0.613, 0.577, 0.695]"
03,0.247,0.764,0.753,0.993,0.753,0.695,0.749,"[0.692, 0.787, 0.889, 0.793, 0.375, 0.663, 0.777, 0.558, 0.632, 0.783]"
04,0.196,0.770,0.734,0.994,0.734,0.687,0.735,"[0.701, 0.812, 0.844, 0.808, 0.4, 0.621, 0.714, 0.609, 0.555, 0.806]"
05,0.154,0.786,0.743,0.993,0.743,0.680,0.745,"[0.671, 0.813, 0.826, 0.811, 0.348, 0.65, 0.732, 0.632, 0.576, 0.741]"
06,0.128,0.849,0.728,0.993,0.728,0.685,0.731,"[0.684, 0.813, 0.851, 0.78, 0.468, 0.621, 0.722, 0.647, 0.574, 0.685]"
07,0.100,0.854,0.739,0.994,0.739,0.673,0.739,"[0.69, 0.811, 0.809, 0.795, 0.333, 0.643, 0.743, 0.6, 0.54, 0.765]"
08,0.095,0.813,0.752,0.993,0.752,0.691,0.751,"[0.715, 0.815, 0.78, 0.81, 0.409, 0.663, 0.747, 0.615, 0.567, 0.793]"
09,0.073,0.939,0.758,0.990,0.758,0.695,0.754,"[0.671, 0.818, 0.783, 0.801, 0.49, 0.639, 0.774, 0.61, 0.583, 0.785]"
10,0.073,0.995,0.744,0.992,0.744,0.678,0.744,"[0.687, 0.816, 0.732, 0.811, 0.5, 0.622, 0.751, 0.583, 0.556, 0.72]"
11,0.072,0.967,0.752,0.993,0.752,0.685,0.753,"[0.659, 0.816, 0.783, 0.821, 0.431, 0.652, 0.75, 0.613, 0.597, 0.727]"
12,0.058,0.965,0.754,0.990,0.754,0.680,0.753,"[0.706, 0.805, 0.826, 0.815, 0.308, 0.647, 0.764, 0.643, 0.559, 0.729]"
13,0.059,1.049,0.735,0.992,0.735,0.662,0.735,"[0.687, 0.797, 0.756, 0.806, 0.286, 0.656, 0.722, 0.591, 0.581, 0.743]"
14,0.054,1.050,0.732,0.994,0.732,0.662,0.734,"[0.601, 0.823, 0.732, 0.828, 0.448, 0.638, 0.704, 0.546, 0.549, 0.748]"
15,0.042,0.967,0.757,0.992,0.757,0.670,0.754,"[0.685, 0.819, 0.783, 0.813, 0.292, 0.672, 0.765, 0.577, 0.536, 0.755]"
16,0.041,1.214,0.745,0.991,0.745,0.670,0.744,"[0.649, 0.782, 0.703, 0.794, 0.4, 0.667, 0.761, 0.631, 0.577, 0.732]"
17,0.045,1.146,0.736,0.992,0.736,0.682,0.737,"[0.685, 0.801, 0.8, 0.801, 0.406, 0.621, 0.733, 0.615, 0.586, 0.776]"
18,0.038,1.092,0.753,0.993,0.753,0.681,0.749,"[0.704, 0.797, 0.829, 0.797, 0.286, 0.633, 0.772, 0.625, 0.618, 0.748]"
19,0.036,1.193,0.753,0.992,0.753,0.672,0.748,"[0.72, 0.785, 0.683, 0.805, 0.348, 0.654, 0.769, 0.582, 0.613, 0.766]"
20,0.036,1.155,0.750,0.993,0.750,0.663,0.748,"[0.671, 0.806, 0.829, 0.8, 0.162, 0.667, 0.758, 0.628, 0.575, 0.739]"
21,0.034,1.250,0.756,0.991,0.756,0.679,0.752,"[0.71, 0.796, 0.744, 0.78, 0.304, 0.645, 0.792, 0.636, 0.622, 0.763]"
22,0.038,1.139,0.755,0.991,0.755,0.655,0.752,"[0.699, 0.807, 0.727, 0.814, 0.158, 0.639, 0.769, 0.631, 0.56, 0.741]"
23,0.032,1.183,0.749,0.991,0.749,0.676,0.745,"[0.671, 0.797, 0.8, 0.783, 0.381, 0.671, 0.778, 0.551, 0.572, 0.756]"
24,0.027,1.160,0.752,0.990,0.752,0.666,0.748,"[0.671, 0.789, 0.769, 0.808, 0.333, 0.647, 0.778, 0.577, 0.58, 0.704]"
25,0.020,1.160,0.764,0.991,0.764,0.673,0.760,"[0.684, 0.81, 0.8, 0.818, 0.286, 0.647, 0.786, 0.609, 0.609, 0.68]"
26,0.018,1.253,0.760,0.989,0.760,0.671,0.756,"[0.654, 0.787, 0.723, 0.807, 0.392, 0.668, 0.792, 0.6, 0.579, 0.705]"
27,0.014,1.298,0.761,0.991,0.761,0.684,0.757,"[0.71, 0.813, 0.773, 0.803, 0.364, 0.665, 0.781, 0.58, 0.58, 0.769]"
28,0.013,1.220,0.761,0.993,0.761,0.687,0.756,"[0.696, 0.818, 0.818, 0.816, 0.39, 0.654, 0.772, 0.571, 0.571, 0.766]"
29,0.013,1.260,0.763,0.991,0.763,0.695,0.759,"[0.719, 0.811, 0.864, 0.822, 0.423, 0.641, 0.775, 0.599, 0.605, 0.691]"
30,0.013,1.270,0.760,0.991,0.760,0.685,0.755,"[0.721, 0.807, 0.844, 0.814, 0.372, 0.651, 0.781, 0.552, 0.575, 0.734]"
31,0.010,1.300,0.770,0.991,0.770,0.671,0.766,"[0.716, 0.816, 0.762, 0.831, 0.222, 0.671, 0.784, 0.597, 0.573, 0.734]"
32,0.008,1.295,0.767,0.992,0.767,0.680,0.761,"[0.697, 0.815, 0.78, 0.822, 0.364, 0.641, 0.788, 0.592, 0.569, 0.731]"
33,0.005,1.327,0.764,0.990,0.764,0.682,0.761,"[0.713, 0.813, 0.81, 0.822, 0.364, 0.657, 0.78, 0.622, 0.515, 0.726]"
34,0.006,1.377,0.758,0.988,0.758,0.674,0.755,"[0.703, 0.8, 0.773, 0.812, 0.286, 0.67, 0.773, 0.612, 0.556, 0.752]"
35,0.008,1.414,0.755,0.991,0.755,0.653,0.750,"[0.654, 0.806, 0.683, 0.814, 0.333, 0.663, 0.771, 0.555, 0.547, 0.702]"
36,0.009,1.411,0.756,0.990,0.756,0.672,0.751,"[0.707, 0.817, 0.851, 0.806, 0.227, 0.652, 0.761, 0.619, 0.588, 0.696]"
37,0.009,1.449,0.761,0.989,0.761,0.673,0.755,"[0.656, 0.805, 0.8, 0.815, 0.356, 0.641, 0.785, 0.586, 0.575, 0.71]"
38,0.009,1.537,0.766,0.989,0.766,0.673,0.758,"[0.687, 0.809, 0.791, 0.818, 0.3, 0.66, 0.786, 0.534, 0.606, 0.743]"
39,0.007,1.411,0.765,0.990,0.765,0.676,0.760,"[0.713, 0.807, 0.8, 0.819, 0.244, 0.648, 0.782, 0.621, 0.575, 0.752]"
40,0.005,1.430,0.760,0.990,0.760,0.688,0.755,"[0.709, 0.811, 0.75, 0.813, 0.471, 0.667, 0.767, 0.585, 0.573, 0.731]"
41,0.006,1.393,0.753,0.991,0.753,0.684,0.749,"[0.722, 0.804, 0.762, 0.794, 0.462, 0.63, 0.777, 0.615, 0.584, 0.685]"
42,0.005,1.422,0.760,0.991,0.760,0.695,0.759,"[0.694, 0.802, 0.769, 0.815, 0.542, 0.687, 0.767, 0.622, 0.589, 0.667]"
43,0.003,1.395,0.770,0.991,0.770,0.692,0.766,"[0.737, 0.806, 0.8, 0.83, 0.383, 0.69, 0.781, 0.579, 0.604, 0.709]"
44,0.003,1.424,0.771,0.991,0.771,0.687,0.766,"[0.674, 0.816, 0.81, 0.828, 0.4, 0.675, 0.787, 0.592, 0.571, 0.712]"
45,0.002,1.465,0.763,0.989,0.763,0.669,0.758,"[0.686, 0.806, 0.769, 0.808, 0.293, 0.659, 0.791, 0.61, 0.57, 0.699]"
46,0.001,1.482,0.767,0.989,0.767,0.662,0.761,"[0.711, 0.811, 0.737, 0.821, 0.256, 0.661, 0.791, 0.571, 0.567, 0.697]"
47,0.001,1.462,0.767,0.990,0.767,0.676,0.762,"[0.695, 0.816, 0.8, 0.819, 0.293, 0.672, 0.783, 0.584, 0.568, 0.734]"
48,0.002,1.475,0.767,0.990,0.767,0.687,0.763,"[0.667, 0.817, 0.829, 0.815, 0.381, 0.682, 0.783, 0.607, 0.57, 0.716]"
49,0.002,1.482,0.767,0.991,0.767,0.683,0.762,"[0.728, 0.817, 0.837, 0.811, 0.293, 0.671, 0.788, 0.603, 0.567, 0.713]"
50,0.001,1.515,0.774,0.992,0.774,0.676,0.769,"[0.687, 0.811, 0.844, 0.831, 0.244, 0.673, 0.799, 0.583, 0.577, 0.712]"
51,0.000,1.476,0.768,0.992,0.768,0.674,0.763,"[0.698, 0.821, 0.818, 0.822, 0.244, 0.651, 0.786, 0.617, 0.569, 0.712]"
52,0.001,1.466,0.765,0.990,0.765,0.675,0.762,"[0.699, 0.824, 0.791, 0.82, 0.279, 0.654, 0.78, 0.611, 0.587, 0.704]"
53,0.001,1.483,0.770,0.990,0.770,0.688,0.768,"[0.683, 0.821, 0.718, 0.828, 0.458, 0.687, 0.778, 0.619, 0.581, 0.706]"
54,0.001,1.522,0.759,0.990,0.759,0.668,0.756,"[0.671, 0.813, 0.78, 0.809, 0.326, 0.677, 0.777, 0.585, 0.545, 0.698]"
55,0.001,1.580,0.760,0.990,0.760,0.645,0.755,"[0.675, 0.796, 0.732, 0.818, 0.108, 0.67, 0.779, 0.608, 0.556, 0.705]"
56,0.001,1.565,0.767,0.991,0.767,0.664,0.761,"[0.709, 0.813, 0.744, 0.825, 0.279, 0.667, 0.786, 0.559, 0.578, 0.679]"
57,0.001,1.542,0.758,0.989,0.758,0.648,0.753,"[0.663, 0.803, 0.75, 0.811, 0.154, 0.668, 0.779, 0.574, 0.578, 0.697]"
58,0.001,1.500,0.764,0.990,0.764,0.663,0.759,"[0.678, 0.807, 0.744, 0.818, 0.25, 0.667, 0.784, 0.594, 0.583, 0.704]"
59,0.001,1.556,0.761,0.990,0.761,0.660,0.757,"[0.671, 0.807, 0.762, 0.819, 0.273, 0.653, 0.786, 0.581, 0.553, 0.699]"
