epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.710,1.689,0.342,0.896,0.342,0.344,0.343,"[0.286, 0.491, 0.667, 0.425, 0.086, 0.42, 0.151, 0.498, 0.146, 0.273]"
01,1.189,1.347,0.480,0.965,0.480,0.478,0.498,"[0.517, 0.594, 0.818, 0.545, 0.133, 0.506, 0.426, 0.489, 0.238, 0.518]"
02,1.009,1.363,0.466,0.969,0.466,0.442,0.472,"[0.595, 0.63, 0.609, 0.553, 0.272, 0.396, 0.364, 0.453, 0.218, 0.333]"
03,0.913,1.086,0.597,0.985,0.597,0.563,0.602,"[0.582, 0.642, 0.791, 0.57, 0.265, 0.557, 0.657, 0.603, 0.417, 0.548]"
04,0.843,1.099,0.587,0.981,0.587,0.542,0.596,"[0.565, 0.673, 0.667, 0.589, 0.203, 0.549, 0.62, 0.555, 0.368, 0.636]"
05,0.800,1.215,0.533,0.978,0.533,0.518,0.536,"[0.498, 0.68, 0.766, 0.624, 0.313, 0.543, 0.409, 0.447, 0.344, 0.553]"
06,0.730,0.988,0.607,0.986,0.607,0.565,0.621,"[0.555, 0.679, 0.723, 0.655, 0.187, 0.604, 0.613, 0.509, 0.488, 0.632]"
07,0.687,1.083,0.579,0.982,0.579,0.554,0.586,"[0.54, 0.704, 0.764, 0.624, 0.251, 0.553, 0.528, 0.549, 0.422, 0.606]"
08,0.616,0.893,0.651,0.989,0.651,0.608,0.654,"[0.627, 0.702, 0.745, 0.662, 0.382, 0.61, 0.675, 0.609, 0.453, 0.62]"
09,0.589,0.915,0.647,0.986,0.647,0.584,0.652,"[0.531, 0.701, 0.632, 0.666, 0.302, 0.604, 0.675, 0.599, 0.495, 0.632]"
10,0.561,0.917,0.650,0.990,0.650,0.608,0.656,"[0.551, 0.707, 0.706, 0.67, 0.462, 0.618, 0.674, 0.598, 0.444, 0.648]"
11,0.511,0.883,0.655,0.989,0.655,0.612,0.657,"[0.563, 0.708, 0.776, 0.68, 0.481, 0.579, 0.676, 0.611, 0.503, 0.538]"
12,0.472,0.912,0.618,0.992,0.618,0.620,0.617,"[0.681, 0.715, 0.784, 0.703, 0.488, 0.591, 0.513, 0.511, 0.518, 0.7]"
13,0.438,0.824,0.665,0.991,0.665,0.624,0.665,"[0.689, 0.715, 0.75, 0.699, 0.381, 0.58, 0.669, 0.607, 0.532, 0.621]"
14,0.418,0.842,0.671,0.993,0.671,0.628,0.671,"[0.562, 0.735, 0.762, 0.668, 0.393, 0.657, 0.681, 0.628, 0.488, 0.71]"
15,0.375,0.818,0.668,0.993,0.668,0.643,0.669,"[0.681, 0.752, 0.8, 0.713, 0.449, 0.644, 0.633, 0.559, 0.477, 0.719]"
16,0.374,0.800,0.682,0.992,0.682,0.647,0.685,"[0.639, 0.729, 0.776, 0.721, 0.462, 0.651, 0.678, 0.62, 0.504, 0.689]"
17,0.352,0.831,0.657,0.993,0.657,0.632,0.661,"[0.674, 0.743, 0.776, 0.691, 0.4, 0.636, 0.637, 0.53, 0.511, 0.719]"
18,0.319,0.858,0.669,0.988,0.669,0.626,0.668,"[0.678, 0.709, 0.737, 0.715, 0.431, 0.538, 0.681, 0.628, 0.516, 0.63]"
19,0.326,0.853,0.669,0.986,0.669,0.624,0.670,"[0.663, 0.728, 0.75, 0.689, 0.344, 0.572, 0.691, 0.623, 0.512, 0.672]"
20,0.305,0.925,0.638,0.990,0.638,0.618,0.640,"[0.65, 0.733, 0.826, 0.68, 0.393, 0.64, 0.595, 0.491, 0.493, 0.682]"
21,0.288,0.784,0.683,0.992,0.683,0.627,0.685,"[0.654, 0.744, 0.766, 0.726, 0.412, 0.596, 0.705, 0.552, 0.489, 0.629]"
22,0.269,0.841,0.687,0.990,0.687,0.644,0.686,"[0.667, 0.732, 0.783, 0.681, 0.408, 0.654, 0.72, 0.583, 0.525, 0.688]"
23,0.250,0.850,0.682,0.989,0.682,0.637,0.680,"[0.644, 0.734, 0.783, 0.7, 0.407, 0.637, 0.685, 0.629, 0.5, 0.655]"
24,0.229,0.901,0.660,0.985,0.660,0.623,0.660,"[0.61, 0.756, 0.84, 0.747, 0.426, 0.576, 0.604, 0.541, 0.472, 0.661]"
25,0.212,0.802,0.697,0.988,0.697,0.643,0.698,"[0.65, 0.743, 0.776, 0.736, 0.376, 0.631, 0.708, 0.612, 0.518, 0.683]"
26,0.204,0.896,0.697,0.986,0.697,0.640,0.695,"[0.631, 0.73, 0.784, 0.738, 0.458, 0.635, 0.706, 0.633, 0.472, 0.617]"
27,0.181,0.874,0.687,0.987,0.687,0.633,0.687,"[0.67, 0.724, 0.75, 0.736, 0.377, 0.638, 0.693, 0.568, 0.48, 0.695]"
28,0.178,0.976,0.667,0.985,0.667,0.616,0.671,"[0.62, 0.754, 0.784, 0.719, 0.384, 0.585, 0.665, 0.567, 0.462, 0.623]"
29,0.171,0.981,0.669,0.987,0.669,0.621,0.670,"[0.573, 0.738, 0.816, 0.722, 0.385, 0.566, 0.675, 0.561, 0.481, 0.695]"
30,0.150,1.002,0.668,0.986,0.668,0.627,0.666,"[0.619, 0.723, 0.818, 0.664, 0.393, 0.598, 0.707, 0.564, 0.49, 0.696]"
31,0.139,0.983,0.681,0.988,0.681,0.628,0.681,"[0.646, 0.744, 0.8, 0.724, 0.379, 0.603, 0.685, 0.591, 0.453, 0.657]"
32,0.115,1.006,0.673,0.986,0.673,0.615,0.669,"[0.652, 0.734, 0.818, 0.716, 0.255, 0.598, 0.666, 0.556, 0.474, 0.679]"
33,0.118,0.974,0.691,0.987,0.691,0.628,0.691,"[0.633, 0.735, 0.792, 0.726, 0.37, 0.63, 0.714, 0.606, 0.418, 0.656]"
34,0.096,1.070,0.677,0.984,0.677,0.621,0.674,"[0.663, 0.721, 0.8, 0.69, 0.393, 0.592, 0.713, 0.583, 0.465, 0.591]"
35,0.094,1.138,0.670,0.987,0.670,0.614,0.667,"[0.616, 0.712, 0.8, 0.714, 0.264, 0.588, 0.673, 0.598, 0.477, 0.696]"
36,0.076,1.085,0.684,0.984,0.684,0.633,0.681,"[0.64, 0.732, 0.766, 0.726, 0.4, 0.571, 0.696, 0.605, 0.465, 0.727]"
37,0.071,1.140,0.691,0.985,0.691,0.628,0.688,"[0.643, 0.728, 0.783, 0.726, 0.407, 0.625, 0.712, 0.575, 0.432, 0.643]"
38,0.076,1.222,0.677,0.980,0.677,0.588,0.666,"[0.629, 0.739, 0.778, 0.704, 0.217, 0.497, 0.72, 0.491, 0.472, 0.636]"
39,0.068,1.135,0.668,0.987,0.668,0.625,0.669,"[0.606, 0.738, 0.816, 0.707, 0.4, 0.597, 0.671, 0.548, 0.486, 0.685]"
40,0.055,1.206,0.676,0.985,0.676,0.613,0.674,"[0.641, 0.664, 0.792, 0.72, 0.273, 0.611, 0.71, 0.607, 0.457, 0.652]"
41,0.063,1.221,0.676,0.983,0.676,0.618,0.674,"[0.621, 0.734, 0.773, 0.702, 0.333, 0.578, 0.7, 0.602, 0.431, 0.708]"
42,0.061,1.209,0.678,0.983,0.678,0.618,0.675,"[0.654, 0.708, 0.783, 0.714, 0.333, 0.559, 0.717, 0.541, 0.484, 0.686]"
43,0.045,1.185,0.684,0.982,0.684,0.611,0.678,"[0.627, 0.735, 0.809, 0.723, 0.314, 0.52, 0.723, 0.561, 0.436, 0.667]"
44,0.035,1.307,0.693,0.984,0.693,0.603,0.685,"[0.653, 0.73, 0.857, 0.711, 0.118, 0.604, 0.736, 0.532, 0.447, 0.642]"
45,0.034,1.269,0.691,0.982,0.691,0.624,0.686,"[0.667, 0.708, 0.833, 0.731, 0.244, 0.574, 0.722, 0.607, 0.467, 0.692]"
46,0.034,1.386,0.673,0.984,0.673,0.621,0.673,"[0.655, 0.728, 0.851, 0.723, 0.298, 0.577, 0.685, 0.574, 0.425, 0.69]"
47,0.033,1.270,0.667,0.984,0.667,0.606,0.665,"[0.608, 0.72, 0.756, 0.694, 0.386, 0.577, 0.695, 0.567, 0.451, 0.608]"
48,0.035,1.366,0.667,0.980,0.667,0.592,0.662,"[0.599, 0.713, 0.766, 0.689, 0.304, 0.525, 0.715, 0.578, 0.429, 0.598]"
49,0.030,1.361,0.676,0.983,0.676,0.609,0.670,"[0.654, 0.725, 0.844, 0.697, 0.291, 0.569, 0.719, 0.47, 0.479, 0.642]"
50,0.025,1.358,0.689,0.983,0.689,0.628,0.686,"[0.632, 0.71, 0.8, 0.717, 0.327, 0.603, 0.727, 0.576, 0.484, 0.707]"
51,0.021,1.407,0.657,0.983,0.657,0.595,0.654,"[0.631, 0.714, 0.739, 0.692, 0.25, 0.588, 0.656, 0.585, 0.443, 0.655]"
52,0.024,1.376,0.671,0.979,0.671,0.604,0.668,"[0.614, 0.685, 0.776, 0.716, 0.308, 0.583, 0.701, 0.571, 0.432, 0.661]"
53,0.018,1.346,0.674,0.980,0.674,0.599,0.669,"[0.596, 0.71, 0.791, 0.7, 0.255, 0.576, 0.716, 0.541, 0.439, 0.667]"
54,0.017,1.428,0.676,0.981,0.676,0.612,0.675,"[0.62, 0.735, 0.8, 0.709, 0.235, 0.592, 0.694, 0.57, 0.463, 0.697]"
55,0.020,1.479,0.679,0.982,0.679,0.612,0.675,"[0.636, 0.719, 0.773, 0.717, 0.291, 0.6, 0.699, 0.538, 0.464, 0.686]"
56,0.019,1.506,0.681,0.981,0.681,0.597,0.671,"[0.635, 0.721, 0.762, 0.695, 0.261, 0.581, 0.731, 0.45, 0.467, 0.667]"
57,0.020,1.452,0.676,0.982,0.676,0.610,0.671,"[0.659, 0.711, 0.791, 0.703, 0.241, 0.576, 0.709, 0.537, 0.506, 0.667]"
58,0.018,1.474,0.670,0.979,0.670,0.597,0.663,"[0.637, 0.706, 0.762, 0.685, 0.32, 0.539, 0.721, 0.517, 0.509, 0.574]"
59,0.016,1.452,0.665,0.983,0.665,0.599,0.661,"[0.571, 0.702, 0.773, 0.694, 0.34, 0.558, 0.705, 0.542, 0.468, 0.641]"
60,0.012,1.458,0.678,0.982,0.678,0.602,0.672,"[0.608, 0.716, 0.756, 0.693, 0.286, 0.554, 0.73, 0.564, 0.48, 0.634]"
61,0.011,1.484,0.680,0.980,0.680,0.614,0.675,"[0.655, 0.72, 0.766, 0.694, 0.321, 0.588, 0.721, 0.561, 0.459, 0.653]"
