epoch,train_loss,val_loss,rmse,mae
0,0.372+-0.006,0.301+-0.01,0.149+-0.001,0.095+-0.002
1,0.293+-0.012,0.271+-0.001,0.141+-0.002,0.09+-0.004
2,0.259+-0.006,0.256+-0.004,0.13+-0.001,0.078+-0.001
3,0.241+-0.006,0.245+-0.005,0.124+-0.002,0.075+-0.002
4,0.229+-0.005,0.236+-0.002,0.123+-0.001,0.076+-0.001
5,0.222+-0.003,0.231+-0.002,0.121+-0.0,0.075+-0.001
6,0.22+-0.002,0.229+-0.0,0.119+-0.001,0.073+-0.001
7,0.217+-0.003,0.23+-0.002,0.12+-0.002,0.074+-0.002
8,0.216+-0.004,0.228+-0.001,0.119+-0.002,0.074+-0.002
9,0.214+-0.003,0.228+-0.001,0.118+-0.0,0.073+-0.001
10,0.214+-0.003,0.226+-0.001,0.117+-0.001,0.072+-0.001
11,0.212+-0.003,0.226+-0.001,0.116+-0.001,0.072+-0.001
12,0.212+-0.002,0.225+-0.001,0.116+-0.0,0.071+-0.001
13,0.211+-0.003,0.225+-0.001,0.116+-0.001,0.071+-0.001
14,0.211+-0.003,0.224+-0.001,0.115+-0.001,0.07+-0.0
15,0.211+-0.003,0.227+-0.001,0.117+-0.001,0.071+-0.001
16,0.212+-0.005,0.228+-0.004,0.117+-0.002,0.071+-0.002
17,0.213+-0.006,0.227+-0.002,0.117+-0.002,0.071+-0.001
18,0.21+-0.005,0.224+-0.001,0.114+-0.001,0.07+-0.001
19,0.211+-0.002,0.23+-0.009,0.117+-0.005,0.072+-0.003
20,0.212+-0.002,0.229+-0.009,0.117+-0.005,0.072+-0.004
21,0.21+-0.001,0.227+-0.002,0.115+-0.001,0.071+-0.001
22,0.209+-0.003,0.228+-0.001,0.116+-0.001,0.07+-0.001
23,0.208+-0.002,0.224+-0.002,0.114+-0.001,0.07+-0.001
24,0.209+-0.003,0.226+-0.003,0.115+-0.002,0.07+-0.002
25,0.211+-0.004,0.226+-0.004,0.115+-0.003,0.071+-0.002
26,0.208+-0.005,0.223+-0.001,0.113+-0.001,0.068+-0.001
27,0.207+-0.002,0.224+-0.001,0.113+-0.001,0.069+-0.001
28,0.206+-0.002,0.223+-0.001,0.113+-0.001,0.069+-0.001
29,0.206+-0.002,0.223+-0.001,0.114+-0.001,0.069+-0.001
30,0.206+-0.002,0.224+-0.002,0.114+-0.002,0.069+-0.001
31,0.205+-0.001,0.224+-0.002,0.114+-0.001,0.069+-0.001
32,0.206+-0.003,0.223+-0.002,0.113+-0.001,0.07+-0.001
33,0.204+-0.002,0.223+-0.001,0.112+-0.001,0.068+-0.0
34,0.204+-0.002,0.222+-0.001,0.112+-0.001,0.068+-0.001
35,0.204+-0.003,0.224+-0.002,0.113+-0.001,0.068+-0.001
36,0.205+-0.003,0.223+-0.001,0.112+-0.001,0.068+-0.001
37,0.205+-0.003,0.224+-0.003,0.113+-0.002,0.068+-0.001
38,0.205+-0.003,0.221+-0.001,0.111+-0.001,0.067+-0.001
39,0.204+-0.003,0.224+-0.002,0.114+-0.001,0.069+-0.001
40,0.204+-0.002,0.223+-0.001,0.112+-0.001,0.068+-0.001
41,0.204+-0.004,0.224+-0.001,0.113+-0.001,0.069+-0.002
42,0.204+-0.003,0.224+-0.002,0.113+-0.002,0.068+-0.001
43,0.203+-0.002,0.221+-0.001,0.111+-0.001,0.067+-0.0
44,0.202+-0.003,0.222+-0.002,0.112+-0.001,0.068+-0.001
45,0.203+-0.004,0.224+-0.003,0.113+-0.002,0.068+-0.002
46,0.203+-0.004,0.221+-0.001,0.111+-0.001,0.067+-0.001
47,0.203+-0.003,0.223+-0.001,0.112+-0.001,0.068+-0.001
48,0.204+-0.003,0.225+-0.002,0.113+-0.002,0.068+-0.001
49,0.204+-0.002,0.222+-0.001,0.111+-0.001,0.067+-0.001
50,0.202+-0.003,0.223+-0.002,0.112+-0.002,0.068+-0.001
51,0.202+-0.004,0.222+-0.002,0.112+-0.001,0.068+-0.001
52,0.201+-0.002,0.223+-0.002,0.113+-0.001,0.068+-0.001
53,0.203+-0.004,0.223+-0.002,0.113+-0.002,0.068+-0.001
54,0.203+-0.003,0.221+-0.002,0.111+-0.0,0.067+-0.001
55,0.201+-0.004,0.221+-0.001,0.111+-0.0,0.067+-0.001
56,0.202+-0.003,0.222+-0.001,0.111+-0.001,0.067+-0.001
57,0.201+-0.002,0.222+-0.002,0.111+-0.002,0.068+-0.001
58,0.201+-0.003,0.222+-0.001,0.111+-0.001,0.066+-0.001
59,0.201+-0.003,0.222+-0.002,0.111+-0.002,0.068+-0.001
60,0.202+-0.002,0.223+-0.002,0.112+-0.001,0.068+-0.001
61,0.2+-0.001,0.222+-0.003,0.112+-0.001,0.067+-0.0
62,0.2+-0.003,0.221+-0.002,0.11+-0.001,0.066+-0.001
63,0.199+-0.002,0.22+-0.002,0.11+-0.0,0.066+-0.001
64,0.2+-0.003,0.222+-0.002,0.111+-0.001,0.066+-0.001
65,0.202+-0.003,0.224+-0.005,0.112+-0.003,0.067+-0.002
66,0.201+-0.002,0.224+-0.004,0.113+-0.002,0.068+-0.001
67,0.202+-0.002,0.222+-0.002,0.111+-0.002,0.067+-0.001
68,0.2+-0.002,0.223+-0.001,0.112+-0.0,0.068+-0.001
69,0.201+-0.003,0.222+-0.001,0.112+-0.002,0.067+-0.001
70,0.2+-0.004,0.222+-0.003,0.111+-0.002,0.067+-0.002
71,0.2+-0.003,0.221+-0.002,0.111+-0.001,0.066+-0.001
72,0.2+-0.003,0.222+-0.001,0.112+-0.002,0.067+-0.001
73,0.199+-0.002,0.225+-0.004,0.112+-0.003,0.068+-0.002
74,0.199+-0.002,0.223+-0.001,0.112+-0.002,0.067+-0.0
75,0.199+-0.001,0.225+-0.007,0.113+-0.005,0.068+-0.003
76,0.199+-0.001,0.223+-0.004,0.112+-0.002,0.067+-0.001
77,0.199+-0.002,0.222+-0.002,0.111+-0.001,0.067+-0.0
78,0.197+-0.003,0.222+-0.003,0.11+-0.001,0.066+-0.001
79,0.198+-0.003,0.221+-0.002,0.111+-0.001,0.067+-0.0
80,0.198+-0.003,0.223+-0.003,0.112+-0.003,0.067+-0.002
81,0.2+-0.001,0.222+-0.001,0.112+-0.001,0.067+-0.001
82,0.198+-0.003,0.221+-0.001,0.11+-0.0,0.067+-0.001
83,0.199+-0.004,0.222+-0.001,0.111+-0.001,0.067+-0.0
84,0.198+-0.004,0.222+-0.002,0.111+-0.002,0.067+-0.001
85,0.2+-0.006,0.224+-0.005,0.112+-0.004,0.067+-0.003
86,0.2+-0.005,0.223+-0.002,0.112+-0.002,0.067+-0.001
87,0.198+-0.002,0.221+-0.001,0.109+-0.001,0.065+-0.001
88,0.198+-0.002,0.222+-0.001,0.111+-0.0,0.067+-0.0
89,0.197+-0.002,0.221+-0.002,0.11+-0.001,0.066+-0.0
90,0.197+-0.003,0.223+-0.004,0.112+-0.003,0.067+-0.002
91,0.198+-0.002,0.222+-0.004,0.112+-0.002,0.067+-0.001
92,0.198+-0.002,0.222+-0.002,0.111+-0.001,0.066+-0.001
93,0.197+-0.002,0.221+-0.001,0.11+-0.001,0.066+-0.001
94,0.198+-0.003,0.224+-0.001,0.111+-0.001,0.067+-0.001
95,0.198+-0.003,0.222+-0.001,0.11+-0.001,0.066+-0.001
96,0.198+-0.002,0.221+-0.001,0.11+-0.001,0.066+-0.001
97,0.198+-0.002,0.221+-0.002,0.11+-0.001,0.066+-0.0
98,0.197+-0.001,0.221+-0.001,0.111+-0.002,0.067+-0.001
99,0.197+-0.002,0.221+-0.001,0.11+-0.001,0.066+-0.0
