epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.372,0.301,0.149,0.095,
1,0.293,0.271,0.141,0.09,
2,0.259,0.256,0.13,0.078,
3,0.241,0.245,0.124,0.075,
4,0.229,0.236,0.123,0.076,
5,0.222,0.231,0.121,0.075,
6,0.22,0.229,0.119,0.073,
7,0.217,0.23,0.12,0.074,
8,0.216,0.228,0.119,0.074,
9,0.214,0.228,0.118,0.073,
10,0.214,0.226,0.117,0.072,
11,0.212,0.226,0.116,0.072,
12,0.212,0.225,0.116,0.071,
13,0.211,0.225,0.116,0.071,
14,0.211,0.224,0.115,0.07,
15,0.211,0.227,0.117,0.071,
16,0.212,0.228,0.117,0.071,
17,0.213,0.227,0.117,0.071,
18,0.21,0.224,0.114,0.07,
19,0.211,0.23,0.117,0.072,
20,0.212,0.229,0.117,0.072,
21,0.21,0.227,0.115,0.071,
22,0.209,0.228,0.116,0.07,
23,0.208,0.224,0.114,0.07,
24,0.209,0.226,0.115,0.07,
25,0.211,0.226,0.115,0.071,
26,0.208,0.223,0.113,0.068,
27,0.207,0.224,0.113,0.069,
28,0.206,0.223,0.113,0.069,
29,0.206,0.223,0.114,0.069,
30,0.206,0.224,0.114,0.069,
31,0.205,0.224,0.114,0.069,
32,0.206,0.223,0.113,0.07,
33,0.204,0.223,0.112,0.068,
34,0.204,0.222,0.112,0.068,
35,0.204,0.224,0.113,0.068,
36,0.205,0.223,0.112,0.068,
37,0.205,0.224,0.113,0.068,
38,0.205,0.221,0.111,0.067,
39,0.204,0.224,0.114,0.069,
40,0.204,0.223,0.112,0.068,
41,0.204,0.224,0.113,0.069,
42,0.204,0.224,0.113,0.068,
43,0.203,0.221,0.111,0.067,
44,0.202,0.222,0.112,0.068,
45,0.203,0.224,0.113,0.068,
46,0.203,0.221,0.111,0.067,
47,0.203,0.223,0.112,0.068,
48,0.204,0.225,0.113,0.068,
49,0.204,0.222,0.111,0.067,
50,0.202,0.223,0.112,0.068,
51,0.202,0.222,0.112,0.068,
52,0.201,0.223,0.113,0.068,
53,0.203,0.223,0.113,0.068,
54,0.203,0.221,0.111,0.067,
55,0.201,0.221,0.111,0.067,
56,0.202,0.222,0.111,0.067,
57,0.201,0.222,0.111,0.068,
58,0.201,0.222,0.111,0.066,
59,0.201,0.222,0.111,0.068,
60,0.202,0.223,0.112,0.068,
61,0.2,0.222,0.112,0.067,
62,0.2,0.221,0.11,0.066,
63,0.199,0.22,0.11,0.066,
64,0.2,0.222,0.111,0.066,
65,0.202,0.224,0.112,0.067,
66,0.201,0.224,0.113,0.068,
67,0.202,0.222,0.111,0.067,
68,0.2,0.223,0.112,0.068,
69,0.201,0.222,0.112,0.067,
70,0.2,0.222,0.111,0.067,
71,0.2,0.221,0.111,0.066,
72,0.2,0.222,0.112,0.067,
73,0.199,0.225,0.112,0.068,
74,0.199,0.223,0.112,0.067,
75,0.199,0.225,0.113,0.068,
76,0.199,0.223,0.112,0.067,
77,0.199,0.222,0.111,0.067,
78,0.197,0.222,0.11,0.066,
79,0.198,0.221,0.111,0.067,
80,0.198,0.223,0.112,0.067,
81,0.2,0.222,0.112,0.067,
82,0.198,0.221,0.11,0.067,
83,0.199,0.222,0.111,0.067,
84,0.198,0.222,0.111,0.067,
85,0.2,0.224,0.112,0.067,
86,0.2,0.223,0.112,0.067,
87,0.198,0.221,0.109,0.065,
88,0.198,0.222,0.111,0.067,
89,0.197,0.221,0.11,0.066,
90,0.197,0.223,0.112,0.067,
91,0.198,0.222,0.112,0.067,
92,0.198,0.222,0.111,0.066,
93,0.197,0.221,0.11,0.066,
94,0.198,0.224,0.111,0.067,
95,0.198,0.222,0.11,0.066,
96,0.198,0.221,0.11,0.066,
97,0.198,0.221,0.11,0.066,
98,0.197,0.221,0.111,0.067,
99,0.197,0.221,0.11,0.066,"[0.058, 0.161, 0.03, 0.223, 0.048, 0.13, 0.175, 0.092, 0.111, 0.076]"
