epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.397,0.345,0.155,0.097,
1,0.307,0.296,0.137,0.085,
2,0.258,0.263,0.125,0.073,
3,0.234,0.245,0.116,0.067,
4,0.222,0.237,0.115,0.069,
5,0.215,0.229,0.112,0.067,
6,0.207,0.226,0.111,0.066,
7,0.201,0.224,0.111,0.066,
8,0.199,0.225,0.111,0.066,
9,0.198,0.222,0.11,0.065,
10,0.195,0.221,0.109,0.065,
11,0.196,0.222,0.109,0.065,
12,0.195,0.22,0.109,0.065,
13,0.196,0.222,0.109,0.064,
14,0.196,0.226,0.111,0.066,
15,0.195,0.223,0.11,0.066,
16,0.191,0.221,0.108,0.064,
17,0.191,0.221,0.108,0.064,
18,0.191,0.221,0.108,0.064,
19,0.19,0.221,0.108,0.063,
20,0.191,0.221,0.108,0.063,
21,0.189,0.221,0.108,0.064,
22,0.188,0.221,0.108,0.063,
23,0.188,0.22,0.107,0.063,
24,0.189,0.224,0.11,0.064,
25,0.19,0.222,0.109,0.064,
26,0.188,0.222,0.108,0.063,
27,0.188,0.222,0.108,0.063,
28,0.188,0.222,0.108,0.064,
29,0.188,0.224,0.11,0.064,
30,0.188,0.222,0.109,0.063,
31,0.186,0.223,0.109,0.064,
32,0.189,0.225,0.11,0.065,
33,0.189,0.225,0.11,0.064,
34,0.189,0.224,0.109,0.064,
35,0.187,0.222,0.108,0.063,
36,0.186,0.223,0.108,0.063,
37,0.187,0.228,0.111,0.065,
38,0.187,0.226,0.11,0.065,
39,0.188,0.224,0.109,0.064,
40,0.185,0.223,0.108,0.063,
41,0.185,0.223,0.108,0.063,
42,0.184,0.224,0.109,0.063,
43,0.186,0.225,0.11,0.064,
44,0.185,0.228,0.111,0.065,
45,0.185,0.223,0.109,0.063,
46,0.183,0.223,0.108,0.063,
47,0.185,0.224,0.109,0.063,
48,0.185,0.224,0.109,0.063,
49,0.184,0.224,0.109,0.063,
50,0.185,0.221,0.107,0.063,
51,0.182,0.226,0.109,0.064,
52,0.179,0.224,0.108,0.062,
53,0.175,0.218,0.104,0.058,
54,0.173,0.222,0.106,0.06,
55,0.171,0.221,0.104,0.058,
56,0.172,0.219,0.104,0.058,
57,0.172,0.218,0.104,0.058,
58,0.17,0.215,0.1,0.055,
59,0.169,0.215,0.1,0.056,
60,0.167,0.215,0.099,0.056,
61,0.166,0.214,0.099,0.054,
62,0.165,0.214,0.097,0.054,
63,0.165,0.215,0.1,0.055,
64,0.165,0.215,0.099,0.055,
65,0.165,0.213,0.098,0.054,
66,0.163,0.214,0.098,0.054,
67,0.163,0.215,0.098,0.054,
68,0.163,0.214,0.097,0.053,
69,0.163,0.212,0.096,0.053,
70,0.163,0.212,0.097,0.053,
71,0.164,0.212,0.098,0.053,
72,0.164,0.212,0.098,0.054,
73,0.163,0.213,0.097,0.054,
74,0.163,0.213,0.098,0.054,
75,0.162,0.213,0.098,0.054,
76,0.163,0.213,0.098,0.054,
77,0.163,0.215,0.099,0.055,
78,0.162,0.214,0.098,0.054,
79,0.162,0.214,0.098,0.054,
80,0.163,0.211,0.096,0.053,
81,0.162,0.213,0.097,0.053,
82,0.163,0.213,0.098,0.054,
83,0.163,0.214,0.1,0.054,
84,0.162,0.213,0.099,0.054,
85,0.163,0.214,0.098,0.054,
86,0.162,0.212,0.098,0.054,
87,0.162,0.213,0.098,0.054,
88,0.162,0.212,0.097,0.054,
89,0.162,0.211,0.098,0.053,
90,0.162,0.211,0.097,0.054,
91,0.163,0.212,0.097,0.053,
92,0.163,0.211,0.097,0.053,
93,0.163,0.212,0.097,0.053,
94,0.162,0.213,0.096,0.053,
95,0.162,0.213,0.098,0.054,
96,0.161,0.213,0.098,0.054,
97,0.162,0.212,0.098,0.053,
98,0.161,0.212,0.097,0.053,
99,0.162,0.212,0.096,0.053,"[0.052, 0.127, 0.027, 0.168, 0.045, 0.122, 0.156, 0.094, 0.098, 0.074]"
