epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.006,0.01,0.001,0.002,
1,0.012,0.001,0.002,0.004,
2,0.006,0.004,0.001,0.001,
3,0.006,0.005,0.002,0.002,
4,0.005,0.002,0.001,0.001,
5,0.003,0.002,0.0,0.001,
6,0.002,0.0,0.001,0.001,
7,0.003,0.002,0.002,0.002,
8,0.004,0.001,0.002,0.002,
9,0.003,0.001,0.0,0.001,
10,0.003,0.001,0.001,0.001,
11,0.003,0.001,0.001,0.001,
12,0.002,0.001,0.0,0.001,
13,0.003,0.001,0.001,0.001,
14,0.003,0.001,0.001,0.0,
15,0.003,0.001,0.001,0.001,
16,0.005,0.004,0.002,0.002,
17,0.006,0.002,0.002,0.001,
18,0.005,0.001,0.001,0.001,
19,0.002,0.009,0.005,0.003,
20,0.002,0.009,0.005,0.004,
21,0.001,0.002,0.001,0.001,
22,0.003,0.001,0.001,0.001,
23,0.002,0.002,0.001,0.001,
24,0.003,0.003,0.002,0.002,
25,0.004,0.004,0.003,0.002,
26,0.005,0.001,0.001,0.001,
27,0.002,0.001,0.001,0.001,
28,0.002,0.001,0.001,0.001,
29,0.002,0.001,0.001,0.001,
30,0.002,0.002,0.002,0.001,
31,0.001,0.002,0.001,0.001,
32,0.003,0.002,0.001,0.001,
33,0.002,0.001,0.001,0.0,
34,0.002,0.001,0.001,0.001,
35,0.003,0.002,0.001,0.001,
36,0.003,0.001,0.001,0.001,
37,0.003,0.003,0.002,0.001,
38,0.003,0.001,0.001,0.001,
39,0.003,0.002,0.001,0.001,
40,0.002,0.001,0.001,0.001,
41,0.004,0.001,0.001,0.002,
42,0.003,0.002,0.002,0.001,
43,0.002,0.001,0.001,0.0,
44,0.003,0.002,0.001,0.001,
45,0.004,0.003,0.002,0.002,
46,0.004,0.001,0.001,0.001,
47,0.003,0.001,0.001,0.001,
48,0.003,0.002,0.002,0.001,
49,0.002,0.001,0.001,0.001,
50,0.001,0.004,0.004,0.003,
51,0.005,0.044,0.013,0.009,
52,0.007,0.015,0.013,0.01,
53,0.004,0.006,0.005,0.004,
54,0.005,0.012,0.008,0.005,
55,0.004,0.004,0.003,0.002,
56,0.004,0.006,0.006,0.004,
57,0.002,0.004,0.005,0.004,
58,0.002,0.008,0.006,0.004,
59,0.002,0.002,0.002,0.001,
60,0.002,0.008,0.008,0.004,
61,0.002,0.004,0.005,0.002,
62,0.003,0.001,0.002,0.002,
63,0.003,0.002,0.003,0.001,
64,0.004,0.004,0.003,0.002,
65,0.005,0.002,0.002,0.0,
66,0.004,0.002,0.003,0.001,
67,0.003,0.001,0.001,0.002,
68,0.002,0.002,0.001,0.002,
69,0.003,0.003,0.004,0.003,
70,0.003,0.007,0.006,0.003,
71,0.003,0.006,0.004,0.003,
72,0.003,0.002,0.003,0.002,
73,0.002,0.011,0.009,0.007,
74,0.002,0.001,0.001,0.001,
75,0.002,0.005,0.004,0.003,
76,0.002,0.001,0.002,0.001,
77,0.002,0.003,0.001,0.001,
78,0.003,0.002,0.002,0.001,
79,0.003,0.0,0.002,0.002,
80,0.002,0.001,0.001,0.001,
81,0.002,0.003,0.003,0.001,
82,0.002,0.001,0.002,0.002,
83,0.002,0.003,0.003,0.002,
84,0.004,0.003,0.002,0.002,
85,0.005,0.003,0.003,0.002,
86,0.004,0.002,0.002,0.002,
87,0.003,0.005,0.004,0.003,
88,0.003,0.003,0.002,0.002,
89,0.003,0.002,0.002,0.001,
90,0.003,0.001,0.001,0.001,
91,0.003,0.004,0.003,0.003,
92,0.003,0.002,0.002,0.002,
93,0.003,0.005,0.004,0.003,
94,0.002,0.001,0.001,0.001,
95,0.003,0.003,0.002,0.001,
96,0.003,0.002,0.003,0.002,
97,0.002,0.002,0.002,0.002,
98,0.003,0.001,0.001,0.001,
99,0.003,0.002,0.003,0.003,"[0.002, 0.009, 0.002, 0.01, 0.001, 0.008, 0.002, 0.003, 0.002, 0.001]"
