epoch,train_loss,val_loss,rmse,mae,rmse_per_class
0,0.016,0.015,0.003,0.003,
1,0.017,0.009,0.001,0.002,
2,0.002,0.006,0.002,0.001,
3,0.004,0.008,0.002,0.002,
4,0.003,0.008,0.003,0.003,
5,0.002,0.005,0.0,0.002,
6,0.004,0.004,0.002,0.003,
7,0.003,0.006,0.003,0.004,
8,0.003,0.004,0.003,0.004,
9,0.002,0.002,0.002,0.001,
10,0.002,0.002,0.002,0.003,
11,0.001,0.002,0.002,0.003,
12,0.002,0.003,0.003,0.003,
13,0.001,0.003,0.002,0.002,
14,0.001,0.001,0.001,0.001,
15,0.001,0.005,0.004,0.003,
16,0.003,0.004,0.003,0.002,
17,0.003,0.004,0.001,0.002,
18,0.003,0.001,0.002,0.002,
19,0.002,0.002,0.001,0.001,
20,0.001,0.001,0.001,0.002,
21,0.0,0.0,0.001,0.001,
22,0.003,0.005,0.004,0.004,
23,0.002,0.003,0.002,0.003,
24,0.005,0.006,0.005,0.003,
25,0.002,0.002,0.002,0.001,
26,0.002,0.004,0.002,0.002,
27,0.002,0.002,0.001,0.001,
28,0.001,0.003,0.002,0.002,
29,0.003,0.001,0.0,0.001,
30,0.002,0.002,0.002,0.002,
31,0.0,0.003,0.001,0.001,
32,0.003,0.002,0.002,0.002,
33,0.003,0.004,0.003,0.003,
34,0.003,0.005,0.003,0.003,
35,0.002,0.001,0.001,0.001,
36,0.001,0.002,0.001,0.002,
37,0.001,0.005,0.003,0.003,
38,0.001,0.002,0.002,0.0,
39,0.002,0.001,0.0,0.001,
40,0.001,0.002,0.001,0.001,
41,0.001,0.002,0.002,0.003,
42,0.001,0.0,0.001,0.001,
43,0.001,0.003,0.002,0.001,
44,0.001,0.004,0.003,0.003,
45,0.002,0.002,0.002,0.002,
46,0.001,0.001,0.001,0.0,
47,0.002,0.003,0.003,0.002,
48,0.002,0.002,0.002,0.001,
49,0.001,0.001,0.002,0.001,
50,0.001,0.003,0.002,0.002,
51,0.002,0.004,0.002,0.002,
52,0.001,0.004,0.002,0.002,
53,0.004,0.003,0.002,0.002,
54,0.002,0.008,0.005,0.003,
55,0.003,0.003,0.003,0.002,
56,0.001,0.003,0.001,0.001,
57,0.003,0.001,0.001,0.001,
58,0.002,0.003,0.001,0.002,
59,0.001,0.002,0.002,0.001,
60,0.002,0.005,0.005,0.002,
61,0.002,0.004,0.004,0.003,
62,0.001,0.001,0.001,0.001,
63,0.001,0.001,0.001,0.001,
64,0.001,0.005,0.003,0.002,
65,0.001,0.001,0.002,0.002,
66,0.001,0.002,0.002,0.002,
67,0.002,0.002,0.001,0.002,
68,0.001,0.003,0.002,0.001,
69,0.003,0.002,0.002,0.001,
70,0.001,0.002,0.001,0.001,
71,0.001,0.002,0.002,0.002,
72,0.002,0.002,0.002,0.001,
73,0.001,0.002,0.002,0.002,
74,0.002,0.003,0.001,0.001,
75,0.001,0.004,0.002,0.001,
76,0.002,0.004,0.002,0.003,
77,0.005,0.004,0.001,0.001,
78,0.001,0.005,0.004,0.002,
79,0.002,0.004,0.003,0.002,
80,0.002,0.006,0.002,0.002,
81,0.004,0.003,0.002,0.002,
82,0.002,0.003,0.002,0.002,
83,0.002,0.0,0.0,0.001,
84,0.001,0.003,0.002,0.002,
85,0.002,0.002,0.001,0.001,
86,0.002,0.003,0.003,0.002,
87,0.004,0.0,0.001,0.0,
88,0.001,0.002,0.002,0.002,
89,0.002,0.002,0.002,0.002,
90,0.001,0.001,0.001,0.001,
91,0.002,0.002,0.002,0.002,
92,0.002,0.003,0.002,0.002,
93,0.002,0.004,0.002,0.002,
94,0.003,0.002,0.002,0.001,
95,0.002,0.002,0.002,0.002,
96,0.001,0.004,0.003,0.002,
97,0.002,0.003,0.002,0.002,
98,0.003,0.003,0.003,0.002,
99,0.001,0.001,0.001,0.001,"[0.001, 0.001, 0.001, 0.002, 0.0, 0.005, 0.001, 0.0, 0.0, 0.0]"
