epoch,train_loss,val_loss,rmse,mae
0,0.341+-0.008,0.266+-0.005,0.138+-0.006,0.087+-0.007
1,0.259+-0.005,0.244+-0.003,0.125+-0.002,0.077+-0.003
2,0.237+-0.003,0.231+-0.001,0.12+-0.001,0.075+-0.002
3,0.23+-0.002,0.229+-0.003,0.119+-0.002,0.074+-0.002
4,0.229+-0.003,0.228+-0.001,0.118+-0.001,0.073+-0.001
5,0.226+-0.001,0.227+-0.004,0.117+-0.003,0.072+-0.001
6,0.226+-0.002,0.225+-0.002,0.116+-0.001,0.071+-0.001
7,0.224+-0.002,0.226+-0.002,0.116+-0.001,0.071+-0.001
8,0.223+-0.002,0.224+-0.004,0.114+-0.001,0.069+-0.001
9,0.222+-0.003,0.224+-0.002,0.113+-0.001,0.07+-0.001
10,0.221+-0.002,0.223+-0.001,0.113+-0.001,0.069+-0.001
11,0.221+-0.002,0.223+-0.002,0.112+-0.001,0.069+-0.001
12,0.22+-0.001,0.222+-0.001,0.112+-0.001,0.069+-0.001
13,0.22+-0.002,0.223+-0.001,0.112+-0.001,0.068+-0.001
14,0.22+-0.001,0.223+-0.001,0.112+-0.001,0.069+-0.001
15,0.219+-0.002,0.221+-0.001,0.111+-0.001,0.068+-0.001
16,0.22+-0.002,0.222+-0.002,0.111+-0.001,0.068+-0.002
17,0.22+-0.001,0.223+-0.003,0.112+-0.002,0.068+-0.001
18,0.218+-0.003,0.223+-0.005,0.111+-0.003,0.068+-0.003
19,0.218+-0.002,0.221+-0.002,0.111+-0.002,0.067+-0.001
20,0.218+-0.003,0.22+-0.001,0.11+-0.0,0.067+-0.0
21,0.217+-0.001,0.22+-0.001,0.109+-0.001,0.066+-0.001
22,0.217+-0.002,0.22+-0.001,0.11+-0.001,0.067+-0.001
23,0.217+-0.001,0.221+-0.001,0.11+-0.001,0.067+-0.001
24,0.219+-0.001,0.224+-0.004,0.112+-0.002,0.068+-0.002
25,0.216+-0.002,0.222+-0.0,0.111+-0.001,0.067+-0.001
26,0.217+-0.001,0.22+-0.002,0.109+-0.002,0.066+-0.002
27,0.216+-0.002,0.221+-0.002,0.11+-0.002,0.067+-0.002
28,0.216+-0.001,0.221+-0.003,0.109+-0.002,0.066+-0.001
29,0.215+-0.002,0.221+-0.004,0.11+-0.003,0.066+-0.002
30,0.215+-0.001,0.22+-0.001,0.109+-0.001,0.066+-0.001
31,0.215+-0.002,0.22+-0.001,0.109+-0.002,0.066+-0.001
32,0.215+-0.002,0.22+-0.002,0.108+-0.002,0.066+-0.002
33,0.214+-0.0,0.22+-0.002,0.109+-0.002,0.066+-0.001
34,0.215+-0.0,0.22+-0.001,0.109+-0.001,0.066+-0.001
35,0.216+-0.002,0.22+-0.001,0.109+-0.001,0.066+-0.002
36,0.214+-0.001,0.219+-0.002,0.109+-0.001,0.066+-0.001
37,0.215+-0.002,0.221+-0.003,0.109+-0.002,0.066+-0.0
38,0.215+-0.001,0.22+-0.001,0.109+-0.002,0.065+-0.001
39,0.213+-0.002,0.22+-0.001,0.108+-0.001,0.066+-0.001
40,0.212+-0.001,0.219+-0.001,0.108+-0.001,0.065+-0.001
41,0.213+-0.001,0.221+-0.001,0.11+-0.001,0.067+-0.0
42,0.213+-0.001,0.218+-0.001,0.107+-0.001,0.065+-0.001
43,0.213+-0.002,0.222+-0.003,0.11+-0.002,0.067+-0.002
44,0.212+-0.001,0.219+-0.001,0.108+-0.001,0.065+-0.001
45,0.213+-0.002,0.218+-0.001,0.108+-0.001,0.065+-0.001
46,0.211+-0.001,0.22+-0.002,0.109+-0.001,0.066+-0.001
47,0.212+-0.0,0.218+-0.001,0.107+-0.001,0.065+-0.001
48,0.212+-0.001,0.219+-0.001,0.108+-0.001,0.065+-0.001
49,0.212+-0.002,0.219+-0.002,0.108+-0.001,0.065+-0.0
50,0.22+-0.001,0.246+-0.004,0.129+-0.005,0.077+-0.002
51,0.211+-0.001,0.238+-0.014,0.12+-0.008,0.072+-0.006
52,0.2+-0.002,0.22+-0.003,0.108+-0.004,0.064+-0.002
53,0.194+-0.002,0.22+-0.004,0.107+-0.002,0.062+-0.001
54,0.191+-0.002,0.217+-0.006,0.105+-0.006,0.061+-0.006
55,0.186+-0.001,0.221+-0.012,0.105+-0.008,0.06+-0.003
56,0.184+-0.001,0.223+-0.002,0.109+-0.003,0.063+-0.002
57,0.182+-0.002,0.213+-0.003,0.099+-0.003,0.056+-0.002
58,0.181+-0.001,0.214+-0.003,0.101+-0.003,0.059+-0.002
59,0.179+-0.001,0.218+-0.005,0.104+-0.003,0.059+-0.001
60,0.178+-0.001,0.212+-0.003,0.099+-0.004,0.057+-0.002
61,0.177+-0.001,0.211+-0.004,0.098+-0.004,0.056+-0.003
62,0.176+-0.002,0.21+-0.003,0.096+-0.001,0.053+-0.001
63,0.175+-0.0,0.212+-0.002,0.099+-0.002,0.056+-0.003
64,0.175+-0.001,0.213+-0.002,0.098+-0.002,0.055+-0.001
65,0.175+-0.001,0.211+-0.003,0.097+-0.002,0.055+-0.002
66,0.174+-0.002,0.209+-0.001,0.096+-0.002,0.054+-0.002
67,0.173+-0.002,0.214+-0.005,0.1+-0.005,0.055+-0.003
68,0.174+-0.002,0.215+-0.005,0.1+-0.006,0.056+-0.004
69,0.174+-0.001,0.216+-0.007,0.102+-0.005,0.056+-0.002
70,0.174+-0.002,0.213+-0.005,0.1+-0.005,0.055+-0.003
71,0.174+-0.002,0.212+-0.004,0.097+-0.002,0.055+-0.002
72,0.173+-0.002,0.212+-0.003,0.097+-0.003,0.054+-0.002
73,0.173+-0.002,0.211+-0.004,0.098+-0.003,0.054+-0.001
74,0.172+-0.001,0.21+-0.002,0.096+-0.002,0.053+-0.001
75,0.172+-0.002,0.212+-0.002,0.096+-0.001,0.054+-0.001
76,0.171+-0.001,0.21+-0.001,0.096+-0.0,0.053+-0.002
77,0.171+-0.001,0.21+-0.001,0.096+-0.001,0.053+-0.001
78,0.172+-0.001,0.212+-0.001,0.098+-0.001,0.054+-0.0
79,0.171+-0.001,0.211+-0.001,0.096+-0.002,0.054+-0.001
80,0.17+-0.001,0.209+-0.001,0.096+-0.001,0.053+-0.001
81,0.171+-0.001,0.211+-0.003,0.095+-0.001,0.053+-0.002
82,0.171+-0.001,0.213+-0.003,0.098+-0.004,0.054+-0.001
83,0.17+-0.001,0.212+-0.002,0.097+-0.003,0.054+-0.002
84,0.171+-0.001,0.213+-0.002,0.098+-0.003,0.054+-0.001
85,0.17+-0.002,0.211+-0.001,0.096+-0.001,0.053+-0.001
86,0.171+-0.001,0.211+-0.003,0.097+-0.004,0.054+-0.001
87,0.17+-0.001,0.213+-0.003,0.098+-0.003,0.054+-0.002
88,0.171+-0.002,0.212+-0.002,0.097+-0.002,0.053+-0.001
